<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	340.98	348.04	333.42	336.59	3047	0	84
2020.04.03	339.79	345.79	334.71	336.97	2607	0	84
2020.04.06	339.10	339.10	333.66	337.38	1832	0	84
2020.04.07	339.85	341.98	337.09	338.23	1538	0	84
2020.04.08	339.08	342.88	336.71	342.26	1733	0	84
2020.04.09	344.98	347.88	340.36	344.82	2775	0	84
2020.04.14	340.52	344.86	339.75	343.43	2084	0	84
2020.04.15	342.56	344.84	338.95	344.32	1546	0	84
2020.04.16	343.82	351.56	343.77	350.25	1687	0	84
2020.04.17	349.75	354.61	349.12	352.23	1948	0	84
2020.04.20	350.24	350.92	340.65	340.70	1643	0	84
2020.04.21	339.06	339.52	330.16	333.25	2804	0	84
2020.04.22	334.26	338.52	330.68	335.65	2788	0	84
2020.04.23	338.78	339.34	331.94	332.87	1687	0	84
2020.04.24	333.10	333.30	326.11	327.71	1701	0	84
2020.04.27	327.36	328.65	316.92	317.49	2079	0	84
2020.04.28	316.42	323.10	314.75	321.94	2367	0	84
2020.04.29	325.79	333.19	324.75	332.35	2407	0	84
2020.04.30	339.54	350.28	338.37	346.76	2924	0	84
2020.05.01	347.09	363.80	343.15	362.41	2898	0	84
2020.05.04	357.17	364.87	350.73	353.24	2832	0	84
2020.05.05	354.24	368.60	352.58	366.59	3002	0	84
2020.05.06	364.33	365.60	354.29	355.78	2722	0	84
2020.05.07	357.18	360.13	355.43	357.33	2504	0	84
2020.05.11	357.10	357.92	349.44	349.80	1981	0	84
2020.05.12	350.99	356.59	349.61	352.48	1709	0	84
2020.05.13	352.03	356.26	350.89	353.77	1861	0	84
2020.05.14	356.40	366.72	356.24	364.09	1947	0	84
2020.05.15	366.76	374.48	366.30	367.83	2051	0	84
2020.05.18	373.07	373.96	369.07	370.96	1804	0	84
2020.05.19	372.71	374.49	369.82	373.11	1832	0	84
2020.05.20	373.83	378.60	372.17	375.25	1913	0	84
2020.05.21	377.31	378.46	371.68	373.41	1777	0	84
2020.05.22	368.66	375.71	367.38	374.79	2000	0	84
2020.05.26	378.87	384.65	378.00	384.17	2299	0	84
2020.05.27	384.22	386.42	370.23	371.30	2405	0	84
2020.05.28	369.88	370.39	357.86	368.34	2685	0	84
2020.05.29	368.45	370.91	364.22	367.78	2238	0	84
2020.06.01	372.62	375.11	367.14	371.39	2328	0	84
2020.06.02	372.42	376.68	371.70	376.58	1309	0	84
2020.06.03	378.16	383.00	377.13	382.07	2211	0	84
2020.06.04	380.80	392.14	380.19	392.04	1993	0	84
2020.06.05	393.36	404.15	392.44	399.70	2591	0	84
2020.06.08	399.62	403.64	392.50	393.21	3224	0	84
2020.06.09	390.98	396.27	388.99	393.70	2399	0	84
2020.06.10	393.30	403.86	393.30	400.09	2348	0	84
2020.06.11	397.34	399.68	392.03	393.63	2126	0	84
2020.06.12	385.77	394.55	385.31	388.60	2847	0	84
2020.06.15	383.31	388.72	378.61	388.01	2066	0	84
2020.06.16	392.16	398.75	388.31	393.77	2204	0	84
2020.06.17	392.15	394.33	385.98	389.26	2589	0	84
2020.06.18	388.55	389.85	372.73	374.73	2550	0	84
2020.06.19	378.43	378.43	367.78	371.14	2269	0	84
2020.06.22	373.61	373.91	364.15	367.70	2055	0	84
2020.06.23	367.95	368.91	362.33	365.47	2270	0	84
2020.06.24	364.02	364.77	356.25	359.12	2038	0	84
2020.06.25	358.27	359.82	355.68	359.12	1676	0	84
2020.06.26	358.92	358.97	345.93	350.71	2273	0	84
2020.06.29	347.84	356.35	347.63	353.02	2207	0	84
2020.06.30	356.22	362.82	354.91	357.26	2843	0	84
2020.07.01	360.21	362.99	357.23	361.01	2465	0	84
2020.07.02	361.59	361.74	355.83	357.94	1953	0	84
2020.07.03	358.22	360.89	356.15	358.71	483	0	84
2020.07.06	357.95	358.05	352.49	353.75	1850	0	84
2020.07.07	351.46	358.14	351.26	354.72	1682	0	84
2020.07.08	354.95	356.85	351.86	352.61	2220	0	84
2020.07.09	353.39	354.00	349.30	349.40	1820	0	84
2020.07.10	349.48	351.74	344.93	344.93	1903	0	84
2020.07.13	345.73	345.93	342.15	343.20	1443	0	84
2020.07.14	342.27	343.38	338.08	339.89	1643	0	84
2020.07.15	342.84	353.35	342.64	352.64	2611	0	84
2020.07.16	354.33	354.78	349.08	349.48	1535	0	84
2020.07.17	350.51	357.75	349.40	354.37	1452	0	84
2020.07.20	352.61	355.37	350.94	352.34	1505	0	84
2020.07.21	352.42	360.82	351.86	357.54	1722	0	84
2020.07.22	356.96	361.37	356.66	360.77	1474	0	84
2020.07.23	359.64	361.25	357.76	358.31	953	0	84
2020.07.24	357.43	358.44	351.48	351.73	1252	0	84
2020.07.27	352.84	367.46	352.84	367.26	1831	0	84
2020.07.28	367.03	370.64	362.44	364.65	2187	0	84
2020.07.29	365.23	367.94	363.00	367.02	1546	0	84
2020.07.30	365.34	370.41	364.07	370.35	1725	0	84
2020.07.31	371.33	383.53	371.18	383.33	1999	0	84
2020.08.03	382.36	382.71	371.35	375.86	2265	0	84
2020.08.04	376.84	377.75	372.47	375.32	1877	0	84
2020.08.05	376.75	380.05	369.40	370.76	1906	0	84
2020.08.06	370.98	379.20	370.68	379.05	1335	0	84
2020.08.07	378.88	380.22	373.08	373.44	1793	0	84
2020.08.10	371.97	378.09	369.55	371.71	1582	0	84
2020.08.11	373.04	374.78	366.50	373.57	1812	0	84
2020.08.12	373.29	376.89	371.99	375.99	1728	0	84
2020.08.13	377.22	381.87	377.22	381.07	1524	0	84
2020.08.14	381.19	384.64	380.39	382.58	1357	0	84
2020.08.17	383.52	383.87	379.39	380.65	1634	0	84
2020.08.18	379.97	381.42	372.03	374.08	2047	0	84
2020.08.19	375.66	381.52	374.26	379.86	1455	0	84
2020.08.20	380.03	382.54	376.81	376.81	1718	0	84
2020.08.21	377.79	378.69	370.80	371.55	1536	0	84
2020.08.24	371.59	375.35	367.92	368.07	1799	0	84
2020.08.25	369.10	369.10	361.96	363.22	1771	0	84
2020.08.26	364.29	365.24	358.77	359.92	1928	0	84
2020.08.27	359.79	363.64	359.08	362.18	1789	0	84
2020.08.28	362.76	364.41	359.24	360.08	1535	0	84
2020.09.01	362.02	364.54	359.57	362.88	1446	0	84
2020.09.02	362.32	362.47	357.80	358.89	1506	0	84
2020.09.03	358.87	358.87	349.60	353.56	2333	0	84
2020.09.04	353.15	354.29	348.62	350.55	2321	0	84
2020.09.07	350.80	355.52	350.16	355.32	867	0	84
2020.09.08	354.66	354.66	348.39	352.81	2500	0	84
2020.09.09	352.94	353.78	349.00	350.59	2189	0	84
2020.09.10	350.03	351.02	347.08	348.12	1758	0	84
2020.09.11	349.19	349.54	344.61	347.58	1662	0	84
2020.09.14	348.02	348.87	343.74	344.04	1794	0	84
2020.09.15	343.87	350.53	343.58	350.28	2388	0	84
2020.09.16	351.06	354.89	348.50	353.60	2189	0	84
2020.09.17	352.75	366.59	351.41	364.56	2521	0	84
2020.09.18	366.08	368.31	361.72	367.69	2449	0	84
2020.09.21	366.45	368.30	360.48	362.51	2789	0	84
2020.09.22	363.39	369.55	362.84	367.43	2167	0	84
2020.09.23	367.86	372.83	366.03	367.78	2481	0	84
2020.09.24	368.21	372.15	364.94	370.77	2914	0	84
2020.09.25	371.65	373.06	369.77	372.96	1533	0	84
2020.09.28	373.16	375.45	362.32	364.06	2125	0	84
2020.09.29	365.09	372.44	359.49	368.83	2747	0	84
2020.09.30	367.33	373.11	365.64	371.82	2330	0	84
2020.10.01	370.91	376.08	369.44	371.73	2572	0	84
2020.10.02	369.53	373.42	366.02	370.05	2669	0	84
2020.10.05	371.20	374.69	369.12	369.83	2106	0	84
2020.10.06	369.87	376.35	368.58	375.70	2048	0	84
2020.10.07	375.37	383.05	374.63	381.11	2331	0	84
2020.10.08	381.80	384.30	380.45	382.32	2145	0	84
2020.10.09	382.40	384.17	379.93	382.53	2005	0	84
2020.10.12	383.23	393.44	377.79	381.02	3427	0	84
2020.10.13	383.79	387.89	381.50	383.97	2477	0	84
2020.10.14	385.45	385.60	379.94	384.77	2246	0	84
2020.10.15	386.06	392.24	383.53	386.63	3792	0	84
2020.10.16	386.12	394.25	386.12	394.25	2266	0	84
2020.10.19	394.62	401.62	392.58	401.22	2129	0	84
