<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	5.2377	5.2889	5.2328	5.2843	7268	0	12
2020.04.03	5.2822	5.3329	5.2818	5.3266	9573	0	12
2020.04.06	5.2990	5.3043	5.2348	5.2581	6797	0	20
2020.04.07	5.2075	5.2600	5.1982	5.2386	7717	0	12
2020.04.08	5.2279	5.2577	5.1688	5.1841	7824	0	12
2020.04.09	5.1488	5.1614	5.0580	5.0750	9151	0	12
2020.04.10	5.1108	5.1108	5.1108	5.1108	3	0	124
2020.04.13	5.1167	5.2170	5.1071	5.1990	7733	0	30
2020.04.14	5.1850	5.2196	5.1582	5.1999	7345	0	31
2020.04.15	5.1814	5.2765	5.1814	5.2466	8302	0	25
2020.04.16	5.2499	5.2727	5.2112	5.2680	8680	0	27
2020.04.17	5.2259	5.2849	5.2250	5.2624	7580	0	31
2020.04.20	5.2420	5.3123	5.2420	5.3057	7264	0	31
2020.04.21	5.3130	5.3130	5.3130	5.3130	7	0	33
2020.04.22	5.4023	5.4234	5.3975	5.4179	1898	0	33
2020.04.23	5.4615	5.4925	5.4107	5.4776	9432	0	33
2020.04.24	5.5575	5.7444	5.5575	5.7400	11728	0	33
2020.04.27	5.6540	5.7075	5.5657	5.6956	9681	0	41
2020.04.28	5.6720	5.6720	5.5445	5.5505	9245	0	33
2020.04.29	5.4841	5.5437	5.3938	5.4338	8344	0	39
2020.04.30	5.3658	5.4697	5.3658	5.4618	8000	0	37
2020.05.01	5.4513	5.4513	5.4513	5.4513	2	0	49
2020.05.04	5.5696	5.6141	5.5447	5.5822	7356	0	33
2020.05.05	5.5050	5.5904	5.4947	5.5893	8192	0	33
2020.05.06	5.6500	5.7088	5.6442	5.7014	7438	0	37
2020.05.07	5.7837	5.8874	5.7610	5.8438	9336	0	41
2020.05.08	5.8358	5.8370	5.7332	5.7555	9214	0	37
2020.05.11	5.7938	5.8292	5.7765	5.8018	7563	0	33
2020.05.12	5.7868	5.8061	5.7538	5.8036	7555	0	33
2020.05.13	5.8623	5.9539	5.8277	5.9363	8515	0	35
2020.05.14	5.9095	5.9826	5.8991	5.9131	9214	0	41
2020.05.15	5.8193	5.8802	5.7710	5.8298	9169	0	33
2020.05.18	5.7889	5.8139	5.7110	5.7270	9452	0	33
2020.05.19	5.7310	5.7726	5.6958	5.7257	9220	0	37
2020.05.20	5.7396	5.7612	5.6779	5.7236	8106	0	37
2020.05.21	5.6914	5.6971	5.5759	5.6073	6232	0	37
2020.05.22	5.5762	5.6332	5.5575	5.5745	9939	0	37
2020.05.25	5.5908	5.5908	5.4518	5.4799	6387	0	37
2020.05.26	5.3895	5.4084	5.3524	5.3763	8270	0	37
2020.05.27	5.3461	5.3495	5.2770	5.3063	8926	0	41
2020.05.28	5.3242	5.3681	5.3036	5.3263	9961	0	41
2020.05.29	5.3884	5.4682	5.3884	5.4224	10459	0	12
2020.06.01	5.3370	5.4040	5.3284	5.4016	7962	0	12
2020.06.02	5.3407	5.3432	5.2179	5.2286	11071	0	12
2020.06.03	5.1769	5.1875	5.0225	5.0756	9520	0	12
2020.06.04	5.0479	5.1474	5.0421	5.1106	10402	0	12
2020.06.05	5.0805	5.0807	4.9402	4.9723	8936	0	12
2020.06.08	4.9318	4.9810	4.8721	4.8743	9814	0	12
2020.06.09	4.8822	4.9412	4.8636	4.9021	10262	0	12
2020.06.10	4.8613	4.9190	4.8543	4.9091	9911	0	12
2020.06.11	4.9697	4.9697	4.9697	4.9697	4	0	173
2020.06.12	5.0947	5.0963	5.0068	5.0543	14724	0	13
2020.06.15	5.1451	5.2301	5.1401	5.1809	11577	0	41
2020.06.16	5.1159	5.2150	5.0538	5.1666	12285	0	12
2020.06.17	5.2045	5.2762	5.1875	5.2336	11920	0	35
2020.06.18	5.3227	5.3819	5.3078	5.3529	11698	0	13
2020.06.19	5.3509	5.3859	5.3158	5.3181	11093	0	20
2020.06.22	5.2783	5.2857	5.2041	5.2335	10151	0	49
2020.06.23	5.2141	5.2304	5.1504	5.1618	9251	0	43
2020.06.24	5.1801	5.3231	5.1685	5.3015	10934	0	22
2020.06.25	5.3613	5.3757	5.2707	5.3707	10970	0	40
2020.06.26	5.4003	5.4960	5.3971	5.4577	10919	0	40
2020.06.29	5.4358	5.4751	5.3985	5.4569	16009	0	22
2020.06.30	5.4587	5.5114	5.4343	5.4652	16840	0	22
2020.07.01	5.4510	5.4723	5.3237	5.3312	18249	0	22
2020.07.02	5.2906	5.3492	5.2721	5.3189	14540	0	22
2020.07.03	5.3701	5.3701	5.3210	5.3367	9007	0	22
2020.07.06	5.2770	5.3444	5.2746	5.3424	8767	0	22
2020.07.07	5.3861	5.3869	5.2950	5.3660	9876	0	22
2020.07.08	5.3631	5.3986	5.3241	5.3546	10230	0	22
2020.07.09	5.3311	5.3600	5.2516	5.3526	11136	0	22
2020.07.10	5.3865	5.3990	5.3291	5.3449	10654	0	22
2020.07.13	5.3384	5.3760	5.3365	5.3580	8977	0	41
2020.07.14	5.3679	5.4584	5.3529	5.3957	11127	0	22
2020.07.15	5.3092	5.3867	5.2970	5.3727	10710	0	28
2020.07.16	5.3750	5.3836	5.3216	5.3373	10739	0	32
2020.07.17	5.3315	5.3712	5.3204	5.3692	8340	0	22
2020.07.20	5.3656	5.3677	5.3382	5.3477	3660	0	28
2020.07.21	5.2945	5.2965	5.1843	5.1941	9471	0	22
2020.07.22	5.1808	5.1915	5.0871	5.0921	10310	0	28
2020.07.23	5.1484	5.2025	5.1356	5.1722	10441	0	22
2020.07.24	5.2216	5.2562	5.1870	5.2071	11948	0	22
2020.07.27	5.1971	5.2261	5.1564	5.1779	9946	0	22
2020.07.28	5.1619	5.2071	5.1616	5.1661	10031	0	22
2020.07.29	5.1314	5.1702	5.1188	5.1688	9476	0	22
2020.07.30	5.2072	5.2191	5.1577	5.1637	9255	0	22
2020.07.31	5.1536	5.2256	5.1536	5.2057	9888	0	23
2020.08.03	5.2322	5.3387	5.2321	5.3211	9280	0	38
2020.08.04	5.3372	5.3796	5.3063	5.3254	10243	0	31
2020.08.05	5.2538	5.3007	5.2358	5.2953	9232	0	38
2020.08.06	5.3598	5.3756	5.3266	5.3444	8378	0	35
2020.08.07	5.3583	5.4422	5.3518	5.4296	7396	0	26
2020.08.10	5.4192	5.4316	5.3561	5.4231	8226	0	22
2020.08.11	5.4479	5.4664	5.3964	5.4024	8977	0	22
2020.08.12	5.4376	5.4896	5.4101	5.4760	8147	0	22
2020.08.13	5.3853	5.4259	5.3624	5.3671	7761	0	22
2020.08.14	5.4096	5.4193	5.3625	5.4117	9519	0	22
2020.08.17	5.4332	5.4877	5.4154	5.4776	6242	0	37
2020.08.18	5.5110	5.5110	5.4228	5.5041	8272	0	22
2020.08.19	5.4693	5.5124	5.4373	5.5096	7864	0	22
2020.08.20	5.5572	5.6759	5.5572	5.5997	9187	0	22
