<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.16	1.31327	1.31382	1.30648	1.30731	49778	0	14
2020.11.17	1.30715	1.31159	1.30630	1.31034	48217	0	14
2020.11.18	1.30954	1.31171	1.30336	1.30859	45539	0	14
2020.11.19	1.30698	1.31229	1.30497	1.30720	52791	0	14
2020.11.20	1.30671	1.30965	1.30383	1.30912	49410	0	14
2020.11.23	1.30831	1.31119	1.30448	1.30853	48221	0	14
2020.11.24	1.30783	1.30902	1.29944	1.29969	55661	0	14
2020.11.25	1.29914	1.30285	1.29858	1.30057	53035	0	14
2020.11.26	1.30000	1.30221	1.29897	1.30142	41207	0	14
2020.11.27	1.30153	1.30244	1.29712	1.29838	43227	0	14
2020.11.30	1.29965	1.30094	1.29228	1.30083	55378	0	14
2020.12.01	1.30038	1.30071	1.29274	1.29329	55828	0	14
2020.12.02	1.29353	1.29580	1.29097	1.29182	52689	0	14
2020.12.03	1.29161	1.29406	1.28515	1.28614	48053	0	14
2020.12.04	1.28563	1.28733	1.27717	1.27836	49724	0	14
2020.12.07	1.27782	1.28322	1.27733	1.27990	51753	0	14
2020.12.08	1.27909	1.28250	1.27672	1.28186	47145	0	14
2020.12.09	1.28149	1.28328	1.27688	1.28178	48757	0	14
2020.12.10	1.28163	1.28285	1.27063	1.27377	54407	0	14
2020.12.11	1.27325	1.27919	1.27189	1.27620	51317	0	14
2020.12.14	1.27521	1.27890	1.27194	1.27651	47980	0	14
2020.12.15	1.27600	1.27708	1.26874	1.26977	47504	0	14
2020.12.16	1.26946	1.27889	1.26940	1.27379	46883	0	14
2020.12.17	1.27370	1.27499	1.26882	1.27207	40223	0	14
2020.12.18	1.27204	1.27980	1.27155	1.27817	44139	0	14
2020.12.21	1.27982	1.29558	1.27867	1.28577	70781	0	14
2020.12.22	1.28429	1.29329	1.28400	1.29080	53037	0	14
2020.12.23	1.29049	1.29145	1.28333	1.28430	47669	0	14
2020.12.24	1.28451	1.28533	1.28124	1.28456	35534	0	14
2020.12.28	1.28525	1.28617	1.28133	1.28295	28036	0	14
