<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	0.96491	0.97492	0.96404	0.97344	92025	0	24
2020.04.03	0.97203	0.97944	0.97163	0.97576	76158	0	24
2020.04.06	0.97583	0.97961	0.97536	0.97838	79155	0	24
2020.04.07	0.97752	0.97912	0.96843	0.96940	71690	0	24
2020.04.08	0.96910	0.97420	0.96863	0.97214	66590	0	24
2020.04.09	0.97091	0.97324	0.96470	0.96610	67479	0	24
2020.04.10	0.96587	0.96724	0.96387	0.96507	32136	0	24
2020.04.13	0.96490	0.96860	0.96287	0.96745	46319	0	24
2020.04.14	0.96633	0.96762	0.95949	0.96028	61472	0	24
2020.04.15	0.95993	0.96994	0.95915	0.96443	65248	0	24
2020.04.16	0.96446	0.97144	0.96349	0.97023	70566	0	24
2020.04.17	0.97000	0.97230	0.96549	0.96661	68790	0	24
2020.04.20	0.96765	0.96990	0.96542	0.96775	55800	0	24
2020.04.21	0.96736	0.97264	0.96682	0.96936	67812	0	24
2020.04.22	0.96934	0.97307	0.96674	0.97145	52141	0	24
2020.04.23	0.97065	0.97713	0.97042	0.97581	66982	0	24
2020.04.24	0.97503	0.98015	0.97234	0.97252	55982	0	24
2020.04.27	0.97220	0.97657	0.97110	0.97520	52165	0	24
2020.04.28	0.97463	0.97987	0.97193	0.97477	53676	0	24
2020.04.29	0.97339	0.97664	0.97112	0.97359	50849	0	24
2020.04.30	0.97322	0.97579	0.96374	0.96546	68802	0	24
2020.05.01	0.96497	0.96681	0.95875	0.96102	45643	0	24
2020.05.04	0.96164	0.96616	0.96134	0.96525	49372	0	24
2020.05.05	0.96473	0.97334	0.96446	0.97246	47113	0	24
2020.05.06	0.97149	0.97574	0.97149	0.97471	43132	0	24
2020.05.07	0.97507	0.97830	0.97276	0.97313	45603	0	24
2020.05.08	0.97279	0.97362	0.96798	0.97041	37260	0	24
2020.05.11	0.97149	0.97355	0.96990	0.97283	42546	0	24
2020.05.12	0.97274	0.97489	0.96635	0.96932	48426	0	24
2020.05.13	0.96838	0.97250	0.96642	0.97216	55517	0	24
2020.05.14	0.97189	0.97542	0.97122	0.97296	51445	0	24
2020.05.15	0.97289	0.97433	0.96969	0.97150	48314	0	24
2020.05.18	0.97207	0.97598	0.96755	0.97111	47232	0	24
2020.05.19	0.97098	0.97275	0.96973	0.97143	46439	0	24
2020.05.20	0.97075	0.97153	0.96370	0.96460	41673	0	24
2020.05.21	0.96455	0.97119	0.96420	0.97033	47605	0	24
2020.05.22	0.97033	0.97324	0.96959	0.97105	36595	0	24
2020.05.25	0.97122	0.97350	0.97032	0.97140	26565	0	24
2020.05.26	0.97153	0.97218	0.96454	0.96539	42593	0	24
2020.05.27	0.96532	0.97269	0.96503	0.96796	64504	0	24
2020.05.28	0.96785	0.97179	0.96293	0.96405	56025	0	24
2020.05.29	0.96309	0.96491	0.96004	0.96115	64749	0	24
2020.06.01	0.96100	0.96240	0.95776	0.96078	55727	0	24
2020.06.02	0.96076	0.96364	0.95723	0.96236	61058	0	24
2020.06.03	0.96201	0.96467	0.96056	0.96098	69129	0	24
2020.06.04	0.96022	0.96228	0.95425	0.95535	63587	0	24
2020.06.05	0.95528	0.96493	0.95408	0.96217	63939	0	24
2020.06.08	0.96092	0.96382	0.95542	0.95746	51721	0	24
2020.06.09	0.95747	0.95844	0.94811	0.95063	56066	0	24
2020.06.10	0.95052	0.95136	0.94238	0.94358	63397	0	24
2020.06.11	0.94383	0.94591	0.93750	0.94407	75717	0	24
2020.06.12	0.94400	0.95522	0.94081	0.95226	69112	0	24
2020.06.15	0.95273	0.95458	0.94789	0.94902	66681	0	24
2020.06.16	0.94892	0.95219	0.94623	0.95110	59781	0	24
2020.06.17	0.95052	0.95280	0.94800	0.94851	55123	0	24
2020.06.18	0.94826	0.95236	0.94811	0.95132	48706	0	24
2020.06.19	0.95075	0.95295	0.94864	0.95222	46689	0	24
2020.06.22	0.95115	0.95297	0.94639	0.94745	40216	0	24
2020.06.23	0.94657	0.94925	0.94190	0.94471	51436	0	24
2020.06.24	0.94352	0.94849	0.94320	0.94778	45111	0	24
2020.06.25	0.94749	0.95071	0.94695	0.94828	49831	0	24
2020.06.26	0.94833	0.94985	0.94665	0.94802	39934	0	24
2020.06.29	0.94749	0.95239	0.94405	0.95105	40564	0	24
2020.06.30	0.95120	0.95314	0.94603	0.94728	44312	0	24
2020.07.01	0.94622	0.94929	0.94438	0.94564	46289	0	24
2020.07.02	0.94576	0.94639	0.94254	0.94516	38627	0	23
2020.07.03	0.94484	0.94691	0.94327	0.94449	34652	0	24
2020.07.06	0.94513	0.94525	0.93833	0.94203	38016	0	24
2020.07.07	0.94156	0.94520	0.94073	0.94233	40934	0	24
2020.07.08	0.94224	0.94312	0.93687	0.93828	40537	0	24
2020.07.09	0.93808	0.94095	0.93613	0.93993	45241	0	24
2020.07.10	0.93989	0.94301	0.93837	0.94106	33798	0	24
2020.07.13	0.94035	0.94370	0.93911	0.94163	37873	0	10
2020.07.14	0.94155	0.94238	0.93793	0.93988	42958	0	12
2020.07.15	0.93912	0.94568	0.93695	0.94434	44219	0	12
2020.07.16	0.94425	0.94672	0.94288	0.94575	41755	0	12
