<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	862.04	865.95	857.58	858.22	986	0	35
2020.04.03	863.47	866.42	860.76	864.61	851	0	36
2020.04.06	857.11	857.59	849.96	851.93	697	0	35
2020.04.07	838.36	854.13	833.52	852.58	969	0	35
2020.04.08	854.48	856.01	844.37	846.12	1194	0	36
2020.04.09	839.66	844.19	835.13	840.75	1155	0	36
2020.04.13	834.67	851.48	833.54	850.47	967	0	36
2020.04.14	845.60	851.93	841.98	850.47	1060	0	35
2020.04.15	859.56	863.58	851.93	854.21	1111	0	41
2020.04.16	851.73	855.83	848.80	853.59	860	0	41
2020.04.17	846.18	854.52	843.34	852.37	1018	0	42
2020.04.20	857.43	858.34	852.89	855.35	863	0	41
2020.04.21	862.34	864.09	857.43	857.64	816	0	41
2020.04.22	853.49	858.47	853.09	858.05	865	0	41
2020.04.23	854.99	862.09	854.23	858.59	825	0	42
2020.04.24	862.02	862.43	856.88	858.52	739	0	42
2020.04.27	856.04	860.76	854.16	858.94	741	0	41
2020.04.28	853.16	853.43	844.57	846.49	858	0	42
2020.04.29	838.38	840.24	833.96	835.33	883	0	41
2020.04.30	837.44	839.95	834.35	834.47	719	0	42
2020.05.04	840.43	841.71	835.73	836.95	613	0	41
2020.05.05	831.97	835.05	830.19	834.59	726	0	41
2020.05.06	837.52	840.87	836.38	838.74	598	0	42
2020.05.07	837.19	839.35	832.94	834.82	545	0	42
2020.05.08	829.00	829.54	823.73	826.47	709	0	42
2020.05.11	828.68	829.37	821.95	823.53	615	0	42
2020.05.12	819.94	823.25	819.19	821.74	717	0	42
2020.05.13	819.19	822.81	816.09	816.59	733	0	41
2020.05.14	822.84	826.54	820.57	821.40	733	0	42
2020.05.15	822.62	827.23	819.94	826.03	748	0	42
2020.05.18	821.62	822.28	818.58	820.50	622	0	42
2020.05.19	818.54	820.80	816.84	817.19	645	0	42
2020.05.20	813.88	813.88	800.34	803.00	1091	0	42
2020.05.22	803.09	807.56	803.09	806.42	626	0	41
2020.05.25	803.73	805.92	801.38	804.86	678	0	41
2020.05.26	799.39	805.67	798.33	805.36	819	0	42
2020.05.27	811.58	821.74	810.54	819.19	770	0	42
2020.05.28	817.00	817.65	807.43	808.37	861	0	42
2020.05.29	807.26	813.69	802.93	806.93	740	0	41
2020.06.01	801.45	804.11	790.69	794.54	837	0	42
2020.06.02	788.18	790.56	777.93	780.36	953	0	40
2020.06.03	771.38	774.19	763.94	774.10	1067	0	42
2020.06.04	784.20	784.26	770.46	771.60	868	0	41
2020.06.05	765.46	769.26	758.44	767.64	1027	0	38
2020.06.08	767.04	772.06	765.83	768.48	773	0	42
2020.06.09	773.25	776.40	768.43	769.63	892	0	42
2020.06.10	765.37	772.49	762.44	770.49	788	0	42
2020.06.11	783.71	789.07	778.67	788.96	834	0	41
2020.06.12	784.59	795.48	783.44	792.06	843	0	42
2020.06.15	800.28	801.89	784.73	786.18	785	0	42
2020.06.16	772.55	786.26	771.05	783.99	747	0	42
2020.06.17	796.52	804.43	794.46	795.98	958	0	41
2020.06.18	808.19	817.71	806.46	815.84	935	0	36
2020.06.19	813.06	824.56	811.96	815.41	945	0	42
2020.06.22	810.39	821.75	808.79	817.74	940	0	42
2020.06.23	814.98	820.54	813.94	817.29	968	0	42
2020.06.24	820.34	823.09	817.58	819.73	999	0	42
2020.06.25	816.25	817.07	810.16	811.36	838	0	42
2020.06.26	810.94	821.50	810.43	817.24	839	0	42
2020.06.30	820.01	823.55	819.05	821.04	527	0	41
2020.07.01	818.94	820.39	812.14	813.58	724	0	42
2020.07.02	805.24	808.06	799.96	801.64	1543	0	41
2020.07.03	801.81	804.74	796.19	802.01	783	0	42
2020.07.06	795.25	800.82	794.83	799.48	824	0	42
2020.07.07	799.89	799.97	790.61	791.05	946	0	42
2020.07.08	785.17	789.14	782.87	785.71	914	0	42
2020.07.09	777.54	788.17	775.87	787.73	998	0	41
2020.07.10	788.68	796.84	785.74	794.51	1478	0	42
2020.07.13	793.76	795.35	784.35	787.56	817	0	42
2020.07.14	787.34	790.76	784.97	787.94	1084	0	42
2020.07.15	783.33	791.04	782.94	789.08	961	0	42
2020.07.16	789.08	789.08	789.08	789.08	1	0	53
2020.07.17	784.99	789.23	784.45	785.39	615	0	42
2020.07.20	785.37	788.43	782.19	787.03	801	0	41
2020.07.21	779.45	780.99	772.76	772.81	821	0	42
2020.07.22	768.49	772.27	765.67	770.14	1035	0	42
2020.07.23	767.72	768.97	765.10	767.34	894	0	42
2020.07.24	768.77	776.43	760.62	775.17	1050	0	42
2020.07.27	769.55	772.39	765.13	768.96	908	0	42
2020.07.28	770.06	772.31	764.87	766.59	743	0	42
2020.07.29	762.45	763.94	755.19	756.09	911	0	42
