<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	6.6940	6.7226	6.6877	6.7143	26095	0	8
2020.10.28	6.7118	6.7372	6.7057	6.7272	28132	0	8
2020.10.29	6.7248	6.7249	6.6998	6.7062	27942	0	8
2020.10.30	6.7018	6.7039	6.6761	6.6947	32272	0	8
2020.11.02	6.6875	6.7013	6.6834	6.6866	20495	0	8
2020.11.03	6.6861	6.6957	6.6708	6.6782	20147	0	8
2020.11.04	6.7312	6.7737	6.6179	6.6183	42915	0	8
2020.11.05	6.6541	6.6574	6.6008	6.6034	41902	0	8
2020.11.06	6.6254	6.6283	6.5851	6.5891	31883	0	8
2020.11.09	6.5818	6.6488	6.5468	6.6137	57549	0	8
2020.11.10	6.6016	6.6249	6.5854	6.5977	39422	0	8
2020.11.11	6.5932	6.6286	6.5816	6.6142	27463	0	8
2020.11.12	6.6143	6.6343	6.6010	6.6165	29280	0	8
2020.11.13	6.6232	6.6273	6.5927	6.5927	22313	0	8
2020.11.16	6.5790	6.5871	6.5655	6.5687	14790	0	8
2020.11.17	6.5626	6.5673	6.5451	6.5453	22540	0	8
2020.11.18	6.5559	6.5666	6.5313	6.5608	23303	0	8
2020.11.19	6.5627	6.5905	6.5553	6.5698	22671	0	8
2020.11.20	6.5770	6.5772	6.5493	6.5493	22107	0	8
2020.11.23	6.5506	6.5878	6.5482	6.5808	24684	0	8
2020.11.24	6.5766	6.5966	6.5680	6.5740	22313	0	8
2020.11.25	6.5755	6.5825	6.5606	6.5614	23124	0	8
2020.11.26	6.5609	6.5730	6.5550	6.5671	13774	0	8
2020.11.27	6.5771	6.5799	6.5665	6.5728	15685	0	8
2020.11.30	6.5753	6.5872	6.5660	6.5834	21779	0	8
2020.12.01	6.5774	6.5778	6.5471	6.5496	25179	0	8
2020.12.02	6.5481	6.5619	6.5393	6.5395	22883	0	8
2020.12.03	6.5503	6.5532	6.5249	6.5339	21528	0	8
2020.12.04	6.5376	6.5401	6.5065	6.5161	25933	0	8
2020.12.07	6.5224	6.5350	6.5116	6.5178	20610	0	8
2020.12.08	6.5254	6.5261	6.5068	6.5187	17676	0	8
2020.12.09	6.5160	6.5417	6.4966	6.5269	20691	0	8
2020.12.10	6.5269	6.5456	6.5246	6.5337	24011	0	8
2020.12.11	6.5239	6.5412	6.5218	6.5377	18225	0	8
2020.12.14	6.5252	6.5340	6.5162	6.5275	16575	0	8
2020.12.15	6.5399	6.5445	6.5148	6.5153	18956	0	8
2020.12.16	6.5254	6.5277	6.5044	6.5110	22900	0	8
2020.12.17	6.5113	6.5165	6.5034	6.5157	19511	0	8
2020.12.18	6.5204	6.5324	6.5133	6.5157	21497	0	8
2020.12.21	6.5372	6.5526	6.5286	6.5322	34444	0	8
2020.12.22	6.5339	6.5476	6.5295	6.5383	25092	0	8
2020.12.23	6.5441	6.5445	6.5189	6.5311	22682	0	8
2020.12.24	6.5237	6.5239	6.5144	6.5166	11993	0	8
2020.12.28	6.5159	6.5359	6.5140	6.5290	14661	0	8
