<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	23.1023	23.1793	23.0283	23.1643	18753	0	134
2020.10.28	23.1623	23.4438	23.1533	23.3343	29675	0	148
2020.10.29	23.3313	23.4855	23.3083	23.4243	26758	0	138
2020.10.30	23.4283	23.4733	23.2553	23.3683	25384	0	135
2020.11.02	23.3863	23.4459	23.2474	23.2659	25716	0	152
2020.11.03	23.2723	23.3453	22.8435	22.8803	20570	0	130
2020.11.04	22.9423	23.2415	22.7800	22.8933	35852	0	132
2020.11.05	22.8943	22.9093	22.4837	22.5103	33439	0	131
2020.11.06	22.5193	22.5762	22.3295	22.3613	31353	0	148
2020.11.09	22.3393	22.4509	22.1873	22.4183	35219	0	134
2020.11.10	22.4213	22.4829	22.3101	22.3513	32220	0	131
2020.11.11	22.3523	22.5165	22.2920	22.4233	19492	0	158
2020.11.12	22.4383	22.5154	22.3496	22.4583	25228	0	132
2020.11.13	22.4503	22.4870	22.3093	22.3143	18022	0	146
2020.11.16	22.3163	22.3366	22.1906	22.2723	23521	0	141
2020.11.17	22.2803	22.3656	22.2326	22.3113	15680	0	154
2020.11.18	22.3143	22.3407	22.1730	22.2163	18822	0	157
2020.11.19	22.2133	22.3216	22.1536	22.1683	18433	0	147
2020.11.20	22.1653	22.2365	22.0653	22.2193	28424	0	135
2020.11.23	22.2103	22.3160	22.0700	22.2083	38934	0	132
2020.11.24	22.2203	22.2293	21.9553	21.9593	32317	0	131
2020.11.25	21.9693	22.0779	21.9052	21.9243	36825	0	130
2020.11.26	21.9549	22.0033	21.8673	21.9343	24483	0	130
2020.11.27	21.9363	21.9882	21.8643	21.8902	19047	0	130
2020.11.30	21.8783	22.0096	21.7906	21.9943	44439	0	130
2020.12.01	21.9993	22.0152	21.7436	21.7513	39245	0	130
2020.12.02	21.7553	21.9136	21.7306	21.7693	37366	0	131
2020.12.03	21.7627	21.8447	21.6814	21.7323	29421	0	134
2020.12.04	21.7453	21.8468	21.7063	21.8213	23360	0	145
2020.12.07	21.8363	21.9605	21.7576	21.8643	22918	0	138
2020.12.08	21.8693	21.8896	21.7362	21.7513	20103	0	138
2020.12.09	21.7533	21.8071	21.5513	21.7583	20740	0	132
2020.12.10	21.7413	21.7776	21.6256	21.6763	32166	0	132
2020.12.11	21.6763	21.7756	21.6203	21.7543	24432	0	132
2020.12.14	21.6753	21.7190	21.5991	21.6783	20661	0	151
2020.12.15	21.6753	21.7346	21.5956	21.6293	20142	0	131
2020.12.16	21.6323	21.6633	21.3496	21.4579	29262	0	132
2020.12.17	21.4482	21.4676	21.2813	21.2853	28492	0	130
2020.12.18	21.2863	21.4053	21.2833	21.3232	21991	0	131
2020.12.21	21.3803	21.7124	21.3533	21.3783	39266	0	130
2020.12.22	21.3872	21.6569	21.3713	21.6353	29412	0	136
2020.12.23	21.6163	21.6690	21.4865	21.5633	37194	0	131
2020.12.24	21.5693	21.6063	21.4523	21.5312	12877	0	132
2020.12.28	21.5113	21.5909	21.3733	21.5523	17245	0	148
2020.12.29	21.5313	21.5533	21.3552	21.3612	26830	0	131
2020.12.30	21.3666	21.3735	21.2696	21.3209	33719	0	172
2020.12.31	21.3166	21.4780	21.2826	21.4580	24619	0	157
2021.01.04	21.4223	21.4327	21.2196	21.3537	37526	0	130
2021.01.05	21.3626	21.3948	21.2363	21.2633	33626	0	130
2021.01.06	21.2516	21.3238	21.1269	21.2081	48734	0	130
2021.01.07	21.2166	21.3869	21.1835	21.3469	38683	0	135
2021.01.08	21.3522	21.4512	21.2826	21.3828	35167	0	130
2021.01.11	21.3809	21.6426	21.3809	21.5795	31091	0	142
2021.01.12	21.5795	21.5991	21.4175	21.4196	27197	0	132
2021.01.13	21.4225	21.5316	21.3986	21.5014	20809	0	165
2021.01.14	21.4946	21.6136	21.4627	21.4876	22936	0	132
2021.01.15	21.4882	21.6749	21.4760	21.6527	28482	0	148
2021.01.18	21.6748	21.7216	21.6433	21.6433	19746	0	134
2021.01.19	21.6357	21.6456	21.5387	21.5426	21743	0	130
2021.01.20	21.5482	21.6096	21.4739	21.5348	25100	0	130
2021.01.21	21.5404	21.5535	21.4193	21.4225	27343	0	134
2021.01.22	21.4232	21.5047	21.3985	21.4322	19457	0	148
2021.01.25	21.4443	21.5474	21.3809	21.5152	24895	0	140
2021.01.26	21.5057	21.6356	21.3859	21.4055	29547	0	132
2021.01.27	21.4090	21.6036	21.3856	21.5088	37639	0	136
2021.01.28	21.5041	21.6052	21.4394	21.4776	35798	0	148
2021.01.29	21.4770	21.5636	21.3634	21.4259	37697	0	148
2021.02.01	21.4128	21.5196	21.4111	21.4935	27885	0	140
2021.02.02	21.4953	21.5576	21.3896	21.4733	25886	0	132
2021.02.03	21.5047	21.5966	21.4766	21.4872	24442	0	149
2021.02.04	21.5037	21.6489	21.4722	21.5842	26180	0	148
2021.02.05	21.5886	21.6095	21.3805	21.3853	26779	0	132
2021.02.08	21.3968	21.4436	21.2685	21.2970	19115	0	137
2021.02.09	21.3010	21.3154	21.2081	21.2130	25504	0	146
2021.02.10	21.2133	21.3426	21.1944	21.2412	26951	0	131
2021.02.11	21.2563	21.2886	21.2006	21.2138	17185	0	145
2021.02.12	21.2091	21.3076	21.1767	21.2086	19178	0	156
2021.02.15	21.2082	21.2343	21.1376	21.1483	16358	0	154
2021.02.16	21.1453	21.3206	21.1007	21.3062	21049	0	136
2021.02.17	21.2831	21.5026	21.2790	21.4316	24589	0	131
2021.02.18	21.4368	21.5066	21.3395	21.4093	20454	0	137
2021.02.19	21.4186	21.4315	21.2588	21.3368	23865	0	133
2021.02.22	21.3360	21.4586	21.2628	21.2888	24712	0	130
2021.02.23	21.2852	21.3496	21.2329	21.2642	20208	0	130
2021.02.24	21.2756	21.4796	21.2356	21.3668	29594	0	140
2021.02.25	21.3656	21.5708	21.2978	21.5329	41736	0	134
2021.02.26	21.4943	21.6846	21.4865	21.6548	67751	0	153
2021.03.01	21.6494	21.7383	21.4611	21.7010	45657	0	135
2021.03.02	21.6883	21.8496	21.6366	21.6380	34557	0	136
2021.03.03	21.6486	21.7226	21.5490	21.6587	31515	0	146
