<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.02	107.143	108.091	107.011	107.865	124837	0	9
2020.04.03	107.825	108.671	107.794	108.378	107339	0	9
2020.04.06	108.353	109.378	108.350	109.228	116748	0	9
2020.04.07	109.221	109.275	108.713	108.775	111221	0	9
2020.04.08	108.749	109.099	108.502	108.824	95801	0	9
2020.04.09	108.814	109.060	108.205	108.492	88468	0	9
2020.04.10	108.398	108.588	108.222	108.391	41908	0	9
2020.04.13	108.386	108.522	107.498	107.750	69820	0	9
2020.04.14	107.749	107.754	106.977	107.206	67459	0	9
2020.04.15	107.178	107.861	106.926	107.426	79399	0	9
2020.04.16	107.361	108.080	107.161	107.891	84807	0	9
2020.04.17	107.900	108.079	107.297	107.529	87054	0	9
2020.04.20	107.461	107.946	107.430	107.610	69611	0	9
2020.04.21	107.616	107.890	107.278	107.759	79644	0	9
2020.04.22	107.698	107.934	107.511	107.744	65657	0	9
2020.04.23	107.679	108.038	107.344	107.616	80400	0	9
2020.04.24	107.550	107.757	107.367	107.447	64554	0	9
2020.04.27	107.577	107.620	106.990	107.245	64903	0	9
2020.04.28	107.178	107.338	106.558	106.860	73098	0	9
2020.04.29	106.851	106.893	106.355	106.612	63876	0	9
2020.04.30	106.588	107.496	106.402	107.152	84907	0	8
2020.05.01	107.117	107.402	106.603	106.897	66953	0	9
2020.05.04	106.806	107.066	106.631	106.721	56445	0	9
2020.05.05	106.730	106.891	106.412	106.529	51613	0	9
2020.05.06	106.481	106.614	105.984	106.097	55863	0	9
2020.05.07	106.079	106.652	105.987	106.258	57132	0	9
2020.05.08	106.267	106.744	106.220	106.632	53585	0	9
2020.05.11	106.510	107.764	106.484	107.647	59864	0	9
2020.05.12	107.637	107.690	107.117	107.142	57906	0	9
2020.05.13	107.135	107.274	106.739	107.021	61538	0	9
2020.05.14	107.019	107.361	106.772	107.222	56799	0	9
2020.05.15	107.230	107.431	106.852	107.082	54501	0	9
2020.05.18	107.082	107.501	107.064	107.309	52278	0	9
2020.05.19	107.262	108.083	107.255	107.696	57930	0	9
2020.05.20	107.691	107.980	107.333	107.532	49788	0	9
2020.05.21	107.491	107.845	107.491	107.601	48330	0	9
2020.05.22	107.615	107.759	107.319	107.615	44421	0	9
2020.05.25	107.567	107.778	107.523	107.681	30217	0	9
2020.05.26	107.653	107.920	107.398	107.527	48386	0	9
2020.05.27	107.549	107.943	107.362	107.708	63900	0	9
2020.05.28	107.716	107.898	107.567	107.623	61309	0	9
2020.05.29	107.618	107.893	107.078	107.772	74723	0	9
2020.06.01	107.678	107.852	107.376	107.583	60842	0	9
2020.06.02	107.535	108.768	107.510	108.668	63715	0	9
2020.06.03	108.661	108.978	108.420	108.895	70455	0	9
2020.06.04	108.858	109.194	108.614	109.154	73865	0	9
2020.06.05	109.146	109.847	109.021	109.579	77521	0	9
2020.06.08	109.581	109.690	108.230	108.424	66082	0	9
2020.06.09	108.420	108.538	107.617	107.749	75928	0	9
2020.06.10	107.706	107.870	106.986	107.124	76254	0	9
2020.06.11	107.089	107.230	106.568	106.857	86945	0	9
2020.06.12	106.853	107.550	106.582	107.363	90721	0	9
2020.06.15	107.267	107.564	106.997	107.327	75892	0	9
2020.06.16	107.318	107.636	107.209	107.311	79660	0	9
2020.06.17	107.320	107.439	106.949	107.002	58090	0	9
2020.06.18	106.970	107.126	106.666	106.966	70191	0	9
2020.06.19	106.950	107.054	106.764	106.870	60354	0	9
2020.06.22	106.767	107.007	106.746	106.898	55468	0	9
2020.06.23	106.835	107.217	106.070	106.533	77080	0	9
2020.06.24	106.486	107.067	106.380	107.052	68984	0	9
2020.06.25	107.049	107.449	106.934	107.193	64849	0	9
2020.06.26	107.182	107.356	106.795	107.201	63414	0	9
2020.06.29	107.036	107.880	107.036	107.569	59415	0	9
2020.06.30	107.558	107.980	107.518	107.925	65895	0	9
2020.07.01	107.928	108.160	107.358	107.462	60889	0	9
2020.07.02	107.449	107.720	107.330	107.491	52988	0	9
2020.07.03	107.512	107.564	107.431	107.501	33109	0	9
2020.07.06	107.465	107.770	107.255	107.390	46830	0	9
2020.07.07	107.315	107.788	107.242	107.523	50427	0	9
2020.07.08	107.508	107.708	107.199	107.256	48560	0	9
2020.07.09	107.208	107.394	107.094	107.196	57610	0	9
2020.07.10	107.196	107.260	106.635	106.914	50155	0	9
2020.07.13	106.873	107.315	106.783	107.285	45331	0	9
2020.07.14	107.249	107.428	107.115	107.232	52344	0	9
2020.07.15	107.176	107.306	106.662	106.938	52245	0	9
2020.07.16	106.927	107.396	106.829	107.274	49341	0	9
2020.07.17	107.210	107.358	106.935	107.026	43231	0	9
2020.07.20	107.040	107.540	107.011	107.269	50972	0	9
2020.07.21	107.147	107.363	106.683	106.790	55314	0	9
2020.07.22	106.734	107.286	106.707	107.156	50406	0	9
2020.07.23	107.121	107.227	106.708	106.846	42865	0	9
2020.07.24	106.835	106.889	105.678	106.119	61788	0	9
2020.07.27	106.041	106.101	105.112	105.376	65573	0	9
2020.07.28	105.400	105.682	104.952	105.072	62843	0	9
2020.07.29	105.052	105.239	104.769	104.920	63871	0	9
2020.07.30	104.903	105.290	104.676	104.734	71168	0	9
2020.07.31	104.729	106.052	104.184	105.845	94407	0	9
2020.08.03	105.751	106.468	105.578	105.948	88410	0	9
2020.08.04	105.970	106.191	105.634	105.714	60977	0	8
2020.08.05	105.707	105.869	105.317	105.593	69433	0	8
2020.08.06	105.603	105.694	105.297	105.542	68376	0	8
2020.08.07	105.513	106.051	105.464	105.915	63803	0	8
2020.08.10	105.846	106.198	105.705	105.958	46250	0	8
2020.08.11	105.949	106.680	105.914	106.492	65857	0	8
2020.08.12	106.515	107.011	106.438	106.872	67253	0	8
2020.08.13	106.839	107.046	106.560	106.922	57188	0	8
2020.08.14	106.912	107.035	106.433	106.580	46767	0	8
2020.08.17	106.511	106.659	105.939	105.996	51218	0	8
2020.08.18	105.965	106.049	105.280	105.403	63965	0	8
2020.08.19	105.419	106.145	105.099	106.106	70531	0	8
2020.08.20	106.113	106.212	105.741	105.791	67276	0	8
2020.08.21	105.763	106.067	105.438	105.796	62007	0	8
2020.08.24	105.771	105.994	105.685	105.977	48998	0	8
2020.08.25	105.974	106.573	105.869	106.388	59332	0	8
2020.08.26	106.342	106.553	105.952	105.982	56832	0	8
2020.08.27	105.993	106.697	105.598	106.570	80732	0	8
2020.08.28	106.564	106.944	105.198	105.349	96120	0	8
2020.08.31	105.270	106.093	105.270	105.901	72210	0	8
2020.09.01	105.893	106.151	105.590	105.954	71403	0	8
2020.09.02	105.943	106.298	105.848	106.182	61806	0	8
2020.09.03	106.126	106.548	105.999	106.182	66943	0	8
2020.09.04	106.161	106.503	106.054	106.226	59643	0	8
2020.09.07	106.238	106.383	106.129	106.247	36208	0	8
2020.09.08	106.266	106.379	105.857	106.024	57679	0	8
2020.09.09	106.027	106.271	105.791	106.173	57674	0	8
2020.09.10	106.184	106.299	105.979	106.126	54734	0	8
2020.09.11	106.124	106.258	106.054	106.159	47587	0	8
2020.09.14	106.009	106.162	105.545	105.726	43152	0	8
2020.09.15	105.679	105.811	105.297	105.438	48777	0	8
2020.09.16	105.341	105.437	104.798	104.944	60864	0	8
2020.09.17	104.896	105.170	104.522	104.736	56758	0	8
2020.09.18	104.723	104.868	104.269	104.558	49591	0	8
2020.09.21	104.481	104.893	103.997	104.641	58025	0	8
2020.09.22	104.634	105.074	104.402	104.941	49410	0	8
2020.09.23	104.930	105.492	104.839	105.359	58216	0	8
2020.09.24	105.368	105.527	105.202	105.408	58848	0	8
2020.09.25	105.382	105.697	105.237	105.562	54483	0	8
2020.09.28	105.483	105.680	105.260	105.481	52635	0	8
2020.09.29	105.478	105.730	105.340	105.676	56466	0	8
2020.09.30	105.604	105.801	105.400	105.435	70135	0	8
2020.10.01	105.419	105.724	105.402	105.541	66994	0	8
2020.10.02	105.503	105.663	104.939	105.338	73953	0	8
2020.10.05	105.266	105.793	105.218	105.729	57121	0	8
2020.10.06	105.701	105.784	105.467	105.628	57426	0	8
2020.10.07	105.597	106.104	105.594	105.953	57577	0	8
