<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	20.91956	21.04466	20.82590	21.01929	36812	0	1000
2020.10.28	21.01055	21.35978	21.00387	21.27544	61102	0	1000
2020.10.29	21.27484	21.48060	21.12958	21.37528	70110	0	1000
2020.10.30	21.33884	21.49174	21.16729	21.17748	77602	0	1000
2020.11.02	21.22248	21.49258	21.21138	21.38194	72598	0	1000
2020.11.03	21.38194	21.38638	21.01368	21.10844	64326	0	1000
2020.11.04	21.11578	21.97532	20.88873	20.91596	111016	0	1000
2020.11.05	20.91596	21.03765	20.62537	20.65047	97198	0	1000
2020.11.06	20.66628	20.85676	20.51426	20.58390	144729	0	1000
2020.11.09	20.54307	20.55590	20.02559	20.33698	99584	0	1000
2020.11.10	20.33698	20.47804	20.26877	20.34058	96410	0	1000
2020.11.11	20.29658	20.61201	20.24077	20.45718	66906	0	1000
2020.11.12	20.45777	20.67437	20.42380	20.63877	73390	0	1000
2020.11.13	20.58628	20.68600	20.36428	20.39087	61741	0	1000
2020.11.16	20.38048	20.39283	20.14779	20.25478	64410	0	1000
2020.11.17	20.25778	20.42858	20.23358	20.26328	53964	0	1000
2020.11.18	20.27398	20.34388	20.16567	20.30547	58755	0	1000
2020.11.19	20.30537	20.42587	20.10529	20.18889	57806	0	1000
2020.11.20	20.18828	20.25148	20.04615	20.09129	56774	0	1000
2020.11.23	20.07728	20.17839	19.94213	20.15219	51877	0	1000
2020.11.24	20.14537	20.15809	19.98663	20.03289	54583	0	1000
2020.11.25	20.03289	20.09122	19.94673	19.96180	53378	0	1000
2020.11.26	19.95274	20.06066	19.93078	20.02969	24988	0	1001
2020.11.27	20.02969	20.09501	19.96279	20.01519	30420	0	1000
2020.11.30	20.03728	20.21148	20.01158	20.17959	59314	0	1000
2020.12.01	20.17436	20.17699	19.98174	20.02449	63281	0	1000
2020.12.02	20.01211	20.14021	19.95230	19.96140	42976	0	1000
2020.12.03	19.98460	20.02327	19.85544	19.88420	62713	0	1000
2020.12.04	19.89198	19.91388	19.73395	19.76960	58588	0	1000
2020.12.07	19.77189	19.97358	19.75898	19.89000	58232	0	1000
2020.12.08	19.88154	19.90661	19.69454	19.78040	62357	0	1000
2020.12.09	19.77375	19.99239	19.69392	19.86190	67735	0	1000
2020.12.10	19.86159	20.04218	19.81278	19.99140	69910	0	1000
2020.12.11	19.98438	20.18804	19.94588	20.12599	67823	0	1000
2020.12.14	20.10567	20.24488	19.98677	20.23929	64497	0	1000
2020.12.15	20.23229	20.25698	19.88748	19.91010	53926	0	1000
2020.12.16	19.89799	19.99299	19.81190	19.83310	59828	0	1000
2020.12.17	19.83330	19.88390	19.73095	19.80512	47849	0	1000
2020.12.18	19.78930	20.03348	19.78544	19.92990	42752	0	1000
2020.12.21	19.99209	20.65712	19.88492	19.97760	75912	0	1000
2020.12.22	19.95437	20.17920	19.94849	20.12449	53508	0	1000
2020.12.23	20.12509	20.20119	20.00497	20.05759	45884	0	1000
2020.12.24	20.05559	20.06648	19.82837	19.87582	21113	0	1000
2020.12.28	19.90760	20.11543	19.82949	20.01229	32735	0	1001
2020.12.29	20.00998	20.06277	19.86017	19.89949	33718	0	1002
2020.12.30	19.90778	20.03744	19.80340	19.87130	33688	0	1000
2020.12.31	19.88197	19.95160	19.83447	19.88935	36253	0	1000
2021.01.04	19.88477	19.98690	19.70841	19.96819	56775	0	1000
2021.01.05	19.94218	20.09961	19.80748	19.86681	64442	0	1000
2021.01.06	19.87898	19.98520	19.59467	19.66480	74976	0	1000
2021.01.07	19.66571	20.08188	19.61462	20.00919	56729	0	1000
2021.01.08	19.99398	20.14420	19.86430	19.97589	73025	0	1000
2021.01.11	20.00024	20.25760	19.98377	20.05399	60756	0	1000
2021.01.12	20.05649	20.10717	19.77340	19.79180	51766	0	1000
2021.01.13	19.79016	19.88688	19.73408	19.84309	55316	0	1000
2021.01.14	19.84260	19.88300	19.63288	19.70261	55472	0	1000
2021.01.15	19.70161	19.89421	19.68047	19.79200	67337	0	1000
2021.01.18	19.79558	19.96268	19.64761	19.67461	41849	0	1001
2021.01.19	19.66888	19.72767	19.59178	19.65781	47642	0	1000
2021.01.20	19.63886	19.66891	19.54668	19.59081	48420	0	1000
2021.01.21	19.59233	19.80233	19.54354	19.72203	50651	0	1000
2021.01.22	19.71488	19.99979	19.70708	19.93840	52358	0	1000
2021.01.25	19.98390	20.23379	19.84720	20.10022	61946	0	1000
2021.01.26	20.10649	20.28418	19.92859	19.98380	47746	0	1160
2021.01.27	19.98250	20.32568	19.98000	20.26388	71764	0	1064
2021.01.28	20.26338	20.45238	20.12228	20.25008	75339	0	1162
2021.01.29	20.22199	20.59347	20.07798	20.58446	84525	0	1006
2021.02.01	20.48308	20.50707	20.25929	20.38658	63620	0	1164
2021.02.02	20.38718	20.38718	20.10842	20.11018	57300	0	1162
2021.02.03	20.12809	20.23689	20.06699	20.18227	60119	0	1001
2021.02.04	20.18087	20.48818	20.17219	20.38188	63676	0	1005
2021.02.05	20.38328	20.41578	20.07579	20.08679	54744	0	1004
2021.02.08	20.09979	20.23839	20.06858	20.10029	41290	0	1162
2021.02.09	20.10149	20.14229	20.00638	20.08759	47518	0	1162
2021.02.10	20.08309	20.14068	19.99728	20.01929	49434	0	1162
2021.02.11	20.01929	20.05058	19.89900	19.95439	46025	0	1160
2021.02.12	19.95370	20.08108	19.90020	19.92470	33629	0	1160
2021.02.15	19.93180	19.97150	19.88450	19.95870	21072	0	1160
2021.02.16	19.95660	20.24149	19.91430	20.15549	38490	0	1162
2021.02.17	20.16498	20.37738	20.13969	20.20989	43302	0	1162
2021.02.18	20.21199	20.46718	20.13789	20.28918	43343	0	1162
2021.02.19	20.28798	20.51977	20.24548	20.42458	47576	0	1164
2021.02.22	20.46618	20.82646	20.44368	20.73957	51762	0	1166
2021.02.23	20.71917	20.75946	20.49547	20.49577	55289	0	1166
2021.02.24	20.49766	20.54897	20.34388	20.37818	63382	0	1164
2021.02.25	20.36558	21.02932	20.36068	20.85745	73774	0	1164
2021.02.26	20.85755	21.04165	20.77319	20.85676	103656	0	1000
2021.03.01	20.84065	20.86698	20.57004	20.64024	96814	0	1000
2021.03.02	20.64047	20.78390	20.54827	20.59565	100197	0	1001
2021.03.03	20.59577	20.97872	20.54416	20.93369	84072	0	1001
