<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	3.87286	3.88925	3.86510	3.88771	42859	0	100
2020.10.28	3.88770	3.95445	3.88665	3.94078	59869	0	100
2020.10.29	3.93931	3.97087	3.92763	3.95723	56199	0	100
2020.10.30	3.95713	3.96865	3.94358	3.95300	57389	0	100
2020.11.02	3.95269	3.97045	3.94396	3.95093	61204	0	100
2020.11.03	3.94935	3.95372	3.86818	3.87400	54203	0	100
2020.11.04	3.86830	3.95489	3.85384	3.87225	91078	0	100
2020.11.05	3.86649	3.87693	3.80276	3.82761	71169	0	100
2020.11.06	3.82431	3.83881	3.78524	3.78958	64521	0	100
2020.11.09	3.78583	3.80171	3.74636	3.79462	80174	0	100
2020.11.10	3.79514	3.82355	3.78055	3.80414	67361	0	100
2020.11.11	3.79767	3.81955	3.79532	3.80427	47528	0	100
2020.11.12	3.80529	3.81815	3.79068	3.80218	56012	0	100
2020.11.13	3.79906	3.80997	3.78238	3.78580	55910	0	100
2020.11.16	3.78170	3.79350	3.76240	3.77065	54963	0	100
2020.11.17	3.77018	3.79335	3.76506	3.78215	47225	0	100
2020.11.18	3.78075	3.78760	3.75615	3.76510	50335	0	100
2020.11.19	3.76500	3.79050	3.75714	3.75833	53444	0	100
2020.11.20	3.75860	3.77035	3.75402	3.76970	50374	0	100
2020.11.23	3.76283	3.79246	3.75148	3.77503	53208	0	100
2020.11.24	3.77275	3.77486	3.74910	3.75012	42818	0	100
2020.11.25	3.74961	3.76395	3.74175	3.74547	58404	0	100
2020.11.26	3.74479	3.76405	3.73830	3.75416	38444	0	100
2020.11.27	3.75613	3.76895	3.74180	3.74247	40612	0	100
2020.11.30	3.74384	3.75505	3.72550	3.75250	54324	0	100
2020.12.01	3.75155	3.75282	3.67975	3.68107	56499	0	100
2020.12.02	3.68150	3.72020	3.67891	3.69136	54775	0	100
2020.12.03	3.68856	3.70555	3.67130	3.67765	55581	0	100
2020.12.04	3.67800	3.69136	3.66991	3.68655	61973	0	100
2020.12.07	3.67910	3.70964	3.67345	3.69110	60659	0	100
2020.12.08	3.68905	3.70940	3.67078	3.67180	57017	0	100
2020.12.09	3.67400	3.67782	3.64184	3.66826	55851	0	100
2020.12.10	3.66890	3.66941	3.64085	3.64396	63871	0	100
2020.12.11	3.64535	3.67515	3.63747	3.67000	58327	0	100
2020.12.14	3.65390	3.68266	3.63959	3.65220	50311	0	100
2020.12.15	3.64865	3.66618	3.64426	3.65330	62721	0	100
2020.12.16	3.64800	3.66229	3.62565	3.63370	68192	0	100
2020.12.17	3.63410	3.63960	3.61600	3.61680	50366	0	100
2020.12.18	3.61820	3.68869	3.61385	3.64693	56047	0	100
2020.12.21	3.65950	3.72905	3.65650	3.66905	91545	0	100
2020.12.22	3.66865	3.70939	3.66525	3.70135	79091	0	100
2020.12.23	3.69915	3.70655	3.68211	3.69320	74053	0	100
2020.12.24	3.68800	3.70005	3.68244	3.69335	46521	0	100
2020.12.28	3.68603	3.70725	3.66095	3.68014	53202	0	100
2020.12.29	3.67499	3.72585	3.65551	3.70135	47558	0	100
2020.12.30	3.70065	3.74445	3.67345	3.71965	45444	0	100
2020.12.31	3.71905	3.75967	3.69755	3.73314	32145	0	100
2021.01.04	3.72073	3.72465	3.68795	3.71475	54428	0	100
2021.01.05	3.71455	3.72039	3.67989	3.68145	57341	0	100
2021.01.06	3.67965	3.69105	3.65041	3.66685	78905	0	100
2021.01.07	3.66186	3.69309	3.65905	3.68245	63943	0	100
2021.01.08	3.67885	3.70061	3.67096	3.68655	57726	0	100
2021.01.11	3.68648	3.73255	3.68287	3.72505	59401	0	100
2021.01.12	3.71700	3.72875	3.69994	3.70155	52116	0	100
2021.01.13	3.69797	3.73725	3.69791	3.73305	49314	0	100
2021.01.14	3.73035	3.75485	3.72579	3.73290	53740	0	100
2021.01.15	3.72835	3.76075	3.72785	3.75415	59918	0	100
2021.01.18	3.74835	3.77135	3.74835	3.75135	52407	0	105
2021.01.19	3.75105	3.75325	3.73195	3.73745	48215	0	100
2021.01.20	3.73725	3.75145	3.72408	3.74415	49220	0	100
2021.01.21	3.74315	3.74315	3.72022	3.72275	48451	0	100
2021.01.22	3.72185	3.73515	3.71875	3.72815	44511	0	101
