<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	4.12359	4.13342	4.11115	4.13323	39184	0	369
2020.10.28	4.13279	4.15939	4.13269	4.14860	55549	0	370
2020.10.29	4.14855	4.17952	4.14356	4.17163	53337	0	370
2020.10.30	4.17164	4.17904	4.16094	4.17138	55045	0	370
2020.11.02	4.16685	4.18419	4.16664	4.17965	44248	0	371
2020.11.03	4.17800	4.17850	4.13624	4.14668	35577	0	370
2020.11.04	4.14829	4.18993	4.13288	4.14614	82108	0	371
2020.11.05	4.14772	4.15272	4.10007	4.11760	62238	0	376
2020.11.06	4.11044	4.12229	4.09032	4.09123	63403	0	371
2020.11.09	4.09050	4.12119	4.07765	4.11531	75924	0	370
2020.11.10	4.11258	4.12950	4.10482	4.11733	60853	0	371
2020.11.11	4.11535	4.14160	4.11061	4.13308	43617	0	371
2020.11.12	4.12967	4.13640	4.11118	4.11741	43451	0	371
2020.11.13	4.12086	4.12308	4.11317	4.11443	34676	0	371
2020.11.16	4.10841	4.12270	4.09951	4.11028	47419	0	369
2020.11.17	4.10670	4.11217	4.09180	4.10384	34583	0	368
2020.11.18	4.10400	4.10976	4.08892	4.10289	36296	0	368
2020.11.19	4.10550	4.12274	4.10550	4.11200	40399	0	369
2020.11.20	4.10022	4.11016	4.09380	4.10715	35488	0	368
2020.11.23	4.10384	4.12792	4.09085	4.11726	39076	0	368
2020.11.24	4.11329	4.11448	4.08706	4.09991	37982	0	368
2020.11.25	4.09318	4.09953	4.08070	4.08797	47351	0	368
2020.11.26	4.08358	4.09877	4.07817	4.08855	24783	0	367
2020.11.27	4.08802	4.09013	4.07214	4.07340	31119	0	367
2020.11.30	4.07197	4.08347	4.05344	4.08347	42287	0	337
2020.12.01	4.07981	4.08187	4.03018	4.03202	23001	0	276
2020.12.02	4.03132	4.04469	4.02165	4.02249	39041	0	366
2020.12.03	4.01616	4.02541	3.99655	4.00662	44186	0	365
2020.12.04	4.00999	4.01425	3.99929	4.00837	46785	0	352
2020.12.07	4.00964	4.03275	4.00349	4.01201	46107	0	341
2020.12.08	4.02186	4.02784	4.00666	4.02135	42619	0	365
2020.12.09	4.02144	4.03078	4.00342	4.02779	37698	0	337
2020.12.10	4.02336	4.02855	4.00295	4.00769	48964	0	365
2020.12.11	4.00788	4.02094	3.99941	4.01762	40370	0	365
2020.12.14	4.01060	4.01738	3.99147	4.00357	37752	0	338
2020.12.15	4.00288	4.01468	3.99208	4.00300	35054	0	360
2020.12.16	4.00119	4.01389	3.97966	3.98634	39096	0	364
2020.12.17	3.98760	3.98959	3.96046	3.96046	35314	0	364
2020.12.18	3.96612	3.97969	3.96183	3.96885	40168	0	364
