<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.30	73.08200	73.77550	73.05250	73.26999	32661	0	1250
2020.07.31	73.44450	74.49800	73.26850	74.20050	29249	0	1150
2020.08.03	74.33950	74.58549	73.16800	73.17550	30744	0	1500
2020.08.04	72.88100	74.02150	72.88100	73.54550	30373	0	1500
2020.08.05	73.21700	73.46550	72.62050	72.82000	31594	0	1251
2020.08.06	72.86849	73.60400	72.65550	73.37050	30790	0	1100
2020.08.07	73.55299	73.91299	73.30550	73.65550	31645	0	1300
2020.08.10	73.85649	73.99300	73.33549	73.46800	26220	0	1352
2020.08.11	73.48550	73.52850	72.67799	73.11050	34943	0	1101
2020.08.12	73.14850	73.82300	72.99049	73.62550	33374	0	1400
2020.08.13	73.40800	73.77200	72.89350	73.06550	31874	0	1451
2020.08.14	72.90050	73.46900	72.78550	72.85800	28652	0	1200
2020.08.17	72.87450	73.79200	72.75350	73.65800	30044	0	1200
2020.08.18	73.48500	73.70300	72.92799	73.15300	32196	0	1250
2020.08.19	73.01750	73.55599	73.01750	73.28050	28163	0	1450
2020.08.20	73.37149	74.18300	73.36249	73.74300	30606	0	1352
2020.08.21	73.72950	75.00100	73.63599	74.72050	33606	0	1700
2020.08.24	74.46750	74.63750	74.14700	74.60550	29719	0	1500
2020.08.25	74.51900	75.70800	74.31100	75.30800	31308	0	1250
2020.08.26	75.41299	75.98800	75.33549	75.50300	33772	0	1501
2020.08.27	75.41100	75.48600	74.70300	74.92300	37367	0	1400
2020.08.28	74.50750	74.77750	73.98850	74.03300	34462	0	1201
2020.08.31	74.09149	74.52050	73.58650	74.03300	31345	0	1251
2020.09.01	73.59050	73.74800	73.34950	73.71300	31981	0	1500
2020.09.02	73.75850	75.70800	73.61300	75.26300	36890	0	1300
2020.09.03	75.49850	75.83800	74.85649	75.21800	45705	0	1450
2020.09.04	75.18500	75.66350	74.92100	75.31300	42378	0	1450
2020.09.07	75.51200	76.24649	75.43250	75.51699	30458	0	1500
2020.09.08	75.90800	76.57300	75.69900	76.27550	42917	0	1150
2020.09.09	76.34550	76.45300	75.25799	75.33549	39584	0	1350
2020.09.10	75.23500	75.66899	74.65250	75.27550	40583	0	1352
2020.09.11	75.01600	75.12050	74.72500	75.04800	36220	0	1101
2020.09.14	74.80500	75.51550	74.55750	75.20550	30754	0	1250
2020.09.15	74.85100	75.36300	74.84300	74.96550	27900	0	1150
2020.09.16	74.90650	75.09250	74.64250	75.06100	35299	0	1450
2020.09.17	75.19050	75.44050	74.91100	75.15550	32437	0	1600
2020.09.18	74.94100	75.71450	74.92050	75.71450	30069	0	1100
2020.09.21	75.60500	76.54550	75.54150	76.28300	41486	0	1100
2020.09.22	76.31700	76.46049	75.70300	76.02899	40621	0	1450
