<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	33.15	34.37	33.14	33.63	13502	0	2
2020.10.28	33.68	33.71	32.11	32.43	18918	0	2
2020.10.29	32.49	32.84	30.48	31.50	25344	0	2
2020.10.30	31.57	32.05	30.95	31.43	23628	0	2
2020.11.02	30.82	33.28	29.98	33.20	28004	0	2
2020.11.03	33.21	34.48	32.86	34.35	23152	0	2
2020.11.04	34.42	35.58	33.68	35.47	34812	0	2
2020.11.05	35.54	35.86	34.78	35.10	21903	0	2
2020.11.06	35.22	35.26	34.00	34.38	23123	0	2
2020.11.09	34.84	38.57	34.56	37.23	28393	0	2
2020.11.10	37.34	39.34	36.90	39.31	26791	0	2
2020.11.11	39.34	40.65	39.04	39.20	26730	0	2
2020.11.12	39.29	40.13	38.92	38.95	23357	0	2
2020.11.13	39.01	39.07	38.31	38.44	19018	0	2
2020.11.16	39.06	41.00	38.97	40.43	20613	0	2
2020.11.17	40.46	40.90	39.77	40.61	22166	0	2
2020.11.18	40.60	41.85	40.38	41.10	17949	0	2
2020.11.19	41.15	41.47	40.60	41.19	14533	0	2
2020.11.20	41.20	41.87	40.96	41.75	13452	0	2
2020.11.23	41.83	42.73	41.69	42.22	16197	0	2
2020.11.24	42.26	44.57	42.23	44.19	18777	0	2
2020.11.25	44.23	45.63	44.14	45.26	22235	0	2
2020.11.26	45.31	45.49	44.16	44.41	11908	0	2
2020.11.27	44.34	45.14	44.00	44.97	13476	0	2
2020.11.30	44.71	45.29	43.94	44.52	22367	0	2
2020.12.01	44.62	45.22	43.67	43.83	18749	0	2
2020.12.02	43.93	45.46	43.48	44.47	19534	0	2
2020.12.03	44.55	45.40	44.24	45.16	19906	0	2
2020.12.04	45.24	46.26	45.20	45.65	18660	0	2
2020.12.07	45.86	46.19	45.01	45.28	15470	0	2
2020.12.08	45.32	45.60	44.83	45.23	14900	0	2
2020.12.09	45.31	45.93	44.66	45.36	17516	0	2
2020.12.10	45.42	47.44	45.25	46.62	18253	0	2
2020.12.11	46.71	47.03	46.11	46.27	18129	0	2
2020.12.14	46.48	47.24	45.51	46.80	17869	0	2
2020.12.15	46.83	47.56	46.37	47.41	16140	0	2
2020.12.16	47.45	47.79	47.03	47.71	16468	0	2
2020.12.17	47.74	48.46	47.68	48.25	14883	0	2
2020.12.18	48.31	49.18	47.99	48.93	13608	0	2
2020.12.21	48.99	49.04	46.01	47.57	28299	0	2
2020.12.22	47.67	47.72	46.37	46.51	18339	0	2
2020.12.23	46.57	48.26	45.92	47.81	17046	0	2
2020.12.24	47.84	48.38	47.34	48.08	12268	0	2
2020.12.28	48.02	48.76	47.31	47.48	15423	0	2
2020.12.29	47.54	48.16	47.50	47.87	13557	0	2
2020.12.30	47.95	48.48	47.44	48.11	13216	0	2
2020.12.31	48.17	48.40	47.60	48.25	9594	0	2
2021.01.04	48.05	49.68	47.05	47.17	30989	0	2
2021.01.05	47.24	50.06	47.12	49.68	26963	0	2
2021.01.06	49.69	50.80	49.35	50.35	30984	0	2
2021.01.07	50.39	51.15	50.27	50.77	20724	0	2
2021.01.08	50.82	52.59	50.70	52.56	20931	0	2
2021.01.11	52.58	52.58	51.41	52.05	21109	0	2
2021.01.12	52.09	53.33	51.99	53.17	18792	0	2
2021.01.13	53.23	53.84	52.51	52.77	18743	0	2
2021.01.14	52.76	53.65	52.18	53.61	17248	0	2
2021.01.15	53.71	53.76	51.78	51.97	19984	0	2
2021.01.18	52.02	52.51	51.73	52.04	11474	0	2
2021.01.19	52.09	53.09	52.09	52.89	15215	0	2
2021.01.20	52.98	53.73	52.72	52.84	15559	0	2
2021.01.21	52.85	53.32	52.66	52.90	13898	0	2
2021.01.22	53.02	53.07	51.35	51.88	19216	0	2
2021.01.25	52.06	52.83	51.74	52.79	18741	0	2
2021.01.26	52.84	53.17	52.23	52.64	14132	0	2
2021.01.27	52.71	53.22	51.79	52.55	18134	0	2
2021.01.28	52.59	53.49	51.95	52.00	19295	0	2
2021.01.29	52.09	53.18	51.87	52.06	23045	0	2
2021.02.01	51.97	53.67	51.59	53.47	19552	0	2
2021.02.02	53.41	55.19	53.40	54.98	19460	0	2
2021.02.03	55.03	56.27	54.75	55.84	15760	0	2
2021.02.04	55.91	56.53	55.25	56.39	14955	0	2
2021.02.05	56.42	57.23	56.42	57.00	13695	0	2
2021.02.08	57.02	58.10	56.97	58.02	12267	0	2
2021.02.09	58.04	58.57	57.22	58.40	14134	0	2
2021.02.10	58.40	58.86	58.04	58.26	13944	0	2
2021.02.11	58.35	58.66	57.78	57.83	11193	0	2
2021.02.12	57.89	59.78	57.36	59.64	14397	0	2
2021.02.15	60.38	60.91	59.93	60.10	12433	0	2
2021.02.16	60.18	60.29	59.31	60.09	17075	0	2
2021.02.17	60.22	61.67	59.41	61.61	22142	0	2
2021.02.18	61.64	62.23	59.77	60.23	25793	0	2
2021.02.19	60.16	60.27	58.57	58.98	26730	0	2
2021.02.22	58.86	62.13	58.86	62.09	25345	0	2
2021.02.23	62.10	62.93	60.62	61.12	31596	0	2
2021.02.24	61.23	63.42	60.92	63.37	26783	0	2
2021.02.25	63.34	63.75	62.59	63.38	28572	0	2
2021.02.26	63.40	63.51	61.29	61.52	35413	0	2
2021.03.01	62.01	62.86	59.93	60.11	23809	0	2
2021.03.02	60.19	61.16	59.31	59.37	30937	0	2
2021.03.03	59.51	61.95	59.20	61.68	23725	0	2
