<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.24	11:00:00	110.01	110.01	108.61	108.61	226	0	36
2020.04.24	12:00:00	108.65	109.02	108.63	108.75	106	0	36
2020.04.24	13:00:00	108.75	108.85	108.66	108.75	101	0	36
2020.04.24	14:00:00	108.75	109.07	108.66	108.78	140	0	36
2020.04.24	15:00:00	108.76	108.76	107.82	107.87	340	0	36
2020.04.24	16:00:00	107.85	107.87	104.95	105.42	674	0	36
2020.04.24	17:00:00	105.39	105.39	104.09	104.78	719	0	36
2020.04.24	18:00:00	104.85	105.88	104.38	105.52	441	0	36
2020.04.24	19:00:00	105.49	105.59	104.41	105.37	484	0	36
2020.04.24	20:00:00	105.32	105.47	104.93	105.22	192	0	36
2020.04.27	11:00:00	105.59	105.91	105.08	105.40	227	0	36
2020.04.27	12:00:00	105.37	105.62	105.10	105.37	121	0	36
2020.04.27	13:00:00	105.35	106.14	105.35	106.04	111	0	36
2020.04.27	14:00:00	105.99	106.41	105.50	106.24	129	0	36
2020.04.27	15:00:00	106.21	107.07	105.65	106.48	516	0	36
2020.04.27	16:00:00	106.48	106.63	104.98	105.40	482	0	36
2020.04.27	17:00:00	105.38	105.82	104.22	104.30	452	0	36
2020.04.27	18:00:00	104.25	104.81	104.00	104.25	382	0	36
2020.04.27	19:00:00	104.32	104.45	104.05	104.32	337	0	36
2020.04.27	20:00:00	104.32	104.45	104.15	104.35	123	0	36
2020.04.28	11:00:00	105.00	105.00	104.04	104.44	169	0	36
2020.04.28	12:00:00	104.39	105.37	104.39	105.30	143	0	36
2020.04.28	13:00:00	105.27	105.47	104.98	105.30	124	0	36
2020.04.28	14:00:00	105.22	106.23	105.22	105.99	159	0	36
2020.04.28	15:00:00	106.01	106.36	105.25	105.77	498	0	36
2020.04.28	16:00:00	105.79	106.38	105.40	106.21	443	0	36
2020.04.28	17:00:00	106.19	106.97	105.15	105.15	478	0	36
2020.04.28	18:00:00	105.23	106.24	105.06	105.60	352	0	36
2020.04.28	19:00:00	105.55	105.99	105.25	105.40	329	0	36
2020.04.28	20:00:00	105.45	105.72	105.40	105.62	85	0	36
2020.04.29	11:00:00	106.42	106.64	106.05	106.42	181	0	36
2020.04.29	12:00:00	106.50	106.55	106.01	106.15	118	0	36
2020.04.29	13:00:00	106.15	106.50	106.06	106.18	102	0	36
2020.04.29	14:00:00	106.15	106.23	105.32	105.44	156	0	36
2020.04.29	15:00:00	105.42	106.01	104.93	105.15	410	0	36
2020.04.29	16:00:00	105.12	105.12	103.20	103.55	546	0	36
2020.04.29	17:00:00	103.52	103.70	103.25	103.50	281	0	36
2020.04.29	18:00:00	103.48	103.65	103.21	103.53	211	0	36
2020.04.29	19:00:00	103.55	103.60	103.21	103.26	203	0	36
2020.04.29	20:00:00	103.31	103.43	103.21	103.36	129	0	36
2020.04.30	11:00:00	103.98	104.13	103.56	103.86	196	0	36
2020.04.30	12:00:00	103.89	104.03	103.47	103.76	127	0	36
2020.04.30	13:00:00	103.74	103.91	103.59	103.91	116	0	36
2020.04.30	14:00:00	103.84	104.33	103.67	104.11	131	0	36
2020.04.30	15:00:00	104.04	104.26	102.83	103.03	415	0	36
2020.04.30	16:00:00	103.00	103.37	102.39	102.49	395	0	36
2020.04.30	17:00:00	102.49	103.23	102.02	103.08	403	0	36
2020.04.30	18:00:00	103.18	105.54	102.88	104.58	704	0	36
2020.04.30	19:00:00	104.58	105.17	103.97	103.99	426	0	36
2020.04.30	20:00:00	104.01	104.41	103.92	104.41	188	0	36
2020.05.01	11:00:00	104.00	104.00	103.31	103.73	153	0	36
2020.05.01	12:00:00	103.71	103.71	103.41	103.51	68	0	36
2020.05.01	13:00:00	103.49	104.03	103.44	103.93	64	0	36
2020.05.01	14:00:00	103.96	104.87	103.73	104.20	248	0	36
2020.05.01	15:00:00	104.01	104.72	103.61	103.83	359	0	36
2020.05.01	16:00:00	103.91	103.91	102.70	103.07	340	0	36
2020.05.01	17:00:00	103.07	104.06	102.95	103.71	303	0	36
2020.05.01	18:00:00	103.76	105.36	103.47	104.70	522	0	36
2020.05.01	19:00:00	104.72	105.36	104.03	104.65	416	0	36
2020.05.01	20:00:00	104.70	104.80	104.23	104.63	150	0	36
2020.05.04	11:00:00	103.64	104.14	103.40	103.67	171	0	36
2020.05.04	12:00:00	103.57	104.09	103.52	103.67	110	0	36
2020.05.04	13:00:00	103.67	104.29	103.25	104.19	117	0	36
2020.05.04	14:00:00	104.14	104.58	103.60	104.39	151	0	36
2020.05.04	15:00:00	104.36	104.44	103.20	103.33	318	0	36
2020.05.04	16:00:00	103.30	104.22	103.25	104.02	369	0	36
2020.05.04	17:00:00	103.99	106.51	103.92	106.09	515	0	36
2020.05.04	18:00:00	106.14	106.14	104.66	105.52	336	0	36
2020.05.04	19:00:00	105.50	105.62	104.93	105.01	283	0	36
2020.05.04	20:00:00	105.03	105.08	104.74	104.93	89	0	36
2020.05.05	11:00:00	105.19	105.54	104.97	105.22	131	0	36
2020.05.05	12:00:00	105.17	105.86	105.02	105.76	118	0	36
2020.05.05	13:00:00	105.73	106.08	105.34	106.08	136	0	36
2020.05.05	14:00:00	106.06	107.58	106.01	107.16	222	0	36
2020.05.05	15:00:00	107.14	108.59	107.09	108.00	435	0	36
2020.05.05	16:00:00	108.05	108.84	107.44	108.25	391	0	36
2020.05.05	17:00:00	108.20	108.62	107.27	107.49	391	0	36
2020.05.05	18:00:00	107.46	107.64	107.02	107.61	260	0	36
2020.05.05	19:00:00	107.69	109.09	107.64	108.47	424	0	36
2020.05.05	20:00:00	108.45	108.60	108.20	108.30	161	0	36
2020.05.06	11:00:00	108.24	108.32	107.68	107.95	188	0	36
2020.05.06	12:00:00	107.97	108.24	107.95	108.19	132	0	36
2020.05.06	13:00:00	108.19	108.27	107.82	107.95	108	0	36
2020.05.06	14:00:00	108.02	108.29	107.83	108.00	95	0	36
2020.05.06	15:00:00	107.95	108.00	106.79	107.63	366	0	36
2020.05.06	16:00:00	107.65	108.07	107.16	107.85	273	0	36
