<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.64600	0.64639	0.64594	0.64639	999	0	40
2020.10.27	01:00:00	0.64641	0.64660	0.64597	0.64604	708	0	36
2020.10.27	02:00:00	0.64602	0.64709	0.64597	0.64658	2122	0	36
2020.10.27	03:00:00	0.64658	0.64674	0.64582	0.64613	1775	0	36
2020.10.27	04:00:00	0.64614	0.64687	0.64596	0.64687	2009	0	36
2020.10.27	05:00:00	0.64687	0.64695	0.64651	0.64666	1269	0	36
2020.10.27	06:00:00	0.64665	0.64674	0.64635	0.64666	988	0	36
2020.10.27	07:00:00	0.64667	0.64690	0.64636	0.64639	1586	0	36
2020.10.27	08:00:00	0.64638	0.64702	0.64636	0.64646	1627	0	36
2020.10.27	09:00:00	0.64646	0.64678	0.64623	0.64668	1675	0	36
2020.10.27	10:00:00	0.64668	0.64736	0.64646	0.64680	2857	0	36
2020.10.27	11:00:00	0.64679	0.64757	0.64627	0.64755	2586	0	36
2020.10.27	12:00:00	0.64755	0.64823	0.64751	0.64800	2111	0	36
2020.10.27	13:00:00	0.64801	0.64870	0.64757	0.64760	2104	0	36
2020.10.27	14:00:00	0.64760	0.64770	0.64671	0.64692	1810	0	36
2020.10.27	15:00:00	0.64692	0.64711	0.64597	0.64602	2838	0	36
2020.10.27	16:00:00	0.64599	0.64736	0.64596	0.64702	2580	0	36
2020.10.27	17:00:00	0.64702	0.64753	0.64674	0.64735	2694	0	36
2020.10.27	18:00:00	0.64738	0.64751	0.64714	0.64743	2144	0	36
2020.10.27	19:00:00	0.64743	0.64774	0.64716	0.64745	1333	0	36
2020.10.27	20:00:00	0.64746	0.64748	0.64697	0.64710	1085	0	36
2020.10.27	21:00:00	0.64709	0.64763	0.64694	0.64756	1166	0	36
2020.10.27	22:00:00	0.64756	0.64766	0.64702	0.64760	1278	0	36
2020.10.27	23:00:00	0.64656	0.64752	0.64565	0.64743	848	0	36
2020.10.28	00:00:00	0.64721	0.64747	0.64683	0.64701	1331	0	36
2020.10.28	01:00:00	0.64701	0.64745	0.64655	0.64724	1141	0	36
2020.10.28	02:00:00	0.64724	0.64778	0.64562	0.64756	2452	0	36
2020.10.28	03:00:00	0.64757	0.64846	0.64730	0.64824	2581	0	36
2020.10.28	04:00:00	0.64824	0.64840	0.64775	0.64813	1719	0	36
2020.10.28	05:00:00	0.64812	0.64853	0.64799	0.64853	1310	0	36
2020.10.28	06:00:00	0.64853	0.64932	0.64853	0.64923	991	0	36
2020.10.28	07:00:00	0.64922	0.65045	0.64911	0.64987	1428	0	36
2020.10.28	08:00:00	0.64989	0.65044	0.64985	0.65035	1914	0	36
2020.10.28	09:00:00	0.65034	0.65041	0.64936	0.64961	2494	0	36
2020.10.28	10:00:00	0.64960	0.64982	0.64845	0.64846	3742	0	36
2020.10.28	11:00:00	0.64848	0.64941	0.64738	0.64775	3290	0	36
2020.10.28	12:00:00	0.64776	0.64792	0.64579	0.64589	2936	0	36
2020.10.28	13:00:00	0.64589	0.64589	0.64470	0.64492	2986	0	36
2020.10.28	14:00:00	0.64489	0.64491	0.64314	0.64410	3112	0	36
2020.10.28	15:00:00	0.64410	0.64426	0.64284	0.64309	3501	0	36
