<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	74.638	74.670	74.610	74.660	956	0	20
2020.10.27	01:00:00	74.659	74.686	74.584	74.596	1105	0	20
2020.10.27	02:00:00	74.597	74.740	74.547	74.719	2948	0	20
2020.10.27	03:00:00	74.718	74.733	74.600	74.635	2743	0	20
2020.10.27	04:00:00	74.636	74.723	74.636	74.708	2431	0	20
2020.10.27	05:00:00	74.708	74.709	74.641	74.685	1660	0	20
2020.10.27	06:00:00	74.685	74.737	74.675	74.716	1366	0	20
2020.10.27	07:00:00	74.716	74.762	74.704	74.713	2076	0	20
2020.10.27	08:00:00	74.713	74.776	74.675	74.720	2191	0	20
2020.10.27	09:00:00	74.721	74.725	74.660	74.702	2479	0	20
2020.10.27	10:00:00	74.702	74.733	74.551	74.596	3764	0	20
2020.10.27	11:00:00	74.595	74.600	74.488	74.518	3023	0	20
2020.10.27	12:00:00	74.518	74.601	74.501	74.599	2629	0	20
2020.10.27	13:00:00	74.600	74.672	74.565	74.632	2415	0	20
2020.10.27	14:00:00	74.631	74.671	74.611	74.633	1832	0	20
2020.10.27	15:00:00	74.634	74.652	74.522	74.549	3217	0	20
2020.10.27	16:00:00	74.549	74.583	74.450	74.570	3202	0	20
2020.10.27	17:00:00	74.570	74.610	74.509	74.593	3055	0	20
2020.10.27	18:00:00	74.593	74.613	74.552	74.580	1932	0	20
2020.10.27	19:00:00	74.579	74.616	74.560	74.577	1544	0	20
2020.10.27	20:00:00	74.576	74.584	74.502	74.507	1283	0	20
2020.10.27	21:00:00	74.507	74.551	74.485	74.530	1290	0	20
2020.10.27	22:00:00	74.530	74.546	74.351	74.425	1321	0	20
2020.10.27	23:00:00	74.310	74.433	74.233	74.414	1474	0	20
2020.10.28	00:00:00	74.410	74.425	74.316	74.375	1988	0	20
2020.10.28	01:00:00	74.374	74.470	74.328	74.458	1562	0	20
2020.10.28	02:00:00	74.458	74.465	74.318	74.416	3244	0	20
2020.10.28	03:00:00	74.417	74.522	74.380	74.469	2997	0	20
2020.10.28	04:00:00	74.469	74.484	74.383	74.390	2625	0	20
2020.10.28	05:00:00	74.389	74.455	74.353	74.441	1361	0	20
2020.10.28	06:00:00	74.440	74.488	74.431	74.462	1404	0	20
2020.10.28	07:00:00	74.462	74.621	74.438	74.553	1882	0	20
2020.10.28	08:00:00	74.554	74.567	74.479	74.510	2493	0	20
2020.10.28	09:00:00	74.510	74.519	74.344	74.371	3788	0	20
2020.10.28	10:00:00	74.371	74.372	74.194	74.298	5320	0	20
2020.10.28	11:00:00	74.297	74.343	74.022	74.045	4153	0	20
2020.10.28	12:00:00	74.045	74.050	73.799	73.800	3844	0	20
2020.10.28	13:00:00	73.797	73.870	73.643	73.802	3962	0	20
2020.10.28	14:00:00	73.802	73.834	73.618	73.740	3823	0	20
