<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.06622	1.06656	1.06587	1.06612	1043	0	30
2020.10.27	01:00:00	1.06616	1.06634	1.06573	1.06596	2272	0	30
2020.10.27	02:00:00	1.06596	1.06677	1.06554	1.06673	3093	0	30
2020.10.27	03:00:00	1.06673	1.06683	1.06565	1.06606	2806	0	30
2020.10.27	04:00:00	1.06606	1.06642	1.06581	1.06587	2449	0	30
2020.10.27	05:00:00	1.06587	1.06634	1.06571	1.06580	2188	0	30
2020.10.27	06:00:00	1.06580	1.06612	1.06563	1.06598	1474	0	32
2020.10.27	07:00:00	1.06598	1.06659	1.06591	1.06616	2543	0	30
2020.10.27	08:00:00	1.06616	1.06650	1.06573	1.06598	2741	0	32
2020.10.27	09:00:00	1.06598	1.06668	1.06574	1.06612	2743	0	30
2020.10.27	10:00:00	1.06612	1.06646	1.06524	1.06524	3703	0	30
2020.10.27	11:00:00	1.06524	1.06570	1.06487	1.06545	3068	0	30
2020.10.27	12:00:00	1.06544	1.06575	1.06471	1.06475	2548	0	30
2020.10.27	13:00:00	1.06476	1.06516	1.06383	1.06415	2699	0	30
2020.10.27	14:00:00	1.06413	1.06436	1.06318	1.06358	2091	0	30
2020.10.27	15:00:00	1.06360	1.06363	1.06250	1.06257	3550	0	30
2020.10.27	16:00:00	1.06257	1.06272	1.06158	1.06219	3179	0	30
2020.10.27	17:00:00	1.06219	1.06337	1.06198	1.06320	3246	0	30
2020.10.27	18:00:00	1.06324	1.06336	1.06282	1.06307	2746	0	30
2020.10.27	19:00:00	1.06307	1.06309	1.06249	1.06286	2168	0	30
2020.10.27	20:00:00	1.06286	1.06289	1.06246	1.06246	1649	0	30
2020.10.27	21:00:00	1.06246	1.06321	1.06226	1.06311	1459	0	31
2020.10.27	22:00:00	1.06307	1.06327	1.06247	1.06263	1365	0	32
2020.10.27	23:00:00	1.06097	1.06231	1.06058	1.06167	925	0	30
2020.10.28	00:00:00	1.06157	1.06243	1.06126	1.06224	2003	0	31
2020.10.28	01:00:00	1.06224	1.06293	1.06186	1.06293	1568	0	30
2020.10.28	02:00:00	1.06295	1.06414	1.06265	1.06356	3271	0	30
2020.10.28	03:00:00	1.06354	1.06400	1.06285	1.06376	3952	0	30
2020.10.28	04:00:00	1.06375	1.06468	1.06333	1.06456	3394	0	30
2020.10.28	05:00:00	1.06458	1.06518	1.06441	1.06494	2188	0	30
2020.10.28	06:00:00	1.06494	1.06538	1.06430	1.06447	1691	0	30
2020.10.28	07:00:00	1.06448	1.06560	1.06446	1.06485	2379	0	30
2020.10.28	08:00:00	1.06490	1.06524	1.06422	1.06441	2967	0	31
2020.10.28	09:00:00	1.06438	1.06506	1.06393	1.06488	3618	0	30
2020.10.28	10:00:00	1.06487	1.06528	1.06446	1.06522	4400	0	30
2020.10.28	11:00:00	1.06522	1.06579	1.06434	1.06450	3903	0	30
2020.10.28	12:00:00	1.06451	1.06480	1.06311	1.06341	3186	0	30
2020.10.28	13:00:00	1.06341	1.06351	1.06178	1.06213	3453	0	30
2020.10.28	14:00:00	1.06213	1.06278	1.06158	1.06263	3629	0	30
2020.10.28	15:00:00	1.06262	1.06312	1.06187	1.06210	4414	0	30
2020.10.28	16:00:00	1.06209	1.06228	1.06110	1.06158	5949	0	30
2020.10.28	17:00:00	1.06155	1.06218	1.06085	1.06090	4658	0	30
2020.10.28	18:00:00	1.06090	1.06164	1.06033	1.06060	3465	0	30
2020.10.28	19:00:00	1.06061	1.06072	1.06024	1.06053	2731	0	30
2020.10.28	20:00:00	1.06053	1.06075	1.06015	1.06038	2433	0	30
2020.10.28	21:00:00	1.06040	1.06099	1.06017	1.06055	2879	0	30
2020.10.28	22:00:00	1.06056	1.06102	1.06043	1.06082	1360	0	30
2020.10.28	23:00:00	1.06107	1.06121	1.06039	1.06078	422	0	30
2020.10.29	00:00:00	1.06051	1.06190	1.06048	1.06108	1031	0	31
2020.10.29	01:00:00	1.06107	1.06112	1.06053	1.06090	2080	0	30
2020.10.29	02:00:00	1.06089	1.06203	1.06082	1.06154	3847	0	30
2020.10.29	03:00:00	1.06155	1.06213	1.06137	1.06193	3676	0	30
2020.10.29	04:00:00	1.06193	1.06301	1.06190	1.06299	1737	0	30
2020.10.29	05:00:00	1.06300	1.06309	1.06239	1.06255	1557	0	30
2020.10.29	06:00:00	1.06255	1.06281	1.06200	1.06220	1664	0	32
2020.10.29	07:00:00	1.06217	1.06254	1.06204	1.06222	2060	0	32
2020.10.29	08:00:00	1.06222	1.06275	1.06203	1.06223	2573	0	32
2020.10.29	09:00:00	1.06224	1.06283	1.06095	1.06120	3928	0	30
2020.10.29	10:00:00	1.06120	1.06178	1.05991	1.06009	5003	0	30
2020.10.29	11:00:00	1.06007	1.06110	1.05973	1.06048	3491	0	30
2020.10.29	12:00:00	1.06048	1.06162	1.06017	1.06150	3481	0	30
2020.10.29	13:00:00	1.06151	1.06162	1.06066	1.06074	4128	0	30
2020.10.29	14:00:00	1.06074	1.06131	1.06002	1.06002	3658	0	30
2020.10.29	15:00:00	1.06002	1.06114	1.05967	1.06095	6788	0	30
2020.10.29	16:00:00	1.06094	1.06181	1.06075	1.06142	5625	0	30
2020.10.29	17:00:00	1.06142	1.06175	1.06061	1.06131	4745	0	30
2020.10.29	18:00:00	1.06134	1.06190	1.06088	1.06088	4530	0	30
2020.10.29	19:00:00	1.06088	1.06105	1.06035	1.06059	2755	0	31
2020.10.29	20:00:00	1.06062	1.06145	1.06056	1.06085	2400	0	30
2020.10.29	21:00:00	1.06085	1.06122	1.06058	1.06073	3036	0	30
2020.10.29	22:00:00	1.06071	1.06084	1.05997	1.06001	2271	0	30
2020.10.29	23:00:00	1.06005	1.06042	1.05957	1.06042	312	0	37
2020.10.30	00:00:00	1.05982	1.06086	1.05956	1.06042	2151	0	31
2020.10.30	01:00:00	1.06048	1.06166	1.06026	1.06146	2051	0	30
2020.10.30	02:00:00	1.06145	1.06200	1.06094	1.06170	4022	0	30
2020.10.30	03:00:00	1.06170	1.06260	1.06126	1.06146	4671	0	30
2020.10.30	04:00:00	1.06146	1.06295	1.06107	1.06286	2723	0	30
2020.10.30	05:00:00	1.06287	1.06301	1.06214	1.06233	2189	0	31
2020.10.30	06:00:00	1.06234	1.06298	1.06232	1.06260	1838	0	30
2020.10.30	07:00:00	1.06259	1.06300	1.06147	1.06182	5146	0	30
2020.10.30	08:00:00	1.06182	1.06204	1.06123	1.06134	3869	0	30
2020.10.30	09:00:00	1.06134	1.06192	1.06095	1.06113	4409	0	30
2020.10.30	10:00:00	1.06117	1.06141	1.06058	1.06129	5118	0	30
2020.10.30	11:00:00	1.06130	1.06197	1.06092	1.06100	4367	0	30
2020.10.30	12:00:00	1.06100	1.06113	1.06037	1.06066	3896	0	30
2020.10.30	13:00:00	1.06066	1.06117	1.06023	1.06049	3324	0	30
2020.10.30	14:00:00	1.06049	1.06114	1.05974	1.05987	4530	0	30
2020.10.30	15:00:00	1.05986	1.06064	1.05961	1.06001	5751	0	30
2020.10.30	16:00:00	1.06005	1.06088	1.05939	1.06045	6459	0	30
2020.10.30	17:00:00	1.06044	1.06331	1.06042	1.06223	8346	0	30
2020.10.30	18:00:00	1.06224	1.06243	1.06139	1.06141	5580	0	30
2020.10.30	19:00:00	1.06141	1.06313	1.06131	1.06246	3416	0	30
2020.10.30	20:00:00	1.06246	1.06319	1.06221	1.06314	3192	0	30
2020.10.30	21:00:00	1.06317	1.06327	1.06263	1.06294	2812	0	30
2020.10.30	22:00:00	1.06294	1.06326	1.06230	1.06243	1089	0	30
2020.11.02	00:00:00	1.06221	1.06291	1.06152	1.06254	399	0	44
2020.11.02	01:00:00	1.06260	1.06319	1.06123	1.06196	2770	0	30
2020.11.02	02:00:00	1.06194	1.06286	1.06158	1.06173	3497	0	30
2020.11.02	03:00:00	1.06173	1.06268	1.06082	1.06249	5095	0	30
2020.11.02	04:00:00	1.06249	1.06268	1.06165	1.06241	4094	0	30
2020.11.02	05:00:00	1.06240	1.06243	1.06135	1.06145	2861	0	30
2020.11.02	06:00:00	1.06145	1.06217	1.06076	1.06114	2872	0	30
2020.11.02	07:00:00	1.06114	1.06169	1.06092	1.06105	2578	0	30
2020.11.02	08:00:00	1.06105	1.06188	1.06005	1.06043	3774	0	30
2020.11.02	09:00:00	1.06044	1.06149	1.06028	1.06145	4243	0	30
2020.11.02	10:00:00	1.06144	1.06187	1.06058	1.06138	5581	0	30
2020.11.02	11:00:00	1.06137	1.06219	1.06092	1.06173	3852	0	30
2020.11.02	12:00:00	1.06174	1.06222	1.06113	1.06200	3798	0	30
2020.11.02	13:00:00	1.06200	1.06249	1.06176	1.06224	3697	0	30
2020.11.02	14:00:00	1.06225	1.06238	1.06174	1.06206	3450	0	30
2020.11.02	15:00:00	1.06206	1.06311	1.06189	1.06259	4213	0	30
2020.11.02	16:00:00	1.06260	1.06353	1.06239	1.06324	4957	0	30
2020.11.02	17:00:00	1.06333	1.06382	1.06288	1.06351	5331	0	30
2020.11.02	18:00:00	1.06352	1.06392	1.06283	1.06289	4013	0	30
2020.11.02	19:00:00	1.06289	1.06338	1.06261	1.06329	3371	0	30
2020.11.02	20:00:00	1.06329	1.06392	1.06327	1.06353	2401	0	30
2020.11.02	21:00:00	1.06349	1.06407	1.06313	1.06318	2468	0	30
2020.11.02	22:00:00	1.06319	1.06373	1.06319	1.06353	2871	0	32
2020.11.02	23:00:00	1.06350	1.06371	1.06309	1.06343	781	0	35
2020.11.03	00:00:00	1.06285	1.06370	1.06146	1.06290	781	0	45
2020.11.03	01:00:00	1.06289	1.06359	1.06277	1.06337	1371	0	30
2020.11.03	02:00:00	1.06337	1.06433	1.06334	1.06356	1906	0	30
2020.11.03	03:00:00	1.06356	1.06366	1.06206	1.06207	3082	0	30
2020.11.03	04:00:00	1.06207	1.06268	1.06158	1.06197	2373	0	30
2020.11.03	05:00:00	1.06197	1.06290	1.06032	1.06179	3087	0	30
2020.11.03	06:00:00	1.06179	1.06179	1.06088	1.06112	1686	0	30
2020.11.03	07:00:00	1.06111	1.06254	1.06099	1.06227	2035	0	30
2020.11.03	08:00:00	1.06226	1.06261	1.06153	1.06209	2511	0	30
2020.11.03	09:00:00	1.06209	1.06297	1.06149	1.06292	3366	0	30
2020.11.03	10:00:00	1.06292	1.06551	1.06273	1.06538	4098	0	30
2020.11.03	11:00:00	1.06538	1.06714	1.06513	1.06670	3688	0	30
2020.11.03	12:00:00	1.06667	1.06765	1.06636	1.06761	2484	0	30
2020.11.03	13:00:00	1.06760	1.06850	1.06750	1.06840	2762	0	30
