<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.71181	0.71219	0.71159	0.71190	1835	0	8
2020.10.27	01:00:00	0.71190	0.71224	0.71151	0.71163	1653	0	8
2020.10.27	02:00:00	0.71163	0.71314	0.71161	0.71296	3404	0	8
2020.10.27	03:00:00	0.71295	0.71317	0.71196	0.71245	3410	0	8
2020.10.27	04:00:00	0.71245	0.71368	0.71245	0.71354	3526	0	8
2020.10.27	05:00:00	0.71354	0.71355	0.71294	0.71316	2648	0	8
2020.10.27	06:00:00	0.71316	0.71344	0.71305	0.71328	2075	0	8
2020.10.27	07:00:00	0.71329	0.71379	0.71326	0.71337	2771	0	8
2020.10.27	08:00:00	0.71338	0.71415	0.71304	0.71317	2563	0	8
2020.10.27	09:00:00	0.71317	0.71326	0.71253	0.71266	2771	0	8
2020.10.27	10:00:00	0.71267	0.71316	0.71219	0.71236	4529	0	8
2020.10.27	11:00:00	0.71235	0.71292	0.71175	0.71242	3296	0	8
2020.10.27	12:00:00	0.71242	0.71298	0.71214	0.71279	2772	0	8
2020.10.27	13:00:00	0.71279	0.71372	0.71264	0.71341	2634	0	8
2020.10.27	14:00:00	0.71341	0.71388	0.71298	0.71317	1938	0	8
2020.10.27	15:00:00	0.71318	0.71378	0.71239	0.71273	3474	0	8
2020.10.27	16:00:00	0.71271	0.71363	0.71218	0.71351	3333	0	8
2020.10.27	17:00:00	0.71351	0.71448	0.71315	0.71424	3303	0	8
2020.10.27	18:00:00	0.71424	0.71460	0.71387	0.71430	2341	0	8
2020.10.27	19:00:00	0.71430	0.71466	0.71406	0.71425	1668	0	8
2020.10.27	20:00:00	0.71426	0.71429	0.71313	0.71314	1851	0	8
2020.10.27	21:00:00	0.71315	0.71359	0.71298	0.71340	1879	0	8
2020.10.27	22:00:00	0.71340	0.71358	0.71259	0.71285	1161	0	8
2020.10.27	23:00:00	0.71215	0.71242	0.71139	0.71229	908	0	8
2020.10.28	00:00:00	0.71235	0.71246	0.71103	0.71173	3393	0	8
2020.10.28	01:00:00	0.71172	0.71233	0.71120	0.71226	2130	0	8
2020.10.28	02:00:00	0.71226	0.71271	0.71154	0.71242	3822	0	8
2020.10.28	03:00:00	0.71243	0.71362	0.71196	0.71321	3657	0	8
2020.10.28	04:00:00	0.71321	0.71352	0.71269	0.71318	3270	0	8
2020.10.28	05:00:00	0.71318	0.71379	0.71300	0.71376	2142	0	8
2020.10.28	06:00:00	0.71376	0.71445	0.71375	0.71436	2124	0	8
2020.10.28	07:00:00	0.71436	0.71568	0.71427	0.71516	2310	0	8
2020.10.28	08:00:00	0.71516	0.71549	0.71444	0.71479	2611	0	8
2020.10.28	09:00:00	0.71479	0.71507	0.71366	0.71369	3945	0	8
2020.10.28	10:00:00	0.71368	0.71369	0.71167	0.71240	5278	0	8
2020.10.28	11:00:00	0.71240	0.71270	0.71013	0.71057	4402	0	8
2020.10.28	12:00:00	0.71057	0.71063	0.70856	0.70857	3954	0	8
2020.10.28	13:00:00	0.70856	0.70868	0.70727	0.70768	3903	0	8
2020.10.28	14:00:00	0.70767	0.70767	0.70498	0.70647	4199	0	8
2020.10.28	15:00:00	0.70647	0.70694	0.70554	0.70594	4540	0	8
2020.10.28	16:00:00	0.70594	0.70669	0.70380	0.70458	6467	0	8
2020.10.28	17:00:00	0.70458	0.70678	0.70427	0.70659	5110	0	8
2020.10.28	18:00:00	0.70659	0.70696	0.70551	0.70598	3584	0	8
2020.10.28	19:00:00	0.70596	0.70606	0.70517	0.70576	3319	0	8
2020.10.28	20:00:00	0.70576	0.70624	0.70526	0.70583	2916	0	8
2020.10.28	21:00:00	0.70583	0.70588	0.70394	0.70426	4307	0	8
2020.10.28	22:00:00	0.70423	0.70459	0.70403	0.70433	1216	0	8
2020.10.28	23:00:00	0.70438	0.70500	0.70436	0.70488	338	0	8
2020.10.29	00:00:00	0.70455	0.70602	0.70452	0.70508	1156	0	8
2020.10.29	01:00:00	0.70509	0.70553	0.70446	0.70546	2347	0	8
2020.10.29	02:00:00	0.70545	0.70672	0.70512	0.70583	4267	0	8
2020.10.29	03:00:00	0.70582	0.70672	0.70580	0.70649	4828	0	8
2020.10.29	04:00:00	0.70649	0.70654	0.70545	0.70566	2305	0	8
2020.10.29	05:00:00	0.70567	0.70665	0.70545	0.70662	1773	0	8
2020.10.29	06:00:00	0.70662	0.70683	0.70606	0.70609	1400	0	8
2020.10.29	07:00:00	0.70609	0.70659	0.70600	0.70658	2258	0	8
2020.10.29	08:00:00	0.70659	0.70756	0.70636	0.70697	2720	0	8
2020.10.29	09:00:00	0.70696	0.70756	0.70574	0.70595	4765	0	8
2020.10.29	10:00:00	0.70595	0.70641	0.70446	0.70489	5975	0	8
2020.10.29	11:00:00	0.70492	0.70568	0.70357	0.70378	3795	0	8
2020.10.29	12:00:00	0.70378	0.70489	0.70352	0.70455	3562	0	8
2020.10.29	13:00:00	0.70454	0.70469	0.70237	0.70246	4602	0	8
2020.10.29	14:00:00	0.70246	0.70386	0.70227	0.70240	4004	0	8
2020.10.29	15:00:00	0.70239	0.70341	0.70094	0.70293	7255	0	8
2020.10.29	16:00:00	0.70293	0.70472	0.70223	0.70423	5734	0	8
2020.10.29	17:00:00	0.70423	0.70431	0.70031	0.70050	4617	0	8
2020.10.29	18:00:00	0.70052	0.70179	0.70020	0.70110	3765	0	8
2020.10.29	19:00:00	0.70109	0.70156	0.70041	0.70140	2894	0	8
2020.10.29	20:00:00	0.70141	0.70306	0.70140	0.70248	2554	0	8
2020.10.29	21:00:00	0.70248	0.70407	0.70248	0.70363	3725	0	8
2020.10.29	22:00:00	0.70363	0.70392	0.70247	0.70269	1722	0	8
2020.10.29	23:00:00	0.70296	0.70308	0.70259	0.70306	138	0	9
2020.10.30	00:00:00	0.70297	0.70298	0.70217	0.70282	1736	0	8
2020.10.30	01:00:00	0.70282	0.70396	0.70269	0.70371	2308	0	8
2020.10.30	02:00:00	0.70370	0.70380	0.70286	0.70356	4363	0	8
2020.10.30	03:00:00	0.70357	0.70552	0.70330	0.70516	5054	0	8
2020.10.30	04:00:00	0.70516	0.70542	0.70465	0.70479	3214	0	8
2020.10.30	05:00:00	0.70479	0.70524	0.70457	0.70500	2525	0	8
2020.10.30	06:00:00	0.70500	0.70515	0.70422	0.70426	2098	0	8
2020.10.30	07:00:00	0.70426	0.70457	0.70228	0.70263	5017	0	8
2020.10.30	08:00:00	0.70262	0.70295	0.70180	0.70180	4145	0	8
2020.10.30	09:00:00	0.70177	0.70298	0.70111	0.70228	4623	0	8
2020.10.30	10:00:00	0.70231	0.70357	0.70231	0.70319	5425	0	8
2020.10.30	11:00:00	0.70318	0.70467	0.70309	0.70418	4891	0	8
2020.10.30	12:00:00	0.70418	0.70422	0.70292	0.70388	4083	0	8
2020.10.30	13:00:00	0.70388	0.70451	0.70385	0.70428	3676	0	8
2020.10.30	14:00:00	0.70427	0.70719	0.70379	0.70668	4077	0	8
2020.10.30	15:00:00	0.70668	0.70694	0.70528	0.70555	5905	0	8
2020.10.30	16:00:00	0.70555	0.70569	0.70288	0.70306	7469	0	8
2020.10.30	17:00:00	0.70305	0.70496	0.70154	0.70218	8074	0	8
2020.10.30	18:00:00	0.70218	0.70388	0.70203	0.70296	5388	0	8
2020.10.30	19:00:00	0.70295	0.70305	0.70149	0.70188	3650	0	8
2020.10.30	20:00:00	0.70188	0.70316	0.70153	0.70286	3332	0	8
2020.10.30	21:00:00	0.70287	0.70320	0.70258	0.70285	4248	0	8
2020.10.30	22:00:00	0.70285	0.70313	0.70253	0.70278	1549	0	8
2020.11.02	00:00:00	0.70225	0.70262	0.70157	0.70184	734	0	8
2020.11.02	01:00:00	0.70182	0.70256	0.69967	0.70072	3502	0	8
2020.11.02	02:00:00	0.70070	0.70154	0.69994	0.70015	4429	0	8
2020.11.02	03:00:00	0.70016	0.70250	0.69992	0.70205	4654	0	8
2020.11.02	04:00:00	0.70205	0.70233	0.70124	0.70176	3662	0	8
2020.11.02	05:00:00	0.70176	0.70182	0.70126	0.70134	2638	0	8
2020.11.02	06:00:00	0.70134	0.70154	0.69954	0.69995	3112	0	8
2020.11.02	07:00:00	0.69994	0.70108	0.69994	0.70064	2486	0	8
2020.11.02	08:00:00	0.70064	0.70156	0.69909	0.70034	3633	0	8
2020.11.02	09:00:00	0.70034	0.70117	0.70000	0.70089	4163	0	8
2020.11.02	10:00:00	0.70089	0.70118	0.69928	0.70048	5698	0	8
2020.11.02	11:00:00	0.70047	0.70269	0.70039	0.70238	4208	0	8
2020.11.02	12:00:00	0.70238	0.70352	0.70232	0.70335	4257	0	8
2020.11.02	13:00:00	0.70334	0.70458	0.70293	0.70406	3855	0	8
2020.11.02	14:00:00	0.70407	0.70427	0.70362	0.70393	3839	0	8
2020.11.02	15:00:00	0.70392	0.70513	0.70392	0.70486	4071	0	8
2020.11.02	16:00:00	0.70486	0.70494	0.70404	0.70452	5059	0	8
2020.11.02	17:00:00	0.70452	0.70532	0.70363	0.70386	5608	0	8
2020.11.02	18:00:00	0.70386	0.70465	0.70353	0.70434	2951	0	8
2020.11.02	19:00:00	0.70434	0.70453	0.70367	0.70400	2483	0	8
2020.11.02	20:00:00	0.70400	0.70418	0.70355	0.70393	3030	0	8
2020.11.02	21:00:00	0.70392	0.70528	0.70392	0.70486	2197	0	8
2020.11.02	22:00:00	0.70486	0.70569	0.70484	0.70561	2304	0	8
2020.11.02	23:00:00	0.70562	0.70574	0.70532	0.70569	815	0	8
2020.11.03	00:00:00	0.70534	0.70549	0.70463	0.70498	616	0	8
2020.11.03	01:00:00	0.70496	0.70549	0.70493	0.70526	1239	0	8
2020.11.03	02:00:00	0.70526	0.70607	0.70524	0.70536	1741	0	8
2020.11.03	03:00:00	0.70536	0.70604	0.70436	0.70596	2910	0	8
2020.11.03	04:00:00	0.70596	0.70624	0.70460	0.70525	3073	0	8
2020.11.03	05:00:00	0.70525	0.70626	0.70355	0.70450	3130	0	8
2020.11.03	06:00:00	0.70450	0.70450	0.70276	0.70286	1782	0	8
2020.11.03	07:00:00	0.70287	0.70469	0.70276	0.70435	2052	0	8
2020.11.03	08:00:00	0.70435	0.70521	0.70370	0.70472	2420	0	8
2020.11.03	09:00:00	0.70474	0.70706	0.70457	0.70696	3040	0	8
2020.11.03	10:00:00	0.70696	0.71035	0.70654	0.71027	4522	0	8
2020.11.03	11:00:00	0.71027	0.71320	0.70971	0.71241	3802	0	8
2020.11.03	12:00:00	0.71242	0.71256	0.71125	0.71134	2812	0	8
2020.11.03	13:00:00	0.71134	0.71308	0.71133	0.71292	2743	0	8
2020.11.03	14:00:00	0.71292	0.71388	0.71270	0.71291	2713	0	8
2020.11.03	15:00:00	0.71292	0.71427	0.71241	0.71261	3385	0	8
2020.11.03	16:00:00	0.71261	0.71422	0.71261	0.71282	4477	0	8
2020.11.03	17:00:00	0.71286	0.71696	0.71282	0.71655	5028	0	8
2020.11.03	18:00:00	0.71652	0.71744	0.71577	0.71588	4310	0	8
2020.11.03	19:00:00	0.71587	0.71657	0.71549	0.71591	2681	0	8
2020.11.03	20:00:00	0.71591	0.71604	0.71462	0.71472	2314	0	8
2020.11.03	21:00:00	0.71470	0.71473	0.71379	0.71406	2535	0	8
2020.11.03	22:00:00	0.71406	0.71523	0.71360	0.71461	2605	0	8
2020.11.03	23:00:00	0.71461	0.71694	0.71426	0.71638	1850	0	8
2020.11.04	00:00:00	0.71574	0.71659	0.71478	0.71633	599	0	8
2020.11.04	01:00:00	0.71636	0.72048	0.71636	0.71962	4458	0	8
2020.11.04	02:00:00	0.71962	0.72219	0.71268	0.71285	7847	0	8
2020.11.04	03:00:00	0.71285	0.71664	0.71245	0.71391	10355	0	8
2020.11.04	04:00:00	0.71391	0.71484	0.70481	0.70778	11667	0	8
2020.11.04	05:00:00	0.70778	0.71309	0.70768	0.71069	9991	0	8
2020.11.04	06:00:00	0.71069	0.71285	0.70949	0.71049	7646	0	8
2020.11.04	07:00:00	0.71049	0.71366	0.70969	0.71057	7557	0	8
2020.11.04	08:00:00	0.71057	0.71184	0.70813	0.70951	6203	0	8
2020.11.04	09:00:00	0.70951	0.70992	0.70590	0.70823	8510	0	8
2020.11.04	10:00:00	0.70822	0.70942	0.70638	0.70758	7386	0	8
2020.11.04	11:00:00	0.70756	0.71096	0.70696	0.70975	5956	0	8
2020.11.04	12:00:00	0.70976	0.71228	0.70885	0.71141	4842	0	8
2020.11.04	13:00:00	0.71140	0.71348	0.71074	0.71308	4511	0	8
2020.11.04	14:00:00	0.71308	0.71733	0.71249	0.71668	7504	0	8
2020.11.04	15:00:00	0.71668	0.71722	0.71335	0.71377	5940	0	8
2020.11.04	16:00:00	0.71377	0.71540	0.71238	0.71525	6859	0	8
2020.11.04	17:00:00	0.71525	0.71732	0.71469	0.71590	6615	0	8
2020.11.04	18:00:00	0.71589	0.71983	0.71481	0.71915	6362	0	8
2020.11.04	19:00:00	0.71915	0.71940	0.71753	0.71784	5556	0	8
2020.11.04	20:00:00	0.71784	0.71947	0.71761	0.71877	3925	0	8
2020.11.04	21:00:00	0.71877	0.71903	0.71781	0.71887	4187	0	8
2020.11.04	22:00:00	0.71887	0.71922	0.71693	0.71743	4343	0	8
2020.11.04	23:00:00	0.71743	0.71865	0.71722	0.71770	1933	0	8
2020.11.05	00:00:00	0.71780	0.71804	0.71630	0.71682	581	0	8
2020.11.05	01:00:00	0.71677	0.71847	0.71635	0.71797	2559	0	8
2020.11.05	02:00:00	0.71797	0.71888	0.71676	0.71737	4109	0	8
2020.11.05	03:00:00	0.71736	0.71767	0.71592	0.71644	5524	0	8
2020.11.05	04:00:00	0.71646	0.71709	0.71446	0.71682	5285	0	8
2020.11.05	05:00:00	0.71683	0.71786	0.71670	0.71754	4314	0	8
2020.11.05	06:00:00	0.71754	0.71763	0.71622	0.71644	2741	0	8
2020.11.05	07:00:00	0.71644	0.71767	0.71583	0.71686	2998	0	8
2020.11.05	08:00:00	0.71687	0.71742	0.71653	0.71677	2902	0	8
2020.11.05	09:00:00	0.71676	0.71941	0.71646	0.71925	6134	0	8
2020.11.05	10:00:00	0.71925	0.72144	0.71844	0.71957	7625	0	8
2020.11.05	11:00:00	0.71954	0.72183	0.71897	0.72117	5261	0	8
2020.11.05	12:00:00	0.72117	0.72195	0.72037	0.72167	5499	0	8
2020.11.05	13:00:00	0.72168	0.72195	0.72027	0.72143	5413	0	8
2020.11.05	14:00:00	0.72143	0.72464	0.72077	0.72452	6104	0	8
2020.11.05	15:00:00	0.72452	0.72544	0.72301	0.72480	6439	0	8
2020.11.05	16:00:00	0.72480	0.72530	0.72315	0.72495	6278	0	8
2020.11.05	17:00:00	0.72495	0.72752	0.72440	0.72721	7403	0	8
2020.11.05	18:00:00	0.72721	0.72737	0.72593	0.72638	5256	0	8
2020.11.05	19:00:00	0.72638	0.72689	0.72493	0.72655	3775	0	8
2020.11.05	20:00:00	0.72654	0.72767	0.72621	0.72724	2873	0	8
2020.11.05	21:00:00	0.72724	0.72891	0.72705	0.72845	4255	0	8
2020.11.05	22:00:00	0.72846	0.72869	0.72613	0.72809	4264	0	8
2020.11.05	23:00:00	0.72809	0.72887	0.72803	0.72828	1480	0	8
