<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	02:00:00	40.41	40.51	40.36	40.46	379	0	7
2020.10.27	03:00:00	40.48	40.51	40.38	40.47	329	0	4
2020.10.27	04:00:00	40.47	40.64	40.47	40.57	228	0	4
2020.10.27	05:00:00	40.56	40.64	40.53	40.60	154	0	4
2020.10.27	06:00:00	40.61	40.65	40.60	40.64	99	0	4
2020.10.27	07:00:00	40.64	40.76	40.64	40.71	238	0	4
2020.10.27	08:00:00	40.71	40.86	40.71	40.85	237	0	4
2020.10.27	09:00:00	40.84	40.89	40.58	40.65	560	0	4
2020.10.27	10:00:00	40.66	40.88	40.57	40.76	1060	0	4
2020.10.27	11:00:00	40.74	40.75	40.44	40.71	938	0	4
2020.10.27	12:00:00	40.71	40.97	40.66	40.86	751	0	4
2020.10.27	13:00:00	40.86	40.89	40.66	40.67	477	0	4
2020.10.27	14:00:00	40.67	40.70	40.44	40.53	645	0	4
2020.10.27	15:00:00	40.53	40.73	40.34	40.73	1486	0	4
2020.10.27	16:00:00	40.73	40.80	40.51	40.76	1418	0	4
2020.10.27	17:00:00	40.77	41.22	40.73	41.16	1678	0	4
2020.10.27	18:00:00	41.16	41.32	41.05	41.17	1133	0	4
2020.10.27	19:00:00	41.17	41.41	41.07	41.30	872	0	4
2020.10.27	20:00:00	41.30	41.36	41.01	41.06	940	0	4
2020.10.27	21:00:00	41.07	41.17	41.05	41.08	344	0	4
2020.10.27	22:00:00	41.08	41.14	40.62	40.62	572	0	4
2020.10.27	23:00:00	40.56	40.66	40.55	40.64	60	0	7
2020.10.28	02:00:00	40.54	40.62	40.47	40.61	233	0	7
2020.10.28	03:00:00	40.62	40.65	40.45	40.52	342	0	4
2020.10.28	04:00:00	40.51	40.54	40.35	40.37	349	0	4
2020.10.28	05:00:00	40.34	40.40	40.33	40.39	149	0	4
2020.10.28	06:00:00	40.39	40.50	40.38	40.47	153	0	4
2020.10.28	07:00:00	40.47	40.54	40.41	40.47	217	0	4
2020.10.28	08:00:00	40.48	40.54	40.27	40.28	280	0	4
2020.10.28	09:00:00	40.27	40.31	40.04	40.08	625	0	4
2020.10.28	10:00:00	40.08	40.22	39.75	39.97	1196	0	4
2020.10.28	11:00:00	39.97	40.04	39.77	39.84	1089	0	4
2020.10.28	12:00:00	39.85	39.92	39.65	39.67	775	0	4
2020.10.28	13:00:00	39.67	39.71	39.46	39.62	795	0	4
2020.10.28	14:00:00	39.62	39.62	39.48	39.56	883	0	4
2020.10.28	15:00:00	39.55	39.56	39.09	39.16	1747	0	4
2020.10.28	16:00:00	39.16	39.43	38.92	39.15	2084	0	4
2020.10.28	17:00:00	39.14	39.35	38.82	39.31	1963	0	4
2020.10.28	18:00:00	39.31	39.38	38.91	38.97	1729	0	4
2020.10.28	19:00:00	38.97	39.12	38.77	39.09	958	0	4
2020.10.28	20:00:00	39.09	39.32	38.85	39.28	1107	0	4
2020.10.28	21:00:00	39.28	39.31	39.04	39.09	689	0	4
2020.10.28	22:00:00	39.09	39.16	39.07	39.12	391	0	4
2020.10.28	23:00:00	39.08	39.09	39.05	39.06	64	0	7
2020.10.29	02:00:00	39.20	39.42	39.20	39.26	508	0	7
2020.10.29	03:00:00	39.28	39.48	39.22	39.46	436	0	4
2020.10.29	04:00:00	39.47	39.47	39.16	39.23	279	0	4
2020.10.29	05:00:00	39.23	39.24	38.89	39.17	469	0	4
2020.10.29	06:00:00	39.16	39.24	39.14	39.23	128	0	4
2020.10.29	07:00:00	39.24	39.25	39.14	39.23	319	0	4
2020.10.29	08:00:00	39.22	39.37	39.16	39.29	504	0	4
2020.10.29	09:00:00	39.28	39.30	38.93	39.02	881	0	4
2020.10.29	10:00:00	39.01	39.12	38.38	38.40	1440	0	4
2020.10.29	11:00:00	38.39	38.51	37.92	38.06	1183	0	4
2020.10.29	12:00:00	38.06	38.06	37.61	37.94	1484	0	4
2020.10.29	13:00:00	37.95	38.06	37.61	37.61	1145	0	4
2020.10.29	14:00:00	37.61	37.63	37.26	37.33	1304	0	4
2020.10.29	15:00:00	37.32	37.39	36.82	37.31	2712	0	4
2020.10.29	16:00:00	37.31	38.03	37.17	38.02	2832	0	4
2020.10.29	17:00:00	38.01	38.07	37.54	37.56	2255	0	4
2020.10.29	18:00:00	37.57	37.82	37.38	37.46	1796	0	4
2020.10.29	19:00:00	37.46	37.94	37.44	37.94	1313	0	4
2020.10.29	20:00:00	37.94	38.10	37.72	37.84	1623	0	4
2020.10.29	21:00:00	37.84	38.02	37.77	37.88	749	0	4
2020.10.29	22:00:00	37.89	37.93	37.65	37.67	456	0	4
2020.10.29	23:00:00	37.69	37.70	37.68	37.70	8	0	7
2020.10.30	02:00:00	37.76	37.84	37.72	37.76	362	0	7
2020.10.30	03:00:00	37.77	38.03	37.76	38.02	641	0	4
2020.10.30	04:00:00	38.01	38.23	38.00	38.15	480	0	4
2020.10.30	05:00:00	38.14	38.14	37.93	38.01	261	0	4
2020.10.30	06:00:00	38.00	38.04	37.86	37.88	244	0	4
2020.10.30	07:00:00	37.87	37.89	37.04	37.13	812	0	4
2020.10.30	08:00:00	37.12	37.68	36.97	37.41	1251	0	4
2020.10.30	09:00:00	37.42	37.55	37.22	37.42	1031	0	4
2020.10.30	10:00:00	37.42	38.11	37.42	37.91	1627	0	4
2020.10.30	11:00:00	37.89	38.13	37.73	38.03	1211	0	4
2020.10.30	12:00:00	38.03	38.03	37.26	37.80	1495	0	4
2020.10.30	13:00:00	37.80	37.94	37.59	37.59	1134	0	4
2020.10.30	14:00:00	37.59	37.78	37.55	37.70	1113	0	4
2020.10.30	15:00:00	37.70	37.70	37.29	37.43	2179	0	4
2020.10.30	16:00:00	37.43	37.53	37.12	37.21	1907	0	4
2020.10.30	17:00:00	37.21	37.37	37.05	37.22	1654	0	4
2020.10.30	18:00:00	37.22	37.42	37.10	37.10	1263	0	4
2020.10.30	19:00:00	37.10	37.26	37.05	37.20	1002	0	4
2020.10.30	20:00:00	37.21	37.58	37.20	37.34	1709	0	4
2020.10.30	21:00:00	37.33	37.37	37.12	37.37	821	0	4
2020.10.30	22:00:00	37.36	37.48	37.28	37.46	327	0	4
2020.11.02	01:00:00	36.47	36.67	35.34	35.77	1493	0	7
2020.11.02	02:00:00	35.78	36.09	35.63	36.07	988	0	4
2020.11.02	03:00:00	36.07	36.48	36.02	36.43	945	0	4
2020.11.02	04:00:00	36.44	36.59	36.23	36.24	556	0	4
2020.11.02	05:00:00	36.25	36.36	36.07	36.31	385	0	4
2020.11.02	06:00:00	36.30	36.38	36.22	36.28	256	0	4
2020.11.02	07:00:00	36.27	36.37	36.16	36.26	369	0	4
2020.11.02	08:00:00	36.25	36.40	36.07	36.29	519	0	4
2020.11.02	09:00:00	36.29	36.39	36.02	36.38	883	0	4
2020.11.02	10:00:00	36.38	36.59	36.03	36.53	1220	0	4
2020.11.02	11:00:00	36.55	36.95	36.55	36.77	1059	0	4
2020.11.02	12:00:00	36.77	36.97	36.56	36.77	934	0	4
2020.11.02	13:00:00	36.76	36.88	36.60	36.77	798	0	4
2020.11.02	14:00:00	36.77	37.02	36.59	36.84	909	0	4
2020.11.02	15:00:00	36.84	37.65	36.79	37.26	1920	0	4
2020.11.02	16:00:00	37.26	37.79	36.96	37.74	2356	0	4
2020.11.02	17:00:00	37.76	38.01	37.47	37.59	2640	0	4
2020.11.02	18:00:00	37.58	38.00	37.53	37.97	1745	0	4
2020.11.02	19:00:00	37.97	38.53	37.93	38.49	1074	0	4
2020.11.02	20:00:00	38.49	38.52	38.12	38.15	995	0	4
2020.11.02	21:00:00	38.15	38.82	38.06	38.75	1598	0	4
2020.11.02	22:00:00	38.75	38.94	38.69	38.86	613	0	4
2020.11.02	23:00:00	38.87	38.88	38.70	38.85	331	0	7
2020.11.03	00:00:00	38.80	38.89	38.79	38.81	82	0	7
2020.11.03	03:00:00	38.83	38.88	38.30	38.42	993	0	4
2020.11.03	04:00:00	38.43	38.58	38.37	38.53	378	0	4
2020.11.03	05:00:00	38.52	38.67	38.50	38.59	446	0	4
2020.11.03	06:00:00	38.58	38.62	38.47	38.48	160	0	4
2020.11.03	07:00:00	38.49	38.70	38.48	38.57	294	0	4
2020.11.03	08:00:00	38.56	38.64	38.35	38.43	418	0	4
2020.11.03	09:00:00	38.42	38.50	38.26	38.47	629	0	4
2020.11.03	10:00:00	38.46	39.67	38.43	39.23	1765	0	4
2020.11.03	11:00:00	39.24	39.93	39.22	39.93	1267	0	4
2020.11.03	12:00:00	39.94	40.02	39.37	39.42	929	0	4
2020.11.03	13:00:00	39.40	39.85	39.40	39.77	843	0	4
2020.11.03	14:00:00	39.75	39.97	39.62	39.63	728	0	4
