<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	5765.20	5766.50	5743.90	5756.20	1241	0	4230
2020.04.01	12:00:00	5756.20	5767.90	5729.50	5760.30	1315	0	4230
2020.04.01	13:00:00	5760.30	5771.10	5747.30	5748.90	868	0	4230
2020.04.01	14:00:00	5748.90	5756.10	5730.30	5751.30	761	0	4230
2020.04.01	15:00:00	5751.30	5793.70	5687.00	5690.60	1144	0	4230
2020.04.01	16:00:00	5688.00	5706.90	5652.20	5680.40	925	0	4230
2020.04.01	17:00:00	5680.40	5732.60	5676.00	5720.60	1265	0	4230
2020.04.01	18:00:00	5720.60	5726.10	5689.00	5698.50	945	0	4230
2020.04.01	19:00:00	5698.50	5698.50	5623.90	5656.70	1171	0	4230
2020.04.01	20:00:00	5656.70	5688.50	5643.30	5676.00	1151	0	4230
2020.04.01	21:00:00	5676.00	5688.70	5657.70	5660.30	987	0	4230
2020.04.01	22:00:00	5660.30	5668.90	5632.50	5662.50	1084	0	4230
2020.04.01	23:00:00	5662.50	5813.10	5653.70	5786.30	1410	0	4230
2020.04.02	00:00:00	5787.20	5838.00	5786.70	5805.10	1256	0	4230
2020.04.02	01:00:00	5805.30	6013.30	5803.80	5946.70	1641	0	4230
2020.04.02	02:00:00	5946.70	6095.10	5934.80	6060.50	1654	0	4230
2020.04.02	03:00:00	6060.60	6149.70	6013.10	6040.20	1579	0	4230
2020.04.02	04:00:00	6041.80	6062.40	5992.00	5996.50	1387	0	4230
2020.04.02	05:00:00	5994.90	6043.40	5994.90	6034.70	1030	0	4230
2020.04.02	06:00:00	6034.90	6043.40	6009.10	6030.20	1212	0	4230
2020.04.02	07:00:00	6030.20	6053.40	6015.70	6018.70	850	0	4230
2020.04.02	08:00:00	6018.70	6025.90	5996.10	6025.90	808	0	4230
2020.04.02	09:00:00	6025.30	6060.40	6005.20	6060.40	1210	0	4230
2020.04.02	10:00:00	6059.10	6093.90	6037.50	6076.70	1319	0	4230
2020.04.02	11:00:00	6076.70	6093.50	6044.10	6086.60	1541	0	4230
2020.04.02	12:00:00	6086.60	6086.60	6062.90	6069.70	985	0	4230
2020.04.02	13:00:00	6069.80	6126.80	6054.30	6085.00	1396	0	4230
2020.04.02	14:00:00	6083.80	6128.80	6049.90	6123.80	1287	0	4230
2020.04.02	15:00:00	6123.80	6158.60	6088.90	6116.90	1627	0	4230
2020.04.02	16:00:00	6113.00	6126.30	6088.90	6113.70	1311	0	4230
2020.04.02	17:00:00	6113.70	6262.20	6106.80	6228.90	1431	0	4230
2020.04.02	18:00:00	6228.90	6273.90	6169.70	6250.30	1778	0	4230
2020.04.02	19:00:00	6253.60	6342.80	6243.90	6328.80	1469	0	4230
2020.04.02	20:00:00	6328.80	6602.50	6328.80	6518.70	1112	0	4230
2020.04.02	21:00:00	6518.70	6519.20	6190.20	6230.10	1386	0	4230
2020.04.02	22:00:00	6230.10	6312.80	6180.90	6248.70	1517	0	4230
2020.04.02	23:00:00	6248.70	6251.20	6106.10	6193.80	1778	0	4230
2020.04.03	00:00:00	6171.30	6289.10	6159.30	6274.00	1457	0	4230
2020.04.03	01:00:00	6274.00	6304.40	6232.10	6290.90	1295	0	4230
2020.04.03	02:00:00	6290.90	6290.90	6184.90	6240.20	1607	0	4230
2020.04.03	03:00:00	6239.80	6256.70	6188.90	6200.30	1680	0	4230
2020.04.03	04:00:00	6199.30	6249.00	6180.20	6244.30	1572	0	4230
2020.04.03	05:00:00	6244.30	6266.70	6227.10	6251.60	1314	0	4230
2020.04.03	06:00:00	6251.70	6268.40	6219.10	6235.40	1259	0	4230
2020.04.03	07:00:00	6235.60	6249.80	6213.10	6237.90	1167	0	4230
2020.04.03	08:00:00	6237.00	6244.10	6198.70	6230.60	1229	0	4230
2020.04.03	09:00:00	6230.60	6282.40	6219.40	6268.90	1140	0	4230
2020.04.03	10:00:00	6268.90	6422.50	6255.00	6418.30	1898	0	4230
2020.04.03	11:00:00	6418.00	6459.10	6352.60	6404.50	1617	0	4230
2020.04.03	12:00:00	6404.50	6440.80	6370.60	6432.10	1622	0	4230
2020.04.03	13:00:00	6432.30	6497.40	6387.60	6484.60	1644	0	4230
2020.04.03	14:00:00	6486.20	6501.60	6424.10	6483.10	1605	0	4230
2020.04.03	15:00:00	6481.90	6488.90	6333.90	6406.30	1588	0	4230
2020.04.03	16:00:00	6407.50	6428.30	6342.40	6342.40	1548	0	4230
2020.04.03	17:00:00	6342.40	6344.00	6233.50	6273.70	1853	0	4230
2020.04.03	18:00:00	6273.80	6304.90	6174.20	6204.90	1860	0	4230
2020.04.03	19:00:00	6204.90	6264.20	6111.90	6253.90	1807	0	4230
2020.04.03	20:00:00	6254.80	6281.20	6168.10	6203.80	1462	0	4230
2020.04.03	21:00:00	6203.50	6234.40	6168.80	6228.60	1574	0	4230
2020.04.03	22:00:00	6229.40	6263.50	6220.60	6250.40	1524	0	4230
2020.04.03	23:00:00	6252.10	6294.60	6177.40	6188.30	1530	0	4230
2020.04.04	00:00:00	6168.40	6243.40	6162.70	6224.90	1138	0	4230
2020.04.04	01:00:00	6221.70	6251.70	6209.20	6251.70	1174	0	4230
2020.04.04	02:00:00	6251.70	6270.90	6212.90	6223.60	1201	0	4230
2020.04.04	03:00:00	6223.60	6249.10	6209.60	6242.50	1237	0	4230
2020.04.04	04:00:00	6243.00	6285.00	6237.80	6248.70	1194	0	4230
2020.04.04	05:00:00	6248.90	6250.90	6174.10	6175.20	1230	0	4230
2020.04.04	06:00:00	6175.20	6201.00	6158.90	6194.50	1077	0	4230
2020.04.04	07:00:00	6194.50	6223.70	6179.00	6209.80	1150	0	4230
2020.04.04	08:00:00	6209.50	6255.50	6200.30	6222.10	1179	0	4230
2020.04.04	09:00:00	6222.10	6222.10	6196.10	6221.80	778	0	4230
2020.04.04	10:00:00	6221.80	6234.80	6212.40	6229.50	966	0	4230
