<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	6321.98	6322.00	6274.87	6302.50	1465	0	2854
2020.04.01	12:00:00	6303.00	6307.47	6253.96	6290.96	1832	0	2854
2020.04.01	13:00:00	6291.46	6310.99	6277.43	6280.48	2146	0	2850
2020.04.01	14:00:00	6280.98	6293.95	6258.46	6285.44	846	0	2812
2020.04.01	15:00:00	6285.44	6331.28	6190.60	6207.97	2983	0	2829
2020.04.01	16:00:00	6207.97	6231.90	6156.10	6198.21	1260	0	2950
2020.04.01	17:00:00	6200.46	6255.95	6190.48	6245.96	1407	0	2807
2020.04.01	18:00:00	6244.96	6252.44	6213.42	6225.98	1008	0	2852
2020.04.01	19:00:00	6225.99	6226.49	6134.37	6174.96	3295	0	2856
2020.04.01	20:00:00	6174.96	6207.49	6153.38	6192.49	1995	0	2850
2020.04.01	21:00:00	6192.50	6212.99	6182.00	6185.48	814	0	2850
2020.04.01	22:00:00	6185.50	6207.45	6158.45	6193.91	1435	0	2850
2020.04.01	23:00:00	6193.91	6383.51	6187.84	6338.95	6382	0	2862
2020.04.02	00:00:00	6357.71	6401.86	6297.21	6355.48	9096	0	2852
2020.04.02	01:00:00	6355.48	6599.61	6353.98	6525.94	9704	0	2846
2020.04.02	02:00:00	6527.94	6690.80	6502.33	6649.86	4023	0	2901
2020.04.02	03:00:00	6649.86	6748.46	6529.70	6626.96	3643	0	2844
2020.04.02	04:00:00	6627.96	6649.41	6551.14	6572.74	2319	0	2858
2020.04.02	05:00:00	6573.24	6623.48	6568.88	6610.95	1447	0	2858
2020.04.02	06:00:00	6611.95	6622.00	6582.35	6607.49	1547	0	2856
2020.04.02	07:00:00	6607.49	6635.98	6589.96	6599.99	1495	0	2900
2020.04.02	08:00:00	6599.99	6605.97	6559.88	6605.97	1970	0	2858
2020.04.02	09:00:00	6605.98	6642.89	6588.45	6637.00	1090	0	2850
2020.04.02	10:00:00	6639.00	6678.86	6609.00	6646.99	2253	0	2850
2020.04.02	11:00:00	6647.00	6667.44	6601.80	6652.93	1899	0	2815
2020.04.02	12:00:00	6649.43	6654.47	6625.97	6635.92	2014	0	2854
2020.04.02	13:00:00	6637.42	6704.73	6611.03	6643.98	1884	0	2852
2020.04.02	14:00:00	6644.00	6698.34	6597.79	6688.90	1988	0	2904
2020.04.02	15:00:00	6689.90	6721.36	6602.29	6650.95	3396	0	2854
2020.04.02	16:00:00	6651.95	6670.90	6613.90	6633.46	2989	0	2868
2020.04.02	17:00:00	6633.48	6811.31	6630.47	6763.97	4301	0	2858
2020.04.02	18:00:00	6766.47	6824.84	6718.37	6799.42	3239	0	2808
2020.04.02	19:00:00	6800.41	6908.83	6785.82	6905.42	5752	0	2815
2020.04.02	20:00:00	6905.42	7240.15	6905.42	7076.48	7485	0	2868
2020.04.02	21:00:00	7076.48	7080.46	6715.14	6771.93	7638	0	2806
2020.04.02	22:00:00	6771.93	6855.27	6704.18	6788.91	5048	0	2898
2020.04.02	23:00:00	6788.41	6790.43	6627.22	6738.97	8314	0	2809
2020.04.03	00:00:00	6703.90	6834.92	6696.92	6814.48	6697	0	2806
2020.04.03	01:00:00	6814.48	6853.41	6765.88	6833.42	8314	0	2811
2020.04.03	02:00:00	6832.42	6833.43	6713.26	6782.42	4879	0	2810
2020.04.03	03:00:00	6780.92	6801.94	6709.34	6725.41	4432	0	2814
2020.04.03	04:00:00	6725.41	6795.42	6705.82	6784.45	4590	0	2808
