<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.68691	0.68724	0.68684	0.68722	600	0	40
2020.10.27	01:00:00	0.68721	0.68738	0.68711	0.68737	844	0	41
2020.10.27	02:00:00	0.68735	0.68762	0.68710	0.68732	1554	0	40
2020.10.27	03:00:00	0.68732	0.68747	0.68712	0.68725	1237	0	40
2020.10.27	04:00:00	0.68725	0.68759	0.68702	0.68759	1066	0	40
2020.10.27	05:00:00	0.68759	0.68775	0.68745	0.68765	515	0	41
2020.10.27	06:00:00	0.68764	0.68775	0.68750	0.68772	439	0	40
2020.10.27	07:00:00	0.68772	0.68795	0.68750	0.68753	756	0	41
2020.10.27	08:00:00	0.68752	0.68786	0.68745	0.68784	1129	0	40
2020.10.27	09:00:00	0.68784	0.68840	0.68772	0.68835	1495	0	40
2020.10.27	10:00:00	0.68831	0.68890	0.68781	0.68851	2694	0	40
2020.10.27	11:00:00	0.68851	0.68900	0.68815	0.68890	2182	0	40
2020.10.27	12:00:00	0.68890	0.69005	0.68890	0.68992	1872	0	40
2020.10.27	13:00:00	0.68996	0.69025	0.68940	0.68955	1736	0	40
2020.10.27	14:00:00	0.68956	0.68965	0.68815	0.68835	1636	0	40
2020.10.27	15:00:00	0.68833	0.68835	0.68770	0.68784	2680	0	40
2020.10.27	16:00:00	0.68785	0.68902	0.68770	0.68853	2314	0	40
2020.10.27	17:00:00	0.68855	0.68905	0.68821	0.68882	2377	0	40
2020.10.27	18:00:00	0.68882	0.68935	0.68860	0.68933	1680	0	40
2020.10.27	19:00:00	0.68933	0.68953	0.68902	0.68925	1300	0	40
2020.10.27	20:00:00	0.68925	0.68928	0.68876	0.68919	1362	0	40
2020.10.27	21:00:00	0.68918	0.68922	0.68860	0.68910	1082	0	40
2020.10.27	22:00:00	0.68909	0.68925	0.68860	0.68891	1182	0	40
2020.10.27	23:00:00	0.68836	0.68926	0.68762	0.68923	777	0	74
2020.10.28	00:00:00	0.68901	0.68936	0.68882	0.68887	906	0	40
2020.10.28	01:00:00	0.68886	0.68909	0.68860	0.68880	711	0	40
2020.10.28	02:00:00	0.68878	0.68909	0.68860	0.68881	1584	0	40
2020.10.28	03:00:00	0.68881	0.68925	0.68874	0.68913	1273	0	40
2020.10.28	04:00:00	0.68912	0.68921	0.68871	0.68890	1176	0	40
2020.10.28	05:00:00	0.68890	0.68896	0.68857	0.68871	962	0	40
2020.10.28	06:00:00	0.68871	0.68923	0.68871	0.68906	619	0	41
2020.10.28	07:00:00	0.68907	0.68958	0.68882	0.68922	912	0	41
2020.10.28	08:00:00	0.68922	0.68972	0.68912	0.68967	1417	0	41
2020.10.28	09:00:00	0.68966	0.68966	0.68897	0.68930	2702	0	40
2020.10.28	10:00:00	0.68928	0.68965	0.68842	0.68845	3584	0	40
2020.10.28	11:00:00	0.68842	0.68910	0.68816	0.68835	3122	0	40
2020.10.28	12:00:00	0.68835	0.68879	0.68792	0.68805	2714	0	40
2020.10.28	13:00:00	0.68805	0.68806	0.68712	0.68728	2871	0	40
2020.10.28	14:00:00	0.68725	0.68725	0.68611	0.68650	3207	0	40
2020.10.28	15:00:00	0.68649	0.68669	0.68540	0.68594	3867	0	40
2020.10.28	16:00:00	0.68594	0.68600	0.68274	0.68325	4967	0	40
2020.10.28	17:00:00	0.68325	0.68430	0.68259	0.68264	3895	0	40
2020.10.28	18:00:00	0.68264	0.68356	0.68253	0.68318	2678	0	40
2020.10.28	19:00:00	0.68318	0.68358	0.68274	0.68342	2072	0	40
2020.10.28	20:00:00	0.68342	0.68413	0.68311	0.68409	2185	0	40
