<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	79.380	79.394	79.333	79.370	776	0	29
2020.10.27	01:00:00	79.371	79.390	79.331	79.364	1368	0	29
2020.10.27	02:00:00	79.364	79.432	79.287	79.423	2695	0	28
2020.10.27	03:00:00	79.423	79.437	79.368	79.378	1750	0	28
2020.10.27	04:00:00	79.379	79.417	79.375	79.408	1188	0	28
2020.10.27	05:00:00	79.408	79.421	79.370	79.415	635	0	28
2020.10.27	06:00:00	79.415	79.472	79.414	79.459	507	0	28
2020.10.27	07:00:00	79.459	79.500	79.457	79.465	1042	0	28
2020.10.27	08:00:00	79.466	79.511	79.437	79.499	1240	0	28
2020.10.27	09:00:00	79.499	79.522	79.445	79.510	1576	0	28
2020.10.27	10:00:00	79.510	79.517	79.370	79.405	2532	0	28
2020.10.27	11:00:00	79.406	79.408	79.255	79.274	2129	0	28
2020.10.27	12:00:00	79.274	79.433	79.270	79.425	1549	0	28
2020.10.27	13:00:00	79.425	79.480	79.416	79.465	1550	0	28
2020.10.27	14:00:00	79.464	79.494	79.392	79.408	1629	0	28
2020.10.27	15:00:00	79.407	79.407	79.328	79.375	2211	0	28
2020.10.27	16:00:00	79.374	79.394	79.291	79.357	2027	0	28
2020.10.27	17:00:00	79.355	79.377	79.268	79.366	2260	0	28
2020.10.27	18:00:00	79.366	79.406	79.343	79.401	1507	0	28
2020.10.27	19:00:00	79.400	79.433	79.378	79.384	1460	0	28
2020.10.27	20:00:00	79.384	79.395	79.321	79.350	1245	0	28
2020.10.27	21:00:00	79.351	79.355	79.289	79.307	1267	0	28
2020.10.27	22:00:00	79.307	79.328	79.172	79.172	1203	0	28
2020.10.27	23:00:00	79.148	79.221	79.059	79.219	876	0	28
2020.10.28	00:00:00	79.198	79.217	79.162	79.181	994	0	29
2020.10.28	01:00:00	79.181	79.257	79.161	79.235	920	0	29
2020.10.28	02:00:00	79.235	79.237	79.105	79.155	2126	0	28
2020.10.28	03:00:00	79.156	79.223	79.147	79.161	1472	0	28
2020.10.28	04:00:00	79.161	79.171	79.050	79.066	1588	0	28
2020.10.28	05:00:00	79.066	79.086	79.032	79.050	750	0	28
2020.10.28	06:00:00	79.049	79.069	79.002	79.028	784	0	28
2020.10.28	07:00:00	79.028	79.107	78.989	79.063	873	0	28
2020.10.28	08:00:00	79.063	79.066	78.995	79.014	1703	0	28
2020.10.28	09:00:00	79.014	79.017	78.880	78.910	2649	0	28
2020.10.28	10:00:00	78.909	78.920	78.816	78.875	3513	0	28
2020.10.28	11:00:00	78.876	78.892	78.681	78.681	2833	0	28
2020.10.28	12:00:00	78.682	78.713	78.607	78.613	2642	0	28
2020.10.28	13:00:00	78.612	78.697	78.549	78.648	2688	0	28
2020.10.28	14:00:00	78.648	78.674	78.533	78.590	2704	0	28
2020.10.28	15:00:00	78.590	78.618	78.479	78.555	3335	0	28
2020.10.28	16:00:00	78.554	78.554	78.208	78.266	4561	0	28
2020.10.28	17:00:00	78.260	78.399	78.246	78.300	3519	0	28
2020.10.28	18:00:00	78.299	78.411	78.297	78.350	2288	0	28
2020.10.28	19:00:00	78.350	78.386	78.271	78.376	1652	0	28
2020.10.28	20:00:00	78.376	78.460	78.317	78.446	1608	0	28
2020.10.28	21:00:00	78.446	78.478	78.350	78.365	2039	0	28
2020.10.28	22:00:00	78.366	78.375	78.262	78.289	1588	0	28
2020.10.28	23:00:00	78.281	78.310	78.236	78.282	1477	0	42
2020.10.29	00:00:00	78.274	78.378	78.270	78.333	692	0	30
2020.10.29	01:00:00	78.334	78.369	78.313	78.353	1901	0	28
2020.10.29	02:00:00	78.354	78.433	78.322	78.409	2899	0	28
2020.10.29	03:00:00	78.410	78.557	78.353	78.539	2500	0	28
2020.10.29	04:00:00	78.538	78.542	78.465	78.492	1200	0	28
2020.10.29	05:00:00	78.493	78.593	78.477	78.586	1109	0	28
2020.10.29	06:00:00	78.584	78.617	78.549	78.568	724	0	28
2020.10.29	07:00:00	78.568	78.574	78.521	78.537	1137	0	28
2020.10.29	08:00:00	78.537	78.590	78.502	78.544	1226	0	28
2020.10.29	09:00:00	78.547	78.548	78.392	78.409	2598	0	28
2020.10.29	10:00:00	78.409	78.465	78.247	78.273	3676	0	28
2020.10.29	11:00:00	78.272	78.328	78.114	78.137	2789	0	28
2020.10.29	12:00:00	78.136	78.141	78.033	78.125	2895	0	28
2020.10.29	13:00:00	78.124	78.126	77.971	77.977	3189	0	28
2020.10.29	14:00:00	77.977	78.100	77.955	78.052	3095	0	28
2020.10.29	15:00:00	78.052	78.078	77.902	78.076	5388	0	28
2020.10.29	16:00:00	78.076	78.365	78.058	78.320	4001	0	28
2020.10.29	17:00:00	78.319	78.414	78.283	78.296	3741	0	28
2020.10.29	18:00:00	78.295	78.386	78.295	78.381	3231	0	28
2020.10.29	19:00:00	78.380	78.420	78.319	78.417	1635	0	28
2020.10.29	20:00:00	78.417	78.562	78.413	78.526	2056	0	28
2020.10.29	21:00:00	78.525	78.619	78.525	78.554	2771	0	28
2020.10.29	22:00:00	78.551	78.591	78.471	78.482	1568	0	28
2020.10.29	23:00:00	78.490	78.519	78.487	78.498	636	0	50
2020.10.30	00:00:00	78.485	78.521	78.470	78.516	800	0	31
2020.10.30	01:00:00	78.516	78.539	78.476	78.508	757	0	29
2020.10.30	02:00:00	78.508	78.563	78.453	78.503	1928	0	28
2020.10.30	03:00:00	78.503	78.542	78.440	78.532	1914	0	28
2020.10.30	04:00:00	78.532	78.557	78.508	78.527	1021	0	28
2020.10.30	05:00:00	78.530	78.540	78.487	78.488	853	0	28
2020.10.30	06:00:00	78.488	78.507	78.373	78.380	837	0	28
2020.10.30	07:00:00	78.380	78.383	78.077	78.163	2692	0	28
2020.10.30	08:00:00	78.163	78.236	78.058	78.185	2139	0	28
2020.10.30	09:00:00	78.185	78.321	78.185	78.247	2923	0	28
2020.10.30	10:00:00	78.247	78.329	78.214	78.310	3698	0	28
2020.10.30	11:00:00	78.309	78.413	78.234	78.394	3319	0	28
2020.10.30	12:00:00	78.394	78.413	78.291	78.394	2439	0	28
2020.10.30	13:00:00	78.394	78.502	78.390	78.495	2375	0	28
2020.10.30	14:00:00	78.494	78.610	78.411	78.607	2813	0	28
2020.10.30	15:00:00	78.606	78.693	78.509	78.545	3985	0	28
2020.10.30	16:00:00	78.545	78.581	78.432	78.438	3983	0	28
2020.10.30	17:00:00	78.438	78.548	78.359	78.401	5192	0	28
2020.10.30	18:00:00	78.401	78.600	78.369	78.510	3586	0	28
2020.10.30	19:00:00	78.510	78.522	78.356	78.448	2671	0	28
2020.10.30	20:00:00	78.448	78.595	78.431	78.583	2640	0	28
2020.10.30	21:00:00	78.583	78.602	78.542	78.579	2975	0	28
2020.10.30	22:00:00	78.576	78.636	78.509	78.549	1384	0	28
2020.11.02	00:00:00	78.478	78.552	78.477	78.533	2247	0	28
2020.11.02	01:00:00	78.533	78.546	78.200	78.208	1553	0	28
2020.11.02	02:00:00	78.214	78.432	78.211	78.411	2415	0	28
2020.11.02	03:00:00	78.413	78.546	78.370	78.519	2199	0	28
2020.11.02	04:00:00	78.519	78.534	78.428	78.488	1376	0	28
2020.11.02	05:00:00	78.488	78.499	78.458	78.473	939	0	29
2020.11.02	06:00:00	78.474	78.497	78.447	78.454	1115	0	28
2020.11.02	07:00:00	78.454	78.517	78.446	78.483	1030	0	29
2020.11.02	08:00:00	78.481	78.558	78.470	78.518	2004	0	28
2020.11.02	09:00:00	78.518	78.652	78.500	78.651	2371	0	28
2020.11.02	10:00:00	78.651	78.700	78.595	78.677	4001	0	28
2020.11.02	11:00:00	78.676	78.777	78.666	78.704	2847	0	28
2020.11.02	12:00:00	78.705	78.740	78.659	78.698	2231	0	28
2020.11.02	13:00:00	78.697	78.801	78.677	78.800	1985	0	28
2020.11.02	14:00:00	78.800	78.803	78.688	78.688	1997	0	28
2020.11.02	15:00:00	78.688	78.923	78.688	78.868	2503	0	28
2020.11.02	16:00:00	78.868	78.962	78.844	78.943	3386	0	28
2020.11.02	17:00:00	78.946	79.096	78.907	78.917	4102	0	28
2020.11.02	18:00:00	78.918	79.108	78.917	79.051	2349	0	28
2020.11.02	19:00:00	79.050	79.122	79.042	79.108	2097	0	28
2020.11.02	20:00:00	79.109	79.116	79.039	79.075	2297	0	28
2020.11.02	21:00:00	79.074	79.237	79.064	79.223	2380	0	28
2020.11.02	22:00:00	79.222	79.236	79.172	79.202	2548	0	28
2020.11.02	23:00:00	79.202	79.245	79.137	79.242	848	0	28
2020.11.03	00:00:00	79.204	79.221	79.133	79.164	300	0	28
2020.11.03	01:00:00	79.163	79.231	79.163	79.195	1687	0	29
2020.11.03	02:00:00	79.195	79.268	79.186	79.259	1399	0	28
2020.11.03	03:00:00	79.259	79.270	79.189	79.258	1717	0	28
2020.11.03	04:00:00	79.257	79.266	79.192	79.211	1766	0	28
2020.11.03	05:00:00	79.211	79.214	79.137	79.171	1902	0	28
2020.11.03	06:00:00	79.169	79.169	79.130	79.133	1032	0	28
2020.11.03	07:00:00	79.133	79.188	79.132	79.148	1508	0	28
2020.11.03	08:00:00	79.147	79.158	79.068	79.070	1764	0	28
2020.11.03	09:00:00	79.071	79.124	78.976	79.099	2457	0	28
2020.11.03	10:00:00	79.099	79.412	79.082	79.412	3131	0	28
2020.11.03	11:00:00	79.412	79.684	79.410	79.656	2809	0	28
2020.11.03	12:00:00	79.656	79.658	79.502	79.506	1748	0	28
2020.11.03	13:00:00	79.503	79.636	79.499	79.605	3068	0	28
2020.11.03	14:00:00	79.601	79.616	79.532	79.553	2602	0	28
2020.11.03	15:00:00	79.553	79.695	79.551	79.584	3705	0	28
2020.11.03	16:00:00	79.584	79.752	79.580	79.729	3998	0	28
2020.11.03	17:00:00	79.727	79.811	79.666	79.760	4396	0	28
2020.11.03	18:00:00	79.760	79.765	79.550	79.557	3679	0	28
2020.11.03	19:00:00	79.559	79.567	79.394	79.403	1892	0	28
2020.11.03	20:00:00	79.403	79.441	79.346	79.369	2839	0	28
2020.11.03	21:00:00	79.365	79.440	79.363	79.397	2017	0	28
2020.11.03	22:00:00	79.397	79.536	79.378	79.497	2126	0	28
2020.11.03	23:00:00	79.497	79.541	79.462	79.515	2205	0	32
2020.11.04	00:00:00	79.458	79.625	79.415	79.616	1691	0	28
2020.11.04	01:00:00	79.616	79.858	79.584	79.767	4890	0	28
2020.11.04	02:00:00	79.768	79.798	79.320	79.346	7687	0	28
2020.11.04	03:00:00	79.346	79.620	79.306	79.340	8021	0	28
2020.11.04	04:00:00	79.341	79.443	79.160	79.375	9817	0	28
2020.11.04	05:00:00	79.375	79.633	79.254	79.338	8035	0	28
2020.11.04	06:00:00	79.339	79.434	79.138	79.176	6185	0	28
2020.11.04	07:00:00	79.176	79.305	79.145	79.278	6473	0	28
2020.11.04	08:00:00	79.274	79.303	79.137	79.201	4866	0	28
2020.11.04	09:00:00	79.201	79.211	78.864	78.973	6822	0	28
2020.11.04	10:00:00	78.974	79.314	78.966	79.164	6034	0	28
2020.11.04	11:00:00	79.163	79.407	79.157	79.354	4750	0	28
2020.11.04	12:00:00	79.355	79.368	79.105	79.195	4274	0	28
2020.11.04	13:00:00	79.195	79.338	79.103	79.282	4216	0	28
2020.11.04	14:00:00	79.281	79.369	79.182	79.316	6677	0	28
2020.11.04	15:00:00	79.316	79.461	79.264	79.283	5874	0	28
2020.11.04	16:00:00	79.282	79.329	79.145	79.203	5064	0	28
2020.11.04	17:00:00	79.204	79.561	79.181	79.537	5191	0	28
2020.11.04	18:00:00	79.539	79.618	79.402	79.588	4513	0	28
2020.11.04	19:00:00	79.589	79.745	79.583	79.682	3969	0	28
2020.11.04	20:00:00	79.683	79.763	79.565	79.596	3185	0	28
2020.11.04	21:00:00	79.596	79.607	79.512	79.563	3414	0	28
2020.11.04	22:00:00	79.567	79.577	79.468	79.523	3911	0	28
2020.11.04	23:00:00	79.524	79.649	79.493	79.550	2165	0	29
2020.11.05	00:00:00	79.543	79.610	79.477	79.527	1607	0	28
2020.11.05	01:00:00	79.525	79.578	79.486	79.545	1601	0	28
2020.11.05	02:00:00	79.544	79.544	79.343	79.357	4217	0	28
2020.11.05	03:00:00	79.359	79.383	79.179	79.222	4031	0	28
2020.11.05	04:00:00	79.222	79.291	79.174	79.255	3475	0	28
2020.11.05	05:00:00	79.255	79.348	79.253	79.319	2572	0	28
2020.11.05	06:00:00	79.321	79.408	79.314	79.381	1987	0	28
2020.11.05	07:00:00	79.381	79.453	79.366	79.414	2217	0	28
2020.11.05	08:00:00	79.413	79.462	79.366	79.400	2134	0	28
2020.11.05	09:00:00	79.401	79.495	79.383	79.479	5264	0	28
