<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	115.436	115.477	115.402	115.452	636	0	53
2020.10.27	01:00:00	115.454	115.469	115.406	115.417	572	0	53
2020.10.27	02:00:00	115.418	115.512	115.339	115.512	2250	0	51
2020.10.27	03:00:00	115.512	115.518	115.436	115.462	1675	0	51
2020.10.27	04:00:00	115.462	115.512	115.444	115.447	1290	0	51
2020.10.27	05:00:00	115.448	115.454	115.394	115.447	676	0	51
2020.10.27	06:00:00	115.448	115.517	115.445	115.493	568	0	51
2020.10.27	07:00:00	115.493	115.542	115.490	115.539	816	0	52
2020.10.27	08:00:00	115.539	115.551	115.459	115.537	1083	0	51
2020.10.27	09:00:00	115.539	115.539	115.427	115.465	1495	0	52
2020.10.27	10:00:00	115.466	115.503	115.255	115.285	3265	0	51
2020.10.27	11:00:00	115.285	115.302	115.014	115.031	2737	0	51
2020.10.27	12:00:00	115.029	115.107	114.880	115.078	2286	0	51
2020.10.27	13:00:00	115.077	115.233	115.035	115.202	1722	0	51
2020.10.27	14:00:00	115.199	115.332	115.196	115.321	1644	0	51
2020.10.27	15:00:00	115.321	115.399	115.249	115.353	2256	0	51
2020.10.27	16:00:00	115.355	115.378	115.113	115.207	2425	0	51
2020.10.27	17:00:00	115.207	115.209	115.096	115.176	2500	0	51
2020.10.27	18:00:00	115.176	115.205	115.121	115.144	1508	0	51
2020.10.27	19:00:00	115.144	115.176	115.106	115.137	1392	0	51
2020.10.27	20:00:00	115.137	115.168	115.095	115.097	880	0	52
2020.10.27	21:00:00	115.097	115.129	115.045	115.045	886	0	51
2020.10.27	22:00:00	115.046	115.074	114.871	114.878	1120	0	51
2020.10.27	23:00:00	114.843	114.893	114.813	114.870	1087	0	76
2020.10.28	00:00:00	114.872	114.908	114.815	114.899	1149	0	51
2020.10.28	01:00:00	114.899	115.002	114.872	114.990	855	0	51
2020.10.28	02:00:00	114.995	114.995	114.802	114.871	2390	0	51
2020.10.28	03:00:00	114.874	114.948	114.823	114.832	1850	0	51
2020.10.28	04:00:00	114.832	114.872	114.704	114.729	2058	0	51
2020.10.28	05:00:00	114.731	114.795	114.693	114.735	884	0	51
2020.10.28	06:00:00	114.738	114.738	114.593	114.647	962	0	51
2020.10.28	07:00:00	114.646	114.716	114.606	114.670	1084	0	51
2020.10.28	08:00:00	114.669	114.669	114.509	114.525	1835	0	51
2020.10.28	09:00:00	114.526	114.537	114.403	114.440	2300	0	51
2020.10.28	10:00:00	114.440	114.529	114.288	114.528	3695	0	51
2020.10.28	11:00:00	114.528	114.528	114.263	114.266	3836	0	51
2020.10.28	12:00:00	114.266	114.336	114.177	114.210	2777	0	51
2020.10.28	13:00:00	114.210	114.438	114.167	114.391	3537	0	51
2020.10.28	14:00:00	114.392	114.491	114.327	114.436	3248	0	51
2020.10.28	15:00:00	114.440	114.559	114.368	114.482	3711	0	51
2020.10.28	16:00:00	114.482	114.544	114.395	114.506	3858	0	51
2020.10.28	17:00:00	114.504	114.678	114.396	114.657	3186	0	51
2020.10.28	18:00:00	114.657	114.716	114.596	114.642	2155	0	51
2020.10.28	19:00:00	114.642	114.654	114.579	114.633	1513	0	51
2020.10.28	20:00:00	114.632	114.655	114.587	114.632	1770	0	51
2020.10.28	21:00:00	114.631	114.649	114.578	114.617	1739	0	51
2020.10.28	22:00:00	114.617	114.618	114.544	114.544	1160	0	51
2020.10.28	23:00:00	114.544	114.560	114.459	114.512	898	0	86
2020.10.29	00:00:00	114.512	114.588	114.505	114.537	505	0	56
2020.10.29	01:00:00	114.537	114.563	114.480	114.512	623	0	52
2020.10.29	02:00:00	114.510	114.656	114.503	114.652	2244	0	51
2020.10.29	03:00:00	114.652	114.781	114.544	114.757	2125	0	51
2020.10.29	04:00:00	114.757	114.765	114.679	114.721	1351	0	51
2020.10.29	05:00:00	114.721	114.834	114.691	114.808	1135	0	51
2020.10.29	06:00:00	114.808	114.876	114.784	114.817	955	0	51
2020.10.29	07:00:00	114.817	114.826	114.738	114.790	1080	0	51
2020.10.29	08:00:00	114.789	114.804	114.716	114.727	1418	0	51
2020.10.29	09:00:00	114.722	114.733	114.428	114.429	3020	0	51
2020.10.29	10:00:00	114.428	114.468	114.335	114.379	3434	0	51
2020.10.29	11:00:00	114.379	114.446	114.136	114.158	2803	0	51
2020.10.29	12:00:00	114.158	114.235	114.081	114.154	3180	0	51
