<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.16	11:00:00	2226.2	2235.6	2219.7	2234.1	98	0	48
2020.04.16	12:00:00	2234.1	2238.1	2221.2	2221.2	136	0	48
2020.04.16	13:00:00	2220.2	2225.7	2219.2	2224.7	115	0	48
2020.04.16	14:00:00	2224.2	2228.2	2213.3	2214.3	224	0	48
2020.04.16	15:00:00	2212.3	2220.3	2205.4	2216.8	386	0	48
2020.04.16	16:00:00	2216.8	2225.2	2211.8	2222.2	252	0	48
2020.04.16	17:00:00	2221.3	2235.2	2217.8	2233.2	318	0	48
2020.04.16	18:00:00	2232.7	2249.6	2225.2	2249.6	322	0	48
2020.04.16	19:00:00	2250.1	2252.0	2245.6	2247.1	170	0	48
2020.04.16	20:00:00	2247.1	2251.1	2244.1	2248.1	108	0	48
2020.04.17	11:00:00	2246.2	2250.7	2241.7	2243.2	89	0	48
2020.04.17	12:00:00	2242.7	2262.1	2241.3	2259.6	164	0	48
2020.04.17	13:00:00	2259.6	2259.6	2243.7	2252.2	165	0	48
2020.04.17	14:00:00	2251.2	2261.6	2246.2	2254.7	146	0	48
2020.04.17	15:00:00	2255.7	2264.6	2239.3	2264.1	357	0	48
2020.04.17	16:00:00	2264.1	2341.5	2264.1	2323.7	678	0	48
2020.04.17	17:00:00	2324.2	2331.6	2317.7	2330.6	312	0	48
2020.04.17	18:00:00	2329.6	2348.5	2329.6	2344.5	300	0	48
2020.04.17	19:00:00	2343.5	2344.5	2335.1	2336.6	144	0	48
2020.04.17	20:00:00	2336.6	2340.1	2336.6	2336.6	68	0	48
2020.04.20	11:00:00	2331.2	2336.1	2324.2	2330.7	121	0	48
2020.04.20	12:00:00	2330.2	2340.1	2329.2	2340.1	190	0	48
2020.04.20	13:00:00	2339.1	2341.1	2335.1	2337.6	110	0	48
2020.04.20	14:00:00	2338.6	2339.1	2321.7	2322.2	178	0	48
2020.04.20	15:00:00	2320.8	2320.8	2306.4	2313.3	316	0	48
2020.04.20	16:00:00	2313.3	2323.2	2309.8	2318.8	181	0	48
2020.04.20	17:00:00	2319.3	2340.1	2313.8	2338.2	295	0	48
2020.04.20	18:00:00	2338.2	2340.6	2331.2	2333.2	280	0	48
2020.04.20	19:00:00	2332.2	2334.2	2326.2	2329.7	184	0	48
2020.04.20	20:00:00	2329.7	2330.2	2321.3	2328.7	93	0	48
2020.04.21	11:00:00	2316.0	2316.0	2290.1	2301.1	105	0	48
2020.04.21	12:00:00	2301.6	2304.5	2275.2	2281.6	205	0	48
2020.04.21	13:00:00	2282.6	2302.5	2282.6	2298.0	172	0	48
2020.04.21	14:00:00	2298.0	2314.4	2297.0	2306.5	302	0	48
2020.04.21	15:00:00	2305.5	2328.8	2305.0	2323.3	379	0	48
2020.04.21	16:00:00	2323.8	2325.3	2305.5	2309.9	333	0	48
2020.04.21	17:00:00	2309.9	2313.4	2286.6	2293.1	314	0	48
2020.04.21	18:00:00	2293.6	2307.5	2287.6	2298.5	353	0	48
2020.04.21	19:00:00	2298.5	2307.5	2298.5	2305.5	139	0	48
2020.04.21	20:00:00	2306.5	2307.5	2291.6	2300.0	89	0	48
2020.04.22	11:00:00	2319.5	2320.0	2304.6	2314.1	88	0	48
2020.04.22	12:00:00	2314.6	2321.5	2312.6	2320.5	146	0	48
2020.04.22	13:00:00	2320.5	2323.0	2319.0	2321.5	97	0	48
2020.04.22	14:00:00	2321.5	2321.5	2303.7	2315.6	185	0	48
2020.04.22	15:00:00	2314.6	2327.5	2301.7	2325.5	399	0	48
2020.04.22	16:00:00	2326.0	2337.9	2325.5	2336.9	304	0	48
2020.04.22	17:00:00	2336.5	2365.3	2326.5	2364.3	362	0	48
2020.04.22	18:00:00	2364.3	2367.2	2347.4	2347.9	434	0	48
2020.04.22	19:00:00	2347.4	2348.4	2345.4	2345.4	131	0	48
2020.04.22	20:00:00	2345.4	2348.9	2343.4	2345.9	68	0	48
2020.04.23	11:00:00	2346.5	2355.5	2346.0	2354.5	93	0	48
2020.04.23	12:00:00	2354.0	2359.4	2349.5	2356.5	226	0	48
2020.04.23	13:00:00	2356.0	2356.5	2345.1	2352.0	256	0	48
2020.04.23	14:00:00	2352.5	2357.0	2347.1	2348.5	237	0	48
2020.04.23	15:00:00	2348.0	2367.4	2340.1	2352.5	445	0	48
2020.04.23	16:00:00	2353.0	2354.5	2336.6	2344.6	341	0	48
2020.04.23	17:00:00	2344.1	2365.4	2333.2	2356.5	492	0	48
2020.04.23	18:00:00	2356.5	2356.5	2342.1	2345.6	395	0	48
2020.04.23	19:00:00	2345.1	2345.6	2340.1	2342.1	143	0	48
2020.04.23	20:00:00	2342.1	2343.6	2334.7	2339.7	118	0	48
2020.04.24	11:00:00	2337.8	2338.3	2302.0	2316.4	160	0	48
2020.04.24	12:00:00	2315.9	2316.9	2308.5	2312.6	174	0	48
2020.04.24	13:00:00	2313.6	2317.0	2310.6	2316.0	167	0	48
2020.04.24	14:00:00	2317.0	2317.5	2308.1	2309.1	155	0	48
2020.04.24	15:00:00	2310.1	2322.0	2309.1	2314.1	330	0	48
2020.04.24	16:00:00	2312.6	2321.0	2291.7	2293.2	380	0	48
2020.04.24	17:00:00	2292.2	2307.6	2291.2	2298.7	382	0	48
2020.04.24	18:00:00	2298.2	2313.1	2297.2	2308.1	387	0	48
2020.04.24	19:00:00	2307.6	2312.1	2307.2	2311.1	143	0	48
2020.04.24	20:00:00	2311.1	2317.6	2307.2	2314.1	113	0	48
2020.04.27	11:00:00	2323.5	2328.0	2321.0	2324.5	104	0	48
2020.04.27	12:00:00	2324.5	2325.5	2309.1	2323.0	219	0	48
2020.04.27	13:00:00	2324.5	2335.4	2320.5	2325.0	223	0	48
2020.04.27	14:00:00	2325.5	2329.9	2317.5	2326.5	207	0	48
2020.04.27	15:00:00	2326.5	2326.5	2301.6	2322.5	362	0	48
2020.04.27	16:00:00	2323.0	2327.5	2316.1	2318.5	245	0	48
2020.04.27	17:00:00	2318.5	2318.5	2294.2	2294.7	351	0	48
2020.04.27	18:00:00	2294.2	2317.6	2292.7	2308.6	278	0	48
2020.04.27	19:00:00	2308.6	2309.6	2300.7	2300.7	102	0	48
2020.04.27	20:00:00	2301.7	2305.2	2299.7	2299.7	64	0	48
2020.04.28	11:00:00	2307.3	2316.7	2302.3	2303.8	110	0	48
2020.04.28	12:00:00	2304.3	2323.7	2303.8	2322.7	172	0	48
2020.04.28	13:00:00	2323.7	2324.2	2317.2	2319.7	103	0	48
2020.04.28	14:00:00	2320.2	2324.7	2310.8	2310.8	164	0	48
2020.04.28	15:00:00	2313.8	2349.5	2307.8	2344.6	402	0	48
2020.04.28	16:00:00	2344.6	2348.5	2326.2	2340.6	325	0	48
2020.04.28	17:00:00	2340.1	2364.4	2337.6	2342.1	459	0	48
2020.04.28	18:00:00	2341.6	2345.6	2317.8	2333.7	362	0	48
2020.04.28	19:00:00	2332.7	2339.6	2331.7	2337.6	111	0	48
2020.04.28	20:00:00	2337.6	2339.6	2327.2	2327.7	79	0	48
2020.04.29	11:00:00	2338.8	2344.7	2334.3	2340.2	64	0	48
2020.04.29	12:00:00	2339.7	2347.7	2332.8	2347.2	146	0	48
2020.04.29	13:00:00	2348.2	2349.7	2342.7	2342.7	109	0	48
2020.04.29	14:00:00	2343.2	2360.6	2342.7	2355.7	252	0	48
2020.04.29	15:00:00	2354.7	2364.1	2346.7	2349.2	326	0	48
2020.04.29	16:00:00	2349.7	2361.6	2348.7	2359.7	286	0	48
2020.04.29	17:00:00	2359.7	2363.1	2358.7	2360.7	194	0	48
2020.04.29	18:00:00	2360.7	2361.7	2353.7	2358.7	187	0	48
2020.04.29	19:00:00	2358.7	2358.7	2354.7	2354.7	99	0	48
2020.04.29	20:00:00	2355.7	2358.2	2353.2	2357.2	64	0	48
2020.04.30	11:00:00	2360.8	2363.8	2344.9	2347.4	188	0	48
2020.04.30	12:00:00	2346.9	2357.3	2342.4	2356.3	186	0	48
2020.04.30	13:00:00	2356.8	2363.8	2356.3	2362.3	204	0	48
2020.04.30	14:00:00	2362.8	2373.2	2356.4	2365.8	247	0	48
2020.04.30	15:00:00	2364.3	2372.8	2355.4	2360.8	421	0	48
2020.04.30	16:00:00	2360.3	2361.8	2348.4	2355.9	281	0	48
2020.04.30	17:00:00	2355.9	2375.8	2354.9	2372.8	367	0	48
2020.04.30	18:00:00	2373.3	2406.6	2373.3	2389.7	486	0	48
2020.04.30	19:00:00	2389.7	2392.7	2386.7	2388.7	185	0	48
2020.04.30	20:00:00	2388.7	2392.2	2385.7	2389.2	118	0	48
2020.05.01	11:00:00	2393.3	2395.8	2379.9	2390.8	150	0	48
2020.05.01	12:00:00	2391.8	2394.3	2389.3	2391.8	169	0	48
2020.05.01	13:00:00	2392.3	2395.8	2389.8	2393.8	146	0	48
2020.05.01	14:00:00	2394.3	2403.7	2394.3	2394.8	196	0	48
