<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	307.21	307.49	307.12	307.24	117	0	38
2020.10.27	01:00:00	307.19	307.33	306.94	306.94	151	0	38
2020.10.27	02:00:00	306.92	307.19	306.80	307.00	317	0	38
2020.10.27	03:00:00	307.00	307.49	306.10	306.18	801	0	38
2020.10.27	04:00:00	306.14	306.95	306.14	306.85	516	0	38
2020.10.27	05:00:00	306.87	306.87	306.39	306.45	305	0	38
2020.10.27	06:00:00	306.43	306.89	306.43	306.89	166	0	38
2020.10.27	07:00:00	306.89	308.00	306.85	307.80	496	0	38
2020.10.27	08:00:00	307.85	308.69	307.75	308.44	530	0	38
2020.10.27	09:00:00	308.39	308.39	307.05	307.14	538	0	38
2020.10.27	10:00:00	307.13	307.64	306.51	307.13	960	0	38
2020.10.27	11:00:00	307.14	307.60	306.71	307.45	667	0	38
2020.10.27	12:00:00	307.50	308.64	307.50	308.52	563	0	38
2020.10.27	13:00:00	308.55	309.00	308.23	308.89	497	0	38
2020.10.27	14:00:00	309.05	309.35	307.95	308.50	666	0	28
2020.10.27	15:00:00	308.45	308.80	307.66	307.91	1150	0	28
2020.10.27	16:00:00	307.96	308.16	306.91	307.88	1003	0	28
2020.10.27	17:00:00	307.91	308.16	306.71	307.54	910	0	28
2020.10.27	18:00:00	307.51	307.61	307.06	307.51	673	0	28
2020.10.27	19:00:00	307.51	307.76	307.11	307.56	288	0	28
2020.10.27	20:00:00	307.61	307.61	306.96	307.12	275	0	28
2020.10.27	21:00:00	307.07	307.32	306.77	307.17	225	0	28
2020.10.27	22:00:00	307.12	307.21	306.52	306.71	188	0	38
2020.10.28	00:00:00	306.85	306.92	305.23	305.98	317	0	38
2020.10.28	01:00:00	305.98	306.33	305.93	306.13	109	0	38
2020.10.28	02:00:00	306.10	306.23	305.48	305.98	354	0	38
2020.10.28	03:00:00	306.38	307.02	305.98	306.52	840	0	38
2020.10.28	04:00:00	306.48	306.98	306.27	306.77	503	0	38
2020.10.28	05:00:00	306.73	307.27	306.63	306.98	264	0	38
2020.10.28	06:00:00	306.93	307.08	306.83	306.98	102	0	38
2020.10.28	07:00:00	307.02	307.96	306.83	307.71	525	0	38
2020.10.28	08:00:00	307.75	308.57	307.63	308.12	754	0	38
2020.10.28	09:00:00	308.14	308.71	307.73	308.17	734	0	38
2020.10.28	10:00:00	308.17	308.64	306.14	307.13	1167	0	38
2020.10.28	11:00:00	307.08	307.55	306.44	306.93	744	0	38
2020.10.28	12:00:00	306.96	307.02	305.49	305.52	684	0	38
2020.10.28	13:00:00	305.54	305.69	304.60	305.00	802	0	38
2020.10.28	14:00:00	305.05	305.07	302.39	303.06	1232	0	28
2020.10.28	15:00:00	303.11	305.30	302.96	304.70	1719	0	28
2020.10.28	16:00:00	304.68	304.80	302.49	303.11	1625	0	28
2020.10.28	17:00:00	303.06	305.75	302.41	305.60	1518	0	28
2020.10.28	18:00:00	305.64	306.14	304.46	304.51	1098	0	28
2020.10.28	19:00:00	304.51	305.14	304.21	305.05	745	0	28
2020.10.28	20:00:00	305.02	305.48	304.36	305.14	713	0	28
2020.10.28	21:00:00	305.20	305.45	304.41	304.61	692	0	28
2020.10.28	22:00:00	304.56	305.16	304.46	304.86	274	0	38
2020.10.29	00:00:00	305.01	305.46	304.88	305.01	184	0	38
2020.10.29	01:00:00	305.01	305.36	304.46	305.31	245	0	38
2020.10.29	02:00:00	305.26	305.86	304.91	305.01	417	0	38
2020.10.29	03:00:00	305.06	305.81	304.81	305.58	979	0	38
2020.10.29	04:00:00	305.56	306.01	305.39	305.96	547	0	38
2020.10.29	05:00:00	305.93	306.41	305.71	306.38	424	0	38
2020.10.29	06:00:00	306.36	306.61	306.26	306.43	160	0	38
2020.10.29	07:00:00	306.48	307.01	306.21	306.91	583	0	38
2020.10.29	08:00:00	306.96	307.50	306.56	306.61	681	0	38
2020.10.29	09:00:00	306.66	306.66	305.46	305.71	741	0	38
2020.10.29	10:00:00	305.64	306.21	304.32	304.71	1274	0	38
2020.10.29	11:00:00	304.67	305.87	304.67	304.71	734	0	38
2020.10.29	12:00:00	304.67	304.71	303.73	304.25	759	0	38
2020.10.29	13:00:00	304.23	304.30	302.74	302.83	798	0	38
2020.10.29	14:00:00	302.91	303.63	302.51	303.52	984	0	28
2020.10.29	15:00:00	303.46	304.63	303.27	304.11	1747	0	28
2020.10.29	16:00:00	304.16	305.82	303.71	305.77	1638	0	28
2020.10.29	17:00:00	305.75	305.77	303.98	304.08	1157	0	28
2020.10.29	18:00:00	304.18	304.76	303.69	303.74	824	0	28
2020.10.29	19:00:00	303.79	304.63	303.69	304.63	502	0	28
2020.10.29	20:00:00	304.66	305.33	304.66	304.88	514	0	28
2020.10.29	21:00:00	304.86	305.52	304.77	304.83	519	0	28
