<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.29	04:00:00	61.485	61.495	61.339	61.389	98	0	180
2020.07.29	05:00:00	61.429	61.454	61.364	61.364	65	0	180
2020.07.29	06:00:00	61.374	61.414	61.364	61.364	27	0	180
2020.07.29	07:00:00	61.364	61.414	61.319	61.349	20	0	180
2020.07.29	08:00:00	61.359	61.559	61.359	61.554	80	0	180
2020.07.29	09:00:00	61.564	61.911	61.499	61.805	165	0	180
2020.07.29	10:00:00	61.800	61.800	61.579	61.579	82	0	180
2020.07.29	11:00:00	61.610	61.835	61.605	61.805	108	0	180
2020.07.29	12:00:00	61.810	61.971	61.775	61.926	104	0	180
2020.07.29	13:00:00	61.921	61.966	61.895	61.926	55	0	180
2020.07.29	14:00:00	61.925	61.966	61.840	61.930	111	0	180
2020.07.29	15:00:00	61.925	61.925	61.499	61.745	415	0	180
2020.07.29	16:00:00	61.750	61.925	61.574	61.735	548	0	180
2020.07.29	17:00:00	61.740	61.840	61.453	61.654	749	0	180
2020.07.29	18:00:00	61.664	61.749	61.458	61.604	417	0	180
2020.07.29	19:00:00	61.609	61.905	61.544	61.759	326	0	180
2020.07.29	20:00:00	61.739	61.915	61.684	61.764	236	0	180
2020.07.29	21:00:00	61.769	61.870	61.574	61.810	249	0	180
2020.07.30	04:00:00	61.849	61.929	61.754	61.889	155	0	180
2020.07.30	05:00:00	61.889	61.904	61.693	61.754	70	0	180
2020.07.30	06:00:00	61.754	61.809	61.744	61.764	43	0	180
2020.07.30	07:00:00	61.739	61.739	61.713	61.723	9	0	180
2020.07.30	08:00:00	61.718	61.829	61.663	61.829	51	0	180
2020.07.30	09:00:00	61.809	61.859	61.713	61.778	94	0	180
2020.07.30	10:00:00	61.768	61.768	61.362	61.462	134	0	180
2020.07.30	11:00:00	61.462	61.522	61.367	61.407	88	0	180
2020.07.30	12:00:00	61.392	61.432	61.086	61.101	181	0	180
