<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	38.69	38.84	38.69	38.84	106	0	3
2020.10.27	01:00:00	38.83	38.86	38.71	38.72	118	0	3
2020.10.27	02:00:00	38.72	38.81	38.69	38.78	207	0	2
2020.10.27	03:00:00	38.78	38.79	38.65	38.74	241	0	3
2020.10.27	04:00:00	38.75	38.88	38.75	38.79	129	0	3
2020.10.27	05:00:00	38.78	38.86	38.76	38.84	62	0	3
2020.10.27	06:00:00	38.84	38.88	38.84	38.86	47	0	3
2020.10.27	07:00:00	38.88	38.97	38.86	38.93	93	0	3
2020.10.27	08:00:00	38.94	39.07	38.93	39.07	131	0	3
2020.10.27	09:00:00	39.06	39.10	38.83	38.89	238	0	2
2020.10.27	10:00:00	38.89	39.11	38.79	39.01	674	0	2
2020.10.27	11:00:00	39.00	39.00	38.72	38.96	476	0	2
2020.10.27	12:00:00	38.95	39.21	38.90	39.13	384	0	2
2020.10.27	13:00:00	39.15	39.17	38.97	38.97	246	0	2
2020.10.27	14:00:00	38.97	39.01	38.75	38.86	257	0	2
2020.10.27	15:00:00	38.85	39.04	38.61	39.04	834	0	2
2020.10.27	16:00:00	39.04	39.11	38.82	39.09	803	0	2
2020.10.27	17:00:00	39.10	39.63	39.04	39.54	1101	0	2
2020.10.27	18:00:00	39.58	39.74	39.49	39.63	828	0	2
2020.10.27	19:00:00	39.61	39.92	39.54	39.79	578	0	2
2020.10.27	20:00:00	39.81	39.88	39.47	39.52	588	0	2
2020.10.27	21:00:00	39.54	39.61	39.51	39.53	304	0	3
2020.10.27	22:00:00	39.52	39.58	39.01	39.01	446	0	3
2020.10.28	00:00:00	39.07	39.11	38.78	38.82	348	0	2
2020.10.28	01:00:00	38.83	38.97	38.79	38.97	179	0	3
2020.10.28	02:00:00	38.97	39.09	38.90	39.04	166	0	3
2020.10.28	03:00:00	39.06	39.07	38.86	38.92	202	0	3
2020.10.28	04:00:00	38.90	38.94	38.72	38.76	218	0	3
2020.10.28	05:00:00	38.75	38.79	38.72	38.78	79	0	3
2020.10.28	06:00:00	38.77	38.88	38.77	38.86	83	0	3
2020.10.28	07:00:00	38.85	38.93	38.79	38.85	99	0	3
2020.10.28	08:00:00	38.86	38.93	38.64	38.65	144	0	3
2020.10.28	09:00:00	38.67	38.70	38.38	38.45	664	0	2
2020.10.28	10:00:00	38.45	38.57	38.04	38.24	1143	0	2
2020.10.28	11:00:00	38.22	38.29	38.04	38.13	973	0	2
2020.10.28	12:00:00	38.13	38.22	37.95	37.96	913	0	2
2020.10.28	13:00:00	37.97	37.99	37.74	37.90	425	0	2
2020.10.28	14:00:00	37.92	37.93	37.79	37.86	396	0	3
2020.10.28	15:00:00	37.85	37.88	37.40	37.49	1046	0	2
2020.10.28	16:00:00	37.47	37.83	37.22	37.51	2099	0	2
2020.10.28	17:00:00	37.50	37.71	37.18	37.67	1561	0	2
2020.10.28	18:00:00	37.65	37.77	37.27	37.33	1493	0	2
2020.10.28	19:00:00	37.32	37.45	37.10	37.43	675	0	2
2020.10.28	20:00:00	37.42	37.67	37.17	37.61	702	0	2
2020.10.28	21:00:00	37.63	37.65	37.38	37.44	468	0	2
2020.10.28	22:00:00	37.45	37.50	37.40	37.42	178	0	3
2020.10.29	00:00:00	37.50	37.67	37.49	37.65	164	0	2
2020.10.29	01:00:00	37.65	37.89	37.64	37.86	160	0	2
2020.10.29	02:00:00	37.84	37.85	37.61	37.69	511	0	3
2020.10.29	03:00:00	37.67	37.84	37.64	37.82	301	0	3
2020.10.29	04:00:00	37.83	37.83	37.57	37.63	210	0	3
2020.10.29	05:00:00	37.64	37.64	37.34	37.61	271	0	3
2020.10.29	06:00:00	37.60	37.69	37.58	37.68	142	0	3
2020.10.29	07:00:00	37.69	37.69	37.54	37.65	239	0	3
2020.10.29	08:00:00	37.65	37.81	37.58	37.69	325	0	3
2020.10.29	09:00:00	37.69	37.71	37.29	37.39	698	0	3
2020.10.29	10:00:00	37.38	37.50	36.71	36.74	1506	0	2
2020.10.29	11:00:00	36.72	36.84	36.25	36.40	1286	0	2
2020.10.29	12:00:00	36.39	36.40	35.90	36.22	1186	0	2
2020.10.29	13:00:00	36.21	36.34	35.90	35.90	719	0	2
2020.10.29	14:00:00	35.92	35.93	35.52	35.70	1090	0	2
2020.10.29	15:00:00	35.69	35.70	35.07	35.57	2385	0	2
2020.10.29	16:00:00	35.58	36.36	35.43	36.36	2413	0	2
2020.10.29	17:00:00	36.36	36.44	35.94	35.97	1833	0	2
2020.10.29	18:00:00	35.97	36.22	35.83	35.92	1647	0	2
2020.10.29	19:00:00	35.93	36.46	35.90	36.45	974	0	2
2020.10.29	20:00:00	36.45	36.63	36.25	36.39	1462	0	2
2020.10.29	21:00:00	36.38	36.56	36.33	36.40	507	0	2
2020.10.29	22:00:00	36.39	36.46	36.15	36.15	297	0	3
2020.10.30	00:00:00	36.22	36.31	36.03	36.25	272	0	2
2020.10.30	01:00:00	36.25	36.35	36.22	36.32	177	0	2
2020.10.30	02:00:00	36.33	36.43	36.28	36.36	310	0	2
2020.10.30	03:00:00	36.36	36.59	36.35	36.57	419	0	3
2020.10.30	04:00:00	36.58	36.74	36.54	36.65	257	0	2
2020.10.30	05:00:00	36.64	36.65	36.45	36.52	192	0	3
