<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.65816	1.65874	1.65775	1.65830	1650	0	24
2020.10.27	01:00:00	1.65833	1.65931	1.65788	1.65915	1838	0	23
2020.10.27	02:00:00	1.65915	1.65918	1.65651	1.65776	3758	0	23
2020.10.27	03:00:00	1.65775	1.65957	1.65742	1.65858	4308	0	23
2020.10.27	04:00:00	1.65858	1.65879	1.65660	1.65674	4246	0	23
2020.10.27	05:00:00	1.65674	1.65766	1.65668	1.65730	2673	0	23
2020.10.27	06:00:00	1.65730	1.65786	1.65712	1.65750	1914	0	23
2020.10.27	07:00:00	1.65750	1.65861	1.65716	1.65858	2962	0	23
2020.10.27	08:00:00	1.65857	1.65897	1.65705	1.65883	3094	0	23
2020.10.27	09:00:00	1.65882	1.65903	1.65770	1.65809	3647	0	23
2020.10.27	10:00:00	1.65811	1.65857	1.65560	1.65759	5812	0	23
2020.10.27	11:00:00	1.65757	1.65827	1.65665	1.65736	4592	0	23
2020.10.27	12:00:00	1.65736	1.65816	1.65595	1.65735	3948	0	23
2020.10.27	13:00:00	1.65733	1.65820	1.65601	1.65714	3658	0	23
2020.10.27	14:00:00	1.65715	1.65845	1.65691	1.65819	3206	0	23
2020.10.27	15:00:00	1.65819	1.66037	1.65798	1.66020	5031	0	23
2020.10.27	16:00:00	1.66021	1.66049	1.65686	1.65699	5179	0	23
2020.10.27	17:00:00	1.65699	1.65780	1.65572	1.65664	4639	0	23
2020.10.27	18:00:00	1.65658	1.65719	1.65549	1.65579	3226	0	23
2020.10.27	19:00:00	1.65579	1.65637	1.65474	1.65541	2371	0	23
2020.10.27	20:00:00	1.65540	1.65658	1.65528	1.65611	2267	0	23
2020.10.27	21:00:00	1.65611	1.65652	1.65491	1.65503	2188	0	23
2020.10.27	22:00:00	1.65502	1.65651	1.65411	1.65439	1791	0	23
2020.10.27	23:00:00	1.65522	1.65692	1.65383	1.65435	1497	0	23
2020.10.28	00:00:00	1.65425	1.65537	1.65385	1.65490	3387	0	23
2020.10.28	01:00:00	1.65491	1.65585	1.65351	1.65391	2215	0	23
2020.10.28	02:00:00	1.65391	1.65473	1.65279	1.65316	4919	0	23
2020.10.28	03:00:00	1.65313	1.65418	1.65087	1.65142	5022	0	23
2020.10.28	04:00:00	1.65144	1.65239	1.65069	1.65121	3998	0	23
2020.10.28	05:00:00	1.65121	1.65142	1.64969	1.64974	2536	0	23
2020.10.28	06:00:00	1.64973	1.64977	1.64840	1.64872	2182	0	23
2020.10.28	07:00:00	1.64871	1.64878	1.64615	1.64751	3168	0	23
2020.10.28	08:00:00	1.64751	1.64751	1.64597	1.64608	3583	0	23
2020.10.28	09:00:00	1.64611	1.64934	1.64603	1.64900	4892	0	23
2020.10.28	10:00:00	1.64901	1.65195	1.64789	1.65117	6859	0	23
2020.10.28	11:00:00	1.65118	1.65427	1.64919	1.65313	6106	0	23
2020.10.28	12:00:00	1.65313	1.65679	1.65268	1.65635	5613	0	23
2020.10.28	13:00:00	1.65636	1.65906	1.65635	1.65818	5797	0	23
2020.10.28	14:00:00	1.65817	1.66213	1.65768	1.65966	5393	0	23
2020.10.28	15:00:00	1.65965	1.66261	1.65939	1.66195	6124	0	23
2020.10.28	16:00:00	1.66196	1.66601	1.66059	1.66497	7096	0	23
2020.10.28	17:00:00	1.66497	1.66590	1.66158	1.66281	5982	0	23
2020.10.28	18:00:00	1.66281	1.66490	1.66267	1.66432	4856	0	23
2020.10.28	19:00:00	1.66433	1.66565	1.66392	1.66468	3942	0	23
2020.10.28	20:00:00	1.66469	1.66598	1.66417	1.66459	3416	0	23
2020.10.28	21:00:00	1.66464	1.66831	1.66459	1.66781	4542	0	23
2020.10.28	22:00:00	1.66781	1.66845	1.66729	1.66745	1832	0	23
2020.10.28	23:00:00	1.66709	1.66711	1.66387	1.66597	764	0	27
2020.10.29	00:00:00	1.66644	1.66701	1.66428	1.66598	1489	0	23
2020.10.29	01:00:00	1.66597	1.66712	1.66503	1.66512	2025	0	23
2020.10.29	02:00:00	1.66512	1.66533	1.66276	1.66471	5331	0	23
2020.10.29	03:00:00	1.66471	1.66471	1.66295	1.66389	5636	0	23
2020.10.29	04:00:00	1.66389	1.66524	1.66386	1.66450	2646	0	23
2020.10.29	05:00:00	1.66450	1.66505	1.66288	1.66294	2769	0	23
2020.10.29	06:00:00	1.66293	1.66429	1.66265	1.66423	2162	0	23
2020.10.29	07:00:00	1.66423	1.66441	1.66319	1.66335	2874	0	23
2020.10.29	08:00:00	1.66335	1.66354	1.66117	1.66249	3741	0	23
2020.10.29	09:00:00	1.66247	1.66411	1.66042	1.66223	5234	0	23
2020.10.29	10:00:00	1.66224	1.66503	1.66135	1.66376	7306	0	23
2020.10.29	11:00:00	1.66376	1.66615	1.66292	1.66593	5864	0	23
2020.10.29	12:00:00	1.66593	1.66663	1.66224	1.66287	5647	0	23
2020.10.29	13:00:00	1.66288	1.66597	1.66284	1.66590	5943	0	23
2020.10.29	14:00:00	1.66588	1.66620	1.66330	1.66608	6143	0	23
2020.10.29	15:00:00	1.66609	1.66851	1.66272	1.66308	9653	0	23
2020.10.29	16:00:00	1.66307	1.66389	1.65805	1.65888	7376	0	23
2020.10.29	17:00:00	1.65888	1.66425	1.65839	1.66386	7653	0	23
2020.10.29	18:00:00	1.66385	1.66461	1.66138	1.66295	6209	0	23
2020.10.29	19:00:00	1.66294	1.66368	1.66091	1.66183	3906	0	23
2020.10.29	20:00:00	1.66183	1.66191	1.66002	1.66106	3670	0	23
2020.10.29	21:00:00	1.66107	1.66107	1.65840	1.65890	4062	0	23
2020.10.29	22:00:00	1.65891	1.66149	1.65848	1.66082	2459	0	23
2020.10.29	23:00:00	1.66031	1.66104	1.65988	1.66047	839	0	23
2020.10.30	00:00:00	1.66014	1.66169	1.65986	1.66017	2912	0	23
2020.10.30	01:00:00	1.66018	1.66044	1.65828	1.65927	2942	0	23
2020.10.30	02:00:00	1.65927	1.66046	1.65893	1.65901	4721	0	23
2020.10.30	03:00:00	1.65909	1.65981	1.65553	1.65675	6054	0	23
2020.10.30	04:00:00	1.65674	1.65784	1.65674	1.65781	3331	0	23
2020.10.30	05:00:00	1.65781	1.65862	1.65765	1.65801	2757	0	23
2020.10.30	06:00:00	1.65800	1.65869	1.65691	1.65845	3404	0	23
2020.10.30	07:00:00	1.65844	1.66268	1.65775	1.66219	6823	0	23
2020.10.30	08:00:00	1.66220	1.66402	1.66141	1.66380	6018	0	23
2020.10.30	09:00:00	1.66380	1.66400	1.66132	1.66246	7122	0	23
2020.10.30	10:00:00	1.66239	1.66246	1.65849	1.65918	8455	0	23
2020.10.30	11:00:00	1.65921	1.65983	1.65716	1.65750	7687	0	23
2020.10.30	12:00:00	1.65749	1.65970	1.65732	1.65813	6836	0	23
2020.10.30	13:00:00	1.65812	1.65830	1.65628	1.65714	7065	0	23
2020.10.30	14:00:00	1.65714	1.65808	1.65284	1.65532	7660	0	23
2020.10.30	15:00:00	1.65533	1.65682	1.65358	1.65619	9217	0	23
2020.10.30	16:00:00	1.65620	1.66116	1.65575	1.66081	10041	0	23
2020.10.30	17:00:00	1.66079	1.66236	1.65738	1.65839	12067	0	23
2020.10.30	18:00:00	1.65850	1.65919	1.65535	1.65718	8485	0	23
2020.10.30	19:00:00	1.65719	1.65928	1.65685	1.65900	4977	0	23
2020.10.30	20:00:00	1.65900	1.65950	1.65609	1.65646	5594	0	23
2020.10.30	21:00:00	1.65644	1.65754	1.65616	1.65677	4362	0	23
2020.10.30	22:00:00	1.65674	1.65726	1.65622	1.65680	1839	0	23
2020.11.02	00:00:00	1.65763	1.65948	1.65741	1.65885	637	0	23
2020.11.02	01:00:00	1.65882	1.66318	1.65716	1.66108	3259	0	23
2020.11.02	02:00:00	1.66106	1.66300	1.65916	1.66247	5359	0	23
2020.11.02	03:00:00	1.66247	1.66287	1.65747	1.65802	5981	0	23
2020.11.02	04:00:00	1.65801	1.65966	1.65755	1.65900	4860	0	23
2020.11.02	05:00:00	1.65901	1.65976	1.65860	1.65952	3275	0	23
2020.11.02	06:00:00	1.65952	1.66271	1.65878	1.66143	3920	0	23
2020.11.02	07:00:00	1.66145	1.66157	1.65928	1.66066	3510	0	23
2020.11.02	08:00:00	1.66066	1.66399	1.65872	1.66223	5125	0	23
2020.11.02	09:00:00	1.66223	1.66258	1.65905	1.65909	6650	0	23
2020.11.02	10:00:00	1.65908	1.66248	1.65851	1.66055	8602	0	23
2020.11.02	11:00:00	1.66054	1.66082	1.65643	1.65702	6813	0	23
2020.11.02	12:00:00	1.65704	1.65768	1.65487	1.65578	5088	0	23
2020.11.02	13:00:00	1.65579	1.65648	1.65384	1.65461	5377	0	23
