<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.55897	1.56005	1.55836	1.55973	1318	0	35
2020.10.27	01:00:00	1.55975	1.55984	1.55932	1.55935	1404	0	33
2020.10.27	02:00:00	1.55935	1.55994	1.55876	1.55940	2935	0	32
2020.10.27	03:00:00	1.55941	1.55971	1.55912	1.55932	2643	0	32
2020.10.27	04:00:00	1.55932	1.55951	1.55838	1.55853	2062	0	32
2020.10.27	05:00:00	1.55854	1.55873	1.55813	1.55839	1498	0	33
2020.10.27	06:00:00	1.55840	1.55864	1.55815	1.55845	1073	0	32
2020.10.27	07:00:00	1.55844	1.55930	1.55819	1.55925	1947	0	32
2020.10.27	08:00:00	1.55923	1.55949	1.55850	1.55896	2282	0	32
2020.10.27	09:00:00	1.55896	1.55897	1.55762	1.55769	2958	0	32
2020.10.27	10:00:00	1.55771	1.55855	1.55607	1.55704	5165	0	32
2020.10.27	11:00:00	1.55704	1.55837	1.55646	1.55777	3950	0	32
2020.10.27	12:00:00	1.55777	1.55777	1.55609	1.55649	3634	0	32
2020.10.27	13:00:00	1.55648	1.55681	1.55603	1.55625	3058	0	32
2020.10.27	14:00:00	1.55625	1.55877	1.55604	1.55838	3165	0	32
2020.10.27	15:00:00	1.55835	1.55953	1.55809	1.55924	4923	0	32
2020.10.27	16:00:00	1.55924	1.55963	1.55661	1.55692	5046	0	32
2020.10.27	17:00:00	1.55692	1.55781	1.55616	1.55685	4260	0	32
2020.10.27	18:00:00	1.55684	1.55704	1.55490	1.55509	3662	0	32
2020.10.27	19:00:00	1.55511	1.55563	1.55448	1.55498	2846	0	32
2020.10.27	20:00:00	1.55498	1.55608	1.55488	1.55492	2482	0	32
2020.10.27	21:00:00	1.55492	1.55609	1.55478	1.55520	2174	0	32
2020.10.27	22:00:00	1.55523	1.55651	1.55472	1.55505	2244	0	32
2020.10.27	23:00:00	1.55484	1.55533	1.55302	1.55362	1149	0	41
2020.10.28	00:00:00	1.55398	1.55456	1.55285	1.55426	2602	0	32
2020.10.28	01:00:00	1.55428	1.55463	1.55336	1.55404	1588	0	32
2020.10.28	02:00:00	1.55404	1.55443	1.55339	1.55405	2989	0	32
2020.10.28	03:00:00	1.55405	1.55433	1.55309	1.55341	3782	0	32
2020.10.28	04:00:00	1.55340	1.55409	1.55315	1.55343	2944	0	33
2020.10.28	05:00:00	1.55342	1.55381	1.55305	1.55341	1490	0	32
2020.10.28	06:00:00	1.55341	1.55342	1.55286	1.55331	1663	0	32
2020.10.28	07:00:00	1.55329	1.55357	1.55265	1.55341	1929	0	33
2020.10.28	08:00:00	1.55340	1.55367	1.55210	1.55215	2693	0	32
2020.10.28	09:00:00	1.55216	1.55449	1.55216	1.55407	4592	0	32
2020.10.28	10:00:00	1.55405	1.55556	1.55280	1.55524	6347	0	32
2020.10.28	11:00:00	1.55522	1.55616	1.55417	1.55560	5514	0	32
2020.10.28	12:00:00	1.55559	1.55597	1.55426	1.55478	5072	0	32
2020.10.28	13:00:00	1.55478	1.55645	1.55439	1.55593	5102	0	32
2020.10.28	14:00:00	1.55594	1.55811	1.55547	1.55707	5292	0	32
2020.10.28	15:00:00	1.55708	1.55892	1.55675	1.55800	6459	0	32
2020.10.28	16:00:00	1.55800	1.56358	1.55783	1.56286	8162	0	32
2020.10.28	17:00:00	1.56289	1.56533	1.56128	1.56526	6373	0	32
2020.10.28	18:00:00	1.56524	1.56551	1.56343	1.56397	5460	0	32
2020.10.28	19:00:00	1.56397	1.56481	1.56331	1.56358	4234	0	32
2020.10.28	20:00:00	1.56359	1.56452	1.56233	1.56246	4115	0	32
2020.10.28	21:00:00	1.56247	1.56397	1.56226	1.56383	4233	0	32
2020.10.28	22:00:00	1.56378	1.56536	1.56353	1.56469	2241	0	32
2020.10.28	23:00:00	1.56505	1.56515	1.56380	1.56446	732	0	52
2020.10.29	00:00:00	1.56426	1.56457	1.56340	1.56376	1062	0	32
2020.10.29	01:00:00	1.56379	1.56404	1.56342	1.56365	1525	0	32
2020.10.29	02:00:00	1.56363	1.56450	1.56344	1.56439	3406	0	32
2020.10.29	03:00:00	1.56437	1.56445	1.56294	1.56355	3285	0	32
2020.10.29	04:00:00	1.56355	1.56411	1.56277	1.56279	1807	0	32
2020.10.29	05:00:00	1.56278	1.56299	1.56155	1.56168	2058	0	32
2020.10.29	06:00:00	1.56168	1.56207	1.56139	1.56176	1443	0	32
2020.10.29	07:00:00	1.56176	1.56210	1.56143	1.56204	1825	0	32
2020.10.29	08:00:00	1.56205	1.56220	1.56057	1.56110	2319	0	32
2020.10.29	09:00:00	1.56111	1.56251	1.56027	1.56041	4500	0	32
2020.10.29	10:00:00	1.56040	1.56184	1.55943	1.56139	6036	0	32
2020.10.29	11:00:00	1.56136	1.56306	1.56108	1.56209	4974	0	32
2020.10.29	12:00:00	1.56207	1.56263	1.56052	1.56078	4767	0	32
2020.10.29	13:00:00	1.56078	1.56407	1.56074	1.56398	5251	0	32
2020.10.29	14:00:00	1.56397	1.56537	1.56264	1.56447	5855	0	32
2020.10.29	15:00:00	1.56445	1.56681	1.56202	1.56209	9006	0	32
2020.10.29	16:00:00	1.56210	1.56322	1.55683	1.55780	7323	0	32
2020.10.29	17:00:00	1.55780	1.55837	1.55556	1.55815	6372	0	32
2020.10.29	18:00:00	1.55814	1.55814	1.55615	1.55648	5537	0	32
2020.10.29	19:00:00	1.55647	1.55744	1.55551	1.55607	3624	0	32
2020.10.29	20:00:00	1.55605	1.55614	1.55479	1.55497	3604	0	32
2020.10.29	21:00:00	1.55497	1.55504	1.55363	1.55434	3942	0	32
2020.10.29	22:00:00	1.55433	1.55586	1.55389	1.55528	2979	0	32
2020.10.29	23:00:00	1.55451	1.55519	1.55424	1.55501	818	0	32
2020.10.30	00:00:00	1.55500	1.55530	1.55436	1.55443	1198	0	36
2020.10.30	01:00:00	1.55449	1.55499	1.55418	1.55481	1578	0	32
2020.10.30	02:00:00	1.55480	1.55480	1.55372	1.55431	3318	0	32
2020.10.30	03:00:00	1.55433	1.55472	1.55364	1.55378	4143	0	32
2020.10.30	04:00:00	1.55378	1.55420	1.55354	1.55396	2588	0	32
2020.10.30	05:00:00	1.55397	1.55488	1.55387	1.55460	2009	0	32
2020.10.30	06:00:00	1.55459	1.55496	1.55434	1.55488	2232	0	32
2020.10.30	07:00:00	1.55490	1.55765	1.55458	1.55698	4380	0	32
2020.10.30	08:00:00	1.55699	1.55863	1.55662	1.55756	4667	0	32
2020.10.30	09:00:00	1.55757	1.55765	1.55626	1.55684	6122	0	32
2020.10.30	10:00:00	1.55682	1.55733	1.55447	1.55499	6760	0	32
2020.10.30	11:00:00	1.55503	1.55620	1.55446	1.55453	6035	0	32
2020.10.30	12:00:00	1.55453	1.55560	1.55403	1.55427	5717	0	32
2020.10.30	13:00:00	1.55426	1.55458	1.55247	1.55268	5677	0	32
2020.10.30	14:00:00	1.55267	1.55467	1.55250	1.55438	5955	0	32
2020.10.30	15:00:00	1.55438	1.55609	1.55342	1.55459	7744	0	32
2020.10.30	16:00:00	1.55460	1.55747	1.55390	1.55737	7551	0	32
2020.10.30	17:00:00	1.55739	1.55739	1.55221	1.55268	9512	0	32
2020.10.30	18:00:00	1.55269	1.55317	1.54997	1.55124	6201	0	32
2020.10.30	19:00:00	1.55121	1.55355	1.55039	1.55318	4658	0	32
2020.10.30	20:00:00	1.55316	1.55320	1.55056	1.55068	5113	0	32
2020.10.30	21:00:00	1.55067	1.55197	1.55067	1.55133	4984	0	32
2020.10.30	22:00:00	1.55139	1.55206	1.55001	1.55114	2510	0	32
2020.11.02	00:00:00	1.55052	1.55126	1.55018	1.55022	284	0	73
2020.11.02	01:00:00	1.55023	1.55632	1.55023	1.55617	3407	0	32
2020.11.02	02:00:00	1.55617	1.55634	1.55393	1.55466	3888	0	32
2020.11.02	03:00:00	1.55467	1.55503	1.55190	1.55196	4473	0	32
2020.11.02	04:00:00	1.55195	1.55271	1.55171	1.55222	3101	0	32
2020.11.02	05:00:00	1.55221	1.55227	1.55183	1.55226	2002	0	32
