<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.07210	1.07232	1.07186	1.07226	753	0	15
2020.10.27	01:00:00	1.07226	1.07235	1.07213	1.07223	550	0	15
2020.10.27	02:00:00	1.07223	1.07229	1.07193	1.07220	1079	0	15
2020.10.27	03:00:00	1.07220	1.07230	1.07193	1.07203	2044	0	15
2020.10.27	04:00:00	1.07203	1.07210	1.07171	1.07198	814	0	15
2020.10.27	05:00:00	1.07199	1.07210	1.07186	1.07200	404	0	16
2020.10.27	06:00:00	1.07200	1.07219	1.07189	1.07219	369	0	16
2020.10.27	07:00:00	1.07219	1.07264	1.07219	1.07240	769	0	15
2020.10.27	08:00:00	1.07240	1.07276	1.07231	1.07268	880	0	15
2020.10.27	09:00:00	1.07269	1.07290	1.07217	1.07263	1504	0	15
2020.10.27	10:00:00	1.07264	1.07270	1.07169	1.07244	3248	0	15
2020.10.27	11:00:00	1.07244	1.07365	1.07195	1.07354	2015	0	15
2020.10.27	12:00:00	1.07354	1.07441	1.07345	1.07420	1882	0	15
2020.10.27	13:00:00	1.07427	1.07471	1.07346	1.07349	1868	0	15
2020.10.27	14:00:00	1.07349	1.07385	1.07302	1.07308	1826	0	15
2020.10.27	15:00:00	1.07308	1.07331	1.07274	1.07288	2322	0	15
2020.10.27	16:00:00	1.07288	1.07325	1.07237	1.07241	2260	0	15
2020.10.27	17:00:00	1.07241	1.07332	1.07210	1.07278	2492	0	15
2020.10.27	18:00:00	1.07278	1.07291	1.07217	1.07235	2153	0	15
2020.10.27	19:00:00	1.07236	1.07237	1.07209	1.07213	1075	0	15
2020.10.27	20:00:00	1.07213	1.07220	1.07192	1.07202	558	0	15
2020.10.27	21:00:00	1.07202	1.07210	1.07189	1.07209	727	0	15
2020.10.27	22:00:00	1.07209	1.07229	1.07156	1.07172	831	0	15
2020.10.27	23:00:00	1.07071	1.07175	1.07059	1.07149	1105	0	16
2020.10.28	00:00:00	1.07155	1.07155	1.07075	1.07111	1522	0	16
2020.10.28	01:00:00	1.07111	1.07112	1.07071	1.07081	606	0	15
2020.10.28	02:00:00	1.07085	1.07104	1.07068	1.07083	1298	0	15
2020.10.28	03:00:00	1.07083	1.07122	1.07078	1.07086	1349	0	15
2020.10.28	04:00:00	1.07086	1.07091	1.07053	1.07056	670	0	15
2020.10.28	05:00:00	1.07056	1.07059	1.07017	1.07026	551	0	15
2020.10.28	06:00:00	1.07025	1.07097	1.07020	1.07074	649	0	15
2020.10.28	07:00:00	1.07074	1.07110	1.07036	1.07104	568	0	15
2020.10.28	08:00:00	1.07105	1.07129	1.07069	1.07086	1258	0	15
2020.10.28	09:00:00	1.07086	1.07186	1.07084	1.07156	1910	0	15
2020.10.28	10:00:00	1.07156	1.07188	1.07068	1.07108	4054	0	15
2020.10.28	11:00:00	1.07107	1.07159	1.07084	1.07120	2758	0	15
2020.10.28	12:00:00	1.07120	1.07124	1.06996	1.07016	2085	0	15
2020.10.28	13:00:00	1.07017	1.07017	1.06949	1.06975	2882	0	15
2020.10.28	14:00:00	1.06976	1.06981	1.06887	1.06932	2413	0	15
2020.10.28	15:00:00	1.06932	1.06961	1.06860	1.06915	3336	0	15
2020.10.28	16:00:00	1.06917	1.06939	1.06758	1.06823	3729	0	15
2020.10.28	17:00:00	1.06823	1.06919	1.06814	1.06892	3311	0	15
