<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	27.4478	27.4478	27.2750	27.2945	804	0	304
2020.04.01	12:00:00	27.2935	27.3526	27.2785	27.3234	518	0	374
2020.04.01	13:00:00	27.3248	27.3248	27.2567	27.2967	544	0	310
2020.04.01	14:00:00	27.2978	27.3205	27.2768	27.3098	229	0	326
2020.04.01	15:00:00	27.3098	27.4551	27.2852	27.3717	1402	0	246
2020.04.01	16:00:00	27.3720	27.4404	27.3074	27.3561	1299	0	248
2020.04.01	17:00:00	27.3570	27.4702	27.3560	27.4407	4281	0	253
2020.04.01	18:00:00	27.4407	27.5638	27.4267	27.5629	846	0	265
2020.04.01	19:00:00	27.5638	27.5789	27.5181	27.5260	294	0	321
2020.04.01	20:00:00	27.5260	27.5408	27.4867	27.5087	246	0	277
2020.04.01	21:00:00	27.5087	27.5128	27.4858	27.5048	535	0	312
2020.04.01	22:00:00	27.5038	27.5108	27.4358	27.4418	1090	0	344
2020.04.01	23:00:00	27.4528	27.5463	27.4374	27.4448	297	0	300
2020.04.02	03:00:00	27.4595	27.4595	27.4286	27.4335	138	0	1007
2020.04.02	04:00:00	27.4327	27.4432	27.4327	27.4366	105	0	1138
2020.04.02	05:00:00	27.4377	27.4418	27.4158	27.4158	27	0	1049
2020.04.02	06:00:00	27.4063	27.4533	27.3976	27.4031	229	0	690
2020.04.02	07:00:00	27.4091	27.4224	27.4030	27.4102	200	0	881
2020.04.02	08:00:00	27.4108	27.4384	27.4014	27.4330	104	0	806
2020.04.02	09:00:00	27.3908	27.4248	27.3368	27.4148	848	0	502
2020.04.02	10:00:00	27.4188	27.5018	27.3854	27.3899	1528	0	350
2020.04.02	11:00:00	27.3899	27.4156	27.3535	27.4073	684	0	353
2020.04.02	12:00:00	27.4073	27.5065	27.4046	27.4388	1956	0	252
2020.04.02	13:00:00	27.4378	27.4932	27.4358	27.4782	909	0	295
2020.04.02	14:00:00	27.4782	27.5870	27.4708	27.5328	524	0	254
2020.04.02	15:00:00	27.5328	27.5788	27.5318	27.5733	449	0	284
2020.04.02	16:00:00	27.5718	27.6629	27.5646	27.6068	774	0	263
2020.04.02	17:00:00	27.6078	27.6497	27.5218	27.5368	1509	0	260
2020.04.02	18:00:00	27.5358	27.5798	27.4958	27.5298	787	0	244
2020.04.02	19:00:00	27.5288	27.5389	27.4959	27.5008	143	0	247
2020.04.02	20:00:00	27.5008	27.5248	27.4979	27.5228	67	0	397
2020.04.02	21:00:00	27.5238	27.5318	27.5162	27.5162	814	0	294
2020.04.02	22:00:00	27.5238	27.5238	27.4900	27.4928	643	0	394
2020.04.02	23:00:00	27.4968	27.5052	27.4703	27.4851	359	0	318
2020.04.03	00:00:00	27.4938	27.5010	27.4734	27.4948	50	0	995
2020.04.03	01:00:00	27.4948	27.5089	27.4912	27.5078	87	0	941
2020.04.03	02:00:00	27.5088	27.5133	27.4838	27.5082	187	0	883
2020.04.03	03:00:00	27.5082	27.5246	27.4949	27.5147	116	0	866
2020.04.03	04:00:00	27.5141	27.5154	27.4950	27.5018	731	0	888
2020.04.03	05:00:00	27.4998	27.5088	27.4954	27.4998	501	0	942
2020.04.03	06:00:00	27.5008	27.5258	27.4978	27.5218	545	0	824
2020.04.03	07:00:00	27.5228	27.5408	27.5108	27.5298	543	0	694
2020.04.03	08:00:00	27.5232	27.5478	27.5097	27.5138	477	0	604
2020.04.03	09:00:00	27.5159	27.6271	27.5151	27.5842	843	0	325
2020.04.03	10:00:00	27.5842	27.5865	27.5119	27.5120	784	0	313
2020.04.03	11:00:00	27.5138	27.5469	27.4221	27.4488	926	0	277
2020.04.03	12:00:00	27.4498	27.5319	27.4488	27.5038	750	0	372
2020.04.03	13:00:00	27.5048	27.5972	27.4771	27.5698	1157	0	252
