<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.90696	0.90728	0.90657	0.90705	3029	0	8
2020.10.27	01:00:00	0.90705	0.90736	0.90705	0.90726	1407	0	8
2020.10.27	02:00:00	0.90726	0.90770	0.90694	0.90743	2317	0	8
2020.10.27	03:00:00	0.90742	0.90764	0.90695	0.90698	3241	0	8
2020.10.27	04:00:00	0.90699	0.90709	0.90664	0.90666	2347	0	8
2020.10.27	05:00:00	0.90667	0.90695	0.90657	0.90689	2022	0	8
2020.10.27	06:00:00	0.90688	0.90723	0.90671	0.90715	1614	0	8
2020.10.27	07:00:00	0.90715	0.90768	0.90712	0.90749	2592	0	8
2020.10.27	08:00:00	0.90749	0.90784	0.90719	0.90775	2637	0	8
2020.10.27	09:00:00	0.90775	0.90842	0.90750	0.90763	3563	0	8
2020.10.27	10:00:00	0.90764	0.90816	0.90679	0.90722	5451	0	8
2020.10.27	11:00:00	0.90718	0.90756	0.90665	0.90668	4121	0	8
2020.10.27	12:00:00	0.90668	0.90743	0.90621	0.90624	3564	0	8
2020.10.27	13:00:00	0.90629	0.90697	0.90596	0.90608	3944	0	8
2020.10.27	14:00:00	0.90609	0.90807	0.90597	0.90764	3866	0	8
2020.10.27	15:00:00	0.90765	0.90820	0.90685	0.90781	4771	0	8
2020.10.27	16:00:00	0.90781	0.90807	0.90633	0.90646	4582	0	8
2020.10.27	17:00:00	0.90646	0.90696	0.90454	0.90563	4052	0	8
2020.10.27	18:00:00	0.90563	0.90586	0.90482	0.90486	3890	0	8
2020.10.27	19:00:00	0.90485	0.90543	0.90458	0.90509	2872	0	8
2020.10.27	20:00:00	0.90509	0.90541	0.90462	0.90466	2018	0	8
2020.10.27	21:00:00	0.90465	0.90502	0.90447	0.90461	2373	0	8
2020.10.27	22:00:00	0.90462	0.90485	0.90368	0.90398	1738	0	8
2020.10.27	23:00:00	0.90390	0.90426	0.90346	0.90357	1329	0	9
2020.10.28	00:00:00	0.90367	0.90429	0.90285	0.90423	2066	0	8
2020.10.28	01:00:00	0.90423	0.90429	0.90392	0.90412	1415	0	8
2020.10.28	02:00:00	0.90412	0.90422	0.90348	0.90373	2409	0	8
2020.10.28	03:00:00	0.90373	0.90433	0.90345	0.90364	2558	0	8
2020.10.28	04:00:00	0.90365	0.90372	0.90330	0.90356	1987	0	8
2020.10.28	05:00:00	0.90356	0.90372	0.90337	0.90349	1280	0	8
2020.10.28	06:00:00	0.90349	0.90351	0.90312	0.90318	884	0	8
2020.10.28	07:00:00	0.90318	0.90332	0.90283	0.90329	1568	0	8
2020.10.28	08:00:00	0.90330	0.90331	0.90154	0.90160	2575	0	8
2020.10.28	09:00:00	0.90162	0.90329	0.90145	0.90324	4327	0	8
2020.10.28	10:00:00	0.90324	0.90532	0.90288	0.90486	6402	0	8
2020.10.28	11:00:00	0.90487	0.90661	0.90458	0.90561	6488	0	8
2020.10.28	12:00:00	0.90560	0.90587	0.90443	0.90493	5250	0	8
2020.10.28	13:00:00	0.90493	0.90585	0.90436	0.90575	5513	0	8
2020.10.28	14:00:00	0.90577	0.90755	0.90526	0.90609	5983	0	8
2020.10.28	15:00:00	0.90609	0.90667	0.90509	0.90563	6798	0	8
2020.10.28	16:00:00	0.90562	0.90569	0.90139	0.90381	7801	0	8
2020.10.28	17:00:00	0.90381	0.90424	0.90171	0.90408	6238	0	8
2020.10.28	18:00:00	0.90408	0.90608	0.90391	0.90520	5470	0	8
2020.10.28	19:00:00	0.90520	0.90523	0.90449	0.90454	3842	0	8
2020.10.28	20:00:00	0.90454	0.90499	0.90415	0.90439	3515	0	8
2020.10.28	21:00:00	0.90440	0.90512	0.90440	0.90483	3747	0	8
2020.10.28	22:00:00	0.90484	0.90497	0.90461	0.90465	1369	0	8
2020.10.28	23:00:00	0.90439	0.90454	0.90384	0.90429	320	0	27
2020.10.29	00:00:00	0.90407	0.90467	0.90407	0.90457	793	0	9
2020.10.29	01:00:00	0.90457	0.90470	0.90436	0.90439	1099	0	8
2020.10.29	02:00:00	0.90439	0.90464	0.90429	0.90459	2796	0	8
2020.10.29	03:00:00	0.90460	0.90473	0.90412	0.90461	2691	0	8
2020.10.29	04:00:00	0.90460	0.90475	0.90420	0.90422	1476	0	8
2020.10.29	05:00:00	0.90422	0.90441	0.90374	0.90387	1750	0	8
2020.10.29	06:00:00	0.90387	0.90397	0.90358	0.90388	1302	0	8
2020.10.29	07:00:00	0.90388	0.90390	0.90268	0.90269	2201	0	8
2020.10.29	08:00:00	0.90269	0.90367	0.90248	0.90343	2940	0	8
2020.10.29	09:00:00	0.90345	0.90370	0.90251	0.90255	4076	0	8
2020.10.29	10:00:00	0.90255	0.90361	0.90214	0.90272	6397	0	8
2020.10.29	11:00:00	0.90270	0.90273	0.90062	0.90123	5397	0	8
2020.10.29	12:00:00	0.90122	0.90279	0.90078	0.90217	5789	0	8
2020.10.29	13:00:00	0.90216	0.90471	0.90216	0.90432	6310	0	8
2020.10.29	14:00:00	0.90433	0.90534	0.90357	0.90471	6234	0	8
2020.10.29	15:00:00	0.90472	0.90590	0.90376	0.90383	8851	0	8
2020.10.29	16:00:00	0.90382	0.90448	0.90222	0.90388	7051	0	8
2020.10.29	17:00:00	0.90388	0.90515	0.90278	0.90435	7004	0	8
2020.10.29	18:00:00	0.90435	0.90478	0.90267	0.90278	4889	0	8
2020.10.29	19:00:00	0.90278	0.90329	0.90252	0.90323	3622	0	8
2020.10.29	20:00:00	0.90323	0.90324	0.90257	0.90276	3623	0	8
2020.10.29	21:00:00	0.90277	0.90305	0.90253	0.90273	3417	0	8
2020.10.29	22:00:00	0.90272	0.90316	0.90262	0.90279	1957	0	8
2020.10.29	23:00:00	0.90329	0.90336	0.90273	0.90309	940	0	9
2020.10.30	00:00:00	0.90288	0.90314	0.90253	0.90261	1130	0	8
2020.10.30	01:00:00	0.90261	0.90307	0.90232	0.90305	1739	0	8
2020.10.30	02:00:00	0.90305	0.90338	0.90253	0.90306	3057	0	8
2020.10.30	03:00:00	0.90306	0.90334	0.90282	0.90316	3239	0	8
2020.10.30	04:00:00	0.90315	0.90375	0.90313	0.90373	2248	0	8
2020.10.30	05:00:00	0.90373	0.90412	0.90362	0.90386	1864	0	8
2020.10.30	06:00:00	0.90386	0.90434	0.90370	0.90427	1587	0	8
2020.10.30	07:00:00	0.90428	0.90497	0.90425	0.90481	3250	0	8
2020.10.30	08:00:00	0.90481	0.90523	0.90447	0.90488	2788	0	8
2020.10.30	09:00:00	0.90489	0.90491	0.90348	0.90402	3834	0	8
2020.10.30	10:00:00	0.90403	0.90414	0.90244	0.90252	6181	0	8
2020.10.30	11:00:00	0.90256	0.90316	0.90062	0.90082	5728	0	8
2020.10.30	12:00:00	0.90083	0.90171	0.89935	0.89950	5573	0	8
2020.10.30	13:00:00	0.89949	0.90021	0.89853	0.89886	6043	0	8
2020.10.30	14:00:00	0.89887	0.90182	0.89870	0.90176	5828	0	8
2020.10.30	15:00:00	0.90177	0.90262	0.89989	0.90127	6298	0	8
2020.10.30	16:00:00	0.90124	0.90304	0.90065	0.90279	6492	0	8
2020.10.30	17:00:00	0.90280	0.90280	0.90034	0.90055	9012	0	8
2020.10.30	18:00:00	0.90055	0.90138	0.89875	0.89943	6099	0	8
2020.10.30	19:00:00	0.89942	0.89979	0.89870	0.89977	4428	0	8
2020.10.30	20:00:00	0.89977	0.90000	0.89836	0.89857	4563	0	8
2020.10.30	21:00:00	0.89856	0.89933	0.89849	0.89898	4178	0	8
2020.10.30	22:00:00	0.89898	0.89932	0.89846	0.89917	3244	0	8
2020.11.02	00:00:00	0.90088	0.90146	0.89989	0.89998	609	0	9
2020.11.02	01:00:00	0.89998	0.90110	0.89980	0.90057	2590	0	8
2020.11.02	02:00:00	0.90057	0.90122	0.90037	0.90116	3133	0	8
2020.11.02	03:00:00	0.90117	0.90120	0.90036	0.90045	3221	0	8
2020.11.02	04:00:00	0.90043	0.90051	0.89992	0.90001	2650	0	8
2020.11.02	05:00:00	0.90001	0.90052	0.89992	0.90043	1714	0	8
2020.11.02	06:00:00	0.90043	0.90174	0.90039	0.90130	2422	0	8
2020.11.02	07:00:00	0.90129	0.90187	0.90112	0.90186	2306	0	8
2020.11.02	08:00:00	0.90185	0.90238	0.90162	0.90208	2834	0	8
2020.11.02	09:00:00	0.90207	0.90229	0.90090	0.90091	4993	0	8
2020.11.02	10:00:00	0.90086	0.90462	0.90073	0.90447	6502	0	8
2020.11.02	11:00:00	0.90447	0.90483	0.90133	0.90160	5961	0	8
2020.11.02	12:00:00	0.90157	0.90267	0.90067	0.90139	6183	0	8
2020.11.02	13:00:00	0.90139	0.90284	0.90116	0.90246	5468	0	8
2020.11.02	14:00:00	0.90244	0.90250	0.90028	0.90095	5443	0	8
2020.11.02	15:00:00	0.90095	0.90119	0.89956	0.89959	5506	0	8
2020.11.02	16:00:00	0.89960	0.90137	0.89949	0.90092	5204	0	8
2020.11.02	17:00:00	0.90095	0.90189	0.90062	0.90128	5614	0	8
2020.11.02	18:00:00	0.90129	0.90243	0.90128	0.90151	4543	0	8
2020.11.02	19:00:00	0.90150	0.90208	0.90094	0.90096	3660	0	8
2020.11.02	20:00:00	0.90096	0.90184	0.90093	0.90135	3341	0	8
2020.11.02	21:00:00	0.90136	0.90168	0.90117	0.90155	3208	0	8
2020.11.02	22:00:00	0.90155	0.90158	0.90091	0.90092	3708	0	8
2020.11.02	23:00:00	0.90094	0.90115	0.90082	0.90097	1815	0	8
2020.11.03	00:00:00	0.90077	0.90136	0.90046	0.90127	1663	0	12
2020.11.03	01:00:00	0.90126	0.90137	0.90068	0.90078	1135	0	8
2020.11.03	02:00:00	0.90078	0.90106	0.90067	0.90077	1553	0	8
2020.11.03	03:00:00	0.90077	0.90140	0.90066	0.90111	2878	0	8
2020.11.03	04:00:00	0.90112	0.90114	0.90057	0.90079	2580	0	8
2020.11.03	05:00:00	0.90079	0.90181	0.90068	0.90145	2678	0	8
2020.11.03	06:00:00	0.90144	0.90195	0.90143	0.90192	1439	0	8
2020.11.03	07:00:00	0.90191	0.90205	0.90167	0.90176	2010	0	8
2020.11.03	08:00:00	0.90176	0.90219	0.90134	0.90174	2315	0	8
2020.11.03	09:00:00	0.90174	0.90197	0.90113	0.90165	4254	0	8
2020.11.03	10:00:00	0.90164	0.90184	0.90006	0.90032	5368	0	8
2020.11.03	11:00:00	0.90032	0.90153	0.89980	0.90029	5255	0	8
2020.11.03	12:00:00	0.90028	0.90085	0.89996	0.90068	4383	0	8
2020.11.03	13:00:00	0.90068	0.90237	0.89973	0.90090	4933	0	8
2020.11.03	14:00:00	0.90095	0.90179	0.90017	0.90083	4468	0	8
