<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	364.814	364.910	364.661	364.836	737	0	688
2020.10.27	01:00:00	364.845	364.855	364.674	364.815	290	0	598
2020.10.27	02:00:00	364.815	364.904	364.640	364.652	175	0	510
2020.10.27	03:00:00	364.640	364.683	364.638	364.640	160	0	477
2020.10.27	04:00:00	364.651	364.663	363.896	363.989	486	0	325
2020.10.27	05:00:00	364.005	364.100	363.962	363.995	341	0	333
2020.10.27	06:00:00	363.995	364.035	363.961	364.005	336	0	420
2020.10.27	07:00:00	363.995	364.039	363.939	363.942	1746	0	399
2020.10.27	08:00:00	363.965	364.160	363.916	364.109	2106	0	205
2020.10.27	09:00:00	364.111	365.267	364.111	365.198	1644	0	116
2020.10.27	10:00:00	365.202	365.213	364.775	365.015	1517	0	85
2020.10.27	11:00:00	365.016	365.072	364.775	364.975	1126	0	72
2020.10.27	12:00:00	364.985	365.205	364.855	365.035	769	0	83
2020.10.27	13:00:00	365.025	365.080	364.635	364.956	913	0	98
2020.10.27	14:00:00	364.975	365.345	364.945	365.265	1416	0	124
2020.10.27	15:00:00	365.271	365.575	365.255	365.455	572	0	75
2020.10.27	16:00:00	365.455	365.515	365.405	365.448	559	0	155
2020.10.27	17:00:00	365.446	365.466	364.805	365.031	1745	0	128
2020.10.27	18:00:00	365.031	365.369	365.007	365.149	896	0	122
2020.10.27	19:00:00	365.152	365.185	365.092	365.094	788	0	225
2020.10.27	20:00:00	365.093	365.165	365.085	365.146	720	0	244
2020.10.27	21:00:00	365.146	365.656	364.334	365.281	812	0	70
2020.10.27	22:00:00	365.037	365.420	364.800	364.869	2098	0	211
2020.10.28	00:00:00	364.589	364.843	363.372	364.487	1477	0	664
2020.10.28	01:00:00	364.488	364.979	364.450	364.940	679	0	744
2020.10.28	02:00:00	364.956	364.969	364.668	364.900	1375	0	577
2020.10.28	03:00:00	364.890	365.020	364.875	364.990	538	0	465
