<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	123.824	123.862	123.774	123.835	2652	0	13
2020.10.27	01:00:00	123.833	123.851	123.769	123.792	1196	0	13
2020.10.27	02:00:00	123.791	123.889	123.684	123.889	3596	0	13
2020.10.27	03:00:00	123.890	123.895	123.805	123.813	3105	0	13
2020.10.27	04:00:00	123.812	123.854	123.773	123.792	2370	0	13
2020.10.27	05:00:00	123.792	123.797	123.730	123.793	1477	0	13
2020.10.27	06:00:00	123.793	123.884	123.790	123.865	1117	0	13
2020.10.27	07:00:00	123.865	123.951	123.865	123.939	1851	0	13
2020.10.27	08:00:00	123.939	123.988	123.851	123.972	2669	0	13
2020.10.27	09:00:00	123.969	123.971	123.808	123.887	3100	0	13
2020.10.27	10:00:00	123.887	123.905	123.568	123.672	5530	0	13
2020.10.27	11:00:00	123.672	123.678	123.495	123.523	4613	0	13
2020.10.27	12:00:00	123.524	123.679	123.465	123.656	4072	0	13
2020.10.27	13:00:00	123.654	123.735	123.560	123.696	3417	0	13
2020.10.27	14:00:00	123.696	123.798	123.691	123.778	3296	0	13
2020.10.27	15:00:00	123.776	123.844	123.678	123.791	4377	0	13
2020.10.27	16:00:00	123.791	123.829	123.549	123.580	4347	0	13
2020.10.27	17:00:00	123.580	123.599	123.479	123.593	4505	0	13
2020.10.27	18:00:00	123.593	123.625	123.482	123.510	3197	0	13
2020.10.27	19:00:00	123.511	123.537	123.449	123.474	2398	0	13
2020.10.27	20:00:00	123.474	123.511	123.417	123.417	1938	0	13
2020.10.27	21:00:00	123.417	123.459	123.373	123.374	1612	0	13
2020.10.27	22:00:00	123.374	123.419	123.148	123.151	1868	0	13
2020.10.27	23:00:00	123.153	123.165	123.054	123.134	3027	0	13
2020.10.28	00:00:00	123.125	123.152	122.985	123.109	2386	0	13
2020.10.28	01:00:00	123.108	123.181	123.066	123.166	1420	0	13
2020.10.28	02:00:00	123.165	123.170	122.948	123.044	3757	0	13
2020.10.28	03:00:00	123.044	123.156	122.987	123.003	3287	0	13
2020.10.28	04:00:00	123.003	123.024	122.827	122.857	2874	0	13
2020.10.28	05:00:00	122.856	122.895	122.805	122.827	1510	0	13
2020.10.28	06:00:00	122.827	122.827	122.745	122.786	1574	0	13
2020.10.28	07:00:00	122.786	122.869	122.735	122.849	1772	0	13
2020.10.28	08:00:00	122.850	122.850	122.657	122.674	2908	0	13
2020.10.28	09:00:00	122.675	122.701	122.606	122.662	4871	0	13
2020.10.28	10:00:00	122.662	122.726	122.484	122.705	6608	0	13
2020.10.28	11:00:00	122.703	122.704	122.426	122.426	5505	0	13
2020.10.28	12:00:00	122.427	122.463	122.235	122.257	5046	0	13
2020.10.28	13:00:00	122.257	122.461	122.180	122.401	5713	0	13
2020.10.28	14:00:00	122.402	122.461	122.312	122.403	5949	0	13
2020.10.28	15:00:00	122.405	122.495	122.304	122.426	6374	0	13
2020.10.28	16:00:00	122.426	122.426	122.203	122.351	7266	0	13
2020.10.28	17:00:00	122.350	122.604	122.277	122.593	6208	0	13
2020.10.28	18:00:00	122.593	122.691	122.541	122.573	4499	0	13
2020.10.28	19:00:00	122.573	122.578	122.476	122.574	3090	0	13
2020.10.28	20:00:00	122.575	122.630	122.532	122.604	2742	0	13
2020.10.28	21:00:00	122.604	122.654	122.554	122.576	2802	0	13
2020.10.28	22:00:00	122.576	122.607	122.528	122.531	1555	0	13
2020.10.28	23:00:00	122.540	122.551	122.502	122.516	5362	0	13
2020.10.29	00:00:00	122.512	122.587	122.509	122.532	926	0	13
2020.10.29	01:00:00	122.530	122.565	122.497	122.548	1400	0	13
2020.10.29	02:00:00	122.549	122.722	122.529	122.690	3480	0	13
2020.10.29	03:00:00	122.693	122.878	122.594	122.834	4109	0	13
2020.10.29	04:00:00	122.833	122.854	122.692	122.701	2382	0	13
2020.10.29	05:00:00	122.701	122.777	122.672	122.761	2180	0	13
2020.10.29	06:00:00	122.761	122.834	122.705	122.735	1722	0	13
2020.10.29	07:00:00	122.736	122.748	122.651	122.711	2006	0	13
2020.10.29	08:00:00	122.711	122.719	122.637	122.647	2138	0	13
2020.10.29	09:00:00	122.647	122.649	122.379	122.381	4773	0	13
2020.10.29	10:00:00	122.380	122.452	122.224	122.242	6408	0	13
2020.10.29	11:00:00	122.242	122.327	122.059	122.084	4913	0	13
2020.10.29	12:00:00	122.082	122.095	121.933	121.966	4735	0	13
2020.10.29	13:00:00	121.966	122.014	121.925	121.986	4895	0	13
2020.10.29	14:00:00	121.986	122.200	121.948	122.139	6405	0	13
2020.10.29	15:00:00	122.138	122.189	121.889	121.997	9804	0	13
2020.10.29	16:00:00	121.997	122.160	121.914	122.035	7506	0	13
2020.10.29	17:00:00	122.036	122.077	121.926	122.028	6333	0	13
2020.10.29	18:00:00	122.028	122.068	121.971	122.028	4555	0	13
2020.10.29	19:00:00	122.028	122.058	121.955	122.052	2878	0	13
2020.10.29	20:00:00	122.052	122.192	122.043	122.141	3301	0	13
2020.10.29	21:00:00	122.141	122.207	122.129	122.131	2742	0	13
2020.10.29	22:00:00	122.131	122.169	122.091	122.104	1146	0	13
2020.10.29	23:00:00	122.103	122.155	122.075	122.121	3130	0	13
2020.10.30	00:00:00	122.091	122.124	122.065	122.086	1197	0	13
2020.10.30	01:00:00	122.084	122.122	122.043	122.099	1468	0	13
2020.10.30	02:00:00	122.099	122.133	121.949	122.052	3688	0	13
2020.10.30	03:00:00	122.053	122.074	121.972	122.058	5014	0	13
2020.10.30	04:00:00	122.058	122.107	122.023	122.064	2527	0	13
2020.10.30	05:00:00	122.064	122.110	122.052	122.053	1955	0	13
2020.10.30	06:00:00	122.053	122.077	121.890	121.904	2871	0	13
2020.10.30	07:00:00	121.905	121.916	121.611	121.736	5793	0	13
2020.10.30	08:00:00	121.736	121.874	121.644	121.811	3638	0	13
2020.10.30	09:00:00	121.812	121.963	121.781	121.848	4921	0	13
2020.10.30	10:00:00	121.849	121.896	121.669	121.804	6833	0	13
2020.10.30	11:00:00	121.804	121.964	121.759	121.898	5752	0	13
2020.10.30	12:00:00	121.897	121.923	121.794	121.875	4532	0	13
2020.10.30	13:00:00	121.875	121.936	121.823	121.909	5253	0	13
2020.10.30	14:00:00	121.909	122.223	121.852	122.214	5419	0	13
2020.10.30	15:00:00	122.216	122.457	122.090	122.135	7477	0	13
2020.10.30	16:00:00	122.136	122.284	121.987	122.191	6813	0	13
2020.10.30	17:00:00	122.193	122.319	121.683	121.766	8361	0	13
2020.10.30	18:00:00	121.766	121.894	121.702	121.821	6086	0	13
2020.10.30	19:00:00	121.818	121.880	121.745	121.874	3584	0	13
2020.10.30	20:00:00	121.874	121.898	121.818	121.891	3240	0	13
