<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.76921	1.76921	1.76813	1.76821	1302	0	36
2020.10.27	01:00:00	1.76822	1.76891	1.76780	1.76877	961	0	36
2020.10.27	02:00:00	1.76877	1.76897	1.76653	1.76868	2593	0	36
2020.10.27	03:00:00	1.76868	1.76911	1.76789	1.76838	2127	0	36
2020.10.27	04:00:00	1.76838	1.76881	1.76612	1.76612	1800	0	36
2020.10.27	05:00:00	1.76612	1.76727	1.76595	1.76658	1623	0	36
2020.10.27	06:00:00	1.76659	1.76719	1.76645	1.76712	1146	0	36
2020.10.27	07:00:00	1.76712	1.76905	1.76690	1.76852	2118	0	36
2020.10.27	08:00:00	1.76852	1.76899	1.76672	1.76851	2316	0	36
2020.10.27	09:00:00	1.76851	1.76915	1.76727	1.76800	3205	0	36
2020.10.27	10:00:00	1.76803	1.76852	1.76489	1.76590	4544	0	36
2020.10.27	11:00:00	1.76592	1.76647	1.76502	1.76602	3073	0	36
2020.10.27	12:00:00	1.76602	1.76610	1.76482	1.76486	2762	0	36
2020.10.27	13:00:00	1.76484	1.76525	1.76305	1.76367	2897	0	36
2020.10.27	14:00:00	1.76367	1.76480	1.76198	1.76385	2803	0	36
2020.10.27	15:00:00	1.76382	1.76477	1.76321	1.76432	4503	0	36
2020.10.27	16:00:00	1.76430	1.76477	1.75965	1.76024	4428	0	36
2020.10.27	17:00:00	1.76022	1.76165	1.75983	1.76162	3865	0	36
2020.10.27	18:00:00	1.76161	1.76166	1.76029	1.76049	3208	0	36
2020.10.27	19:00:00	1.76050	1.76083	1.75903	1.75967	2306	0	36
2020.10.27	20:00:00	1.75973	1.76050	1.75947	1.75986	2375	0	36
2020.10.27	21:00:00	1.75987	1.76081	1.75953	1.75978	1683	0	37
2020.10.27	22:00:00	1.75976	1.76097	1.75807	1.75832	2186	0	36
2020.10.27	23:00:00	1.75696	1.75903	1.75615	1.75659	1266	0	45
2020.10.28	00:00:00	1.75667	1.75872	1.75623	1.75815	2647	0	36
2020.10.28	01:00:00	1.75818	1.75863	1.75753	1.75823	1482	0	36
2020.10.28	02:00:00	1.75826	1.75962	1.75786	1.75848	3576	0	36
2020.10.28	03:00:00	1.75849	1.75892	1.75640	1.75699	3638	0	36
2020.10.28	04:00:00	1.75700	1.75869	1.75642	1.75807	2768	0	36
2020.10.28	05:00:00	1.75812	1.75865	1.75672	1.75713	1835	0	36
2020.10.28	06:00:00	1.75713	1.75738	1.75519	1.75529	1777	0	36
2020.10.28	07:00:00	1.75527	1.75551	1.75418	1.75464	1643	0	36
2020.10.28	08:00:00	1.75465	1.75492	1.75230	1.75239	2565	0	36
2020.10.28	09:00:00	1.75238	1.75657	1.75221	1.75625	4505	0	36
2020.10.28	10:00:00	1.75624	1.75934	1.75504	1.75908	5583	0	36
2020.10.28	11:00:00	1.75910	1.76154	1.75767	1.76004	5175	0	36
2020.10.28	12:00:00	1.76003	1.76250	1.75948	1.76160	4674	0	36
2020.10.28	13:00:00	1.76164	1.76223	1.76013	1.76150	4436	0	36
2020.10.28	14:00:00	1.76150	1.76558	1.76033	1.76389	4961	0	36
2020.10.28	15:00:00	1.76389	1.76652	1.76356	1.76539	5969	0	36
