<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	4.57458	4.57896	4.57410	4.57488	517	0	249
2020.10.27	01:00:00	4.57499	4.57873	4.57499	4.57631	579	0	314
2020.10.27	02:00:00	4.57607	4.58213	4.57554	4.57912	1316	0	248
2020.10.27	03:00:00	4.57922	4.57938	4.57844	4.57914	1470	0	239
2020.10.27	04:00:00	4.57919	4.57948	4.57805	4.57857	1082	0	231
2020.10.27	05:00:00	4.57840	4.57983	4.57817	4.57900	902	0	178
2020.10.27	06:00:00	4.57904	4.57936	4.57854	4.57877	651	0	248
2020.10.27	07:00:00	4.57868	4.57913	4.57850	4.57865	1143	0	248
2020.10.27	08:00:00	4.57854	4.57886	4.57290	4.57328	1207	0	145
2020.10.27	09:00:00	4.57328	4.58486	4.57328	4.58466	1768	0	127
2020.10.27	10:00:00	4.58516	4.59106	4.58396	4.58868	1599	0	112
2020.10.27	11:00:00	4.58868	4.59016	4.58058	4.58716	1456	0	105
2020.10.27	12:00:00	4.58697	4.58849	4.58466	4.58536	1369	0	116
2020.10.27	13:00:00	4.58526	4.58586	4.57518	4.57826	1251	0	105
2020.10.27	14:00:00	4.57826	4.58640	4.57765	4.58274	1701	0	91
2020.10.27	15:00:00	4.58274	4.58479	4.58026	4.58243	2641	0	96
2020.10.27	16:00:00	4.58238	4.58396	4.57628	4.57745	2677	0	91
2020.10.27	17:00:00	4.57745	4.58046	4.57401	4.57690	1981	0	97
2020.10.27	18:00:00	4.57690	4.58219	4.57606	4.58011	1721	0	91
2020.10.27	19:00:00	4.58007	4.58199	4.57931	4.58184	1748	0	138
2020.10.27	20:00:00	4.58184	4.58199	4.58102	4.58173	1327	0	168
2020.10.27	21:00:00	4.58118	4.58788	4.58103	4.58323	1471	0	101
2020.10.27	22:00:00	4.58321	4.58621	4.58319	4.58504	2092	0	173
2020.10.27	23:00:00	4.58191	4.58476	4.58081	4.58476	92	0	570
2020.10.28	00:00:00	4.58563	4.58917	4.58145	4.58276	1055	0	248
2020.10.28	01:00:00	4.58369	4.58558	4.58306	4.58447	787	0	295
2020.10.28	02:00:00	4.58395	4.58565	4.57920	4.58523	1697	0	219
2020.10.28	03:00:00	4.58523	4.58611	4.58459	4.58511	1555	0	272
2020.10.28	04:00:00	4.58515	4.58646	4.58491	4.58590	1099	0	247
2020.10.28	05:00:00	4.58588	4.58636	4.58526	4.58586	857	0	198
2020.10.28	06:00:00	4.58582	4.58949	4.58546	4.58916	763	0	205
2020.10.28	07:00:00	4.58942	4.58965	4.58809	4.58876	1032	0	354
2020.10.28	08:00:00	4.58896	4.59330	4.58757	4.59196	1729	0	127
2020.10.28	09:00:00	4.59200	4.60581	4.59138	4.59626	2776	0	100
2020.10.28	10:00:00	4.59626	4.61026	4.59620	4.60665	3981	0	90
2020.10.28	11:00:00	4.60677	4.62072	4.60677	4.61556	3309	0	90
2020.10.28	12:00:00	4.61551	4.62575	4.61301	4.62347	3245	0	90
2020.10.28	13:00:00	4.62344	4.62481	4.61817	4.62329	2713	0	102
2020.10.28	14:00:00	4.62328	4.63423	4.62203	4.62238	2721	0	93
2020.10.28	15:00:00	4.62238	4.62378	4.61634	4.61692	3628	0	96
2020.10.28	16:00:00	4.61687	4.62002	4.61365	4.61901	3587	0	110
2020.10.28	17:00:00	4.61906	4.62161	4.61068	4.61749	3432	0	90
2020.10.28	18:00:00	4.61749	4.62656	4.61563	4.62656	3301	0	94
2020.10.28	19:00:00	4.62656	4.62875	4.62406	4.62424	1894	0	108
2020.10.28	20:00:00	4.62424	4.62725	4.62241	4.62628	2008	0	117
2020.10.28	21:00:00	4.62614	4.63313	4.62605	4.63243	2078	0	147
2020.10.28	22:00:00	4.63242	4.63334	4.63108	4.63195	1054	0	164
2020.10.28	23:00:00	4.62623	4.63156	4.62623	4.62854	713	0	195
2020.10.29	00:00:00	4.62719	4.63081	4.62385	4.62841	217	0	248
2020.10.29	01:00:00	4.62844	4.62963	4.62839	4.62924	685	0	423
2020.10.29	02:00:00	4.62917	4.62947	4.62853	4.62924	1224	0	424
2020.10.29	03:00:00	4.62921	4.62945	4.62814	4.62912	1378	0	418
2020.10.29	04:00:00	4.62924	4.62937	4.61965	4.62600	584	0	430
2020.10.29	05:00:00	4.62539	4.62632	4.62054	4.62572	1143	0	682
2020.10.29	06:00:00	4.62579	4.62712	4.62473	4.62579	854	0	180
2020.10.29	07:00:00	4.62582	4.62955	4.62549	4.62748	711	0	243
2020.10.29	08:00:00	4.62748	4.63031	4.61695	4.62161	1529	0	172
2020.10.29	09:00:00	4.62175	4.63295	4.62166	4.63179	2644	0	97
2020.10.29	10:00:00	4.63179	4.63576	4.62455	4.62570	1887	0	90
2020.10.29	11:00:00	4.62570	4.63336	4.62286	4.63188	1660	0	117
2020.10.29	12:00:00	4.63186	4.63741	4.63186	4.63741	1585	0	117
2020.10.29	13:00:00	4.63736	4.64489	4.63736	4.64153	2115	0	105
