<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	1.09594	1.09675	1.09309	1.09563	6862	0	6
2020.04.01	12:00:00	1.09566	1.09589	1.09163	1.09333	6646	0	6
2020.04.01	13:00:00	1.09333	1.09463	1.09307	1.09427	4687	0	6
2020.04.01	14:00:00	1.09427	1.09487	1.09266	1.09407	5333	0	6
2020.04.01	15:00:00	1.09407	1.09423	1.09205	1.09297	6220	0	6
2020.04.01	16:00:00	1.09297	1.09335	1.09202	1.09298	6357	0	6
2020.04.01	17:00:00	1.09295	1.09417	1.09182	1.09211	7182	0	6
2020.04.01	18:00:00	1.09209	1.09419	1.09165	1.09327	5826	0	6
2020.04.01	19:00:00	1.09327	1.09375	1.09222	1.09250	3957	0	6
2020.04.01	20:00:00	1.09251	1.09251	1.09024	1.09194	4714	0	6
2020.04.01	21:00:00	1.09194	1.09397	1.09187	1.09292	4551	0	6
2020.04.01	22:00:00	1.09292	1.09576	1.09282	1.09475	4950	0	6
2020.04.01	23:00:00	1.09471	1.09697	1.09465	1.09617	3090	0	6
2020.04.02	00:00:00	1.09627	1.09675	1.09397	1.09443	872	0	8
2020.04.02	01:00:00	1.09444	1.09593	1.09420	1.09559	1490	0	6
2020.04.02	02:00:00	1.09559	1.09559	1.09457	1.09512	1669	0	6
2020.04.02	03:00:00	1.09512	1.09527	1.09385	1.09426	2573	0	6
2020.04.02	04:00:00	1.09426	1.09589	1.09403	1.09404	2394	0	6
2020.04.02	05:00:00	1.09404	1.09448	1.09326	1.09339	2002	0	6
2020.04.02	06:00:00	1.09339	1.09397	1.09301	1.09387	1698	0	6
2020.04.02	07:00:00	1.09387	1.09447	1.09344	1.09437	1424	0	6
2020.04.02	08:00:00	1.09437	1.09501	1.09407	1.09461	2214	0	6
2020.04.02	09:00:00	1.09460	1.09643	1.09339	1.09363	4955	0	6
2020.04.02	10:00:00	1.09363	1.09526	1.09316	1.09319	5327	0	6
2020.04.02	11:00:00	1.09319	1.09345	1.09146	1.09187	5818	0	6
2020.04.02	12:00:00	1.09187	1.09396	1.09145	1.09346	5166	0	6
2020.04.02	13:00:00	1.09346	1.09373	1.09139	1.09197	4883	0	6
2020.04.02	14:00:00	1.09197	1.09288	1.09078	1.09134	5289	0	6
2020.04.02	15:00:00	1.09134	1.09151	1.08748	1.08792	8144	0	6
2020.04.02	16:00:00	1.08792	1.08821	1.08403	1.08512	8239	0	6
2020.04.02	17:00:00	1.08511	1.08999	1.08434	1.08622	11485	0	6
2020.04.02	18:00:00	1.08623	1.08810	1.08441	1.08614	8006	0	6
2020.04.02	19:00:00	1.08614	1.08736	1.08368	1.08414	6747	0	6
2020.04.02	20:00:00	1.08414	1.08483	1.08255	1.08258	4929	0	6
2020.04.02	21:00:00	1.08258	1.08512	1.08205	1.08511	4574	0	6
2020.04.02	22:00:00	1.08511	1.08576	1.08411	1.08492	4809	0	6
2020.04.02	23:00:00	1.08492	1.08663	1.08450	1.08555	2293	0	6
