<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.82779	1.82857	1.82741	1.82791	2510	0	42
2020.10.27	01:00:00	1.82792	1.82879	1.82734	1.82856	3290	0	42
2020.10.27	02:00:00	1.82857	1.82886	1.82584	1.82671	5755	0	42
2020.10.27	03:00:00	1.82671	1.82907	1.82596	1.82855	5721	0	42
2020.10.27	04:00:00	1.82855	1.82869	1.82656	1.82707	5277	0	42
2020.10.27	05:00:00	1.82711	1.82782	1.82659	1.82733	4174	0	42
2020.10.27	06:00:00	1.82724	1.82797	1.82669	1.82700	2781	0	42
2020.10.27	07:00:00	1.82695	1.82747	1.82639	1.82740	4317	0	42
2020.10.27	08:00:00	1.82742	1.82777	1.82611	1.82722	4367	0	42
2020.10.27	09:00:00	1.82723	1.82731	1.82533	1.82674	5215	0	42
2020.10.27	10:00:00	1.82673	1.82736	1.82411	1.82694	7639	0	42
2020.10.27	11:00:00	1.82689	1.82838	1.82588	1.82776	5748	0	42
2020.10.27	12:00:00	1.82777	1.82872	1.82636	1.82860	5321	0	42
2020.10.27	13:00:00	1.82861	1.82922	1.82605	1.82876	5647	0	42
2020.10.27	14:00:00	1.82877	1.82908	1.82519	1.82675	4657	0	42
2020.10.27	15:00:00	1.82677	1.82974	1.82636	1.82856	6234	0	42
2020.10.27	16:00:00	1.82833	1.83065	1.82667	1.82777	6489	0	42
2020.10.27	17:00:00	1.82777	1.83066	1.82661	1.82916	6290	0	42
2020.10.27	18:00:00	1.82916	1.83005	1.82858	1.82970	4970	0	42
2020.10.27	19:00:00	1.82975	1.83045	1.82776	1.82873	3202	0	42
2020.10.27	20:00:00	1.82881	1.83055	1.82860	1.83045	2858	0	42
2020.10.27	21:00:00	1.83051	1.83057	1.82933	1.82944	2760	0	42
2020.10.27	22:00:00	1.82938	1.83117	1.82895	1.82987	2171	0	42
2020.10.27	23:00:00	1.82902	1.83323	1.82902	1.83055	1405	0	44
2020.10.28	00:00:00	1.83008	1.83242	1.82937	1.82991	3528	0	42
2020.10.28	01:00:00	1.82995	1.83119	1.82878	1.82903	3017	0	42
2020.10.28	02:00:00	1.82907	1.83074	1.82612	1.82900	5417	0	42
2020.10.28	03:00:00	1.82900	1.82975	1.82689	1.82727	5624	0	42
2020.10.28	04:00:00	1.82728	1.82837	1.82677	1.82728	4265	0	42
2020.10.28	05:00:00	1.82726	1.82761	1.82573	1.82573	2770	0	42
2020.10.28	06:00:00	1.82573	1.82574	1.82453	1.82518	2677	0	42
2020.10.28	07:00:00	1.82518	1.82551	1.82263	1.82366	3395	0	42
2020.10.28	08:00:00	1.82366	1.82626	1.82321	1.82546	4098	0	42
2020.10.28	09:00:00	1.82546	1.82803	1.82493	1.82541	5154	0	42
2020.10.28	10:00:00	1.82541	1.82688	1.82312	1.82459	6865	0	42
2020.10.28	11:00:00	1.82459	1.82584	1.82144	1.82519	6767	0	42
2020.10.28	12:00:00	1.82519	1.83057	1.82464	1.83011	6671	0	42
2020.10.28	13:00:00	1.83011	1.83392	1.82947	1.83045	6347	0	42
2020.10.28	14:00:00	1.83045	1.83276	1.83028	1.83143	6135	0	42
2020.10.28	15:00:00	1.83142	1.83531	1.83083	1.83486	6666	0	42
2020.10.28	16:00:00	1.83496	1.84323	1.83454	1.84188	7423	0	42
2020.10.28	17:00:00	1.84188	1.84387	1.83839	1.83903	6805	0	42
2020.10.28	18:00:00	1.83903	1.83986	1.83672	1.83839	5250	0	42
2020.10.28	19:00:00	1.83843	1.84045	1.83834	1.84016	4738	0	42
2020.10.28	20:00:00	1.84017	1.84119	1.83942	1.84036	3362	0	42
2020.10.28	21:00:00	1.84036	1.84355	1.84004	1.84285	5105	0	42
2020.10.28	22:00:00	1.84284	1.84364	1.84238	1.84292	2193	0	43
2020.10.28	23:00:00	1.84219	1.84254	1.83955	1.84120	468	0	81
2020.10.29	00:00:00	1.84200	1.84266	1.83998	1.84143	2057	0	43
2020.10.29	01:00:00	1.84146	1.84262	1.84075	1.84088	2676	0	42
2020.10.29	02:00:00	1.84085	1.84105	1.83833	1.84004	5923	0	42
2020.10.29	03:00:00	1.84007	1.84039	1.83859	1.83905	6269	0	42
2020.10.29	04:00:00	1.83908	1.84107	1.83897	1.84059	2461	0	42
2020.10.29	05:00:00	1.84059	1.84091	1.83907	1.83958	2656	0	42
2020.10.29	06:00:00	1.83958	1.84115	1.83942	1.84105	2843	0	42
2020.10.29	07:00:00	1.84105	1.84255	1.84051	1.84241	3956	0	42
2020.10.29	08:00:00	1.84241	1.84284	1.83949	1.83995	4071	0	42
2020.10.29	09:00:00	1.83995	1.84183	1.83880	1.84144	6068	0	42
2020.10.29	10:00:00	1.84145	1.84326	1.84012	1.84282	7550	0	42
2020.10.29	11:00:00	1.84282	1.84895	1.84258	1.84828	6968	0	42
2020.10.29	12:00:00	1.84828	1.84919	1.84231	1.84299	6733	0	42
2020.10.29	13:00:00	1.84300	1.84386	1.84038	1.84196	8031	0	42
2020.10.29	14:00:00	1.84194	1.84246	1.83832	1.84132	7709	0	42
2020.10.29	15:00:00	1.84135	1.84426	1.83888	1.83976	11070	0	42
2020.10.29	16:00:00	1.83982	1.84034	1.83449	1.83509	9367	0	42
