<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.71857	1.71971	1.71796	1.71937	1495	0	46
2020.10.27	01:00:00	1.71938	1.71938	1.71852	1.71859	1971	0	45
2020.10.27	02:00:00	1.71858	1.71924	1.71800	1.71831	4148	0	44
2020.10.27	03:00:00	1.71832	1.71925	1.71786	1.71913	3639	0	44
2020.10.27	04:00:00	1.71912	1.71926	1.71858	1.71885	2723	0	44
2020.10.27	05:00:00	1.71886	1.71890	1.71818	1.71826	1985	0	45
2020.10.27	06:00:00	1.71827	1.71853	1.71766	1.71780	1780	0	45
2020.10.27	07:00:00	1.71781	1.71810	1.71736	1.71797	3275	0	44
2020.10.27	08:00:00	1.71797	1.71838	1.71710	1.71721	3214	0	44
2020.10.27	09:00:00	1.71721	1.71731	1.71488	1.71609	4509	0	44
2020.10.27	10:00:00	1.71609	1.71724	1.71494	1.71618	6581	0	44
2020.10.27	11:00:00	1.71617	1.71799	1.71582	1.71794	4489	0	44
2020.10.27	12:00:00	1.71795	1.71797	1.71564	1.71736	4647	0	44
2020.10.27	13:00:00	1.71737	1.71771	1.71599	1.71740	4381	0	44
2020.10.27	14:00:00	1.71740	1.71798	1.71534	1.71673	4837	0	44
2020.10.27	15:00:00	1.71678	1.71870	1.71608	1.71731	6274	0	44
2020.10.27	16:00:00	1.71733	1.71892	1.71667	1.71744	7108	0	44
2020.10.27	17:00:00	1.71741	1.72089	1.71676	1.71892	6262	0	44
2020.10.27	18:00:00	1.71893	1.71942	1.71788	1.71843	5284	0	45
2020.10.27	19:00:00	1.71850	1.71928	1.71718	1.71789	4071	0	44
2020.10.27	20:00:00	1.71788	1.71900	1.71771	1.71868	3587	0	44
2020.10.27	21:00:00	1.71866	1.71969	1.71843	1.71911	3189	0	44
2020.10.27	22:00:00	1.71911	1.72053	1.71843	1.72004	2890	0	44
2020.10.27	23:00:00	1.71845	1.71967	1.71822	1.71865	870	0	44
2020.10.28	00:00:00	1.71911	1.72029	1.71832	1.71878	1907	0	46
2020.10.28	01:00:00	1.71880	1.71937	1.71808	1.71871	1574	0	48
2020.10.28	02:00:00	1.71872	1.72000	1.71838	1.71944	3405	0	44
2020.10.28	03:00:00	1.71943	1.71943	1.71852	1.71889	4821	0	44
2020.10.28	04:00:00	1.71890	1.71992	1.71888	1.71905	4091	0	46
2020.10.28	05:00:00	1.71906	1.71948	1.71887	1.71918	2059	0	47
2020.10.28	06:00:00	1.71917	1.71986	1.71876	1.71965	2429	0	45
2020.10.28	07:00:00	1.71964	1.72023	1.71913	1.71952	2670	0	45
2020.10.28	08:00:00	1.71954	1.72220	1.71919	1.72133	4047	0	44
2020.10.28	09:00:00	1.72133	1.72313	1.72028	1.72038	5925	0	44
2020.10.28	10:00:00	1.72032	1.72051	1.71736	1.71863	7392	0	44
2020.10.28	11:00:00	1.71859	1.71921	1.71520	1.71757	6863	0	44
2020.10.28	12:00:00	1.71757	1.71885	1.71657	1.71792	6375	0	44
2020.10.28	13:00:00	1.71788	1.71971	1.71694	1.71763	6230	0	44
2020.10.28	14:00:00	1.71764	1.71883	1.71611	1.71828	6877	0	44
2020.10.28	15:00:00	1.71830	1.72184	1.71785	1.72012	7831	0	44
2020.10.28	16:00:00	1.72012	1.72939	1.72006	1.72909	9774	0	44
2020.10.28	17:00:00	1.72901	1.73204	1.72808	1.73117	7372	0	44
2020.10.28	18:00:00	1.73118	1.73119	1.72669	1.72765	5659	0	44
2020.10.28	19:00:00	1.72764	1.72907	1.72759	1.72846	3983	0	44
2020.10.28	20:00:00	1.72842	1.72907	1.72718	1.72748	4147	0	44
2020.10.28	21:00:00	1.72753	1.72831	1.72646	1.72810	4335	0	44
2020.10.28	22:00:00	1.72808	1.72980	1.72773	1.72934	2712	0	44
2020.10.28	23:00:00	1.72892	1.72991	1.72842	1.72933	360	0	114
2020.10.29	00:00:00	1.72939	1.72943	1.72815	1.72857	1251	0	47
2020.10.29	01:00:00	1.72857	1.72881	1.72813	1.72872	1896	0	45
2020.10.29	02:00:00	1.72872	1.72975	1.72846	1.72920	3929	0	45
2020.10.29	03:00:00	1.72919	1.72945	1.72799	1.72823	3138	0	44
2020.10.29	04:00:00	1.72823	1.72876	1.72796	1.72817	1595	0	45
2020.10.29	05:00:00	1.72817	1.72863	1.72737	1.72766	1771	0	45
2020.10.29	06:00:00	1.72767	1.72828	1.72763	1.72772	2109	0	46
2020.10.29	07:00:00	1.72771	1.73031	1.72765	1.73026	2876	0	45
2020.10.29	08:00:00	1.73027	1.73050	1.72757	1.72780	3239	0	44
2020.10.29	09:00:00	1.72776	1.72926	1.72719	1.72872	5434	0	45
2020.10.29	10:00:00	1.72872	1.72958	1.72742	1.72943	8296	0	44
2020.10.29	11:00:00	1.72945	1.73487	1.72932	1.73307	6865	0	44
2020.10.29	12:00:00	1.73315	1.73415	1.72966	1.72990	7149	0	44
2020.10.29	13:00:00	1.72990	1.73090	1.72737	1.72927	8055	0	44
