<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.18162	1.18204	1.18133	1.18188	788	0	46
2020.10.27	01:00:00	1.18188	1.18188	1.18143	1.18160	826	0	45
2020.10.27	02:00:00	1.18160	1.18196	1.18102	1.18136	1905	0	44
2020.10.27	03:00:00	1.18136	1.18197	1.18116	1.18175	1873	0	44
2020.10.27	04:00:00	1.18176	1.18216	1.18139	1.18216	1870	0	44
2020.10.27	05:00:00	1.18216	1.18228	1.18169	1.18184	1211	0	44
2020.10.27	06:00:00	1.18185	1.18204	1.18146	1.18170	1110	0	44
2020.10.27	07:00:00	1.18172	1.18187	1.18124	1.18146	1766	0	44
2020.10.27	08:00:00	1.18146	1.18190	1.18112	1.18146	2371	0	44
2020.10.27	09:00:00	1.18146	1.18175	1.18027	1.18158	3486	0	44
2020.10.27	10:00:00	1.18158	1.18249	1.18033	1.18190	4994	0	44
2020.10.27	11:00:00	1.18190	1.18388	1.18142	1.18380	3589	0	44
2020.10.27	12:00:00	1.18383	1.18515	1.18343	1.18515	3571	0	44
2020.10.27	13:00:00	1.18521	1.18567	1.18358	1.18451	3728	0	44
2020.10.27	14:00:00	1.18453	1.18472	1.18170	1.18202	3234	0	44
2020.10.27	15:00:00	1.18203	1.18294	1.18118	1.18156	4195	0	44
2020.10.27	16:00:00	1.18161	1.18353	1.18132	1.18282	3889	0	44
2020.10.27	17:00:00	1.18282	1.18536	1.18254	1.18436	4006	0	44
2020.10.27	18:00:00	1.18433	1.18488	1.18386	1.18487	3254	0	44
2020.10.27	19:00:00	1.18490	1.18528	1.18392	1.18431	2309	0	44
2020.10.27	20:00:00	1.18430	1.18478	1.18396	1.18477	1858	0	44
2020.10.27	21:00:00	1.18478	1.18501	1.18419	1.18494	1284	0	45
2020.10.27	22:00:00	1.18492	1.18561	1.18466	1.18529	1622	0	44
