<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	136.491	136.537	136.453	136.512	1214	0	19
2020.10.27	01:00:00	136.509	136.513	136.419	136.439	1122	0	19
2020.10.27	02:00:00	136.439	136.522	136.350	136.519	2553	0	19
2020.10.27	03:00:00	136.519	136.539	136.461	136.501	2098	0	19
2020.10.27	04:00:00	136.501	136.551	136.479	136.528	1825	0	19
2020.10.27	05:00:00	136.527	136.529	136.436	136.498	1192	0	19
2020.10.27	06:00:00	136.496	136.566	136.491	136.532	1083	0	19
2020.10.27	07:00:00	136.533	136.579	136.529	136.561	1862	0	19
2020.10.27	08:00:00	136.561	136.583	136.482	136.554	2454	0	19
2020.10.27	09:00:00	136.557	136.557	136.331	136.484	3852	0	19
2020.10.27	10:00:00	136.483	136.500	136.188	136.310	5138	0	19
2020.10.27	11:00:00	136.311	136.313	136.146	136.227	4091	0	19
2020.10.27	12:00:00	136.227	136.449	136.198	136.439	3522	0	19
2020.10.27	13:00:00	136.439	136.532	136.347	136.510	3741	0	19
2020.10.27	14:00:00	136.511	136.571	136.303	136.363	3139	0	19
2020.10.27	15:00:00	136.363	136.466	136.316	136.347	4685	0	19
2020.10.27	16:00:00	136.350	136.438	136.197	136.323	5741	0	19
2020.10.27	17:00:00	136.323	136.549	136.242	136.463	5708	0	19
2020.10.27	18:00:00	136.463	136.521	136.399	136.487	3872	0	19
2020.10.27	19:00:00	136.491	136.553	136.377	136.416	2746	0	19
2020.10.27	20:00:00	136.417	136.430	136.373	136.415	2006	0	19
2020.10.27	21:00:00	136.416	136.438	136.355	136.377	1742	0	19
2020.10.27	22:00:00	136.375	136.414	136.219	136.221	1986	0	19
2020.10.27	23:00:00	136.122	136.265	136.094	136.251	1139	0	19
2020.10.28	00:00:00	136.258	136.275	136.117	136.137	2034	0	19
2020.10.28	01:00:00	136.134	136.234	136.117	136.223	1801	0	19
2020.10.28	02:00:00	136.222	136.232	136.063	136.143	3977	0	19
2020.10.28	03:00:00	136.144	136.213	136.076	136.109	3104	0	19
2020.10.28	04:00:00	136.111	136.143	135.937	135.959	3251	0	19
2020.10.28	05:00:00	135.959	135.999	135.916	135.941	1663	0	19
2020.10.28	06:00:00	135.941	135.951	135.895	135.938	2016	0	19
2020.10.28	07:00:00	135.937	136.043	135.891	135.989	2433	0	19
2020.10.28	08:00:00	135.990	136.154	135.922	136.047	3558	0	19
2020.10.28	09:00:00	136.047	136.071	135.781	135.789	4908	0	19
2020.10.28	10:00:00	135.788	135.803	135.424	135.590	7230	0	19
2020.10.28	11:00:00	135.589	135.617	135.128	135.178	7136	0	19
2020.10.28	12:00:00	135.177	135.290	135.073	135.087	6099	0	19
2020.10.28	13:00:00	135.087	135.299	135.002	135.125	6253	0	19
2020.10.28	14:00:00	135.125	135.207	134.878	135.083	6680	0	19
2020.10.28	15:00:00	135.082	135.282	134.911	135.173	7664	0	19
2020.10.28	16:00:00	135.175	135.694	135.143	135.364	9465	0	19
2020.10.28	17:00:00	135.363	135.648	135.353	135.590	7065	0	19
2020.10.28	18:00:00	135.590	135.601	135.342	135.401	4368	0	19
2020.10.28	19:00:00	135.400	135.504	135.331	135.500	2907	0	19
2020.10.28	20:00:00	135.500	135.606	135.408	135.554	2221	0	19
2020.10.28	21:00:00	135.553	135.565	135.432	135.460	2822	0	19
2020.10.28	22:00:00	135.460	135.505	135.410	135.427	1795	0	19
2020.10.28	23:00:00	135.389	135.472	135.345	135.411	3256	0	58
2020.10.29	00:00:00	135.418	135.526	135.410	135.445	1009	0	19
2020.10.29	01:00:00	135.442	135.509	135.408	135.491	1698	0	19
2020.10.29	02:00:00	135.491	135.657	135.469	135.621	4191	0	19
2020.10.29	03:00:00	135.623	135.800	135.526	135.774	3745	0	19
2020.10.29	04:00:00	135.775	135.786	135.648	135.683	1817	0	19
2020.10.29	05:00:00	135.682	135.820	135.641	135.807	2076	0	19
2020.10.29	06:00:00	135.806	135.880	135.772	135.781	1618	0	19
2020.10.29	07:00:00	135.781	135.930	135.745	135.927	2557	0	19
2020.10.29	08:00:00	135.927	135.942	135.724	135.746	2598	0	19
2020.10.29	09:00:00	135.744	135.783	135.543	135.581	4963	0	19
2020.10.29	10:00:00	135.581	135.645	135.326	135.404	7372	0	19
2020.10.29	11:00:00	135.405	135.655	135.394	135.455	5915	0	19
2020.10.29	12:00:00	135.454	135.520	135.071	135.185	5868	0	19
2020.10.29	13:00:00	135.184	135.185	134.819	134.881	6524	0	19
2020.10.29	14:00:00	134.881	135.025	134.834	134.988	5924	0	19
2020.10.29	15:00:00	134.989	135.036	134.639	134.956	8662	0	19
2020.10.29	16:00:00	134.959	135.263	134.875	135.003	7336	0	19
2020.10.29	17:00:00	135.003	135.141	134.816	134.925	7147	0	19
2020.10.29	18:00:00	134.924	135.171	134.866	135.159	5211	0	19
2020.10.29	19:00:00	135.158	135.200	135.061	135.119	3045	0	19
2020.10.29	20:00:00	135.119	135.361	135.112	135.282	3301	0	19
2020.10.29	21:00:00	135.281	135.372	135.262	135.276	2946	0	19
2020.10.29	22:00:00	135.278	135.316	135.207	135.233	1572	0	19
2020.10.29	23:00:00	135.162	135.233	135.052	135.133	1359	0	23
2020.10.30	00:00:00	135.172	135.248	135.163	135.244	1326	0	19
2020.10.30	01:00:00	135.242	135.317	135.148	135.195	1655	0	19
2020.10.30	02:00:00	135.194	135.233	135.087	135.142	4187	0	19
2020.10.30	03:00:00	135.142	135.167	135.042	135.132	3902	0	19
2020.10.30	04:00:00	135.132	135.159	135.038	135.052	2211	0	19
2020.10.30	05:00:00	135.052	135.097	135.017	135.023	1769	0	19
2020.10.30	06:00:00	135.024	135.056	134.783	134.796	1767	0	19
2020.10.30	07:00:00	134.796	134.808	134.396	134.532	5838	0	19
2020.10.30	08:00:00	134.532	134.714	134.416	134.601	3634	0	19
2020.10.30	09:00:00	134.602	134.956	134.594	134.778	4780	0	19
2020.10.30	10:00:00	134.778	134.990	134.735	134.949	6841	0	19
2020.10.30	11:00:00	134.945	135.337	134.848	135.304	6539	0	19
2020.10.30	12:00:00	135.303	135.515	135.151	135.484	6174	0	19
2020.10.30	13:00:00	135.484	135.636	135.399	135.620	7474	0	19
2020.10.30	14:00:00	135.619	135.619	135.323	135.518	6573	0	19
2020.10.30	15:00:00	135.518	135.796	135.437	135.503	7907	0	19
2020.10.30	16:00:00	135.507	135.524	135.292	135.341	7382	0	19
2020.10.30	17:00:00	135.339	135.545	135.076	135.199	8807	0	19
2020.10.30	18:00:00	135.201	135.531	135.073	135.434	6501	0	19
2020.10.30	19:00:00	135.434	135.528	135.377	135.438	3606	0	19
2020.10.30	20:00:00	135.438	135.662	135.390	135.641	3444	0	19
2020.10.30	21:00:00	135.640	135.660	135.561	135.622	3164	0	19
2020.10.30	22:00:00	135.623	135.686	135.493	135.533	2127	0	19
