<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	1.95031	1.95040	1.94868	1.94916	1391	0	56
2020.10.27	01:00:00	1.94918	1.94951	1.94843	1.94934	1776	0	54
2020.10.27	02:00:00	1.94933	1.94938	1.94702	1.94887	4333	0	54
2020.10.27	03:00:00	1.94889	1.95007	1.94790	1.94960	4474	0	55
2020.10.27	04:00:00	1.94959	1.95000	1.94769	1.94769	3747	0	56
2020.10.27	05:00:00	1.94773	1.94868	1.94698	1.94780	2679	0	54
2020.10.27	06:00:00	1.94779	1.94844	1.94763	1.94781	2532	0	55
2020.10.27	07:00:00	1.94782	1.94899	1.94744	1.94851	3971	0	54
2020.10.27	08:00:00	1.94850	1.94899	1.94702	1.94800	4449	0	54
2020.10.27	09:00:00	1.94803	1.94814	1.94646	1.94776	5987	0	54
2020.10.27	10:00:00	1.94778	1.94805	1.94469	1.94635	7087	0	54
2020.10.27	11:00:00	1.94635	1.94760	1.94545	1.94757	5233	0	54
2020.10.27	12:00:00	1.94752	1.94773	1.94556	1.94726	5117	0	54
2020.10.27	13:00:00	1.94729	1.94758	1.94424	1.94631	5018	0	54
2020.10.27	14:00:00	1.94632	1.94639	1.94265	1.94303	5097	0	54
2020.10.27	15:00:00	1.94299	1.94528	1.94256	1.94316	6749	0	54
2020.10.27	16:00:00	1.94318	1.94503	1.93998	1.94168	6678	0	54
2020.10.27	17:00:00	1.94169	1.94650	1.94053	1.94493	6193	0	54
2020.10.27	18:00:00	1.94493	1.94572	1.94414	1.94539	5252	0	54
2020.10.27	19:00:00	1.94545	1.94618	1.94292	1.94405	3451	0	54
2020.10.27	20:00:00	1.94403	1.94536	1.94323	1.94515	3616	0	54
2020.10.27	21:00:00	1.94515	1.94600	1.94434	1.94515	3443	0	54
2020.10.27	22:00:00	1.94518	1.94666	1.94451	1.94483	2718	0	54
2020.10.27	23:00:00	1.94318	1.94546	1.94249	1.94372	1080	0	58
