<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	1.23536	1.23763	1.23355	1.23704	5311	0	8
2020.04.01	12:00:00	1.23705	1.23712	1.23487	1.23597	5838	0	8
2020.04.01	13:00:00	1.23597	1.23958	1.23542	1.23782	5034	0	8
2020.04.01	14:00:00	1.23780	1.23977	1.23664	1.23819	4586	0	8
2020.04.01	15:00:00	1.23819	1.23946	1.23575	1.23841	5885	0	8
2020.04.01	16:00:00	1.23841	1.24261	1.23777	1.24235	6050	0	8
2020.04.01	17:00:00	1.24237	1.24386	1.24073	1.24236	7371	0	8
2020.04.01	18:00:00	1.24238	1.24243	1.23868	1.23916	6437	0	8
2020.04.01	19:00:00	1.23916	1.24101	1.23865	1.23943	4986	0	8
2020.04.01	20:00:00	1.23943	1.23977	1.23725	1.23965	4711	0	8
2020.04.01	21:00:00	1.23965	1.24172	1.23672	1.23678	4607	0	8
2020.04.01	22:00:00	1.23680	1.23991	1.23680	1.23948	4937	0	8
2020.04.01	23:00:00	1.23946	1.24004	1.23638	1.23655	3216	0	8
2020.04.02	00:00:00	1.23837	1.24024	1.23579	1.23860	1571	0	9
2020.04.02	01:00:00	1.23861	1.24003	1.23816	1.23959	824	0	8
2020.04.02	02:00:00	1.23959	1.23969	1.23768	1.23797	1067	0	8
2020.04.02	03:00:00	1.23797	1.24016	1.23732	1.23889	2772	0	8
2020.04.02	04:00:00	1.23889	1.24088	1.23838	1.23865	2656	0	8
2020.04.02	05:00:00	1.23865	1.23967	1.23820	1.23835	1334	0	8
2020.04.02	06:00:00	1.23835	1.23919	1.23760	1.23841	1446	0	8
2020.04.02	07:00:00	1.23844	1.23891	1.23768	1.23881	1036	0	8
2020.04.02	08:00:00	1.23881	1.24112	1.23871	1.24092	2462	0	8
2020.04.02	09:00:00	1.24092	1.24313	1.23933	1.24002	4179	0	8
2020.04.02	10:00:00	1.24001	1.24189	1.23976	1.24061	5309	0	8
2020.04.02	11:00:00	1.24061	1.24240	1.23867	1.24236	5594	0	8
2020.04.02	12:00:00	1.24236	1.24621	1.24075	1.24604	5287	0	8
2020.04.02	13:00:00	1.24604	1.24750	1.24397	1.24470	5123	0	8
2020.04.02	14:00:00	1.24470	1.24542	1.24237	1.24281	4972	0	8
2020.04.02	15:00:00	1.24281	1.24543	1.24007	1.24145	7497	0	8
2020.04.02	16:00:00	1.24153	1.24224	1.23516	1.23672	8479	0	8
2020.04.02	17:00:00	1.23672	1.24090	1.23553	1.23742	10784	0	8
2020.04.02	18:00:00	1.23742	1.24121	1.23576	1.23765	8729	0	8
2020.04.02	19:00:00	1.23767	1.23899	1.23558	1.23650	6974	0	8
2020.04.02	20:00:00	1.23650	1.23765	1.23472	1.23640	5239	0	8
2020.04.02	21:00:00	1.23640	1.24004	1.23576	1.23960	4850	0	8
2020.04.02	22:00:00	1.23960	1.24041	1.23847	1.23956	4755	0	8
2020.04.02	23:00:00	1.23956	1.24187	1.23916	1.23945	2118	0	8
2020.04.03	00:00:00	1.24017	1.24031	1.23935	1.23994	807	0	16
2020.04.03	01:00:00	1.23946	1.24018	1.23897	1.23909	577	0	8
2020.04.03	02:00:00	1.23909	1.23952	1.23812	1.23905	1037	0	8
2020.04.03	03:00:00	1.23909	1.23931	1.23721	1.23845	2691	0	8
2020.04.03	04:00:00	1.23845	1.23865	1.23715	1.23838	2017	0	8
2020.04.03	05:00:00	1.23838	1.23881	1.23766	1.23797	1614	0	8
