<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	1595.990	1597.584	1591.814	1594.950	1945	0	180
2020.04.01	12:00:00	1594.950	1596.620	1592.064	1594.680	2125	0	160
2020.04.01	13:00:00	1594.760	1595.230	1591.950	1592.690	1049	0	176
2020.04.01	14:00:00	1592.600	1595.004	1587.660	1588.784	3178	0	160
2020.04.01	15:00:00	1588.850	1588.850	1576.820	1584.530	7424	0	160
2020.04.01	16:00:00	1584.530	1584.754	1572.100	1581.310	6461	0	160
2020.04.01	17:00:00	1581.310	1589.464	1576.384	1586.830	7587	0	160
2020.04.01	18:00:00	1586.470	1593.447	1584.120	1592.960	7619	0	160
2020.04.01	19:00:00	1593.010	1594.210	1577.970	1582.300	5458	0	160
2020.04.01	20:00:00	1582.360	1583.910	1577.910	1582.560	6543	0	160
2020.04.01	21:00:00	1582.430	1590.810	1581.654	1590.670	3790	0	160
2020.04.01	22:00:00	1590.640	1592.840	1585.830	1589.000	4393	0	160
2020.04.01	23:00:00	1589.000	1592.100	1587.000	1590.520	1028	0	160
2020.04.02	01:00:00	1588.680	1594.960	1586.160	1593.334	1977	0	160
2020.04.02	02:00:00	1593.450	1595.820	1590.820	1591.750	3084	0	160
2020.04.02	03:00:00	1591.730	1593.190	1585.744	1587.440	4588	0	182
2020.04.02	04:00:00	1587.440	1587.440	1582.544	1585.564	4055	0	160
2020.04.02	05:00:00	1585.760	1586.070	1582.334	1584.584	2801	0	160
2020.04.02	06:00:00	1584.584	1585.560	1583.704	1585.310	1344	0	160
2020.04.02	07:00:00	1585.310	1585.720	1583.340	1584.734	1490	0	160
2020.04.02	08:00:00	1584.734	1588.260	1583.880	1585.510	3197	0	160
2020.04.02	09:00:00	1585.510	1592.640	1585.180	1591.114	6587	0	160
2020.04.02	10:00:00	1591.264	1599.509	1591.090	1592.144	4652	0	160
2020.04.02	11:00:00	1592.204	1593.520	1586.414	1586.414	3574	0	160
2020.04.02	12:00:00	1586.464	1590.604	1585.620	1589.654	3342	0	160
