<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	3.261	3.264	3.259	3.261	90	0	11
2020.10.27	01:00:00	3.262	3.271	3.262	3.266	55	0	9
2020.10.27	02:00:00	3.265	3.277	3.264	3.273	90	0	9
2020.10.27	03:00:00	3.274	3.279	3.271	3.277	57	0	9
2020.10.27	04:00:00	3.276	3.281	3.275	3.276	54	0	9
2020.10.27	05:00:00	3.277	3.277	3.270	3.271	48	0	9
2020.10.27	06:00:00	3.272	3.276	3.271	3.272	60	0	9
2020.10.27	07:00:00	3.273	3.276	3.264	3.264	137	0	9
2020.10.27	08:00:00	3.265	3.265	3.252	3.254	114	0	9
2020.10.27	09:00:00	3.255	3.277	3.239	3.269	266	0	7
2020.10.27	10:00:00	3.267	3.269	3.254	3.263	200	0	7
2020.10.27	11:00:00	3.262	3.265	3.246	3.246	169	0	7
2020.10.27	12:00:00	3.246	3.268	3.244	3.265	278	0	7
2020.10.27	13:00:00	3.266	3.269	3.244	3.260	340	0	6
2020.10.27	14:00:00	3.259	3.271	3.235	3.245	636	0	5
2020.10.27	15:00:00	3.244	3.244	3.202	3.225	834	0	5
2020.10.27	16:00:00	3.224	3.292	3.213	3.286	636	0	4
2020.10.27	17:00:00	3.286	3.310	3.278	3.302	896	0	4
2020.10.27	18:00:00	3.303	3.340	3.298	3.320	660	0	5
2020.10.27	19:00:00	3.320	3.355	3.314	3.347	743	0	4
2020.10.27	20:00:00	3.345	3.353	3.320	3.324	728	0	4
2020.10.27	21:00:00	3.323	3.338	3.323	3.325	314	0	6
2020.10.27	22:00:00	3.325	3.330	3.320	3.322	121	0	4
2020.10.28	00:00:00	3.329	3.330	3.319	3.327	114	0	12
2020.10.28	01:00:00	3.327	3.327	3.315	3.325	129	0	10
2020.10.28	02:00:00	3.324	3.327	3.315	3.325	95	0	10
2020.10.28	03:00:00	3.326	3.331	3.321	3.328	60	0	10
2020.10.28	04:00:00	3.329	3.331	3.326	3.327	46	0	10
2020.10.28	05:00:00	3.326	3.331	3.321	3.322	46	0	10
2020.10.28	06:00:00	3.323	3.328	3.321	3.325	59	0	10
2020.10.28	07:00:00	3.325	3.325	3.319	3.322	61	0	10
2020.10.28	08:00:00	3.323	3.339	3.323	3.330	121	0	10
2020.10.28	09:00:00	3.329	3.333	3.318	3.322	191	0	4
