<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.88063	0.88208	0.88049	0.88189	769	0	28
2020.10.27	01:00:00	0.88190	0.88208	0.88142	0.88145	1225	0	26
2020.10.27	02:00:00	0.88145	0.88244	0.88141	0.88152	2439	0	26
2020.10.27	03:00:00	0.88153	0.88195	0.88124	0.88161	2427	0	26
2020.10.27	04:00:00	0.88161	0.88234	0.88148	0.88231	2003	0	26
2020.10.27	05:00:00	0.88231	0.88246	0.88164	0.88199	1290	0	26
2020.10.27	06:00:00	0.88198	0.88202	0.88170	0.88175	1049	0	26
2020.10.27	07:00:00	0.88174	0.88184	0.88120	0.88149	1904	0	28
2020.10.27	08:00:00	0.88151	0.88211	0.88130	0.88134	1817	0	26
2020.10.27	09:00:00	0.88134	0.88148	0.88048	0.88089	2250	0	26
2020.10.27	10:00:00	0.88088	0.88218	0.88077	0.88154	3191	0	26
2020.10.27	11:00:00	0.88155	0.88233	0.88124	0.88192	2453	0	26
2020.10.27	12:00:00	0.88192	0.88202	0.88137	0.88176	1837	0	26
2020.10.27	13:00:00	0.88174	0.88263	0.88151	0.88222	2084	0	26
2020.10.27	14:00:00	0.88222	0.88348	0.88151	0.88336	2347	0	26
2020.10.27	15:00:00	0.88340	0.88405	0.88312	0.88360	3526	0	26
2020.10.27	16:00:00	0.88357	0.88481	0.88343	0.88434	3604	0	26
2020.10.27	17:00:00	0.88433	0.88497	0.88355	0.88363	3125	0	26
2020.10.27	18:00:00	0.88363	0.88395	0.88303	0.88316	2697	0	26
2020.10.27	19:00:00	0.88317	0.88374	0.88317	0.88350	2369	0	27
2020.10.27	20:00:00	0.88348	0.88394	0.88321	0.88339	1722	0	26
2020.10.27	21:00:00	0.88339	0.88404	0.88333	0.88361	1655	0	26
2020.10.27	22:00:00	0.88361	0.88424	0.88336	0.88424	1402	0	26
2020.10.27	23:00:00	0.88406	0.88452	0.88346	0.88412	1261	0	43
2020.10.28	00:00:00	0.88410	0.88440	0.88354	0.88385	1332	0	26
2020.10.28	01:00:00	0.88385	0.88394	0.88340	0.88370	1165	0	27
2020.10.28	02:00:00	0.88370	0.88380	0.88303	0.88356	2572	0	26
2020.10.28	03:00:00	0.88358	0.88415	0.88343	0.88396	3264	0	26
2020.10.28	04:00:00	0.88397	0.88423	0.88335	0.88342	2470	0	26
