<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.60535	0.60614	0.60527	0.60611	399	0	48
2020.10.27	01:00:00	0.60611	0.60630	0.60587	0.60592	508	0	46
2020.10.27	02:00:00	0.60592	0.60672	0.60588	0.60595	984	0	46
2020.10.27	03:00:00	0.60595	0.60623	0.60578	0.60593	1298	0	46
2020.10.27	04:00:00	0.60593	0.60673	0.60566	0.60673	1133	0	46
2020.10.27	05:00:00	0.60664	0.60679	0.60627	0.60654	599	0	46
2020.10.27	06:00:00	0.60653	0.60657	0.60631	0.60647	409	0	46
2020.10.27	07:00:00	0.60647	0.60657	0.60592	0.60611	770	0	46
2020.10.27	08:00:00	0.60611	0.60673	0.60609	0.60628	1042	0	46
2020.10.27	09:00:00	0.60628	0.60665	0.60589	0.60640	1399	0	46
2020.10.27	10:00:00	0.60639	0.60735	0.60613	0.60701	2237	0	46
2020.10.27	11:00:00	0.60701	0.60769	0.60667	0.60761	1521	0	46
2020.10.27	12:00:00	0.60764	0.60840	0.60764	0.60840	1451	0	46
2020.10.27	13:00:00	0.60843	0.60893	0.60833	0.60838	1535	0	46
2020.10.27	14:00:00	0.60838	0.60898	0.60801	0.60809	1393	0	46
2020.10.27	15:00:00	0.60811	0.60835	0.60765	0.60784	1995	0	46
2020.10.27	16:00:00	0.60783	0.60954	0.60770	0.60897	2071	0	46
2020.10.27	17:00:00	0.60895	0.60953	0.60854	0.60870	1791	0	46
2020.10.27	18:00:00	0.60871	0.60893	0.60852	0.60884	1362	0	46
2020.10.27	19:00:00	0.60884	0.60928	0.60867	0.60901	978	0	46
2020.10.27	20:00:00	0.60901	0.60906	0.60869	0.60887	720	0	46
2020.10.27	21:00:00	0.60887	0.60903	0.60852	0.60892	558	0	46
2020.10.27	22:00:00	0.60892	0.60923	0.60857	0.60917	764	0	46
2020.10.27	23:00:00	0.60828	0.60948	0.60795	0.60936	630	0	84
2020.10.28	00:00:00	0.60931	0.60952	0.60877	0.60892	902	0	49
2020.10.28	01:00:00	0.60893	0.60901	0.60866	0.60876	511	0	46
2020.10.28	02:00:00	0.60876	0.60882	0.60828	0.60866	1389	0	46
2020.10.28	03:00:00	0.60867	0.60940	0.60854	0.60922	1688	0	46
2020.10.28	04:00:00	0.60921	0.60937	0.60852	0.60862	1062	0	46
2020.10.28	05:00:00	0.60862	0.60894	0.60840	0.60882	866	0	46
2020.10.28	06:00:00	0.60882	0.60984	0.60872	0.60972	832	0	46
2020.10.28	07:00:00	0.60972	0.61027	0.60947	0.61011	796	0	46
2020.10.28	08:00:00	0.61011	0.61092	0.61001	0.61082	1405	0	46
2020.10.28	09:00:00	0.61079	0.61092	0.60978	0.60987	1855	0	46
