<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	69.929	70.018	69.929	70.010	1159	0	31
2020.10.27	01:00:00	70.010	70.036	69.960	69.967	959	0	28
2020.10.27	02:00:00	69.967	70.067	69.940	70.026	2590	0	28
2020.10.27	03:00:00	70.026	70.048	69.972	69.992	2171	0	28
2020.10.27	04:00:00	69.993	70.074	69.986	70.074	2118	0	28
2020.10.27	05:00:00	70.074	70.076	70.004	70.054	1144	0	28
2020.10.27	06:00:00	70.055	70.091	70.050	70.073	916	0	28
2020.10.27	07:00:00	70.073	70.099	70.035	70.061	1441	0	28
2020.10.27	08:00:00	70.060	70.111	70.020	70.077	1721	0	28
2020.10.27	09:00:00	70.077	70.077	69.989	70.049	2046	0	28
2020.10.27	10:00:00	70.050	70.064	69.978	70.010	2785	0	28
2020.10.27	11:00:00	70.010	70.015	69.901	69.922	2186	0	28
2020.10.27	12:00:00	69.924	70.047	69.851	70.045	2038	0	28
2020.10.27	13:00:00	70.045	70.152	69.996	70.115	2111	0	28
2020.10.27	14:00:00	70.115	70.209	70.108	70.157	1954	0	28
2020.10.27	15:00:00	70.161	70.182	70.092	70.146	2879	0	28
2020.10.27	16:00:00	70.147	70.216	70.073	70.187	3017	0	28
2020.10.27	17:00:00	70.187	70.200	70.106	70.141	2826	0	28
2020.10.27	18:00:00	70.140	70.173	70.098	70.136	2121	0	28
2020.10.27	19:00:00	70.136	70.189	70.129	70.148	1569	0	28
2020.10.27	20:00:00	70.148	70.174	70.096	70.108	850	0	28
2020.10.27	21:00:00	70.108	70.119	70.069	70.085	1017	0	28
2020.10.27	22:00:00	70.087	70.115	69.936	70.019	1178	0	28
2020.10.27	23:00:00	69.990	70.068	69.955	70.056	1330	0	38
2020.10.28	00:00:00	70.049	70.060	69.973	69.995	1101	0	29
2020.10.28	01:00:00	69.995	70.052	69.974	70.028	1094	0	28
2020.10.28	02:00:00	70.028	70.031	69.898	69.951	2554	0	28
2020.10.28	03:00:00	69.952	70.037	69.936	69.987	2323	0	28
2020.10.28	04:00:00	69.987	70.001	69.852	69.859	2183	0	28
2020.10.28	05:00:00	69.858	69.901	69.816	69.885	1269	0	28
2020.10.28	06:00:00	69.884	69.936	69.867	69.932	1478	0	28
2020.10.28	07:00:00	69.933	70.019	69.909	69.994	1381	0	28
2020.10.28	08:00:00	69.991	70.030	69.956	69.984	1985	0	28
2020.10.28	09:00:00	69.982	69.997	69.804	69.822	2785	0	28
2020.10.28	10:00:00	69.822	69.822	69.652	69.730	2879	0	28
2020.10.28	11:00:00	69.730	69.751	69.509	69.537	2591	0	28
2020.10.28	12:00:00	69.537	69.538	69.376	69.376	2411	0	28
2020.10.28	13:00:00	69.376	69.519	69.317	69.466	3006	0	28
2020.10.28	14:00:00	69.466	69.520	69.272	69.373	3131	0	28
2020.10.28	15:00:00	69.373	69.393	69.287	69.324	4064	0	28
2020.10.28	16:00:00	69.324	69.366	69.137	69.193	5172	0	28
2020.10.28	17:00:00	69.193	69.481	69.183	69.463	4071	0	28
2020.10.28	18:00:00	69.463	69.469	69.384	69.406	3207	0	28
2020.10.28	19:00:00	69.407	69.408	69.326	69.400	2555	0	28
2020.10.28	20:00:00	69.400	69.451	69.331	69.426	2220	0	28
2020.10.28	21:00:00	69.426	69.432	69.246	69.271	2059	0	28
2020.10.28	22:00:00	69.270	69.275	69.221	69.234	1011	0	28
2020.10.28	23:00:00	69.233	69.321	69.212	69.265	2001	0	52
2020.10.29	00:00:00	69.270	69.350	69.244	69.283	764	0	28
2020.10.29	01:00:00	69.283	69.361	69.242	69.342	1679	0	28
2020.10.29	02:00:00	69.347	69.429	69.336	69.396	3225	0	28
2020.10.29	03:00:00	69.398	69.509	69.352	69.489	3186	0	28
2020.10.29	04:00:00	69.490	69.490	69.306	69.316	1439	0	28
2020.10.29	05:00:00	69.316	69.445	69.301	69.445	1330	0	28
2020.10.29	06:00:00	69.445	69.462	69.390	69.400	1137	0	28
2020.10.29	07:00:00	69.401	69.425	69.380	69.422	1422	0	28
2020.10.29	08:00:00	69.422	69.473	69.384	69.418	1743	0	28
2020.10.29	09:00:00	69.418	69.476	69.331	69.346	2962	0	28
2020.10.29	10:00:00	69.347	69.387	69.232	69.283	3700	0	28
2020.10.29	11:00:00	69.280	69.357	69.060	69.075	2902	0	28
2020.10.29	12:00:00	69.075	69.098	69.014	69.066	2819	0	28
2020.10.29	13:00:00	69.067	69.072	68.969	69.003	3081	0	28
2020.10.29	14:00:00	69.002	69.168	69.002	69.128	3932	0	28
2020.10.29	15:00:00	69.129	69.154	68.958	69.110	6153	0	28
2020.10.29	16:00:00	69.112	69.310	69.082	69.278	4934	0	28
2020.10.29	17:00:00	69.278	69.296	69.061	69.071	4514	0	28
2020.10.29	18:00:00	69.072	69.156	69.051	69.139	3290	0	28
2020.10.29	19:00:00	69.138	69.221	69.104	69.217	2099	0	28
2020.10.29	20:00:00	69.216	69.331	69.213	69.280	2494	0	28
2020.10.29	21:00:00	69.279	69.422	69.279	69.373	2052	0	28
2020.10.29	22:00:00	69.376	69.413	69.297	69.319	1340	0	28
2020.10.29	23:00:00	69.310	69.365	69.307	69.322	2145	0	47
2020.10.30	00:00:00	69.334	69.335	69.236	69.313	760	0	30
2020.10.30	01:00:00	69.313	69.343	69.278	69.293	1513	0	28
