<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	0.66729	0.66777	0.66711	0.66755	473	0	17
2020.10.27	01:00:00	0.66755	0.66792	0.66740	0.66749	2878	0	17
2020.10.27	02:00:00	0.66747	0.66861	0.66744	0.66817	2144	0	17
2020.10.27	03:00:00	0.66817	0.66857	0.66787	0.66814	1812	0	17
2020.10.27	04:00:00	0.66814	0.66927	0.66814	0.66925	1459	0	17
2020.10.27	05:00:00	0.66926	0.66926	0.66864	0.66894	944	0	17
2020.10.27	06:00:00	0.66894	0.66914	0.66889	0.66896	498	0	17
2020.10.27	07:00:00	0.66895	0.66924	0.66871	0.66893	1022	0	17
2020.10.27	08:00:00	0.66894	0.66962	0.66860	0.66885	1299	0	17
2020.10.27	09:00:00	0.66885	0.66887	0.66796	0.66828	1264	0	17
2020.10.27	10:00:00	0.66828	0.66903	0.66793	0.66855	2063	0	17
2020.10.27	11:00:00	0.66855	0.66903	0.66807	0.66850	1482	0	17
2020.10.27	12:00:00	0.66850	0.66927	0.66840	0.66925	1317	0	17
2020.10.27	13:00:00	0.66925	0.67055	0.66924	0.67024	1487	0	17
2020.10.27	14:00:00	0.67025	0.67130	0.67003	0.67038	1682	0	17
2020.10.27	15:00:00	0.67038	0.67097	0.67006	0.67063	2575	0	17
2020.10.27	16:00:00	0.67062	0.67189	0.67029	0.67157	3195	0	17
2020.10.27	17:00:00	0.67157	0.67233	0.67126	0.67160	2005	0	17
2020.10.27	18:00:00	0.67160	0.67203	0.67123	0.67174	2141	0	17
2020.10.27	19:00:00	0.67174	0.67235	0.67164	0.67182	1907	0	17
2020.10.27	20:00:00	0.67183	0.67205	0.67096	0.67104	570	0	17
2020.10.27	21:00:00	0.67104	0.67121	0.67064	0.67088	683	0	17
2020.10.27	22:00:00	0.67089	0.67112	0.67030	0.67067	641	0	17
2020.10.27	23:00:00	0.67035	0.67088	0.66976	0.67063	1027	0	17
2020.10.28	00:00:00	0.67061	0.67068	0.66955	0.66984	1042	0	17
2020.10.28	01:00:00	0.66984	0.67010	0.66962	0.66991	847	0	17
2020.10.28	02:00:00	0.66991	0.66993	0.66914	0.66965	1627	0	17
2020.10.28	03:00:00	0.66965	0.67059	0.66954	0.67029	2218	0	17
2020.10.28	04:00:00	0.67028	0.67046	0.66971	0.66975	1554	0	17
2020.10.28	05:00:00	0.66974	0.67024	0.66950	0.67009	906	0	17
2020.10.28	06:00:00	0.67009	0.67102	0.66995	0.67092	1000	0	17
2020.10.28	07:00:00	0.67092	0.67154	0.67070	0.67142	1180	0	17
2020.10.28	08:00:00	0.67141	0.67189	0.67115	0.67135	1537	0	17
2020.10.28	09:00:00	0.67135	0.67167	0.66996	0.67003	2074	0	17
2020.10.28	10:00:00	0.67003	0.67008	0.66806	0.66862	2399	0	17
2020.10.28	11:00:00	0.66862	0.66869	0.66692	0.66735	2275	0	17
2020.10.28	12:00:00	0.66735	0.66736	0.66616	0.66616	1751	0	17
2020.10.28	13:00:00	0.66611	0.66676	0.66574	0.66610	1825	0	17
2020.10.28	14:00:00	0.66611	0.66613	0.66363	0.66466	2902	0	17
2020.10.28	15:00:00	0.66464	0.66527	0.66394	0.66451	3911	0	17
2020.10.28	16:00:00	0.66451	0.66546	0.66278	0.66354	4957	0	17
2020.10.28	17:00:00	0.66354	0.66598	0.66341	0.66584	3647	0	17
2020.10.28	18:00:00	0.66585	0.66599	0.66505	0.66545	2911	0	17
2020.10.28	19:00:00	0.66544	0.66549	0.66487	0.66531	2316	0	17
2020.10.28	20:00:00	0.66531	0.66587	0.66484	0.66546	1533	0	17
2020.10.28	21:00:00	0.66546	0.66554	0.66365	0.66385	1611	0	17
2020.10.28	22:00:00	0.66386	0.66406	0.66356	0.66374	520	0	17
2020.10.28	23:00:00	0.66369	0.66431	0.66366	0.66423	363	0	19
2020.10.29	00:00:00	0.66423	0.66494	0.66393	0.66433	547	0	17
2020.10.29	01:00:00	0.66432	0.66488	0.66388	0.66477	2210	0	17
2020.10.29	02:00:00	0.66477	0.66547	0.66445	0.66471	2347	0	17
2020.10.29	03:00:00	0.66471	0.66539	0.66457	0.66513	2557	0	17
2020.10.29	04:00:00	0.66513	0.66517	0.66357	0.66366	1171	0	17
2020.10.29	05:00:00	0.66369	0.66484	0.66361	0.66483	1003	0	17
2020.10.29	06:00:00	0.66482	0.66500	0.66452	0.66458	1082	0	17
2020.10.29	07:00:00	0.66458	0.66503	0.66448	0.66503	965	0	17
2020.10.29	08:00:00	0.66503	0.66577	0.66481	0.66534	1541	0	17
2020.10.29	09:00:00	0.66534	0.66592	0.66466	0.66505	2505	0	17
2020.10.29	10:00:00	0.66505	0.66529	0.66420	0.66476	2705	0	17
2020.10.29	11:00:00	0.66476	0.66553	0.66326	0.66344	1692	0	17
2020.10.29	12:00:00	0.66344	0.66387	0.66328	0.66356	1646	0	17
2020.10.29	13:00:00	0.66355	0.66364	0.66198	0.66207	2317	0	17
2020.10.29	14:00:00	0.66207	0.66317	0.66198	0.66244	2519	0	17
2020.10.29	15:00:00	0.66244	0.66289	0.66096	0.66237	5477	0	17
2020.10.29	16:00:00	0.66237	0.66359	0.66158	0.66331	4665	0	17
2020.10.29	17:00:00	0.66331	0.66338	0.65977	0.65986	3524	0	17
2020.10.29	18:00:00	0.65986	0.66104	0.65960	0.66069	2962	0	17
2020.10.29	19:00:00	0.66068	0.66132	0.66018	0.66115	1752	0	17
2020.10.29	20:00:00	0.66116	0.66240	0.66115	0.66200	1335	0	17
2020.10.29	21:00:00	0.66200	0.66351	0.66200	0.66318	1322	0	17
2020.10.29	22:00:00	0.66318	0.66349	0.66248	0.66274	916	0	17
2020.10.29	23:00:00	0.66285	0.66317	0.66266	0.66281	351	0	17
2020.10.30	00:00:00	0.66286	0.66290	0.66188	0.66261	724	0	17
2020.10.30	01:00:00	0.66260	0.66296	0.66248	0.66280	1368	0	17
2020.10.30	02:00:00	0.66280	0.66289	0.66206	0.66249	2185	0	17
2020.10.30	03:00:00	0.66250	0.66420	0.66234	0.66414	2493	0	17
2020.10.30	04:00:00	0.66414	0.66417	0.66286	0.66292	1952	0	17
2020.10.30	05:00:00	0.66293	0.66353	0.66284	0.66345	1348	0	17
2020.10.30	06:00:00	0.66346	0.66351	0.66260	0.66260	1297	0	17
2020.10.30	07:00:00	0.66262	0.66268	0.66124	0.66155	2890	0	17
2020.10.30	08:00:00	0.66154	0.66177	0.66103	0.66110	2064	0	17
2020.10.30	09:00:00	0.66110	0.66213	0.66049	0.66165	2335	0	17
2020.10.30	10:00:00	0.66166	0.66294	0.66165	0.66240	2679	0	17
2020.10.30	11:00:00	0.66240	0.66369	0.66224	0.66352	2288	0	17
2020.10.30	12:00:00	0.66352	0.66356	0.66263	0.66345	2001	0	17
2020.10.30	13:00:00	0.66345	0.66414	0.66342	0.66393	1828	0	17
2020.10.30	14:00:00	0.66393	0.66704	0.66345	0.66663	3272	0	17
2020.10.30	15:00:00	0.66662	0.66680	0.66536	0.66542	3561	0	17
2020.10.30	16:00:00	0.66541	0.66572	0.66275	0.66283	4439	0	17
2020.10.30	17:00:00	0.66283	0.66397	0.66019	0.66085	5284	0	17
2020.10.30	18:00:00	0.66086	0.66275	0.66076	0.66212	4354	0	17
2020.10.30	19:00:00	0.66211	0.66223	0.65971	0.66043	2756	0	17
2020.10.30	20:00:00	0.66044	0.66135	0.66011	0.66095	1777	0	17
2020.10.30	21:00:00	0.66095	0.66132	0.66085	0.66105	1281	0	17
2020.10.30	22:00:00	0.66105	0.66135	0.66074	0.66128	779	0	17
2020.11.02	00:00:00	0.66070	0.66095	0.66015	0.66023	239	0	17
2020.11.02	01:00:00	0.66023	0.66065	0.65915	0.65969	2855	0	17
2020.11.02	02:00:00	0.65966	0.65996	0.65899	0.65929	2031	0	17
2020.11.02	03:00:00	0.65929	0.66096	0.65909	0.66059	2608	0	17
2020.11.02	04:00:00	0.66058	0.66095	0.66000	0.66037	2006	0	17
2020.11.02	05:00:00	0.66037	0.66085	0.66034	0.66057	1495	0	17
2020.11.02	06:00:00	0.66056	0.66057	0.65923	0.65944	1766	0	17
2020.11.02	07:00:00	0.65944	0.66044	0.65942	0.66018	1440	0	17
2020.11.02	08:00:00	0.66017	0.66057	0.65932	0.66027	2024	0	17
2020.11.02	09:00:00	0.66027	0.66080	0.65975	0.66016	2395	0	17
2020.11.02	10:00:00	0.66016	0.66026	0.65885	0.65978	3038	0	17
2020.11.02	11:00:00	0.65979	0.66157	0.65974	0.66137	2164	0	17
2020.11.02	12:00:00	0.66137	0.66243	0.66122	0.66212	1716	0	17
2020.11.02	13:00:00	0.66212	0.66305	0.66161	0.66261	1681	0	17
2020.11.02	14:00:00	0.66261	0.66291	0.66241	0.66262	1358	0	17
2020.11.02	15:00:00	0.66262	0.66341	0.66262	0.66316	2466	0	17
2020.11.02	16:00:00	0.66315	0.66317	0.66225	0.66245	2833	0	17
2020.11.02	17:00:00	0.66244	0.66313	0.66156	0.66164	3748	0	17
2020.11.02	18:00:00	0.66163	0.66274	0.66131	0.66250	2433	0	17
2020.11.02	19:00:00	0.66249	0.66255	0.66179	0.66192	2663	0	17
2020.11.02	20:00:00	0.66192	0.66192	0.66126	0.66173	1156	0	17
2020.11.02	21:00:00	0.66173	0.66294	0.66170	0.66280	1297	0	17
2020.11.02	22:00:00	0.66280	0.66338	0.66275	0.66329	1076	0	17
2020.11.02	23:00:00	0.66329	0.66347	0.66315	0.66337	496	0	17
2020.11.03	00:00:00	0.66293	0.66325	0.66247	0.66302	421	0	17
2020.11.03	01:00:00	0.66308	0.66336	0.66293	0.66308	941	0	17
2020.11.03	02:00:00	0.66305	0.66328	0.66270	0.66303	1259	0	17
2020.11.03	03:00:00	0.66303	0.66454	0.66247	0.66451	1944	0	17
2020.11.03	04:00:00	0.66451	0.66463	0.66359	0.66394	1937	0	17
2020.11.03	05:00:00	0.66394	0.66441	0.66310	0.66336	1809	0	17
2020.11.03	06:00:00	0.66336	0.66336	0.66219	0.66222	1050	0	17
2020.11.03	07:00:00	0.66222	0.66319	0.66209	0.66290	1648	0	17
2020.11.03	08:00:00	0.66291	0.66353	0.66274	0.66338	1384	0	17
2020.11.03	09:00:00	0.66338	0.66534	0.66331	0.66493	1784	0	17
2020.11.03	10:00:00	0.66493	0.66661	0.66460	0.66653	2529	0	17
2020.11.03	11:00:00	0.66652	0.66827	0.66609	0.66770	2532	0	17
2020.11.03	12:00:00	0.66772	0.66788	0.66604	0.66610	1400	0	17
2020.11.03	13:00:00	0.66610	0.66748	0.66610	0.66710	1577	0	17
2020.11.03	14:00:00	0.66710	0.66771	0.66699	0.66714	1614	0	17
2020.11.03	15:00:00	0.66715	0.66791	0.66677	0.66711	2615	0	17
2020.11.03	16:00:00	0.66711	0.66818	0.66711	0.66758	2912	0	17
2020.11.03	17:00:00	0.66758	0.67164	0.66758	0.67133	3464	0	17
2020.11.03	18:00:00	0.67132	0.67172	0.67012	0.67029	2582	0	17
2020.11.03	19:00:00	0.67030	0.67058	0.66974	0.66974	1967	0	17
2020.11.03	20:00:00	0.66974	0.66989	0.66847	0.66850	1360	0	17
2020.11.03	21:00:00	0.66849	0.66854	0.66791	0.66792	1130	0	17
2020.11.03	22:00:00	0.66792	0.66871	0.66746	0.66811	1456	0	17
2020.11.03	23:00:00	0.66811	0.67133	0.66783	0.66993	1282	0	17
2020.11.04	00:00:00	0.66904	0.67093	0.66878	0.67053	1000	0	17
2020.11.04	01:00:00	0.67051	0.67310	0.67051	0.67273	5345	0	17
2020.11.04	02:00:00	0.67271	0.67428	0.66765	0.66771	5135	0	17
2020.11.04	03:00:00	0.66771	0.67116	0.66738	0.66830	7000	0	17
2020.11.04	04:00:00	0.66831	0.66909	0.66130	0.66425	8636	0	17
2020.11.04	05:00:00	0.66424	0.66720	0.66413	0.66555	7036	0	17
2020.11.04	06:00:00	0.66554	0.66724	0.66421	0.66503	5057	0	17
2020.11.04	07:00:00	0.66502	0.66745	0.66463	0.66513	4757	0	17
2020.11.04	08:00:00	0.66511	0.66621	0.66325	0.66465	3710	0	17
2020.11.04	09:00:00	0.66463	0.66497	0.66163	0.66340	5299	0	17
2020.11.04	10:00:00	0.66341	0.66497	0.66233	0.66313	4674	0	17
2020.11.04	11:00:00	0.66312	0.66513	0.66226	0.66407	3633	0	17
2020.11.04	12:00:00	0.66409	0.66567	0.66332	0.66485	2792	0	17
2020.11.04	13:00:00	0.66485	0.66664	0.66393	0.66630	2774	0	17
2020.11.04	14:00:00	0.66630	0.66885	0.66559	0.66784	4273	0	17
2020.11.04	15:00:00	0.66784	0.66847	0.66579	0.66613	3745	0	17
2020.11.04	16:00:00	0.66614	0.66714	0.66449	0.66680	4132	0	17
2020.11.04	17:00:00	0.66680	0.66866	0.66631	0.66808	4155	0	17
2020.11.04	18:00:00	0.66806	0.67061	0.66693	0.66991	3741	0	17
2020.11.04	19:00:00	0.66991	0.67010	0.66860	0.66892	3140	0	17
2020.11.04	20:00:00	0.66892	0.67025	0.66872	0.66931	1818	0	17
2020.11.04	21:00:00	0.66931	0.67035	0.66859	0.67035	1441	0	17
2020.11.04	22:00:00	0.67034	0.67068	0.66900	0.66960	1819	0	17
2020.11.04	23:00:00	0.66961	0.67090	0.66935	0.66935	643	0	17
2020.11.05	00:00:00	0.66844	0.66972	0.66844	0.66876	400	0	23
2020.11.05	01:00:00	0.66874	0.67026	0.66862	0.66982	1335	0	17
2020.11.05	02:00:00	0.66980	0.67065	0.66930	0.66952	2336	0	17
2020.11.05	03:00:00	0.66959	0.66991	0.66840	0.66914	3340	0	17
2020.11.05	04:00:00	0.66914	0.67061	0.66780	0.67035	3233	0	17
2020.11.05	05:00:00	0.67034	0.67080	0.67000	0.67024	2029	0	17
2020.11.05	06:00:00	0.67024	0.67042	0.66948	0.66951	1630	0	17
2020.11.05	07:00:00	0.66951	0.67042	0.66918	0.67005	1663	0	17
2020.11.05	08:00:00	0.67008	0.67017	0.66910	0.66929	1543	0	17
2020.11.05	09:00:00	0.66928	0.67192	0.66902	0.67182	3746	0	17
2020.11.05	10:00:00	0.67181	0.67303	0.67089	0.67140	4138	0	17
2020.11.05	11:00:00	0.67140	0.67304	0.67109	0.67261	3221	0	17
