<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	15:00:00	117.66	117.66	116.13	116.48	203	0	120
2020.04.01	16:00:00	116.55	117.44	116.48	117.34	118	0	120
2020.04.01	17:00:00	117.22	117.69	117.20	117.62	78	0	120
2020.04.01	18:00:00	117.64	117.79	117.42	117.69	88	0	120
2020.04.01	19:00:00	117.69	117.92	116.78	116.88	126	0	120
2020.04.01	20:00:00	116.81	116.98	116.49	116.88	124	0	120
2020.04.02	15:00:00	117.33	117.63	116.50	116.77	86	0	120
2020.04.02	16:00:00	116.77	116.92	109.78	114.10	232	0	120
2020.04.02	17:00:00	113.98	114.08	113.29	113.64	127	0	120
2020.04.02	18:00:00	113.56	113.89	113.47	113.89	91	0	120
2020.04.02	19:00:00	113.89	113.89	113.54	113.84	67	0	120
2020.04.02	20:00:00	113.89	114.33	112.53	113.52	161	0	120
2020.04.03	15:00:00	112.51	112.56	111.16	111.60	136	0	120
2020.04.03	16:00:00	111.43	111.55	109.78	110.00	89	0	120
2020.04.03	17:00:00	109.95	111.16	109.80	111.09	106	0	120
2020.04.03	18:00:00	111.11	111.73	110.35	110.35	81	0	120
2020.04.03	19:00:00	110.25	110.30	108.79	108.87	106	0	120
2020.04.03	20:00:00	108.89	110.50	108.89	109.91	91	0	120
2020.04.06	15:00:00	109.69	109.97	108.39	108.41	110	0	120
2020.04.06	16:00:00	108.31	108.36	106.81	106.81	95	0	120
2020.04.06	17:00:00	106.81	108.07	106.81	108.02	135	0	120
2020.04.06	18:00:00	108.02	108.04	107.30	107.85	68	0	120
2020.04.06	19:00:00	107.77	108.07	107.43	107.72	68	0	120
2020.04.06	20:00:00	107.72	107.85	106.44	106.64	102	0	120
2020.04.07	15:00:00	106.42	106.42	104.37	105.28	122	0	120
2020.04.07	16:00:00	105.28	105.33	103.98	105.14	136	0	120
2020.04.07	17:00:00	104.99	105.06	103.68	104.10	110	0	120
2020.04.07	18:00:00	104.10	104.99	104.03	104.50	94	0	120
2020.04.07	19:00:00	104.55	104.82	104.28	104.33	52	0	120
2020.04.07	20:00:00	104.33	104.40	103.76	103.93	50	0	120
2020.04.08	15:00:00	104.26	105.57	102.58	102.60	214	0	120
2020.04.08	16:00:00	102.58	103.07	100.90	100.97	199	0	120
2020.04.08	17:00:00	101.02	101.02	100.33	100.55	135	0	120
2020.04.08	18:00:00	100.55	101.91	100.55	101.64	118	0	120
2020.04.08	19:00:00	101.72	103.50	101.67	103.45	177	0	120
2020.04.08	20:00:00	103.40	104.44	102.26	104.34	168	0	120
2020.04.09	15:00:00	103.53	103.75	102.22	102.84	169	0	120
2020.04.09	16:00:00	102.86	104.22	102.81	104.22	122	0	120
2020.04.09	17:00:00	104.17	105.41	103.93	105.19	122	0	120
2020.04.09	18:00:00	105.17	105.76	104.57	105.76	94	0	120
2020.04.09	19:00:00	105.74	105.96	104.70	105.29	92	0	120
2020.04.09	20:00:00	105.59	108.56	105.59	108.46	204	0	120
2020.04.13	15:00:00	108.43	108.53	104.84	104.84	147	0	120
2020.04.13	16:00:00	104.89	104.89	103.80	103.85	75	0	120
2020.04.13	17:00:00	103.83	104.60	103.51	104.13	109	0	120
2020.04.13	18:00:00	104.20	104.30	103.26	104.20	102	0	120
2020.04.13	19:00:00	104.20	105.44	104.20	104.60	133	0	120
2020.04.13	20:00:00	104.70	104.70	102.62	104.03	138	0	120
2020.04.14	15:00:00	104.76	106.47	104.21	105.97	172	0	120
2020.04.14	16:00:00	105.95	106.15	105.18	105.73	131	0	120
2020.04.14	17:00:00	105.73	106.07	104.26	104.31	77	0	120
2020.04.14	18:00:00	104.29	105.78	104.29	105.43	147	0	120
2020.04.14	19:00:00	105.23	105.58	104.69	105.53	51	0	120
2020.04.14	20:00:00	105.43	105.81	105.19	105.31	66	0	120
2020.04.15	15:00:00	103.73	104.32	103.33	103.63	82	0	120
2020.04.15	16:00:00	103.63	105.74	103.56	105.47	105	0	120
2020.04.15	17:00:00	105.47	106.04	105.29	105.62	69	0	120
2020.04.15	18:00:00	105.67	106.31	105.47	106.16	53	0	120
2020.04.15	19:00:00	106.16	106.61	106.16	106.56	49	0	120
2020.04.15	20:00:00	106.56	107.53	106.46	107.53	79	0	120
2020.04.16	15:00:00	107.76	108.23	107.06	107.69	96	0	120
2020.04.16	16:00:00	107.64	108.18	107.59	107.91	66	0	120
2020.04.16	17:00:00	107.74	108.16	107.56	107.76	106	0	120
2020.04.16	18:00:00	107.66	108.11	107.47	107.91	68	0	120
2020.04.16	19:00:00	107.91	107.91	107.54	107.57	25	0	120
2020.04.16	20:00:00	107.59	107.84	107.49	107.74	62	0	120
2020.04.17	15:00:00	107.42	107.70	107.15	107.48	67	0	120
2020.04.17	16:00:00	107.50	107.78	107.38	107.73	29	0	120
2020.04.17	17:00:00	107.63	107.63	105.20	105.22	93	0	120
2020.04.17	18:00:00	105.22	105.22	104.33	104.43	41	0	120
2020.04.17	19:00:00	104.45	105.27	104.45	105.20	32	0	120
2020.04.17	20:00:00	105.22	105.30	104.53	104.53	67	0	120
2020.04.20	15:00:00	104.88	104.95	103.70	104.07	78	0	120
2020.04.20	16:00:00	104.07	104.07	103.92	103.95	27	0	120
2020.04.20	17:00:00	103.87	104.09	103.87	103.90	38	0	120
2020.04.20	18:00:00	103.87	105.50	103.87	105.43	80	0	120
2020.04.20	19:00:00	105.43	105.55	104.79	105.53	69	0	120
2020.04.20	20:00:00	105.67	105.67	105.33	105.60	47	0	120
2020.04.21	15:00:00	105.15	105.34	103.91	104.14	94	0	120
2020.04.21	16:00:00	104.19	104.56	103.91	104.43	45	0	120
2020.04.21	17:00:00	104.16	104.38	103.89	104.09	90	0	120
