<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	2357.23	2360.83	2348.54	2357.50	284	0	638
2020.10.27	01:00:00	2356.74	2360.92	2354.85	2357.74	464	0	1332
2020.10.27	02:00:00	2357.74	2361.75	2354.56	2356.52	372	0	642
2020.10.27	03:00:00	2356.46	2365.04	2356.23	2362.56	538	0	608
2020.10.27	04:00:00	2361.94	2369.26	2361.55	2366.95	231	0	680
2020.10.27	05:00:00	2367.33	2382.60	2366.13	2380.33	402	0	406
2020.10.27	06:00:00	2380.92	2381.21	2372.26	2373.99	442	0	755
2020.10.27	07:00:00	2374.00	2380.23	2372.47	2377.75	524	0	509
2020.10.27	08:00:00	2377.52	2382.18	2375.79	2379.87	406	0	576
2020.10.27	09:00:00	2379.87	2379.87	2376.09	2376.73	506	0	415
2020.10.27	10:00:00	2377.24	2378.74	2369.83	2371.48	664	0	333
2020.10.27	11:00:00	2371.89	2371.89	2359.83	2361.10	871	0	59
2020.10.27	12:00:00	2361.19	2363.91	2358.96	2363.30	457	0	355
2020.10.27	13:00:00	2363.09	2363.38	2351.61	2360.88	290	0	593
2020.10.27	14:00:00	2360.84	2361.51	2347.28	2353.42	452	0	503
2020.10.27	15:00:00	2356.28	2361.23	2350.23	2356.45	513	0	767
2020.10.27	16:00:00	2356.33	2358.11	2314.17	2343.32	994	0	438
2020.10.27	17:00:00	2343.74	2348.76	2324.90	2348.76	739	0	551
2020.10.27	18:00:00	2349.51	2351.42	2324.92	2344.03	691	0	668
2020.10.27	19:00:00	2344.10	2348.23	2341.15	2344.83	349	0	546
2020.10.27	20:00:00	2342.75	2344.85	2334.69	2337.63	136	0	630
2020.10.27	21:00:00	2336.66	2339.54	2327.13	2329.63	188	0	568
2020.10.27	22:00:00	2329.89	2336.07	2329.66	2331.31	96	0	760
2020.10.28	00:00:00	2331.08	2331.08	2322.41	2324.53	95	0	883
2020.10.28	01:00:00	2324.53	2326.66	2323.52	2325.79	189	0	1296
2020.10.28	02:00:00	2325.82	2335.35	2323.92	2333.21	286	0	1225
2020.10.28	03:00:00	2333.21	2337.03	2331.75	2336.46	202	0	1026
2020.10.28	04:00:00	2336.31	2341.18	2334.91	2341.18	435	0	1097
2020.10.28	05:00:00	2341.19	2347.74	2341.18	2345.31	220	0	689
2020.10.28	06:00:00	2345.31	2345.48	2342.85	2344.36	101	0	1374
2020.10.28	07:00:00	2343.98	2354.16	2343.98	2349.67	347	0	918
2020.10.28	08:00:00	2349.50	2351.16	2343.55	2343.73	606	0	996
2020.10.28	09:00:00	2343.86	2351.97	2341.02	2349.88	442	0	855
2020.10.28	10:00:00	2349.88	2351.46	2325.53	2333.55	693	0	768
2020.10.28	11:00:00	2331.80	2339.10	2323.84	2329.21	534	0	558
2020.10.28	12:00:00	2329.21	2332.48	2301.86	2310.02	1152	0	312
2020.10.28	13:00:00	2310.17	2310.17	2257.66	2280.50	1109	0	214
2020.10.28	14:00:00	2280.52	2281.39	2217.52	2264.65	1365	0	305
2020.10.28	15:00:00	2264.65	2269.16	2230.52	2236.80	1365	0	537
2020.10.28	16:00:00	2236.11	2240.03	2205.49	2228.98	1556	0	296
2020.10.28	17:00:00	2228.81	2247.85	2221.60	2242.71	1406	0	684
2020.10.28	18:00:00	2242.64	2256.86	2239.74	2248.81	1004	0	555
2020.10.28	19:00:00	2248.91	2251.71	2239.42	2249.46	739	0	346
2020.10.28	20:00:00	2249.46	2253.31	2248.71	2250.76	173	0	605
2020.10.28	21:00:00	2250.76	2255.81	2243.81	2248.30	373	0	614
2020.10.28	22:00:00	2248.58	2248.58	2242.06	2243.41	159	0	720
2020.10.29	00:00:00	2241.30	2245.04	2241.08	2244.18	84	0	988
2020.10.29	01:00:00	2243.39	2261.62	2242.13	2255.50	203	0	1105
2020.10.29	02:00:00	2255.61	2259.94	2250.19	2250.19	271	0	1097
2020.10.29	03:00:00	2250.22	2252.13	2240.18	2244.20	331	0	1031
2020.10.29	04:00:00	2244.20	2255.26	2242.96	2250.02	185	0	868
2020.10.29	05:00:00	2250.02	2262.70	2246.68	2262.61	219	0	1016
2020.10.29	06:00:00	2262.61	2278.07	2259.77	2276.13	225	0	965
2020.10.29	07:00:00	2275.83	2278.12	2263.09	2266.98	150	0	1001
2020.10.29	08:00:00	2266.98	2273.84	2263.54	2266.56	514	0	867
2020.10.29	09:00:00	2266.25	2266.66	2242.20	2246.08	902	0	335
2020.10.29	10:00:00	2246.07	2256.89	2230.99	2235.78	908	0	570
2020.10.29	11:00:00	2235.79	2238.31	2229.54	2232.21	578	0	662
2020.10.29	12:00:00	2232.21	2233.01	2215.57	2219.32	955	0	440
2020.10.29	13:00:00	2219.32	2225.02	2206.92	2207.01	1099	0	408
2020.10.29	14:00:00	2206.89	2210.96	2184.04	2210.55	1401	0	264
2020.10.29	15:00:00	2208.26	2208.28	2188.90	2202.34	1922	0	512
2020.10.29	16:00:00	2202.13	2216.87	2196.13	2203.67	1493	0	428
2020.10.29	17:00:00	2203.67	2203.71	2192.00	2197.03	1288	0	567
2020.10.29	18:00:00	2197.03	2206.93	2192.37	2195.75	1199	0	390
2020.10.29	19:00:00	2195.55	2199.54	2188.33	2197.66	784	0	369
2020.10.29	20:00:00	2197.65	2204.11	2194.75	2197.75	700	0	494
2020.10.29	21:00:00	2196.46	2205.51	2196.05	2203.48	841	0	422
2020.10.29	22:00:00	2203.46	2203.83	2191.75	2194.35	642	0	457
2020.10.30	00:00:00	2195.40	2199.52	2195.13	2198.90	382	0	1021
2020.10.30	01:00:00	2198.70	2215.21	2198.70	2209.99	576	0	494
2020.10.30	02:00:00	2209.57	2209.73	2195.12	2200.18	316	0	618
2020.10.30	03:00:00	2200.18	2214.60	2199.09	2214.15	782	0	517
2020.10.30	04:00:00	2214.14	2219.79	2210.51	2219.79	634	0	808
2020.10.30	05:00:00	2219.79	2221.44	2216.83	2217.73	596	0	461
2020.10.30	06:00:00	2217.69	2219.67	2215.55	2215.85	439	0	661
2020.10.30	07:00:00	2215.92	2216.24	2206.71	2210.63	947	0	692
2020.10.30	08:00:00	2209.41	2219.46	2200.21	2213.84	943	0	411
2020.10.30	09:00:00	2213.84	2219.30	2204.50	2206.33	832	0	774
2020.10.30	10:00:00	2206.80	2225.83	2206.80	2211.88	835	0	798
2020.10.30	11:00:00	2211.87	2229.46	2210.39	2213.83	729	0	163
2020.10.30	12:00:00	2213.87	2217.70	2179.17	2198.73	1222	0	118
