<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	874.51	876.43	873.54	875.96	811	0	180
2020.10.27	01:00:00	875.94	876.93	874.85	875.69	1302	0	223
2020.10.27	02:00:00	875.62	878.91	874.88	878.86	2156	0	228
2020.10.27	03:00:00	878.86	883.60	878.86	880.70	2957	0	192
2020.10.27	04:00:00	880.66	883.40	879.90	880.88	2719	0	176
2020.10.27	05:00:00	880.88	881.85	878.89	879.26	2057	0	186
2020.10.27	06:00:00	879.27	880.35	878.42	879.24	1351	0	232
2020.10.27	07:00:00	879.22	881.36	878.42	879.35	2246	0	239
2020.10.27	08:00:00	879.38	883.16	879.38	881.81	2792	0	264
2020.10.27	09:00:00	881.78	881.78	876.64	880.51	3646	0	111
2020.10.27	10:00:00	880.45	880.92	876.02	878.09	4933	0	96
2020.10.27	11:00:00	878.01	878.48	871.80	872.77	3612	0	154
2020.10.27	12:00:00	872.82	878.60	872.74	878.60	3175	0	108
2020.10.27	13:00:00	878.75	880.72	877.37	879.57	3220	0	87
2020.10.27	14:00:00	879.55	884.29	877.50	878.83	3967	0	75
2020.10.27	15:00:00	878.82	882.56	875.97	881.15	6783	0	106
2020.10.27	16:00:00	881.16	886.82	878.62	885.78	4901	0	76
2020.10.27	17:00:00	885.73	887.73	884.75	887.07	6591	0	127
2020.10.27	18:00:00	887.04	887.96	883.65	886.40	5663	0	153
2020.10.27	19:00:00	886.39	888.42	885.13	887.36	4395	0	160
2020.10.27	20:00:00	887.37	887.77	884.25	885.08	4188	0	161
2020.10.27	21:00:00	885.01	885.77	882.24	883.29	4106	0	167
2020.10.27	22:00:00	883.27	883.76	881.68	882.30	2054	0	158
2020.10.28	00:00:00	882.22	882.22	875.78	875.78	1837	0	168
2020.10.28	01:00:00	875.98	878.48	875.98	878.07	928	0	330
2020.10.28	02:00:00	878.08	881.20	875.75	880.12	2237	0	304
2020.10.28	03:00:00	880.10	882.24	879.69	880.71	1363	0	317
2020.10.28	04:00:00	880.79	882.18	879.69	881.73	1155	0	297
2020.10.28	05:00:00	881.73	884.30	881.14	883.61	1023	0	270
2020.10.28	06:00:00	883.61	886.74	883.48	886.09	1004	0	250
2020.10.28	07:00:00	886.04	887.18	884.84	885.88	1511	0	295
2020.10.28	08:00:00	885.90	888.07	884.28	884.84	3841	0	247
2020.10.28	09:00:00	884.84	886.68	883.26	884.54	4093	0	237
2020.10.28	10:00:00	884.49	885.88	876.29	880.76	5828	0	197
2020.10.28	11:00:00	880.75	881.72	875.07	877.59	4298	0	130
2020.10.28	12:00:00	877.65	879.75	873.80	874.22	4907	0	92
2020.10.28	13:00:00	874.25	875.63	869.16	871.42	6237	0	14
2020.10.28	14:00:00	871.44	871.73	857.40	865.81	8534	0	57
