<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	1150.7	1156.5	1145.7	1152.1	205	0	36
2020.04.01	12:00:00	1152.1	1153.6	1147.2	1153.1	103	0	36
2020.04.01	13:00:00	1152.2	1158.1	1152.2	1155.6	80	0	36
2020.04.01	14:00:00	1155.6	1156.1	1151.7	1153.2	88	0	36
2020.04.01	15:00:00	1153.2	1153.7	1145.3	1152.2	140	0	36
2020.04.01	16:00:00	1152.7	1159.1	1151.2	1156.2	163	0	36
2020.04.01	17:00:00	1156.2	1160.1	1152.2	1152.8	141	0	36
2020.04.01	18:00:00	1152.8	1155.2	1148.8	1149.3	136	0	36
2020.04.01	19:00:00	1149.8	1152.8	1147.9	1149.8	110	0	36
2020.04.02	11:00:00	1155.0	1170.2	1155.0	1169.2	185	0	36
2020.04.02	12:00:00	1168.8	1178.1	1168.8	1176.1	79	0	36
2020.04.02	13:00:00	1176.6	1183.5	1176.6	1181.1	74	0	36
2020.04.02	14:00:00	1179.6	1179.6	1176.2	1177.2	99	0	36
2020.04.02	15:00:00	1177.7	1183.6	1176.2	1183.6	188	0	36
2020.04.02	16:00:00	1184.1	1186.0	1177.2	1178.2	104	0	36
2020.04.02	17:00:00	1179.2	1183.1	1178.2	1180.2	90	0	36
2020.04.02	18:00:00	1180.7	1184.6	1174.3	1184.1	131	0	36
2020.04.02	19:00:00	1184.1	1188.0	1178.2	1179.2	79	0	36
2020.04.03	11:00:00	1180.4	1182.4	1171.6	1177.5	147	0	36
2020.04.03	12:00:00	1176.5	1176.5	1172.1	1175.6	52	0	36
2020.04.03	13:00:00	1175.6	1177.5	1173.6	1174.6	54	0	36
2020.04.03	14:00:00	1173.6	1184.9	1173.6	1182.5	80	0	36
2020.04.03	15:00:00	1181.5	1185.4	1178.1	1182.5	160	0	36
2020.04.03	16:00:00	1182.0	1185.5	1180.0	1183.5	74	0	36
2020.04.03	17:00:00	1184.0	1184.5	1174.7	1175.7	96	0	36
2020.04.03	18:00:00	1174.7	1176.6	1168.8	1170.3	94	0	36
2020.04.03	19:00:00	1171.2	1172.7	1162.9	1163.9	70	0	36
2020.04.06	11:00:00	1164.0	1168.9	1160.0	1163.0	119	0	36
2020.04.06	12:00:00	1162.5	1173.8	1162.0	1170.9	80	0	36
2020.04.06	13:00:00	1170.4	1174.3	1167.0	1168.9	56	0	36
2020.04.06	14:00:00	1169.4	1170.9	1166.5	1166.5	36	0	36
2020.04.06	15:00:00	1166.0	1169.9	1165.0	1166.5	140	0	36
2020.04.06	16:00:00	1165.5	1177.8	1165.5	1176.9	134	0	36
2020.04.06	17:00:00	1176.4	1181.8	1172.9	1173.9	192	0	36
2020.04.06	18:00:00	1174.4	1179.8	1172.9	1175.9	139	0	36
2020.04.06	19:00:00	1175.4	1176.4	1169.0	1172.5	103	0	36
2020.04.07	11:00:00	1177.6	1185.0	1177.6	1179.6	153	0	36
2020.04.07	12:00:00	1180.1	1183.1	1174.2	1176.2	65	0	36
2020.04.07	13:00:00	1177.2	1181.1	1177.2	1179.2	50	0	36
2020.04.07	14:00:00	1178.2	1181.2	1178.2	1180.2	44	0	36
2020.04.07	15:00:00	1180.2	1185.1	1180.2	1181.2	75	0	36
2020.04.07	16:00:00	1181.7	1183.2	1181.2	1181.2	43	0	36
2020.04.07	17:00:00	1180.2	1180.2	1175.8	1179.7	80	0	36
2020.04.07	18:00:00	1180.7	1183.7	1178.8	1182.2	52	0	36
2020.04.07	19:00:00	1182.7	1187.1	1182.2	1187.1	42	0	36
2020.04.08	11:00:00	1181.5	1186.4	1178.6	1179.5	92	0	36
2020.04.08	12:00:00	1179.5	1181.5	1178.6	1181.0	63	0	36
2020.04.08	13:00:00	1181.5	1182.5	1180.1	1180.1	41	0	36
2020.04.08	14:00:00	1179.6	1180.1	1178.6	1178.6	39	0	36
