<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	13.934	14.015	13.836	13.996	1068	0	14
2020.04.01	12:00:00	13.996	14.092	13.996	14.052	963	0	12
2020.04.01	13:00:00	14.051	14.063	14.000	14.003	612	0	15
2020.04.01	14:00:00	14.000	14.017	13.883	13.935	795	0	12
2020.04.01	15:00:00	13.935	14.003	13.906	13.972	1726	0	16
2020.04.01	16:00:00	13.972	13.993	13.867	13.939	2884	0	12
2020.04.01	17:00:00	13.939	14.060	13.894	14.016	2919	0	15
2020.04.01	18:00:00	14.016	14.063	13.980	14.004	1547	0	15
2020.04.01	19:00:00	14.004	14.023	13.909	13.950	1077	0	19
2020.04.01	20:00:00	13.951	13.955	13.807	13.889	2021	0	12
2020.04.01	21:00:00	13.889	13.921	13.862	13.921	652	0	14
2020.04.01	22:00:00	13.921	13.957	13.891	13.932	1325	0	18
2020.04.01	23:00:00	13.932	13.966	13.917	13.951	499	0	17
2020.04.02	01:00:00	13.929	14.035	13.929	14.016	463	0	12
2020.04.02	02:00:00	14.017	14.050	13.972	13.973	371	0	20
2020.04.02	03:00:00	13.979	13.996	13.913	13.915	595	0	19
2020.04.02	04:00:00	13.915	13.973	13.890	13.956	1333	0	19
2020.04.02	05:00:00	13.957	13.963	13.921	13.959	818	0	20
2020.04.02	06:00:00	13.960	14.014	13.948	14.008	513	0	21
2020.04.02	07:00:00	14.009	14.010	13.976	14.002	307	0	13
2020.04.02	08:00:00	14.001	14.062	13.983	14.029	1131	0	16
2020.04.02	09:00:00	14.027	14.241	14.018	14.175	2676	0	12
2020.04.02	10:00:00	14.176	14.287	14.162	14.164	1610	0	12
2020.04.02	11:00:00	14.164	14.185	14.112	14.155	699	0	12
2020.04.02	12:00:00	14.154	14.202	14.143	14.158	833	0	17
2020.04.02	13:00:00	14.158	14.168	14.122	14.166	617	0	16
2020.04.02	14:00:00	14.166	14.214	14.111	14.203	1220	0	13
2020.04.02	15:00:00	14.203	14.491	14.201	14.357	5386	0	12
2020.04.02	16:00:00	14.358	14.476	14.293	14.342	3548	0	12
2020.04.02	17:00:00	14.345	14.546	14.344	14.470	4680	0	12
2020.04.02	18:00:00	14.471	14.483	14.365	14.390	3411	0	12
2020.04.02	19:00:00	14.388	14.481	14.365	14.447	2810	0	12
2020.04.02	20:00:00	14.448	14.505	14.415	14.436	3041	0	13
2020.04.02	21:00:00	14.437	14.455	14.372	14.454	1907	0	12
2020.04.02	22:00:00	14.455	14.530	14.447	14.473	2377	0	12
