<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.21	10:00:00	10.135	10.140	10.090	10.110	69	0	48
2020.04.21	11:00:00	10.110	10.110	10.050	10.060	72	0	48
2020.04.21	12:00:00	10.060	10.060	9.950	9.980	164	0	48
2020.04.21	13:00:00	9.980	10.000	9.950	10.000	185	0	48
2020.04.21	14:00:00	10.000	10.020	9.930	9.940	161	0	48
2020.04.21	15:00:00	9.930	9.940	9.841	9.851	131	0	48
2020.04.21	16:00:00	9.841	9.851	9.731	9.811	195	0	48
2020.04.21	17:00:00	9.811	10.010	9.776	10.000	324	0	48
2020.04.21	18:00:00	10.000	10.050	9.930	9.980	345	0	48
2020.04.21	19:00:00	9.980	10.020	9.930	10.010	351	0	48
2020.04.22	10:00:00	9.911	9.990	9.901	9.911	160	0	48
2020.04.22	11:00:00	9.911	9.936	9.881	9.931	159	0	48
2020.04.22	12:00:00	9.931	9.941	9.891	9.901	90	0	48
2020.04.22	13:00:00	9.901	9.941	9.891	9.941	122	0	48
2020.04.22	14:00:00	9.931	9.991	9.901	9.981	98	0	48
2020.04.22	15:00:00	9.981	10.170	9.911	10.160	353	0	48
2020.04.22	16:00:00	10.170	10.170	10.011	10.040	357	0	48
2020.04.22	17:00:00	10.040	10.060	9.871	9.931	308	0	48
2020.04.22	18:00:00	9.936	10.080	9.921	10.060	244	0	48
2020.04.22	19:00:00	10.060	10.070	9.911	10.001	270	0	48
2020.04.23	10:00:00	10.061	10.130	10.021	10.076	147	0	48
2020.04.23	11:00:00	10.071	10.121	10.061	10.101	126	0	48
2020.04.23	12:00:00	10.101	10.111	10.061	10.111	96	0	48
2020.04.23	13:00:00	10.106	10.121	10.021	10.051	90	0	48
2020.04.23	14:00:00	10.051	10.051	10.011	10.011	100	0	48
2020.04.23	15:00:00	10.011	10.041	9.971	10.021	187	0	48
2020.04.23	16:00:00	10.021	10.031	9.941	9.951	174	0	48
2020.04.23	17:00:00	9.951	9.961	9.891	9.911	175	0	48
2020.04.23	18:00:00	9.911	9.931	9.881	9.921	140	0	48
2020.04.23	19:00:00	9.921	10.041	9.901	10.041	210	0	48
2020.04.24	10:00:00	9.941	9.961	9.921	9.961	57	0	48
2020.04.24	11:00:00	9.961	9.961	9.891	9.901	69	0	48
2020.04.24	12:00:00	9.911	9.941	9.831	9.851	128	0	48
2020.04.24	13:00:00	9.851	9.901	9.841	9.891	113	0	48
2020.04.24	14:00:00	9.891	9.901	9.851	9.881	104	0	48
2020.04.24	15:00:00	9.881	9.881	9.801	9.841	196	0	48
2020.04.24	16:00:00	9.841	9.851	9.732	9.752	137	0	48
2020.04.24	17:00:00	9.752	9.811	9.702	9.712	199	0	48
2020.04.24	18:00:00	9.712	9.772	9.692	9.702	185	0	48
2020.04.24	19:00:00	9.702	9.811	9.682	9.742	210	0	48
2020.04.27	10:00:00	9.668	9.792	9.663	9.772	193	0	48
2020.04.27	11:00:00	9.762	9.792	9.663	9.663	178	0	48
