<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	343.05	344.30	342.37	342.47	201	0	84
2020.04.01	12:00:00	342.57	343.04	342.05	343.04	164	0	84
2020.04.01	13:00:00	343.04	343.30	342.62	343.14	57	0	84
2020.04.01	14:00:00	343.09	343.40	342.77	343.03	86	0	84
2020.04.01	15:00:00	343.03	344.90	341.98	344.48	195	0	84
2020.04.01	16:00:00	344.43	344.59	340.93	341.34	289	0	84
2020.04.01	17:00:00	341.34	342.33	340.66	340.76	228	0	84
2020.04.01	18:00:00	340.76	340.82	339.35	339.82	182	0	84
2020.04.01	19:00:00	339.82	340.75	336.36	337.09	347	0	84
2020.04.02	10:00:00	340.98	341.97	339.67	339.98	112	0	84
2020.04.02	11:00:00	339.72	340.40	335.49	337.05	268	0	84
2020.04.02	12:00:00	337.26	337.62	334.13	336.63	254	0	84
2020.04.02	13:00:00	336.84	337.51	336.52	337.15	158	0	84
2020.04.02	14:00:00	337.09	337.98	336.57	336.67	141	0	84
2020.04.02	15:00:00	336.57	336.93	334.37	335.36	316	0	84
2020.04.02	16:00:00	335.41	337.23	334.00	336.14	265	0	84
2020.04.02	17:00:00	336.08	348.04	333.42	341.04	793	0	84
2020.04.02	18:00:00	341.40	341.87	335.24	337.64	489	0	84
2020.04.02	19:00:00	337.59	340.09	336.33	336.59	251	0	84
2020.04.03	10:00:00	339.79	345.79	339.79	345.53	216	0	84
2020.04.03	11:00:00	345.48	345.53	339.71	340.57	283	0	84
2020.04.03	12:00:00	340.72	341.50	339.10	339.41	244	0	84
2020.04.03	13:00:00	339.20	339.36	335.44	336.69	264	0	84
2020.04.03	14:00:00	336.59	338.04	334.71	338.04	249	0	84
2020.04.03	15:00:00	338.20	338.98	336.37	337.62	305	0	84
2020.04.03	16:00:00	337.51	338.51	335.53	335.68	293	0	84
2020.04.03	17:00:00	335.63	337.14	335.47	336.51	207	0	84
2020.04.03	18:00:00	336.67	337.50	334.94	336.61	174	0	84
2020.04.03	19:00:00	336.82	339.42	336.14	336.97	372	0	84
2020.04.06	10:00:00	339.10	339.10	336.81	337.75	56	0	84
2020.04.06	11:00:00	337.85	337.96	336.60	336.91	127	0	84
2020.04.06	12:00:00	336.80	337.79	335.65	336.33	102	0	84
2020.04.06	13:00:00	336.38	336.38	333.66	334.29	117	0	84
2020.04.06	14:00:00	334.08	335.38	333.82	335.17	102	0	84
2020.04.06	15:00:00	335.12	336.47	334.91	335.37	175	0	84
2020.04.06	16:00:00	335.32	336.51	333.80	335.37	221	0	84
2020.04.06	17:00:00	335.42	336.09	334.53	335.26	257	0	84
2020.04.06	18:00:00	335.31	336.97	334.63	336.24	285	0	84
2020.04.06	19:00:00	336.08	338.95	335.61	337.38	390	0	84
2020.04.07	10:00:00	339.85	341.10	339.07	340.58	64	0	84
2020.04.07	11:00:00	340.52	341.98	339.48	340.68	203	0	84
2020.04.07	12:00:00	340.62	341.04	339.73	340.30	117	0	84
2020.04.07	13:00:00	340.20	340.93	339.94	340.61	91	0	84
2020.04.07	14:00:00	340.56	341.70	340.19	340.92	135	0	84
2020.04.07	15:00:00	341.02	341.13	339.04	339.04	194	0	84
2020.04.07	16:00:00	339.04	341.06	339.04	340.85	128	0	84
