<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	0.96425	0.96656	0.96368	0.96438	5320	0	24
2020.04.01	12:00:00	0.96440	0.96715	0.96430	0.96687	5183	0	24
2020.04.01	13:00:00	0.96687	0.96724	0.96508	0.96537	3886	0	24
2020.04.01	14:00:00	0.96538	0.96637	0.96516	0.96556	3448	0	24
2020.04.01	15:00:00	0.96557	0.96723	0.96526	0.96676	4674	0	24
2020.04.01	16:00:00	0.96677	0.96819	0.96615	0.96620	4515	0	24
2020.04.01	17:00:00	0.96627	0.96875	0.96589	0.96850	5906	0	24
2020.04.01	18:00:00	0.96849	0.96862	0.96657	0.96742	4719	0	24
2020.04.01	19:00:00	0.96744	0.96791	0.96682	0.96740	3662	0	24
2020.04.01	20:00:00	0.96743	0.96901	0.96741	0.96800	4188	0	24
2020.04.01	21:00:00	0.96802	0.96802	0.96660	0.96678	4010	0	24
2020.04.01	22:00:00	0.96677	0.96728	0.96520	0.96663	4696	0	24
2020.04.01	23:00:00	0.96663	0.96668	0.96510	0.96530	2494	0	24
2020.04.02	00:00:00	0.96491	0.96559	0.96404	0.96559	843	0	60
2020.04.02	01:00:00	0.96559	0.96608	0.96417	0.96574	2205	0	26
2020.04.02	02:00:00	0.96574	0.96655	0.96574	0.96630	1630	0	24
2020.04.02	03:00:00	0.96630	0.96727	0.96612	0.96693	2888	0	24
2020.04.02	04:00:00	0.96693	0.96743	0.96599	0.96740	2689	0	24
2020.04.02	05:00:00	0.96740	0.96789	0.96705	0.96780	1747	0	24
2020.04.02	06:00:00	0.96780	0.96841	0.96765	0.96770	1414	0	24
2020.04.02	07:00:00	0.96771	0.96791	0.96728	0.96737	1097	0	24
2020.04.02	08:00:00	0.96737	0.96774	0.96679	0.96701	2520	0	24
2020.04.02	09:00:00	0.96702	0.96726	0.96596	0.96703	3743	0	24
2020.04.02	10:00:00	0.96705	0.96730	0.96566	0.96695	3991	0	24
2020.04.02	11:00:00	0.96694	0.96832	0.96656	0.96743	4281	0	24
2020.04.02	12:00:00	0.96742	0.96764	0.96603	0.96643	3853	0	24
2020.04.02	13:00:00	0.96644	0.96711	0.96599	0.96660	3407	0	24
2020.04.02	14:00:00	0.96660	0.96716	0.96573	0.96661	3961	0	24
2020.04.02	15:00:00	0.96661	0.96980	0.96650	0.96943	6506	0	24
2020.04.02	16:00:00	0.96943	0.97286	0.96921	0.97189	6452	0	24
2020.04.02	17:00:00	0.97187	0.97321	0.96970	0.97229	9628	0	24
2020.04.02	18:00:00	0.97231	0.97310	0.97082	0.97262	6615	0	24
2020.04.02	19:00:00	0.97263	0.97416	0.97171	0.97365	5315	0	24
2020.04.02	20:00:00	0.97365	0.97453	0.97298	0.97452	4867	0	24
2020.04.02	21:00:00	0.97451	0.97492	0.97304	0.97307	4643	0	24
2020.04.02	22:00:00	0.97302	0.97427	0.97262	0.97364	5035	0	24
2020.04.02	23:00:00	0.97364	0.97394	0.97276	0.97344	2695	0	24
2020.04.03	00:00:00	0.97203	0.97350	0.97163	0.97240	647	0	53
2020.04.03	01:00:00	0.97239	0.97450	0.97239	0.97449	1472	0	27
2020.04.03	02:00:00	0.97448	0.97488	0.97415	0.97427	1604	0	24
2020.04.03	03:00:00	0.97429	0.97492	0.97415	0.97438	2282	0	24
2020.04.03	04:00:00	0.97438	0.97491	0.97384	0.97404	2016	0	24
2020.04.03	05:00:00	0.97406	0.97424	0.97318	0.97321	1818	0	24
2020.04.03	06:00:00	0.97322	0.97372	0.97303	0.97323	1656	0	24
2020.04.03	07:00:00	0.97323	0.97390	0.97306	0.97383	2067	0	24
2020.04.03	08:00:00	0.97383	0.97405	0.97318	0.97344	1612	0	24
2020.04.03	09:00:00	0.97345	0.97528	0.97345	0.97437	3389	0	24
2020.04.03	10:00:00	0.97437	0.97750	0.97409	0.97729	5748	0	24
2020.04.03	11:00:00	0.97729	0.97753	0.97605	0.97684	4216	0	24
2020.04.03	12:00:00	0.97684	0.97749	0.97515	0.97524	4597	0	24
2020.04.03	13:00:00	0.97524	0.97646	0.97481	0.97640	3244	0	24
2020.04.03	14:00:00	0.97640	0.97751	0.97622	0.97711	3892	0	24
