<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	23.1023	23.1093	23.0983	23.1093	38	0	344
2020.10.27	01:00:00	23.1082	23.1103	23.0993	23.1003	46	0	344
2020.10.27	02:00:00	23.1013	23.1033	23.0483	23.0623	229	0	322
2020.10.27	03:00:00	23.0613	23.0773	23.0573	23.0673	101	0	337
2020.10.27	04:00:00	23.0663	23.0663	23.0533	23.0573	70	0	344
2020.10.27	05:00:00	23.0583	23.0683	23.0573	23.0623	46	0	344
2020.10.27	06:00:00	23.0613	23.0613	23.0503	23.0523	70	0	314
2020.10.27	07:00:00	23.0523	23.0523	23.0333	23.0353	140	0	308
2020.10.27	08:00:00	23.0353	23.0453	23.0283	23.0400	418	0	271
2020.10.27	09:00:00	23.0417	23.1125	23.0409	23.1100	1034	0	215
2020.10.27	10:00:00	23.1100	23.1793	23.1063	23.1553	1461	0	194
2020.10.27	11:00:00	23.1555	23.1745	23.1358	23.1595	1380	0	188
2020.10.27	12:00:00	23.1598	23.1655	23.1296	23.1323	998	0	189
2020.10.27	13:00:00	23.1323	23.1337	23.0833	23.0915	1515	0	153
2020.10.27	14:00:00	23.0905	23.1125	23.0697	23.1065	1525	0	187
2020.10.27	15:00:00	23.1073	23.1235	23.0672	23.0681	2020	0	175
2020.10.27	16:00:00	23.0680	23.0935	23.0538	23.0810	1747	0	173
2020.10.27	17:00:00	23.0815	23.0885	23.0490	23.0495	1424	0	174
2020.10.27	18:00:00	23.0495	23.0805	23.0315	23.0675	1621	0	192
2020.10.27	19:00:00	23.0685	23.0729	23.0606	23.0719	704	0	223
2020.10.27	20:00:00	23.0725	23.0985	23.0675	23.0985	732	0	264
2020.10.27	21:00:00	23.0975	23.1325	23.0764	23.0815	493	0	153
2020.10.27	22:00:00	23.0815	23.1493	23.0743	23.1433	820	0	134
2020.10.27	23:00:00	23.1533	23.1692	23.1415	23.1643	121	0	182
2020.10.28	00:00:00	23.1623	23.2133	23.1623	23.1773	324	0	202
2020.10.28	01:00:00	23.1813	23.1843	23.1703	23.1753	134	0	344
2020.10.28	02:00:00	23.1722	23.1853	23.1533	23.1765	198	0	322
2020.10.28	03:00:00	23.1761	23.1793	23.1573	23.1753	424	0	239
2020.10.28	04:00:00	23.1743	23.1803	23.1675	23.1793	218	0	260
2020.10.28	05:00:00	23.1803	23.1863	23.1722	23.1853	73	0	340
2020.10.28	06:00:00	23.1863	23.1903	23.1813	23.1853	43	0	334
2020.10.28	07:00:00	23.1843	23.1883	23.1673	23.1673	113	0	319
2020.10.28	08:00:00	23.1703	23.2093	23.1660	23.2033	1185	0	285
2020.10.28	09:00:00	23.2023	23.2456	23.1793	23.2265	1698	0	192
2020.10.28	10:00:00	23.2279	23.2803	23.2123	23.2299	2228	0	174
2020.10.28	11:00:00	23.2298	23.3475	23.2291	23.3153	1883	0	184
2020.10.28	12:00:00	23.3163	23.3795	23.3095	23.3775	1322	0	194
2020.10.28	13:00:00	23.3775	23.3847	23.3405	23.3603	1580	0	221
2020.10.28	14:00:00	23.3602	23.4438	23.3599	23.3737	2135	0	157
2020.10.28	15:00:00	23.3733	23.3874	23.3242	23.3377	3259	0	160
2020.10.28	16:00:00	23.3374	23.3695	23.3237	23.3427	3127	0	212
2020.10.28	17:00:00	23.3431	23.3515	23.2843	23.2877	2664	0	180
2020.10.28	18:00:00	23.2885	23.3234	23.2692	23.3225	1846	0	148
2020.10.28	19:00:00	23.3234	23.3495	23.3179	23.3315	1986	0	209
2020.10.28	20:00:00	23.3325	23.3365	23.3085	23.3205	1543	0	217
2020.10.28	21:00:00	23.3205	23.3617	23.3155	23.3583	1438	0	203
2020.10.28	22:00:00	23.3578	23.3654	23.3501	23.3603	198	0	213
2020.10.28	23:00:00	23.3433	23.3554	23.3183	23.3343	56	0	344
2020.10.29	00:00:00	23.3313	23.3393	23.3232	23.3383	60	0	338
2020.10.29	01:00:00	23.3393	23.3590	23.3223	23.3493	114	0	231
2020.10.29	02:00:00	23.3503	23.3543	23.3343	23.3433	211	0	318
2020.10.29	03:00:00	23.3443	23.3503	23.3292	23.3323	251	0	339
2020.10.29	04:00:00	23.3353	23.3493	23.3303	23.3493	129	0	338
2020.10.29	05:00:00	23.3483	23.3552	23.3403	23.3443	186	0	306
2020.10.29	06:00:00	23.3423	23.3473	23.3373	23.3445	148	0	332
2020.10.29	07:00:00	23.3483	23.3533	23.3414	23.3453	185	0	325
2020.10.29	08:00:00	23.3443	23.3503	23.3340	23.3445	2575	0	237
2020.10.29	09:00:00	23.3433	23.3874	23.3083	23.3835	1793	0	227
2020.10.29	10:00:00	23.3832	23.4133	23.3366	23.3473	2162	0	146
2020.10.29	11:00:00	23.3473	23.3865	23.3234	23.3565	1604	0	138
2020.10.29	12:00:00	23.3565	23.3823	23.3413	23.3653	1108	0	202
2020.10.29	13:00:00	23.3663	23.4215	23.3629	23.4164	1747	0	182
2020.10.29	14:00:00	23.4155	23.4205	23.3435	23.3653	2146	0	191
2020.10.29	15:00:00	23.3653	23.4173	23.3385	23.3894	2244	0	166
2020.10.29	16:00:00	23.3894	23.4093	23.3453	23.3715	2215	0	202
2020.10.29	17:00:00	23.3725	23.4855	23.3712	23.4715	2101	0	183
2020.10.29	18:00:00	23.4689	23.4795	23.4213	23.4273	1821	0	167
2020.10.29	19:00:00	23.4303	23.4646	23.4123	23.4519	1274	0	187
2020.10.29	20:00:00	23.4519	23.4524	23.3943	23.4005	1378	0	182
2020.10.29	21:00:00	23.4013	23.4236	23.3965	23.4202	746	0	180
2020.10.29	22:00:00	23.4202	23.4343	23.4069	23.4323	421	0	182
2020.10.29	23:00:00	23.4313	23.4363	23.4233	23.4243	139	0	344
2020.10.30	00:00:00	23.4283	23.4383	23.4192	23.4373	99	0	343
2020.10.30	01:00:00	23.4353	23.4353	23.4153	23.4192	42	0	344
