<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	11:00:00	107.647	107.786	107.459	107.469	6590	0	9
2020.04.01	12:00:00	107.470	107.667	107.426	107.602	6277	0	9
2020.04.01	13:00:00	107.602	107.652	107.448	107.568	4262	0	9
2020.04.01	14:00:00	107.565	107.647	107.499	107.517	4266	0	9
2020.04.01	15:00:00	107.517	107.605	107.294	107.387	6554	0	9
2020.04.01	16:00:00	107.387	107.469	107.170	107.200	7281	0	9
2020.04.01	17:00:00	107.204	107.382	107.039	107.115	8304	0	9
2020.04.01	18:00:00	107.115	107.318	107.013	107.042	5257	0	9
2020.04.01	19:00:00	107.042	107.206	106.996	107.079	4544	0	9
2020.04.01	20:00:00	107.079	107.321	107.074	107.258	4325	0	9
2020.04.01	21:00:00	107.258	107.267	107.097	107.228	4241	0	9
2020.04.01	22:00:00	107.224	107.228	106.916	107.129	6052	0	9
2020.04.01	23:00:00	107.129	107.192	107.045	107.167	2953	0	9
2020.04.02	00:00:00	107.143	107.150	107.027	107.094	1588	0	9
2020.04.02	01:00:00	107.093	107.226	107.073	107.204	3101	0	9
2020.04.02	02:00:00	107.204	107.317	107.186	107.294	3418	0	9
2020.04.02	03:00:00	107.294	107.480	107.142	107.411	6434	0	9
2020.04.02	04:00:00	107.410	107.568	107.296	107.500	6041	0	9
2020.04.02	05:00:00	107.500	107.514	107.370	107.484	4299	0	9
2020.04.02	06:00:00	107.484	107.506	107.393	107.430	3456	0	9
2020.04.02	07:00:00	107.431	107.527	107.431	107.481	2970	0	9
2020.04.02	08:00:00	107.479	107.481	107.254	107.279	4906	0	9
2020.04.02	09:00:00	107.277	107.362	107.142	107.327	5425	0	9
2020.04.02	10:00:00	107.327	107.358	107.175	107.287	5013	0	9
2020.04.02	11:00:00	107.286	107.411	107.253	107.305	4303	0	9
2020.04.02	12:00:00	107.304	107.340	107.250	107.296	4068	0	9
2020.04.02	13:00:00	107.296	107.441	107.285	107.424	3409	0	9
2020.04.02	14:00:00	107.424	107.426	107.291	107.324	3439	0	9
2020.04.02	15:00:00	107.324	107.414	107.011	107.186	7648	0	9
2020.04.02	16:00:00	107.184	107.375	107.122	107.262	8923	0	9
2020.04.02	17:00:00	107.264	108.030	107.240	107.936	10703	0	9
2020.04.02	18:00:00	107.934	108.014	107.617	107.850	7823	0	9
2020.04.02	19:00:00	107.851	108.091	107.805	107.962	6254	0	9
2020.04.02	20:00:00	107.962	107.998	107.854	107.923	6234	0	9
2020.04.02	21:00:00	107.923	107.950	107.825	107.829	6118	0	9
2020.04.02	22:00:00	107.829	107.962	107.807	107.910	6583	0	9
2020.04.02	23:00:00	107.910	107.959	107.820	107.865	2681	0	9
2020.04.03	00:00:00	107.825	107.841	107.794	107.833	768	0	14
2020.04.03	01:00:00	107.829	108.127	107.827	108.127	2508	0	9
2020.04.03	02:00:00	108.129	108.196	107.978	108.031	3431	0	9
2020.04.03	03:00:00	108.030	108.140	107.906	108.061	5956	0	9
2020.04.03	04:00:00	108.061	108.118	107.918	107.972	4010	0	9
2020.04.03	05:00:00	107.972	107.978	107.798	107.908	4090	0	9
2020.04.03	06:00:00	107.908	108.034	107.892	107.986	2979	0	9
2020.04.03	07:00:00	107.986	108.031	107.910	107.974	4323	0	9
2020.04.03	08:00:00	107.977	107.982	107.822	107.921	2923	0	9
2020.04.03	09:00:00	107.920	108.036	107.857	107.973	3849	0	9
2020.04.03	10:00:00	107.973	108.290	107.953	108.222	6112	0	9
2020.04.03	11:00:00	108.222	108.285	108.120	108.259	4542	0	9
2020.04.03	12:00:00	108.259	108.508	108.258	108.458	4987	0	9
2020.04.03	13:00:00	108.458	108.543	108.417	108.531	3741	0	9
2020.04.03	14:00:00	108.531	108.592	108.424	108.489	4351	0	9
2020.04.03	15:00:00	108.489	108.585	108.249	108.584	8987	0	9
2020.04.03	16:00:00	108.583	108.671	108.414	108.467	8085	0	9
2020.04.03	17:00:00	108.467	108.646	108.467	108.500	6617	0	9
2020.04.03	18:00:00	108.500	108.614	108.408	108.519	4450	0	9
2020.04.03	19:00:00	108.519	108.539	108.355	108.482	4385	0	9
2020.04.03	20:00:00	108.481	108.556	108.409	108.427	3370	0	9
2020.04.03	21:00:00	108.427	108.452	108.181	108.270	4308	0	9
2020.04.03	22:00:00	108.270	108.422	108.233	108.415	5720	0	9
2020.04.03	23:00:00	108.414	108.494	108.301	108.378	2847	0	9
2020.04.06	00:00:00	108.353	108.472	108.350	108.424	193	0	9
2020.04.06	01:00:00	108.424	108.580	108.399	108.452	3472	0	9
2020.04.06	02:00:00	108.452	108.736	108.450	108.710	4892	0	9
2020.04.06	03:00:00	108.709	109.086	108.668	108.934	9383	0	9
2020.04.06	04:00:00	108.934	109.046	108.748	108.878	7930	0	9
2020.04.06	05:00:00	108.876	109.003	108.843	108.932	6603	0	9
2020.04.06	06:00:00	108.932	108.951	108.814	108.858	4249	0	9
2020.04.06	07:00:00	108.859	109.024	108.832	108.934	4481	0	9
2020.04.06	08:00:00	108.932	109.126	108.852	109.022	6764	0	9
2020.04.06	09:00:00	109.023	109.180	108.938	109.174	5078	0	9
2020.04.06	10:00:00	109.173	109.378	109.130	109.173	6097	0	9
2020.04.06	11:00:00	109.175	109.299	109.072	109.187	6235	0	9
2020.04.06	12:00:00	109.186	109.264	109.121	109.212	4648	0	9
2020.04.06	13:00:00	109.211	109.251	109.128	109.135	3624	0	9
2020.04.06	14:00:00	109.134	109.134	108.903	108.924	4120	0	9
2020.04.06	15:00:00	108.925	109.096	108.840	109.035	5037	0	9
2020.04.06	16:00:00	109.035	109.101	108.960	109.029	5728	0	9
2020.04.06	17:00:00	109.029	109.174	109.012	109.116	5743	0	9
2020.04.06	18:00:00	109.115	109.147	108.984	109.105	3548	0	9
2020.04.06	19:00:00	109.104	109.190	108.993	109.015	4382	0	9
2020.04.06	20:00:00	109.015	109.085	108.982	109.026	2932	0	9
2020.04.06	21:00:00	109.025	109.065	108.927	109.054	3379	0	9
2020.04.06	22:00:00	109.054	109.248	109.048	109.152	5424	0	9
2020.04.06	23:00:00	109.147	109.230	109.089	109.228	2806	0	9
2020.04.07	00:00:00	109.221	109.238	109.184	109.198	1166	0	9
2020.04.07	01:00:00	109.198	109.275	109.132	109.210	2383	0	9
