<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	20.91956	20.94881	20.91766	20.94693	401	0	1336
2020.10.27	01:00:00	20.94693	20.96408	20.93758	20.95978	282	0	1134
2020.10.27	02:00:00	20.96008	20.96397	20.92458	20.93158	473	0	1116
2020.10.27	03:00:00	20.93168	20.95937	20.92448	20.94278	544	0	1106
2020.10.27	04:00:00	20.94278	20.94278	20.90948	20.91598	632	0	1254
2020.10.27	05:00:00	20.91667	20.93128	20.91588	20.92258	534	0	1096
2020.10.27	06:00:00	20.92258	20.92328	20.91288	20.92121	296	0	1086
2020.10.27	07:00:00	20.92178	20.92548	20.90478	20.91108	574	0	1155
2020.10.27	08:00:00	20.91108	20.92096	20.89136	20.90738	628	0	1193
2020.10.27	09:00:00	20.90784	20.95167	20.89807	20.92277	1891	0	1074
2020.10.27	10:00:00	20.92294	20.95559	20.90996	20.92258	2261	0	1036
2020.10.27	11:00:00	20.92248	20.96394	20.92127	20.95477	2374	0	1000
2020.10.27	12:00:00	20.95477	20.95477	20.88286	20.88818	1353	0	1005
2020.10.27	13:00:00	20.88948	20.89987	20.82668	20.84568	2129	0	1017
2020.10.27	14:00:00	20.84656	20.88157	20.82590	20.87000	2157	0	1001
2020.10.27	15:00:00	20.87000	20.88672	20.83148	20.87067	3522	0	1004
2020.10.27	16:00:00	20.87066	20.92639	20.86224	20.87819	3741	0	1001
2020.10.27	17:00:00	20.87818	20.88891	20.83948	20.86542	3530	0	1001
2020.10.27	18:00:00	20.86498	20.89118	20.85660	20.87758	2559	0	1002
2020.10.27	19:00:00	20.87748	20.89367	20.86936	20.87397	1981	0	1000
2020.10.27	20:00:00	20.87406	20.94563	20.87406	20.94535	1951	0	1000
2020.10.27	21:00:00	20.94501	20.97936	20.92970	20.96218	2119	0	1002
2020.10.27	22:00:00	20.96166	21.04466	20.95636	21.02948	864	0	1000
2020.10.27	23:00:00	21.03805	21.03805	21.01025	21.01929	16	0	1580
2020.10.28	00:00:00	21.01055	21.08418	21.01055	21.05898	648	0	1002
2020.10.28	01:00:00	21.05898	21.06348	21.02008	21.02538	395	0	1137
2020.10.28	02:00:00	21.02598	21.05268	21.02088	21.03032	845	0	1057
2020.10.28	03:00:00	21.02971	21.04048	21.00387	21.02468	822	0	1124
2020.10.28	04:00:00	21.02438	21.05908	21.02101	21.05838	825	0	1007
2020.10.28	05:00:00	21.05838	21.06248	21.04758	21.04988	443	0	1234
2020.10.28	06:00:00	21.04988	21.05358	21.02888	21.03632	509	0	1344
2020.10.28	07:00:00	21.03585	21.04398	21.00838	21.01208	624	0	1147
2020.10.28	08:00:00	21.01168	21.07508	21.00588	21.06108	861	0	1107
2020.10.28	09:00:00	21.06178	21.10378	21.04768	21.07993	1984	0	1006
2020.10.28	10:00:00	21.08014	21.18638	21.07728	21.14855	2165	0	1000
2020.10.28	11:00:00	21.14895	21.26858	21.14895	21.23996	2411	0	1004
2020.10.28	12:00:00	21.23968	21.31728	21.23338	21.28961	2193	0	1008
2020.10.28	13:00:00	21.28989	21.33317	21.23119	21.26409	3670	0	1001
2020.10.28	14:00:00	21.26458	21.35978	21.21878	21.28381	5010	0	1000
2020.10.28	15:00:00	21.28389	21.31868	21.22853	21.24730	5317	0	1000
2020.10.28	16:00:00	21.24740	21.33409	21.20568	21.23725	7891	0	1000
2020.10.28	17:00:00	21.23941	21.24018	21.10340	21.14886	5817	0	1001
2020.10.28	18:00:00	21.14918	21.18220	21.09957	21.16720	4015	0	1000
2020.10.28	19:00:00	21.16699	21.22730	21.15628	21.19651	4006	0	1000
2020.10.28	20:00:00	21.19667	21.23713	21.15434	21.18026	4249	0	1000
2020.10.28	21:00:00	21.18113	21.25868	21.16718	21.25028	4650	0	1000
2020.10.28	22:00:00	21.24958	21.29468	21.23868	21.28018	1606	0	1001
2020.10.28	23:00:00	21.27964	21.27964	21.27234	21.27544	146	0	1492
2020.10.29	00:00:00	21.27484	21.27584	21.22840	21.25488	447	0	1058
2020.10.29	01:00:00	21.25318	21.27168	21.24239	21.24298	662	0	1034
2020.10.29	02:00:00	21.24308	21.25688	21.21068	21.23378	1318	0	1044
2020.10.29	03:00:00	21.23368	21.23908	21.19136	21.19238	1458	0	1024
2020.10.29	04:00:00	21.19238	21.22778	21.19136	21.22508	651	0	1065
2020.10.29	05:00:00	21.22508	21.22818	21.19148	21.19358	930	0	1081
2020.10.29	06:00:00	21.19358	21.19918	21.18598	21.19738	969	0	1036
2020.10.29	07:00:00	21.19758	21.20438	21.18298	21.18538	1082	0	1024
2020.10.29	08:00:00	21.18538	21.19808	21.14958	21.16088	952	0	1080
2020.10.29	09:00:00	21.16193	21.22143	21.12958	21.21923	3103	0	1001
2020.10.29	10:00:00	21.21953	21.35058	21.20428	21.33114	4112	0	1004
2020.10.29	11:00:00	21.33113	21.41441	21.28928	21.40089	3201	0	1004
2020.10.29	12:00:00	21.40089	21.46428	21.39112	21.40885	2898	0	1001
2020.10.29	13:00:00	21.41204	21.48060	21.40913	21.44622	3631	0	1000
2020.10.29	14:00:00	21.44622	21.44667	21.32094	21.37438	5736	0	1000
2020.10.29	15:00:00	21.37323	21.40765	21.30709	21.36272	7992	0	1000
2020.10.29	16:00:00	21.36233	21.39908	21.27499	21.28739	7706	0	1000
2020.10.29	17:00:00	21.28729	21.39008	21.28174	21.36665	5677	0	1000
2020.10.29	18:00:00	21.36655	21.38609	21.33894	21.38609	4682	0	1000
2020.10.29	19:00:00	21.38597	21.42048	21.37728	21.40278	3616	0	1002
2020.10.29	20:00:00	21.40278	21.40308	21.31802	21.34770	3213	0	1000
2020.10.29	21:00:00	21.34762	21.35348	21.30308	21.35288	4270	0	1000
2020.10.29	22:00:00	21.35398	21.38654	21.32425	21.37528	1804	0	1005
2020.10.30	00:00:00	21.33884	21.39758	21.33884	21.37198	569	0	1204
2020.10.30	01:00:00	21.37228	21.37528	21.34818	21.35488	684	0	1164
2020.10.30	02:00:00	21.35398	21.38374	21.34174	21.37428	921	0	1008
2020.10.30	03:00:00	21.37468	21.38818	21.30794	21.31258	1216	0	1068
2020.10.30	04:00:00	21.31328	21.35598	21.29218	21.34958	887	0	1134
2020.10.30	05:00:00	21.34958	21.35098	21.31908	21.32928	915	0	1068
2020.10.30	06:00:00	21.32968	21.36771	21.32058	21.36768	729	0	1145
2020.10.30	07:00:00	21.36768	21.46543	21.36358	21.45008	1372	0	1014
2020.10.30	08:00:00	21.45068	21.47550	21.42978	21.45618	2091	0	1048
2020.10.30	09:00:00	21.45684	21.49174	21.38286	21.40918	4277	0	1007
2020.10.30	10:00:00	21.40918	21.41968	21.34804	21.35859	4332	0	1002
2020.10.30	11:00:00	21.35859	21.37040	21.29811	21.32858	3452	0	1003
2020.10.30	12:00:00	21.32848	21.38839	21.32598	21.34578	3231	0	1013
2020.10.30	13:00:00	21.34558	21.36498	21.29598	21.31682	3962	0	1005
2020.10.30	14:00:00	21.31681	21.34618	21.18873	21.20669	5070	0	1001
2020.10.30	15:00:00	21.20668	21.24912	21.17693	21.20635	7041	0	1001
2020.10.30	16:00:00	21.20646	21.27427	21.19875	21.27426	8166	0	1000
2020.10.30	17:00:00	21.27418	21.28604	21.22774	21.27173	7522	0	1000
2020.10.30	18:00:00	21.27325	21.28828	21.22545	21.25202	5653	0	1000
