<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	3.87286	3.87711	3.87286	3.87522	200	0	190
2020.10.27	01:00:00	3.87560	3.87610	3.87459	3.87530	388	0	320
2020.10.27	02:00:00	3.87519	3.87860	3.87390	3.87390	1118	0	186
2020.10.27	03:00:00	3.87385	3.87565	3.87296	3.87465	1599	0	178
2020.10.27	04:00:00	3.87465	3.87465	3.87190	3.87268	829	0	164
2020.10.27	05:00:00	3.87268	3.87500	3.87268	3.87380	678	0	173
2020.10.27	06:00:00	3.87397	3.87397	3.87225	3.87244	355	0	178
2020.10.27	07:00:00	3.87244	3.87244	3.86908	3.86937	544	0	166
2020.10.27	08:00:00	3.86934	3.86954	3.86510	3.86562	825	0	137
2020.10.27	09:00:00	3.86578	3.87950	3.86530	3.87943	2607	0	112
2020.10.27	10:00:00	3.87965	3.88842	3.87795	3.88555	4444	0	125
2020.10.27	11:00:00	3.88535	3.88925	3.87655	3.88445	3315	0	100
2020.10.27	12:00:00	3.88445	3.88595	3.88034	3.88105	2694	0	140
2020.10.27	13:00:00	3.88105	3.88105	3.86885	3.87205	2344	0	125
2020.10.27	14:00:00	3.87195	3.87795	3.86965	3.87485	2402	0	102
2020.10.27	15:00:00	3.87473	3.87735	3.87005	3.87211	3087	0	131
2020.10.27	16:00:00	3.87209	3.87500	3.86840	3.87124	3717	0	100
2020.10.27	17:00:00	3.87120	3.87428	3.86550	3.86774	2596	0	100
2020.10.27	18:00:00	3.86772	3.87445	3.86638	3.87195	2061	0	100
2020.10.27	19:00:00	3.87195	3.87472	3.87120	3.87464	1516	0	135
2020.10.27	20:00:00	3.87443	3.87893	3.87355	3.87886	1086	0	134
2020.10.27	21:00:00	3.87860	3.88443	3.87826	3.88126	1019	0	124
2020.10.27	22:00:00	3.88126	3.88768	3.87984	3.88729	2839	0	128
2020.10.27	23:00:00	3.88485	3.88786	3.88125	3.88771	596	0	462
2020.10.28	00:00:00	3.88770	3.89615	3.88665	3.89015	1271	0	187
2020.10.28	01:00:00	3.89110	3.89310	3.89095	3.89140	739	0	195
