<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.27	00:00:00	33.15	33.28	33.14	33.28	149	0	2
2020.10.27	01:00:00	33.28	33.30	33.18	33.20	155	0	2
2020.10.27	02:00:00	33.19	33.27	33.15	33.24	400	0	2
2020.10.27	03:00:00	33.24	33.26	33.15	33.22	412	0	2
2020.10.27	04:00:00	33.22	33.34	33.22	33.27	286	0	2
2020.10.27	05:00:00	33.27	33.34	33.24	33.32	138	0	2
2020.10.27	06:00:00	33.32	33.37	33.32	33.36	131	0	2
2020.10.27	07:00:00	33.36	33.45	33.36	33.42	198	0	2
2020.10.27	08:00:00	33.42	33.55	33.42	33.54	246	0	2
2020.10.27	09:00:00	33.55	33.57	33.34	33.39	464	0	2
2020.10.27	10:00:00	33.40	33.60	33.32	33.51	961	0	2
2020.10.27	11:00:00	33.50	33.50	33.27	33.47	853	0	2
2020.10.27	12:00:00	33.46	33.70	33.43	33.64	844	0	2
2020.10.27	13:00:00	33.64	33.67	33.50	33.51	549	0	2
2020.10.27	14:00:00	33.51	33.54	33.31	33.42	559	0	2
2020.10.27	15:00:00	33.41	33.59	33.20	33.58	1268	0	2
2020.10.27	16:00:00	33.59	33.65	33.39	33.63	1195	0	2
2020.10.27	17:00:00	33.64	34.10	33.60	34.04	1241	0	2
2020.10.27	18:00:00	34.04	34.20	33.99	34.12	873	0	2
2020.10.27	19:00:00	34.12	34.37	34.04	34.27	648	0	2
2020.10.27	20:00:00	34.28	34.34	34.01	34.05	930	0	2
2020.10.27	21:00:00	34.05	34.13	34.04	34.06	357	0	2
2020.10.27	22:00:00	34.03	34.09	33.56	33.63	645	0	7
2020.10.28	00:00:00	33.68	33.71	33.42	33.46	423	0	2
2020.10.28	01:00:00	33.46	33.60	33.43	33.60	262	0	2
2020.10.28	02:00:00	33.59	33.71	33.54	33.68	312	0	2
2020.10.28	03:00:00	33.68	33.69	33.51	33.57	315	0	2
2020.10.28	04:00:00	33.56	33.59	33.42	33.43	462	0	2
2020.10.28	05:00:00	33.43	33.48	33.41	33.47	170	0	2
2020.10.28	06:00:00	33.47	33.56	33.45	33.55	158	0	2
2020.10.28	07:00:00	33.54	33.61	33.49	33.55	180	0	2
2020.10.28	08:00:00	33.55	33.61	33.37	33.38	284	0	2
2020.10.28	09:00:00	33.38	33.42	33.15	33.21	696	0	2
2020.10.28	10:00:00	33.22	33.30	32.86	33.03	1353	0	2
2020.10.28	11:00:00	33.02	33.09	32.86	32.96	1093	0	2
2020.10.28	12:00:00	32.95	33.03	32.80	32.81	959	0	2
2020.10.28	13:00:00	32.82	32.84	32.62	32.78	705	0	2
2020.10.28	14:00:00	32.77	32.79	32.68	32.74	722	0	2
2020.10.28	15:00:00	32.74	32.76	32.34	32.43	1689	0	2
2020.10.28	16:00:00	32.42	32.73	32.20	32.45	2219	0	2
2020.10.28	17:00:00	32.44	32.63	32.15	32.60	1929	0	2
2020.10.28	18:00:00	32.61	32.68	32.26	32.31	1756	0	2
2020.10.28	19:00:00	32.30	32.42	32.11	32.40	1024	0	2
2020.10.28	20:00:00	32.40	32.62	32.21	32.58	1159	0	2
2020.10.28	21:00:00	32.59	32.61	32.38	32.42	763	0	2
2020.10.28	22:00:00	32.43	32.47	32.39	32.43	285	0	3
2020.10.29	00:00:00	32.49	32.65	32.48	32.64	233	0	2
2020.10.29	01:00:00	32.63	32.84	32.62	32.81	245	0	2
2020.10.29	02:00:00	32.81	32.81	32.60	32.67	689	0	2
2020.10.29	03:00:00	32.67	32.82	32.63	32.79	416	0	2
2020.10.29	04:00:00	32.80	32.81	32.58	32.65	290	0	2
2020.10.29	05:00:00	32.65	32.65	32.39	32.63	442	0	2
2020.10.29	06:00:00	32.64	32.71	32.60	32.70	190	0	2
2020.10.29	07:00:00	32.71	32.72	32.59	32.68	398	0	2
2020.10.29	08:00:00	32.68	32.82	32.63	32.73	469	0	2
2020.10.29	09:00:00	32.73	32.74	32.39	32.47	962	0	2
2020.10.29	10:00:00	32.47	32.57	31.88	31.90	1787	0	2
2020.10.29	11:00:00	31.91	32.00	31.49	31.62	1276	0	2
2020.10.29	12:00:00	31.63	31.63	31.19	31.47	1538	0	2
2020.10.29	13:00:00	31.46	31.58	31.20	31.20	1111	0	2
2020.10.29	14:00:00	31.21	31.23	30.87	31.04	1401	0	2
2020.10.29	15:00:00	31.02	31.04	30.48	30.93	2898	0	2
2020.10.29	16:00:00	30.92	31.63	30.80	31.62	2821	0	2
2020.10.29	17:00:00	31.61	31.69	31.25	31.29	2344	0	2
2020.10.29	18:00:00	31.30	31.51	31.17	31.25	1814	0	2
2020.10.29	19:00:00	31.25	31.74	31.24	31.74	1274	0	2
2020.10.29	20:00:00	31.74	31.89	31.56	31.69	1653	0	2
2020.10.29	21:00:00	31.69	31.84	31.63	31.70	709	0	2
2020.10.29	22:00:00	31.68	31.73	31.49	31.50	384	0	7
2020.10.30	00:00:00	31.57	31.64	31.40	31.59	312	0	2
2020.10.30	01:00:00	31.60	31.69	31.56	31.66	261	0	2
2020.10.30	02:00:00	31.66	31.76	31.62	31.70	380	0	2
2020.10.30	03:00:00	31.71	31.90	31.69	31.89	541	0	2
2020.10.30	04:00:00	31.89	32.04	31.87	31.96	438	0	2
2020.10.30	05:00:00	31.96	31.96	31.80	31.86	339	0	2
2020.10.30	06:00:00	31.86	31.90	31.73	31.75	239	0	2
2020.10.30	07:00:00	31.74	31.77	31.05	31.13	890	0	2
2020.10.30	08:00:00	31.12	31.65	30.99	31.40	1349	0	2
2020.10.30	09:00:00	31.41	31.53	31.20	31.41	1101	0	2
2020.10.30	10:00:00	31.41	31.99	31.41	31.77	1619	0	2
2020.10.30	11:00:00	31.76	32.05	31.64	31.96	1253	0	2
2020.10.30	12:00:00	31.95	31.95	31.28	31.78	1579	0	2
2020.10.30	13:00:00	31.78	31.90	31.61	31.61	1205	0	2
2020.10.30	14:00:00	31.62	31.77	31.57	31.72	1147	0	2
2020.10.30	15:00:00	31.71	31.71	31.21	31.36	2210	0	2
2020.10.30	16:00:00	31.37	31.43	31.06	31.14	2022	0	2
2020.10.30	17:00:00	31.14	31.30	30.97	31.10	1777	0	2
2020.10.30	18:00:00	31.10	31.31	31.01	31.01	1230	0	2
2020.10.30	19:00:00	31.00	31.14	30.95	31.09	1021	0	2
2020.10.30	20:00:00	31.10	31.53	31.10	31.30	1682	0	2
2020.10.30	21:00:00	31.29	31.36	31.11	31.35	666	0	2
2020.10.30	22:00:00	31.36	31.46	31.23	31.43	367	0	3
2020.11.02	01:00:00	30.82	31.08	29.98	30.30	2093	0	2
2020.11.02	02:00:00	30.31	30.59	30.15	30.57	1221	0	2
2020.11.02	03:00:00	30.57	30.90	30.53	30.86	1197	0	2
2020.11.02	04:00:00	30.85	30.99	30.70	30.70	727	0	2
2020.11.02	05:00:00	30.71	30.78	30.50	30.73	508	0	2
2020.11.02	06:00:00	30.73	30.81	30.66	30.72	275	0	2
2020.11.02	07:00:00	30.72	30.84	30.66	30.75	483	0	2
2020.11.02	08:00:00	30.75	30.83	30.54	30.74	637	0	2
2020.11.02	09:00:00	30.71	30.81	30.45	30.79	1053	0	2
2020.11.02	10:00:00	30.80	31.00	30.48	30.94	1503	0	2
2020.11.02	11:00:00	30.96	31.37	30.95	31.20	1335	0	2
2020.11.02	12:00:00	31.21	31.38	30.97	31.16	1040	0	2
2020.11.02	13:00:00	31.15	31.27	31.03	31.17	952	0	2
2020.11.02	14:00:00	31.16	31.38	31.01	31.24	1070	0	2
2020.11.02	15:00:00	31.23	32.15	31.19	31.68	2104	0	2
2020.11.02	16:00:00	31.67	32.27	31.40	32.21	2511	0	2
2020.11.02	17:00:00	32.22	32.46	31.91	32.04	2736	0	2
2020.11.02	18:00:00	32.03	32.44	32.01	32.42	1644	0	2
2020.11.02	19:00:00	32.43	32.92	32.37	32.87	1225	0	2
2020.11.02	20:00:00	32.88	32.90	32.52	32.54	1174	0	2
2020.11.02	21:00:00	32.55	33.16	32.45	33.12	1518	0	2
2020.11.02	22:00:00	33.13	33.28	33.08	33.22	663	0	2
2020.11.02	23:00:00	33.20	33.23	33.07	33.20	335	0	7
2020.11.03	01:00:00	33.21	33.47	33.09	33.24	418	0	2
2020.11.03	02:00:00	33.24	33.33	33.07	33.25	441	0	2
2020.11.03	03:00:00	33.25	33.29	32.86	32.97	1112	0	2
2020.11.03	04:00:00	32.97	33.10	32.91	33.06	455	0	2
2020.11.03	05:00:00	33.06	33.18	33.03	33.10	408	0	2
2020.11.03	06:00:00	33.10	33.15	33.00	33.01	254	0	2
2020.11.03	07:00:00	33.02	33.24	33.00	33.12	361	0	2
2020.11.03	08:00:00	33.12	33.18	32.91	32.99	456	0	2
2020.11.03	09:00:00	32.99	33.05	32.86	33.04	667	0	2
2020.11.03	10:00:00	33.03	34.15	33.01	33.77	2020	0	2
2020.11.03	11:00:00	33.78	34.37	33.76	34.37	1612	0	2
2020.11.03	12:00:00	34.38	34.42	33.82	33.87	1190	0	2
2020.11.03	13:00:00	33.86	34.28	33.84	34.19	936	0	2
2020.11.03	14:00:00	34.18	34.39	34.08	34.11	974	0	2
2020.11.03	15:00:00	34.14	34.31	33.92	34.13	1429	0	2
2020.11.03	16:00:00	34.13	34.43	34.11	34.42	1939	0	2
2020.11.03	17:00:00	34.43	34.48	34.03	34.34	1904	0	2
2020.11.03	18:00:00	34.35	34.40	33.71	34.02	2183	0	2
2020.11.03	19:00:00	34.03	34.14	33.84	33.87	1058	0	2
2020.11.03	20:00:00	33.88	34.08	33.85	34.00	1129	0	2
2020.11.03	21:00:00	34.01	34.21	33.89	34.05	1238	0	2
2020.11.03	22:00:00	34.05	34.22	33.97	34.14	476	0	2
2020.11.03	23:00:00	34.11	34.44	34.06	34.35	492	0	7
2020.11.04	01:00:00	34.42	34.95	34.38	34.68	786	0	2
2020.11.04	02:00:00	34.66	34.73	34.32	34.39	1324	0	2
2020.11.04	03:00:00	34.40	34.64	34.16	34.57	1655	0	2
2020.11.04	04:00:00	34.58	34.73	34.20	34.58	1774	0	2
2020.11.04	05:00:00	34.59	34.99	34.57	34.87	1706	0	2
2020.11.04	06:00:00	34.86	34.93	34.57	34.65	943	0	2
2020.11.04	07:00:00	34.64	34.91	34.62	34.86	971	0	2
2020.11.04	08:00:00	34.85	34.97	34.51	34.59	819	0	2
2020.11.04	09:00:00	34.59	34.61	33.68	33.94	2621	0	2
2020.11.04	10:00:00	33.95	34.25	33.84	34.17	2466	0	2
2020.11.04	11:00:00	34.17	35.06	34.14	35.04	2188	0	2
2020.11.04	12:00:00	35.03	35.06	34.59	34.86	1759	0	2
2020.11.04	13:00:00	34.87	35.07	34.73	34.86	1091	0	2
2020.11.04	14:00:00	34.87	35.08	34.84	35.00	1371	0	2
2020.11.04	15:00:00	35.01	35.16	34.69	34.81	1548	0	2
2020.11.04	16:00:00	34.80	35.05	34.24	34.44	2567	0	2
2020.11.04	17:00:00	34.45	35.18	34.38	35.13	2495	0	2
2020.11.04	18:00:00	35.12	35.35	34.74	35.32	2423	0	2
2020.11.04	19:00:00	35.33	35.40	35.16	35.36	1366	0	2
2020.11.04	20:00:00	35.35	35.50	35.25	35.45	954	0	2
2020.11.04	21:00:00	35.44	35.58	35.36	35.41	1155	0	2
2020.11.04	22:00:00	35.42	35.43	35.32	35.33	520	0	2
2020.11.04	23:00:00	35.31	35.50	35.30	35.47	310	0	7
2020.11.05	01:00:00	35.54	35.54	35.33	35.42	368	0	2
2020.11.05	02:00:00	35.42	35.42	35.23	35.30	497	0	2
2020.11.05	03:00:00	35.31	35.38	35.09	35.11	898	0	2
2020.11.05	04:00:00	35.12	35.18	34.78	34.92	848	0	2
2020.11.05	05:00:00	34.92	35.22	34.92	35.11	647	0	2
2020.11.05	06:00:00	35.11	35.17	34.95	35.00	423	0	2
2020.11.05	07:00:00	34.99	35.16	34.85	35.06	848	0	2
2020.11.05	08:00:00	35.05	35.10	34.86	34.86	557	0	2
2020.11.05	09:00:00	34.87	35.15	34.83	35.14	954	0	2
2020.11.05	10:00:00	35.12	35.42	35.12	35.25	1484	0	2
2020.11.05	11:00:00	35.27	35.53	35.14	35.48	979	0	2
2020.11.05	12:00:00	35.47	35.65	35.46	35.60	1042	0	2
2020.11.05	13:00:00	35.59	35.61	35.25	35.33	1136	0	2
2020.11.05	14:00:00	35.32	35.47	35.15	35.47	893	0	2
2020.11.05	15:00:00	35.48	35.64	35.35	35.51	1063	0	2
2020.11.05	16:00:00	35.49	35.66	35.36	35.50	1555	0	2
2020.11.05	17:00:00	35.51	35.86	35.32	35.34	1829	0	2
2020.11.05	18:00:00	35.33	35.38	35.03	35.21	2031	0	2
2020.11.05	19:00:00	35.22	35.29	35.02	35.22	1159	0	2
2020.11.05	20:00:00	35.24	35.49	35.20	35.30	776	0	2
2020.11.05	21:00:00	35.31	35.48	35.19	35.19	1074	0	2
2020.11.05	22:00:00	35.20	35.25	35.04	35.15	595	0	2
2020.11.05	23:00:00	35.13	35.17	35.07	35.10	247	0	7
2020.11.06	01:00:00	35.22	35.23	35.01	35.10	455	0	2
2020.11.06	02:00:00	35.10	35.18	35.05	35.07	470	0	2
2020.11.06	03:00:00	35.07	35.07	34.74	34.89	966	0	2
2020.11.06	04:00:00	34.88	34.96	34.73	34.83	569	0	2
2020.11.06	05:00:00	34.84	34.84	34.67	34.69	396	0	2
2020.11.06	06:00:00	34.68	34.73	34.48	34.49	407	0	2
2020.11.06	07:00:00	34.48	34.55	34.38	34.51	587	0	2
2020.11.06	08:00:00	34.50	34.71	34.46	34.67	619	0	2
2020.11.06	09:00:00	34.68	35.11	34.68	35.05	917	0	2
2020.11.06	10:00:00	35.07	35.26	34.90	34.93	1553	0	2
2020.11.06	11:00:00	34.92	35.03	34.72	34.75	1217	0	2
2020.11.06	12:00:00	34.74	34.74	34.37	34.48	1285	0	2
2020.11.06	13:00:00	34.47	34.55	34.20	34.42	1173	0	2
2020.11.06	14:00:00	34.41	34.62	34.33	34.56	868	0	2
2020.11.06	15:00:00	34.55	34.90	34.40	34.85	1664	0	2
2020.11.06	16:00:00	34.82	35.09	34.55	34.69	1991	0	2
2020.11.06	17:00:00	34.70	34.82	34.40	34.43	1785	0	2
2020.11.06	18:00:00	34.42	34.59	34.11	34.20	2052	0	2
2020.11.06	19:00:00	34.21	34.31	34.00	34.29	1352	0	2
2020.11.06	20:00:00	34.29	34.36	34.14	34.27	918	0	2
2020.11.06	21:00:00	34.25	34.29	34.02	34.19	1120	0	2
2020.11.06	22:00:00	34.20	34.38	34.09	34.36	541	0	2
2020.11.06	23:00:00	34.34	34.39	34.29	34.38	218	0	7
2020.11.09	01:00:00	34.84	35.26	34.56	35.15	762	0	2
2020.11.09	02:00:00	35.17	35.31	35.06	35.28	606	0	2
2020.11.09	03:00:00	35.28	35.71	35.26	35.46	1133	0	2
2020.11.09	04:00:00	35.46	35.60	35.44	35.59	566	0	2
2020.11.09	05:00:00	35.60	35.60	35.49	35.55	352	0	2
2020.11.09	06:00:00	35.55	35.61	35.52	35.53	263	0	2
2020.11.09	07:00:00	35.53	35.57	35.41	35.53	498	0	2
2020.11.09	08:00:00	35.52	35.59	35.51	35.51	418	0	2
2020.11.09	09:00:00	35.51	35.57	35.33	35.48	763	0	2
2020.11.09	10:00:00	35.48	35.53	35.20	35.32	1253	0	2
2020.11.09	11:00:00	35.33	35.57	35.26	35.38	920	0	2
2020.11.09	12:00:00	35.38	35.58	35.34	35.55	976	0	2
2020.11.09	13:00:00	35.55	37.26	35.52	37.18	1909	0	2
2020.11.09	14:00:00	37.18	38.08	37.17	37.96	3408	0	2
2020.11.09	15:00:00	37.96	38.57	37.69	37.72	3062	0	2
2020.11.09	16:00:00	37.73	38.42	37.73	38.14	2716	0	2
2020.11.09	17:00:00	38.15	38.29	37.86	38.15	1967	0	2
2020.11.09	18:00:00	38.16	38.16	37.59	37.84	2110	0	2
2020.11.09	19:00:00	37.85	37.95	37.76	37.84	1280	0	2
2020.11.09	20:00:00	37.85	37.93	37.70	37.77	934	0	2
2020.11.09	21:00:00	37.78	37.81	37.55	37.79	1559	0	2
2020.11.09	22:00:00	37.79	37.79	37.38	37.41	587	0	2
2020.11.09	23:00:00	37.39	37.45	37.18	37.23	351	0	7
2020.11.10	01:00:00	37.34	37.39	37.12	37.14	540	0	2
