<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:15:00	113.75	113.97	113.75	113.87	19	0	36
2020.12.10	11:16:00	113.85	113.92	113.85	113.90	6	0	36
2020.12.10	11:17:00	113.82	113.87	113.77	113.82	6	0	36
2020.12.10	11:18:00	113.85	113.92	113.85	113.92	3	0	36
2020.12.10	11:19:00	113.92	113.92	113.87	113.87	4	0	36
2020.12.10	11:20:00	113.85	113.87	113.85	113.87	6	0	36
2020.12.10	11:21:00	113.85	113.90	113.82	113.90	7	0	36
2020.12.10	11:22:00	113.90	113.90	113.75	113.77	5	0	36
2020.12.10	11:23:00	113.77	113.87	113.77	113.87	6	0	36
2020.12.10	11:24:00	113.85	113.85	113.77	113.80	4	0	36
2020.12.10	11:25:00	113.82	113.87	113.82	113.87	3	0	36
2020.12.10	11:26:00	113.90	113.92	113.85	113.85	8	0	36
2020.12.10	11:27:00	113.82	113.97	113.82	113.95	8	0	36
2020.12.10	11:28:00	113.95	114.02	113.95	114.02	3	0	36
2020.12.10	11:29:00	114.04	114.04	113.95	113.95	3	0	36
2020.12.10	11:30:00	113.95	113.97	113.95	113.97	2	0	36
2020.12.10	11:31:00	113.97	114.07	113.97	114.07	3	0	36
2020.12.10	11:32:00	114.04	114.07	114.04	114.07	8	0	36
2020.12.10	11:33:00	114.04	114.07	114.04	114.04	3	0	36
2020.12.10	11:34:00	114.07	114.26	114.04	114.19	13	0	36
2020.12.10	11:35:00	114.21	114.31	114.19	114.29	12	0	36
2020.12.10	11:36:00	114.26	114.29	114.26	114.26	3	0	36
2020.12.10	11:37:00	114.21	114.24	114.19	114.21	5	0	36
2020.12.10	11:38:00	114.16	114.19	114.12	114.14	5	0	36
2020.12.10	11:39:00	114.12	114.16	114.09	114.12	8	0	36
2020.12.10	11:40:00	114.09	114.16	114.09	114.16	3	0	36
2020.12.10	11:41:00	114.14	114.16	114.14	114.16	4	0	36
2020.12.10	11:42:00	114.14	114.14	114.07	114.07	4	0	36
2020.12.10	11:44:00	114.04	114.04	114.04	114.04	1	0	36
2020.12.10	11:45:00	114.04	114.04	113.97	113.97	5	0	36
2020.12.10	11:46:00	113.97	113.97	113.97	113.97	1	0	36
2020.12.10	11:47:00	113.97	114.02	113.97	114.02	2	0	36
2020.12.10	11:48:00	114.02	114.09	114.02	114.04	6	0	36
2020.12.10	11:49:00	114.02	114.12	114.02	114.09	9	0	36
2020.12.10	11:50:00	114.07	114.14	114.07	114.12	4	0	36
2020.12.10	11:51:00	114.14	114.14	114.07	114.09	4	0	36
2020.12.10	11:52:00	114.12	114.12	114.09	114.09	2	0	36
2020.12.10	11:53:00	114.07	114.09	114.04	114.04	3	0	36
2020.12.10	11:54:00	114.02	114.02	114.02	114.02	1	0	36
2020.12.10	11:55:00	114.07	114.07	114.07	114.07	1	0	36
2020.12.10	11:56:00	114.04	114.09	114.04	114.09	3	0	36
2020.12.10	11:57:00	114.12	114.12	114.09	114.12	3	0	36
2020.12.10	11:59:00	114.07	114.12	114.07	114.12	2	0	36
2020.12.10	12:01:00	114.07	114.07	114.07	114.07	1	0	36
2020.12.10	12:02:00	114.02	114.02	113.97	113.99	6	0	36
2020.12.10	12:03:00	113.97	113.97	113.95	113.95	2	0	36
2020.12.10	12:04:00	113.97	113.97	113.92	113.92	4	0	36
2020.12.10	12:05:00	113.87	113.87	113.85	113.87	3	0	36
2020.12.10	12:06:00	113.90	113.92	113.90	113.92	2	0	36
2020.12.10	12:07:00	113.90	113.92	113.87	113.92	3	0	36
2020.12.10	12:08:00	113.95	114.02	113.95	113.95	8	0	36
2020.12.10	12:09:00	113.95	113.95	113.92	113.92	2	0	36
2020.12.10	12:10:00	113.92	113.95	113.92	113.95	2	0	36
2020.12.10	12:11:00	113.95	113.95	113.95	113.95	1	0	36
2020.12.10	12:12:00	113.95	113.95	113.95	113.95	1	0	36
2020.12.10	12:13:00	113.95	113.97	113.95	113.97	2	0	36
2020.12.10	12:14:00	113.97	113.97	113.95	113.95	2	0	36
2020.12.10	12:15:00	113.97	113.97	113.97	113.97	1	0	36
2020.12.10	12:17:00	113.95	113.97	113.95	113.95	3	0	36
2020.12.10	12:18:00	113.92	113.97	113.92	113.97	2	0	36
2020.12.10	12:20:00	113.95	113.97	113.95	113.97	2	0	36
2020.12.10	12:21:00	113.97	113.97	113.97	113.97	1	0	36
2020.12.10	12:22:00	113.99	114.02	113.97	113.97	4	0	36
2020.12.10	12:23:00	113.99	113.99	113.97	113.97	2	0	36
2020.12.10	12:26:00	113.97	113.99	113.97	113.97	3	0	36
2020.12.10	12:28:00	113.95	113.95	113.95	113.95	1	0	36
2020.12.10	12:29:00	113.97	113.97	113.97	113.97	1	0	36
2020.12.10	12:31:00	113.95	113.95	113.82	113.82	6	0	36
2020.12.10	12:32:00	113.82	113.95	113.82	113.92	6	0	36
